Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexFile_loadDex,API_DexClassLoader_dalvik.system.DexFile_loadClass,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_verbose,Logcat_info,Logcat_debug,Logcat_error,Logcat_warning,Logcat_total,Process_total,Category,Family
28132,752,9120,21460,61008,760,7087,5368,1718,0,0,4,0,2,4,24,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,2378,8,1241,10,4,1,1513,3678,1342,432,1447,8412,191,Backdoor,hiddad
37192,4420,11048,26208,78976,4436,13117,10178,2938,8,2,7,2,2,12,28,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,31,0,0,0,0,3,1,1509,890,3941,4029,2898,13267,189,Backdoor,dendroid
50891,6588,11364,35428,70260,6756,13326,10629,2696,17,2,6,1,2,14,31,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,22,0,5,0,0,0,0,3,1,7285,2649,811,3370,1797,15912,187,Backdoor,androrat
71481,4928,10628,55768,84424,8628,27194,21167,6026,342,20,6,3,2,21,42,8,31,0,0,0,45,15,0,0,0,0,0,0,0,0,0,4,0,10,24,0,0,0,8,0,0,0,16,16,0,0,8,6,0,0,0,3,6,0,4,0,0,53,64,46,34,0,0,4,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,15,0,1,2030,12,4525,12,4,0,1504,634,3165,2641,3155,11099,188,Backdoor,hiddad
71151,3988,10692,55748,96352,8052,28337,20021,8315,136,3,6,3,2,17,32,8,30,0,0,0,45,15,0,0,0,0,0,0,0,0,0,4,0,10,24,0,0,0,8,0,0,0,16,16,0,0,8,6,0,0,0,4,8,0,6,0,0,53,64,46,30,0,0,4,0,5,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,0,1,2030,12,4395,12,4,0,3440,3339,603,2618,1500,11500,189,Backdoor,hiddad
45809,17424,10280,18480,81272,17440,5377,4068,1308,0,0,4,0,2,3,24,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,3,0,2687,1515,4635,1556,6308,16701,188,Backdoor,hiddad
58840,5668,11028,44408,84640,5716,10676,7560,3115,4,1,5,1,2,8,27,4,18,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,283,0,0,0,0,0,0,0,230,115,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,7,0,0,10,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,27805,70,8731,77,3,1,815,1897,9442,3714,1517,17385,188,Backdoor,fobus
63442,13924,8624,34156,88904,14204,28908,25816,3091,24,3,6,1,2,24,32,12,47,1,1,0,0,0,0,0,0,0,0,0,27,105,120,0,0,5,11,0,0,0,1,0,0,0,10,10,0,0,1,0,0,38,0,68,136,7,0,177,175,210,928,133,20,0,11,42,0,0,0,0,0,0,30,0,0,326,17,9,0,10,0,0,0,30,48,0,0,0,0,0,20,0,0,17,0,0,0,15,2,10,95165,519,128713,652,7,2,1211,5309,6378,1517,5654,20069,190,Backdoor,hiddad
71493,4884,10648,54024,86340,8748,26050,19847,6202,227,11,6,3,2,23,39,14,29,0,0,0,36,12,0,0,0,0,0,0,0,0,0,4,0,10,24,0,0,0,8,0,0,0,16,16,0,0,8,4,0,0,0,1,2,0,4,0,0,44,42,38,27,0,0,4,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,15,0,1,2029,12,4534,13,4,0,1510,3671,2448,3363,603,11595,188,Backdoor,hiddad
51468,5860,11404,35460,77452,5960,13305,10684,2620,17,2,6,1,2,15,31,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,22,0,5,0,0,0,0,3,1,846,2359,3385,1805,4391,12786,185,Backdoor,androrat
