Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexFile_loadDex,API_DexClassLoader_dalvik.system.DexFile_loadClass,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_verbose,Logcat_info,Logcat_debug,Logcat_error,Logcat_warning,Logcat_total,Process_total,Category,Family
83313,22072,10768,54316,80820,22960,31703,24593,7109,7,1,4,1,4,31,34,9,36,3,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0,0,0,0,140,70,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,1,1858272,1744,72631,1319,3,0,1525,5038,2434,908,2005,11910,191,FileInfector,tachi
119527,26296,11452,85252,79764,27656,35639,27378,8260,7,1,4,1,4,24,34,10,39,3,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,0,0,396,198,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,40,0,0,5,0,1,3794088,4527,309653,3265,3,0,2979,1739,1543,2356,1419,10036,190,FileInfector,tachi
100950,42888,10752,44236,95680,44560,26861,23232,3628,31,2,5,1,4,41,34,9,36,3,0,1,0,0,24,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,228,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,480,0,0,49,0,12,0,0,0,0,3,0,6316,3866,994,1511,2057,14744,188,FileInfector,tachi
49911,6376,12552,34672,94800,6388,17807,13783,4023,26,1,6,2,2,10,27,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,10,4,4,0,0,0,4,0,0,0,0,2,0,0,0,0,0,8,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,4,0,1359,2216,676,2583,1433,8267,186,FileInfector,gudex
53259,1076,10856,46484,83380,1088,26825,21373,5451,662,28,17,13,2,76,39,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,3,0,514,3563,2638,1865,1701,10281,191,FileInfector,commplat
48267,4808,10940,34512,91540,5860,17302,13982,3319,46,2,5,1,2,11,26,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,18,0,0,0,0,3,0,3005,4840,1161,9801,1832,20639,189,FileInfector,commplat
93143,39516,12052,40760,99976,41104,24558,21609,2948,31,2,5,1,4,33,36,9,38,4,0,1,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,169,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,180,0,0,28,0,9,100310,160,20694,211,3,0,1508,5143,1062,3081,2206,13000,188,FileInfector,tachi
48862,3588,11052,34728,95312,4380,17298,14041,3256,46,2,5,1,2,10,26,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,0,0,3,0,924,7756,1689,3349,2376,16094,190,FileInfector,commplat
51386,3424,11292,36344,91148,4348,21480,18304,3175,68,3,5,1,2,13,28,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,0,0,3,0,3716,3999,909,1790,2406,12820,189,FileInfector,commplat
91863,38080,10728,39060,107724,39768,26558,22025,4532,31,1,5,1,4,30,35,9,36,3,0,1,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,220,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,240,0,0,37,0,12,0,0,0,0,3,0,1778,5147,2302,727,1503,11457,190,FileInfector,tachi
