Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_postUrl,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_error,Logcat_verbose,Logcat_debug,Logcat_warning,Logcat_info,Logcat_total,Process_total,Category,Family
24892,176,9404,19836,41284,184,6797,4535,2261,0,0,2,0,2,2,23,2,10,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,417,1517,1525,1558,1812,6829,185,PUA,secapk
62165,2844,11048,47036,93452,7816,29783,22664,7118,98,4,6,2,2,15,30,4,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,2,10,5,0,0,0,0,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,168378051,119541,2410773,60109,4,1,2104,1686,4173,659,3278,11900,188,PUA,utchi
101822,3828,9924,86620,58276,7636,26554,20309,6244,224,12,9,6,2,27,37,24,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,42,0,0,0,40,0,4,2,0,2,0,0,20,0,0,4,0,1,2,2,10,0,6,654,658,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,34,0,1,1248,12,2424,15,5,0,3965,1098,2886,930,2033,10912,193,PUA,youmi
88881,2860,10972,71364,100136,9252,30512,23258,7253,388,5,11,8,2,17,38,6,24,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,63,88,0,0,0,38,12,16,16,21,38,0,0,37,0,0,0,0,0,0,0,24,0,0,37,37,18,2,2,0,2,0,0,0,0,130,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,36,0,1,0,0,1440,24,4,0,780,1708,3559,3201,2172,11420,188,PUA,youmi
186163,23196,10596,151856,63640,24660,45362,37083,8278,96,3,7,4,4,31,38,10,39,3,0,3,0,0,14,0,0,6,0,1,0,0,0,0,17,406,28,0,28,247,1,218,109,49,158,3,3,124,0,0,10,0,21,21,8,10,1,9,1007,1016,1,2,0,0,2,0,1,0,0,0,6,0,1,0,1,0,2,1,0,0,0,0,0,0,0,100,0,0,0,138,0,1,163888,250,33187,281,3,0,757,1968,2935,1639,3519,10818,188,PUA,youmi
75200,3868,10580,57808,107228,6144,30322,24164,6157,255,7,7,4,2,29,40,8,34,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,1,15,1,0,1,8,0,7,7,0,7,0,0,8,0,2,0,0,0,0,0,6,0,0,58,58,1,2,0,0,2,0,0,0,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,13,0,1,0,0,0,0,4,0,2158,4297,3660,703,1751,12569,191,PUA,youmi
125675,29704,10656,85796,87100,31548,38634,31065,7568,99,1,6,3,4,35,38,11,41,3,0,5,0,0,29,0,0,6,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,0,4,0,0,330,187,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,7,0,1,1546682,1601,148652,1435,3,0,1091,1817,2599,1510,2975,9992,191,PUA,scamapp
119276,30020,11644,79312,94072,31408,36335,30153,6181,99,1,6,3,4,36,36,11,43,2,0,5,0,0,29,0,0,6,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,0,10,0,0,304,174,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,7,0,1,0,0,0,0,3,0,1376,3943,1784,2971,1508,11582,188,PUA,scamapp
32202,4012,10424,17808,68504,4024,6917,4395,2521,0,0,1,0,2,2,23,6,9,0,0,0,84,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,3,0,1767,4136,3293,10716,1501,21413,185,PUA,secapk
346117,16672,10340,319888,60928,19228,67010,51194,15815,884,3,6,3,4,52,47,23,86,9,3,2,0,0,5,0,0,2,0,3,0,3,1,0,33,177,30,205,7338,2,0,73,73,101,174,0,0,2,1,0,7,0,57,83,4,8,1,3,830,667,1,0,0,2,6,0,0,0,0,0,4,0,100,93,0,0,2,0,4,26,26,0,0,0,129,111,0,25,0,16,0,1,7073009,7389,814788,5582,6,0,1093,2199,4652,1520,2948,12412,191,PUA,cauly
