Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_error,Logcat_verbose,Logcat_warning,Logcat_debug,Logcat_info,Logcat_total,Process_total,Category,Family
83083,33228,12088,38532,101628,36144,13952,10547,3404,16,2,7,2,4,32,36,7,30,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,182,182,6,0,2,2,0,0,36,84,28,0,0,0,0,0,0,0,0,30,14,0,0,0,0,1,0,28,0,2,1,1,0,0,0,0,36,28,0,0,0,0,0,0,49,0,14,0,0,240,4,3,1,669,293,2312,2823,4107,10204,193,Riskware,smsreg
83851,29932,10704,41400,109536,32912,15169,11573,3595,28,0,4,1,4,25,32,14,43,4,0,0,0,153,52,0,0,0,0,0,0,12,12,0,4,0,6,168,0,0,0,58,0,0,0,110,110,0,0,58,0,0,0,0,144,132,2,0,68,68,307,197,157,134,0,0,56,0,20,0,0,0,0,0,12,0,0,19,2,0,0,24,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,100,0,13,1204,14,31284,424,2,0,3230,172,1269,2969,3479,11119,189,Riskware,smsreg
41104,1336,11152,34076,87188,1352,17385,14706,2678,54,4,6,2,2,10,29,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,596,1919,2113,1289,122,6039,188,Riskware,smsreg
39949,3848,9416,26520,79768,3980,6136,4527,1608,8,0,6,1,2,5,25,7,15,0,0,0,0,188,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,159,323,2,88,0,0,37,37,195,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,46,4368,45,44,0,0,0,0,0,0,0,0,0,0,0,0,83,78,46,0,0,0,0,2,3,5576,2200,64,4475,3412,15727,195,Riskware,skymobi
51635,7296,9920,29648,90292,10420,15860,13603,2256,9,2,4,1,2,12,27,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,6,0,20,40,26,30,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,18,3,0,20,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,34,23,20,166153,506,57141,682,4,1,1444,108,5120,5599,3482,15753,192,Riskware,smspay
98359,31772,10568,51652,113052,35604,19613,16595,3017,28,0,4,1,4,23,31,14,41,3,0,0,0,126,42,0,0,0,0,0,0,15,15,0,4,0,5,188,0,0,0,61,0,0,0,128,128,0,0,61,15,0,4,0,187,187,17,0,373,387,322,200,159,148,30,0,63,0,22,0,0,0,0,0,15,0,0,46,30,0,0,45,0,30,64,64,0,0,0,0,0,0,0,0,0,0,0,0,107,15,16,65262,182,50074,590,3,1,2056,1363,229,639,2430,6717,193,Riskware,smsreg
60471,5252,10724,39744,103084,12384,23139,17824,5314,116,4,5,2,2,14,30,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,20,19,8,0,0,0,2,0,4,0,0,0,0,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,8422,74,11618,86,3,0,8829,148,2694,2042,842,14555,191,Riskware,<unknown>
50509,11540,10800,31680,92484,11556,14839,12872,1966,6,0,4,1,2,9,26,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,76,0,33,33,4,0,0,0,0,73,1,1,3,0,0,0,0,0,0,0,0,0,0,66,33,6,0,0,0,6,0,3,0,0,0,3,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11,0,0,0,0,2,0,3637,4279,132,7936,1117,17101,199,Riskware,smsreg
37223,7176,10960,21004,73380,7180,9308,5288,4019,0,0,3,0,2,3,22,1,6,0,0,0,0,106,36,0,0,0,0,0,0,12,0,0,0,0,4,14,0,0,0,4,0,5,5,5,10,0,0,4,20,0,21,0,72,144,19,32,42,42,292,799,79,83,2,0,0,0,2,0,0,0,0,2,0,0,0,10,9,1,0,15,20,2771,4,4,0,0,0,0,4,2,0,0,0,0,0,0,35,32,15,1603760,1111,32837,697,3,4,146,941,2837,2439,2231,8594,196,Riskware,skymobi
53808,4920,10808,36648,99504,8796,20206,16540,3665,64,2,4,1,2,13,29,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,20,19,8,0,0,0,2,0,4,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,6406,61,10144,91,3,0,2849,111,1785,761,1389,6895,193,Riskware,smsreg
36209,1440,11952,29276,70592,1456,7916,4812,3103,0,0,2,0,2,2,24,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,23,0,0,0,0,2,0,5024,118,3608,2923,1612,13285,193,Riskware,jiagu
