Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_postUrl,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.content.ContextWrapper_databaseList,API_Database_android.content.ContextWrapper_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexFile_loadDex,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.location.Location_getLatitude,API_DeviceData_android.location.Location_getLongitude,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_warning,Logcat_info,Logcat_verbose,Logcat_error,Logcat_debug,Logcat_total,Process_total,Category,Family
60788,3688,10716,44100,83588,9708,25505,18533,6971,114,3,6,3,2,14,32,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,34,31,11,0,0,0,2,0,5,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,7372,34,7747,38,4,0,1735,6021,1510,720,2833,12819,186,Riskware,smsreg
60569,3816,10632,44376,86040,8872,23932,17987,5944,128,6,6,3,2,17,35,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,23,21,9,0,0,0,2,0,4,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,1,5799,46,7542,53,4,0,11807,2944,1518,796,2169,19234,188,Riskware,smsreg
50799,17516,10576,21792,55436,17544,8643,4970,3672,0,0,3,0,2,3,22,1,6,0,0,0,0,120,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,1,0,0,1,2,0,20,0,82,168,7,40,0,0,45,180,79,78,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,20,0,22,2485,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,40,20,714,8,839,11,4,3,1003,2720,2932,1516,3135,11306,190,Riskware,skymobi
46579,7556,10688,22716,65624,7576,8927,5066,3860,0,0,3,0,2,3,22,2,8,0,0,0,0,123,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,1,0,0,1,2,0,22,0,84,170,9,44,32,32,49,188,86,90,2,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,20,0,23,2495,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,43,42,20,84,2,260,5,4,2,970,3073,8721,1514,3300,17578,190,Riskware,skymobi
52997,3288,10708,38496,91124,7168,22002,17981,4020,203,16,8,4,2,17,42,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,3,4,1,2,4,4,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,816,8,1300,9,6,1,1816,1533,3362,714,2798,10223,187,Riskware,smsreg
76187,8332,9948,57632,73484,8372,21101,15883,5217,36,2,6,2,2,26,36,41,54,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,72,0,0,0,36,0,0,0,36,36,0,0,18,0,0,7,0,2,4,2,8,1,1,3,10001,4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,29,0,2,4051,32,5337,55,4,1,2390,773,2755,3950,1509,11377,187,Riskware,smsreg
91288,34684,10760,45404,102972,36032,13302,10263,3038,28,1,4,1,4,25,33,13,37,4,0,0,0,138,46,0,0,0,0,0,0,0,14,11,0,4,0,0,0,10,0,173,0,0,0,55,0,0,0,118,118,0,0,55,0,0,0,0,152,138,0,0,417,416,294,191,150,126,0,0,62,0,22,0,0,0,0,0,14,0,0,20,2,0,0,28,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,14,0,0,0,0,3,0,1881,3320,3691,3612,1348,13852,186,Riskware,smsreg
121659,5416,10496,104160,85692,9532,35241,27820,7420,684,6,5,2,2,20,31,7,28,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,10,0,24,0,0,0,8,0,0,0,16,16,0,0,8,0,0,0,0,4,8,0,4,3,108,531,487,16,8,0,0,4,0,5,0,0,0,0,4,0,0,0,99,8,2,0,0,0,0,66,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,405853,356,20594,320,4,0,662,1516,2672,2477,1888,9215,185,Riskware,wapron
103934,5252,10568,81972,73560,13968,38788,31407,7380,700,5,11,8,2,20,39,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,6,0,76,1,0,1,1,0,0,0,0,75,12,12,1,0,0,0,0,4,8,0,14,0,0,10,10,15,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,148,75,1,0,0,0,0,0,12,0,1,1236,18,3168,18,4,0,3383,948,2972,1575,2768,11646,189,Riskware,smsreg
59253,7872,10700,37156,92676,12328,20331,16946,3384,68,3,4,1,2,11,30,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,21,9,0,0,0,2,0,4,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,8572,74,10876,86,4,0,2329,1511,739,7212,2058,13849,189,Riskware,smsreg
