Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadData,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertOrThrow,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SMS_android.telephony.SmsManager_sendTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccountsByType,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_error,Logcat_warning,Logcat_info,Logcat_debug,Logcat_verbose,Logcat_total,Process_total,Category,Family
81044,16368,10748,55424,106144,17332,25687,19406,6280,408,12,8,5,4,28,37,8,34,2,0,0,0,0,0,0,0,0,1,0,0,0,1,19,0,0,6,5,7,7,7,14,0,0,0,0,0,4,0,14,13,2,8,2,0,2,2,2,0,4,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,6,0,691,1936,5512,3016,310,11465,192,Trojan_Banker,minimob
31283,3584,12572,23432,67952,3596,8926,4887,4038,0,0,4,0,2,2,23,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2055,5177,123,2207,1353,10915,193,Trojan_Banker,marcher
90968,23040,10964,59228,93460,24404,36799,29019,7779,294,1,5,0,4,24,34,14,66,2,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,26,25,24,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,30,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,1,0,0,0,0,3,1,1576,2675,203,2815,751,8020,193,Trojan_Banker,svpeng
94734,40716,12720,41356,106120,42284,24464,19168,5295,34,2,5,1,4,29,31,8,34,2,0,1,0,0,18,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,95,1,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,100,0,0,0,18,0,5,0,0,0,0,3,0,2435,197,2349,746,5580,11307,193,Trojan_Banker,faketoken
40054,1120,10216,34704,72796,1128,14167,11963,2203,12,0,8,2,2,12,30,4,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,14,0,1,0,0,0,0,2,2,584,3157,2506,2544,118,8909,195,Trojan_Banker,zitmo
85408,7552,9704,69544,83224,7960,30427,22946,7480,210,2,4,1,6,29,33,18,42,2,0,0,13,28,0,0,0,0,1,0,0,0,0,7,0,2,8,2,10,5,0,5,0,0,3,0,0,2,0,12,11,9,14,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,172,0,0,0,0,0,0,0,2,0,0,0,11,3,1,0,0,0,0,7,0,5985,111,2604,512,3513,12725,193,Trojan_Banker,minimob
94384,40848,12648,41588,103632,42396,24440,19305,5134,34,2,5,1,4,32,34,8,34,4,0,1,0,0,23,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,171,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,0,0,18,0,0,0,0,0,0,0,0,0,180,0,0,0,28,0,9,0,0,0,0,2,0,2402,815,8185,213,2516,14131,192,Trojan_Banker,faketoken
89075,35592,12672,41092,110424,37268,24438,19384,5053,34,2,5,1,4,32,33,8,34,3,0,1,0,0,20,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,152,1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0,0,0,0,0,160,0,0,0,25,0,8,0,0,0,0,2,0,225,2494,2379,8820,734,14652,191,Trojan_Banker,faketoken
94068,41108,12816,41152,98156,42688,24440,18978,5461,34,2,5,1,4,34,33,8,32,4,0,1,0,0,28,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,228,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,13,0,0,0,0,24,0,0,0,0,0,0,0,0,0,240,0,0,0,37,0,12,0,0,0,0,2,0,293,2948,3920,788,1917,9866,191,Trojan_Banker,faketoken
111035,23692,10684,78372,87352,24920,39778,29036,10741,143,5,7,4,4,33,35,9,37,2,0,2,6,2,0,0,6,0,1,0,0,0,0,47,0,0,0,40,7,7,0,7,33,33,40,0,0,2,0,19,19,2,2,1,0,4,5,1,2,0,6,0,0,0,0,0,0,0,10,0,0,0,0,2,0,172,6,6,0,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,7,0,631,3810,3140,2039,409,10029,191,Trojan_Banker,minimob
