Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Process_android.app.ActivityManager_killBackgroundProcesses,API_Process_android.os.Process_killProcess,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.content.ContextWrapper_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_deleteDatabase,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getNetworkId,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.app.NotificationManager_notify,API_SystemManager_android.telephony.TelephonyManager_listen,API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,API_SMS_android.telephony.SmsManager_sendTextMessage,API_SMS_android.telephony.SmsManager_sendMultipartTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.accounts.AccountManager_getAccounts,API_DeviceData_android.media.AudioRecord_startRecording,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_warning,Logcat_verbose,Logcat_debug,Logcat_info,Logcat_error,Logcat_total,Process_total,Category,Family
125915,11468,9628,103492,70364,12812,38057,28172,9884,61,7,8,2,4,32,39,39,75,0,2,0,0,0,36,13,0,0,0,0,41,0,12,4,0,0,18,0,44,0,0,30,0,4,2,12,14,0,0,15,0,0,5,0,4,8,5,4,60,60,287,147,32,60,30,6,6,2,36,0,0,0,2,4,6,4,111,40,6,2,2,144,24,0,0,0,0,0,0,0,3,10,0,0,0,0,39,1,1,72773,429,126872,546,4,3,2040,1510,3280,5143,614,12587,188,Trojan_Dropper,ztorg
45856,6528,10240,31620,74860,6540,15175,11717,3457,11,1,5,1,2,11,28,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,8,0,2,0,0,0,0,3,1,1510,3102,5783,1815,906,13116,188,Trojan_Dropper,locker
94775,2320,9808,88272,47940,2344,42850,17975,24874,0,0,7,0,4,11,29,11,43,0,0,0,0,0,33,12,0,0,0,0,21,0,5,2,0,0,20,0,53,0,0,36,0,0,0,17,17,0,0,18,0,0,6,2,4,8,8,2,55,55,223,130,29,68,24,4,2,0,35,0,0,0,10,0,4,0,92,27,12,2,2,132,22,0,1,0,0,0,0,0,3,0,0,0,0,0,40,1,1,271050,534,119279,603,3,3,2673,894,4573,1507,1988,11635,190,Trojan_Dropper,ztorg
57447,4432,10956,43644,94712,4448,13257,11104,2152,7,1,5,1,2,11,29,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,130,2,2,73,0,57,57,0,57,15,15,73,1,0,20,0,15,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,15,0,0,5280,88,5,1,5039,1512,1661,494,1826,10532,188,Trojan_Dropper,hqwar
36581,2668,11216,28328,85144,2672,8068,5812,2255,16,0,5,1,2,3,24,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,64,0,0,32,0,32,32,0,32,0,0,32,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,0,9,0,0,0,0,4,0,1052,2431,2036,2603,1518,9640,187,Trojan_Dropper,hqwar
108198,32892,10744,65768,82288,34396,36681,27367,9313,27,2,7,3,4,35,39,12,51,3,0,1,0,0,0,0,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,23,3,2,0,0,189,103,8,0,0,0,2,0,4,0,0,0,0,0,1,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,0,1,9849197,7502,232771,4243,3,1,1295,1508,1750,3059,2613,10225,188,Trojan_Dropper,ztorg
132383,6372,9712,118604,61688,6916,45783,29392,16390,126,6,11,5,5,19,38,14,51,0,2,0,0,0,66,23,0,0,0,0,41,0,20,4,0,0,20,0,44,0,0,30,0,0,0,14,14,0,0,15,0,0,5,0,4,8,7,6,110,110,347,177,43,82,50,6,6,2,48,0,0,0,2,4,6,4,151,40,7,2,2,264,44,0,0,0,0,0,0,0,3,0,0,0,0,0,40,1,1,101550,645,207238,788,3,3,3086,2290,1469,2625,740,10210,191,Trojan_Dropper,ztorg
46038,1852,10388,38084,46232,2700,17380,13363,4016,37,4,8,3,2,14,30,7,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,3,1,1971,675,3059,1534,2835,10074,188,Trojan_Dropper,locker
62819,1364,10940,54560,59868,2632,30312,23118,7193,77,10,7,2,2,25,32,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,3,1,919,1489,2359,1679,2876,9322,189,Trojan_Dropper,locker
94577,26760,9808,56180,80576,27484,22160,16847,5312,9,1,6,1,7,12,32,11,44,0,1,0,0,0,150,63,0,0,0,0,71,22,49,26,0,0,16,0,156,0,0,105,0,0,0,50,51,0,0,52,0,0,38,0,50,100,10,4,355,351,819,489,210,426,148,64,76,26,225,12,0,0,14,114,52,28,226,20,17,24,24,927,88,0,0,0,0,0,0,0,36,0,0,0,0,0,302,13,12,253627,1501,442964,1724,5,4,3573,5289,1147,1509,3294,14812,187,Trojan_Dropper,ztorg
