Memory_PssTotal,Memory_PssClean,Memory_SharedDirty,Memory_PrivateDirty,Memory_SharedClean,Memory_PrivateClean,Memory_HeapSize,Memory_HeapAlloc,Memory_HeapFree,Memory_Views,Memory_ViewRootImpl,Memory_AppContexts,Memory_Activities,Memory_Assets,Memory_LocalBinders,Memory_ProxyBinders,Memory_ParcelMemory,Memory_ParcelCount,Memory_DeathRecipients,Memory_OpenSSLSockets,Memory_WebViews,API_Command_java.lang.Runtime_exec,API_Command_java.lang.ProcessBuilder_start,API_WebView_android.webkit.WebView_loadUrl,API_WebView_android.webkit.WebView_loadDataWithBaseURL,API_WebView_android.webkit.WebView_addJavascriptInterface,API_WebView_android.webkit.WebView_evaluateJavascript,API_WebView_android.webkit.WebView_setWebContentsDebuggingEnabled,API_FileIO_libcore.io.IoBridge_open,API_FileIO_android.content.ContextWrapper_openFileInput,API_FileIO_android.content.ContextWrapper_openFileOutput,API_FileIO_android.content.ContextWrapper_deleteFile,API_Database_android.content.ContextWrapper_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_getPath,API_Database_android.database.sqlite.SQLiteDatabase_insert,API_Database_android.database.sqlite.SQLiteDatabase_insertWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_openDatabase,API_Database_android.database.sqlite.SQLiteDatabase_openOrCreateDatabase,API_Database_android.database.sqlite.SQLiteDatabase_query,API_Database_android.database.sqlite.SQLiteDatabase_queryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_rawQuery,API_Database_android.database.sqlite.SQLiteDatabase_rawQueryWithFactory,API_Database_android.database.sqlite.SQLiteDatabase_update,API_Database_android.database.sqlite.SQLiteDatabase_updateWithOnConflict,API_Database_android.database.sqlite.SQLiteDatabase_compileStatement,API_IPC_android.content.ContextWrapper_sendBroadcast,API_IPC_android.content.ContextWrapper_startActivity,API_IPC_android.content.ContextWrapper_startService,API_IPC_android.content.ContextWrapper_stopService,API_IPC_android.content.ContextWrapper_registerReceiver,API_Binder_android.app.ContextImpl_registerReceiver,API_Binder_android.app.ActivityThread_handleReceiver,API_Binder_android.app.Activity_startActivity,API_Crypto_javax.crypto.spec.SecretKeySpec_$init,API_Crypto_javax.crypto.Cipher_doFinal,API_Crypto-Hash_java.security.MessageDigest_digest,API_Crypto-Hash_java.security.MessageDigest_update,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,API_DeviceInfo_android.telephony.TelephonyManager_getLine1Number,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperator,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkOperatorName,API_DeviceInfo_android.telephony.TelephonyManager_getSimOperatorName,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.net.wifi.WifiInfo_getBSSID,API_DeviceInfo_android.net.wifi.WifiInfo_getIpAddress,API_DeviceInfo_android.telephony.TelephonyManager_getSimCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getSimSerialNumber,API_DeviceInfo_android.telephony.TelephonyManager_getNetworkCountryIso,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceSoftwareVersion,API_DeviceInfo_android.os.Debug_isDebuggerConnected,API_Network_java.net.URL_openConnection,API_Network_com.android.okhttp.internal.huc.HttpURLConnectionImpl_getInputStream,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResource,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findResources,API_DexClassLoader_dalvik.system.BaseDexClassLoader_findLibrary,API_DexClassLoader_dalvik.system.DexClassLoader_$init,API_Base64_android.util.Base64_decode,API_Base64_android.util.Base64_encode,API_Base64_android.util.Base64_encodeToString,API_SystemManager_android.app.ApplicationPackageManager_setComponentEnabledSetting,API_SystemManager_android.telephony.TelephonyManager_listen,API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,API_SMS_android.telephony.SmsManager_sendTextMessage,API_SMS_android.telephony.SmsManager_sendMultipartTextMessage,API_DeviceData_android.content.ContentResolver_query,API_DeviceData_android.content.ContentResolver_registerContentObserver,API_DeviceData_android.content.ContentResolver_insert,API_DeviceData_android.content.ContentResolver_delete,API_DeviceData_android.os.SystemProperties_get,API_DeviceData_android.app.ApplicationPackageManager_getInstalledPackages,API__sessions,Network_TotalReceivedBytes,Network_TotalReceivedPackets,Network_TotalTransmittedBytes,Network_TotalTransmittedPackets,Battery_wakelock,Battery_service,Logcat_debug,Logcat_verbose,Logcat_error,Logcat_info,Logcat_warning,Logcat_total,Process_total,Category,Family
45844,688,11252,41160,76020,692,7938,5996,1941,0,0,4,0,2,3,23,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,2,0,3605,111,701,4761,1549,10727,192,Trojan_Spy,smsthief
43473,716,11164,38624,78264,720,7925,6241,1683,0,0,4,0,2,3,23,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,2,0,3230,116,3039,1844,1050,9279,190,Trojan_Spy,smsthief
136321,656,10712,129448,97528,668,77316,61719,15596,21,1,6,1,2,11,29,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,36,0,36,36,0,36,0,0,36,0,0,16,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,0,0,0,0,3,1,3199,153,761,2026,3113,9252,191,Trojan_Spy,sandr
88276,18176,8364,40640,133380,24400,29683,25391,4291,116,4,6,3,4,37,38,15,55,3,0,1,0,0,6,4,5,0,0,4,4,14,0,0,0,4,0,0,2,0,2,2,0,2,2,2,2,0,0,4,0,60,66,6,4,4,4,61,39,24,26,4,12,0,0,6,0,0,0,6,5,0,0,3,3,4,0,6,2,0,4,4,0,4,0,0,0,0,60,0,0,12,0,2,19297,97,16788,185,4,0,882,2247,128,1694,3081,8032,192,Trojan_Spy,smforw
32584,1116,11108,27076,84516,1128,7963,6117,1845,5,1,5,1,2,7,25,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,2,0,6294,3037,945,1872,188,12336,198,Trojan_Spy,smsthief
45943,1028,11244,40060,80624,1032,7922,5988,1933,0,0,4,0,2,3,23,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,2,0,120,682,5243,1992,3298,11335,193,Trojan_Spy,smsthief
36692,2148,11044,29040,85820,2160,9976,6828,3147,0,0,4,0,2,3,23,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,2,0,0,0,0,2,0,5330,775,3487,124,1783,11499,192,Trojan_Spy,smsthief
45534,756,11252,40860,76256,760,7927,6253,1673,0,0,4,0,2,3,23,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,2,0,1858,3670,121,4077,762,10488,190,Trojan_Spy,smsthief
115714,23432,9808,85220,70116,24404,44153,38469,5683,61,5,6,1,4,25,32,10,42,2,0,3,0,0,18,0,1,0,1,1,0,0,0,0,0,30,0,0,20,0,20,10,0,10,0,0,10,0,0,2,0,37,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,22,0,0,16,0,1,1417,5,1281,6,3,1,2784,909,116,1789,3657,9255,193,Trojan_Spy,sandr
74784,11668,8328,39476,121780,13920,28534,24500,4033,46,2,6,3,4,33,38,15,57,3,0,1,0,0,1,1,1,0,0,1,2,8,0,0,0,2,0,0,1,0,1,1,0,1,1,1,1,0,0,2,0,27,31,6,2,2,2,10,10,13,14,2,6,0,0,3,0,0,0,4,1,0,0,2,2,2,0,3,1,0,1,1,0,2,0,0,0,0,20,0,0,6,0,1,3472,32,7605,73,3,0,2440,1165,535,100,1637,5877,191,Trojan_Spy,smforw
74737,11584,10552,53072,92676,14372,37513,30021,7491,178,8,5,2,4,37,41,26,47,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,26,0,0,5,0,1,4420,9,1240,10,2,0,672,2905,5223,204,2042,11046,194,Trojan_Spy,smforw
41723,2800,12248,32868,75044,2808,15119,10261,4857,5,1,5,1,2,7,26,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,26,0,5,0,0,0,0,2,0,2938,644,2676,4372,250,10880,193,Trojan_Spy,qqspy
38326,368,10200,33584,69932,376,10067,6749,3317,7,0,5,1,2,5,25,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,33,0,1,0,0,0,0,2,0,109,1708,839,3789,3346,9791,193,Trojan_Spy,smsthief
31596,720,11164,26360,83744,728,7955,6054,1900,5,0,5,1,2,6,25,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,0,0,2,0,2627,3796,148,746,1960,9277,199,Trojan_Spy,smsthief
60663,1288,10792,53248,91432,1312,29139,20813,8325,42,2,7,2,3,19,29,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,2,24,0,22,22,0,22,0,0,24,0,0,9,0,14,28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,13926,210,3,1,799,3459,1961,112,1381,7712,190,Trojan_Spy,sandr
47341,852,11128,42388,76644,856,7938,5914,2023,0,0,4,0,2,3,23,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,2,0,4390,888,1583,4820,119,11800,193,Trojan_Spy,smsthief
40449,888,11224,34924,81088,892,7920,6091,1828,0,0,4,0,2,3,23,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,2,0,1439,2828,2852,929,126,8174,195,Trojan_Spy,smsthief
46975,1244,11196,41728,77116,1252,9977,6349,3627,0,0,4,0,2,3,23,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,2,0,1600,777,4197,2867,121,9562,190,Trojan_Spy,smsthief
