round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.519065,0.354058,0.729500,0.184615,0.000000,0.305556,0.569343,0.463265,0.506494,0.463872,0.000000,0.336570,0.689487,0.000000,0.707495,0.209302,0.000000,0.362637,0.520000,0.754153,0.565217,0.341765,0.000000,0.320988,0.621145,0.000000,0.752918,0.165138,0.000000,0.264000,0.629032,0.334315,0.458824,0.721739,0.000000,0.353741,0.774725,0.000000
2,warmup,0.707671,0.442845,0.906965,0.381625,0.000000,0.483146,0.652778,0.779108,0.477273,0.671259,0.000000,0.268657,0.683983,0.009346,0.908293,0.310345,0.000000,0.372294,0.706767,0.767691,0.351955,0.676768,0.000000,0.500000,0.564286,0.166667,0.905642,0.495413,0.000000,0.688000,0.606452,0.790869,0.741176,0.665839,0.000000,0.183673,0.868132,0.004808
3,warmup,0.770540,0.524985,0.952151,0.483333,0.000000,0.614865,0.716981,0.825681,0.589372,0.752305,0.000000,0.376682,0.729064,0.259386,0.946206,0.442748,0.000000,0.532164,0.765568,0.804895,0.500000,0.744526,0.000000,0.552632,0.660714,0.447059,0.958171,0.532110,0.000000,0.728000,0.674194,0.847570,0.717647,0.760248,0.000000,0.285714,0.813187,0.182692
4,warmup,0.788470,0.564832,0.965015,0.495868,0.062500,0.613718,0.710120,0.842932,0.693642,0.802974,0.067797,0.372294,0.719048,0.432071,0.964078,0.451128,0.125000,0.559211,0.758242,0.856383,0.681818,0.800989,0.058824,0.511905,0.634454,0.402490,0.965953,0.550459,0.041667,0.680000,0.667742,0.829897,0.705882,0.804969,0.080000,0.292517,0.829670,0.466346
5,warmup,0.813890,0.605149,0.974806,0.532189,0.114286,0.635036,0.753205,0.857469,0.777143,0.819771,0.033898,0.486056,0.749354,0.528571,0.971042,0.500000,0.181818,0.583893,0.748408,0.886096,0.755556,0.796253,0.029412,0.586538,0.707317,0.523585,0.978599,0.568807,0.083333,0.696000,0.758065,0.830633,0.800000,0.844720,0.040000,0.414966,0.796703,0.533654
6,warmup,0.817068,0.607872,0.977692,0.501901,0.142857,0.599251,0.722496,0.873905,0.831325,0.844839,0.031746,0.465950,0.732240,0.570265,0.974855,0.428571,0.166667,0.563380,0.735786,0.905288,0.851852,0.861757,0.026316,0.492424,0.728261,0.494700,0.980545,0.605505,0.125000,0.640000,0.709677,0.844624,0.811765,0.828571,0.040000,0.442177,0.736264,0.673077
7,warmup,0.825011,0.619643,0.982456,0.492647,0.136364,0.605839,0.697218,0.886590,0.830409,0.859740,0.060606,0.529032,0.760108,0.594705,0.984375,0.411043,0.150000,0.557047,0.707641,0.924121,0.825581,0.900680,0.048780,0.503067,0.746032,0.515901,0.980545,0.614679,0.125000,0.664000,0.687097,0.851988,0.835294,0.822360,0.080000,0.557823,0.774725,0.701923
8,warmup,0.851339,0.658333,0.981995,0.528926,0.222222,0.630037,0.757216,0.906132,0.858824,0.888615,0.136986,0.563380,0.776536,0.649123,0.982473,0.481203,0.238095,0.581081,0.799283,0.932243,0.858824,0.880488,0.104167,0.583942,0.789773,0.596774,0.981518,0.587156,0.208333,0.688000,0.719355,0.881443,0.858824,0.896894,0.200000,0.544218,0.763736,0.711538
9,warmup,0.859283,0.663681,0.982456,0.533898,0.217391,0.651341,0.754266,0.918225,0.837209,0.896596,0.135135,0.585859,0.770083,0.681716,0.984375,0.496063,0.227273,0.625000,0.800725,0.914536,0.827586,0.928191,0.102041,0.580000,0.776536,0.642553,0.980545,0.577982,0.208333,0.680000,0.712903,0.921944,0.847059,0.867081,0.200000,0.591837,0.763736,0.725962
10,warmup,0.866319,0.674690,0.982490,0.554622,0.208333,0.664234,0.758389,0.927547,0.839080,0.895311,0.171429,0.581315,0.795580,0.717949,0.982490,0.511628,0.208333,0.610738,0.790210,0.926525,0.820225,0.926862,0.133333,0.591549,0.800000,0.696833,0.982490,0.605505,0.208333,0.728000,0.729032,0.928571,0.858824,0.865839,0.240000,0.571429,0.791209,0.740385
11,warmup,0.874035,0.692291,0.983018,0.544000,0.297872,0.676471,0.765009,0.933284,0.847059,0.912060,0.225352,0.571429,0.798883,0.753056,0.980639,0.482270,0.304348,0.625850,0.816850,0.939552,0.847059,0.922490,0.173913,0.558442,0.812500,0.766169,0.985409,0.623853,0.291667,0.736000,0.719355,0.927099,0.847059,0.901863,0.320000,0.585034,0.785714,0.740385
12,warmup,0.877440,0.693463,0.983495,0.469027,0.339623,0.646667,0.791594,0.937386,0.842105,0.916300,0.231884,0.605442,0.796610,0.761421,0.981589,0.452991,0.310345,0.554286,0.865900,0.932265,0.837209,0.928571,0.181818,0.605442,0.819767,0.806452,0.985409,0.486239,0.375000,0.776000,0.729032,0.942563,0.847059,0.904348,0.320000,0.605442,0.774725,0.721154
13,warmup,0.880844,0.709522,0.985002,0.532189,0.407407,0.669039,0.782895,0.937921,0.838323,0.915423,0.246154,0.629508,0.813370,0.757033,0.979788,0.500000,0.366667,0.602564,0.798658,0.952888,0.853659,0.916563,0.200000,0.607595,0.824859,0.808743,0.990272,0.568807,0.458333,0.752000,0.767742,0.923417,0.823529,0.914286,0.320000,0.653061,0.802198,0.711538
14,warmup,0.884930,0.720668,0.983543,0.581673,0.406780,0.704981,0.785592,0.941563,0.860465,0.914213,0.275862,0.641115,0.802228,0.750000,0.978805,0.514085,0.342857,0.676471,0.838828,0.934058,0.850575,0.943197,0.242424,0.657143,0.813559,0.750000,0.988327,0.669725,0.500000,0.736000,0.738710,0.949190,0.870588,0.886957,0.320000,0.625850,0.791209,0.750000
15,warmup,0.886064,0.721205,0.982558,0.588679,0.385965,0.690196,0.797227,0.940196,0.842105,0.916667,0.301887,0.652482,0.794595,0.761905,0.978764,0.500000,0.333333,0.676923,0.861423,0.925767,0.837209,0.947020,0.285714,0.681481,0.781915,0.795812,0.986381,0.715596,0.458333,0.704000,0.741935,0.955081,0.847059,0.888199,0.320000,0.625850,0.807692,0.730769
16,warmup,0.894235,0.730891,0.984930,0.598361,0.392857,0.691176,0.819835,0.945776,0.872093,0.927227,0.296296,0.644444,0.813187,0.784504,0.984451,0.540741,0.343750,0.639456,0.840678,0.947524,0.862069,0.936629,0.275862,0.707317,0.813187,0.790244,0.985409,0.669725,0.458333,0.752000,0.800000,0.944035,0.882353,0.918012,0.320000,0.591837,0.813187,0.778846
17,warmup,0.896278,0.734591,0.986421,0.562212,0.392857,0.666667,0.823920,0.947832,0.858824,0.926738,0.352941,0.690647,0.815217,0.790816,0.983559,0.564815,0.343750,0.575581,0.849315,0.945748,0.858824,0.934343,0.346154,0.732824,0.806452,0.842391,0.989300,0.559633,0.458333,0.792000,0.800000,0.949926,0.858824,0.919255,0.360000,0.653061,0.824176,0.745192
18,warmup,0.896732,0.742572,0.984973,0.601695,0.385965,0.716418,0.816529,0.948170,0.878613,0.916720,0.367347,0.678445,0.811111,0.804878,0.981643,0.559055,0.333333,0.671329,0.837288,0.933619,0.863636,0.954301,0.375000,0.705882,0.820225,0.816832,0.988327,0.651376,0.458333,0.768000,0.796774,0.963181,0.894118,0.881988,0.360000,0.653061,0.802198,0.793269
19,warmup,0.900817,0.745777,0.985437,0.612245,0.400000,0.709924,0.831683,0.951994,0.869048,0.926434,0.357143,0.683274,0.815217,0.806931,0.983527,0.551471,0.384615,0.678832,0.851351,0.954815,0.879518,0.929912,0.322581,0.716418,0.806452,0.831633,0.987354,0.688073,0.416667,0.744000,0.812903,0.949190,0.858824,0.922981,0.400000,0.653061,0.824176,0.783654
20,warmup,0.902633,0.748659,0.984496,0.575221,0.440000,0.720000,0.844741,0.952971,0.870588,0.931143,0.363636,0.684932,0.811111,0.805063,0.980695,0.555556,0.423077,0.660000,0.875433,0.943682,0.870588,0.947301,0.333333,0.689655,0.820225,0.850267,0.988327,0.596330,0.458333,0.792000,0.816129,0.962445,0.870588,0.915528,0.400000,0.680272,0.802198,0.764423
21,phase2,0.884930,0.717394,0.981571,0.554455,0.380952,0.687259,0.779605,0.945995,0.904762,0.918850,0.292683,0.638554,0.771513,0.752525,0.978723,0.602151,0.444444,0.664179,0.795302,0.931478,0.915663,0.946053,0.210526,0.572973,0.838710,0.792553,0.984436,0.513761,0.333333,0.712000,0.764516,0.960972,0.894118,0.893168,0.480000,0.721088,0.714286,0.716346
22,phase2,0.898547,0.749255,0.984900,0.611570,0.444444,0.733591,0.804674,0.948576,0.887574,0.930969,0.363636,0.671186,0.817481,0.792453,0.986341,0.556391,0.476190,0.708955,0.833910,0.953160,0.892857,0.949612,0.333333,0.668919,0.768116,0.777778,0.983463,0.678899,0.416667,0.760000,0.777419,0.944035,0.882353,0.913043,0.400000,0.673469,0.873626,0.807692
23,phase2,0.908988,0.769057,0.984556,0.642534,0.468085,0.734848,0.839744,0.952205,0.896552,0.931818,0.392157,0.704225,0.842932,0.839024,0.977011,0.633929,0.478261,0.697842,0.834395,0.958240,0.876404,0.947368,0.384615,0.729927,0.805000,0.851485,0.992218,0.651376,0.458333,0.776000,0.845161,0.946244,0.917647,0.916770,0.400000,0.680272,0.884615,0.826923
24,phase2,0.900817,0.761253,0.983543,0.638132,0.454545,0.730038,0.829103,0.948333,0.867052,0.914211,0.392157,0.732877,0.860825,0.784223,0.978805,0.554054,0.500000,0.695652,0.871886,0.943837,0.852273,0.966759,0.384615,0.737931,0.810680,0.757848,0.988327,0.752294,0.416667,0.768000,0.790323,0.952872,0.882353,0.867081,0.400000,0.727891,0.917582,0.812500
25,phase2,0.916931,0.785381,0.984481,0.683333,0.577778,0.738806,0.854271,0.956969,0.878613,0.941620,0.352941,0.741007,0.854111,0.860636,0.981625,0.625954,0.619048,0.692308,0.888502,0.955915,0.863636,0.951777,0.346154,0.786260,0.825641,0.875622,0.987354,0.752294,0.541667,0.792000,0.822581,0.958027,0.894118,0.931677,0.360000,0.700680,0.884615,0.846154
26,phase2,0.921698,0.788389,0.984436,0.719008,0.500000,0.738806,0.865320,0.960849,0.880000,0.943849,0.363636,0.768116,0.875332,0.861314,0.984436,0.654135,0.625000,0.692308,0.904930,0.954909,0.855556,0.958974,0.333333,0.821705,0.846154,0.871921,0.984436,0.798165,0.416667,0.792000,0.829032,0.966863,0.905882,0.929193,0.400000,0.721088,0.906593,0.850962
27,phase2,0.916704,0.787839,0.985847,0.684825,0.489796,0.746377,0.860972,0.952665,0.895349,0.944131,0.416667,0.772414,0.859416,0.845606,0.989226,0.594595,0.480000,0.682119,0.895470,0.964528,0.885057,0.954315,0.434783,0.783217,0.830769,0.835681,0.982490,0.807339,0.500000,0.824000,0.829032,0.941090,0.905882,0.934161,0.400000,0.761905,0.890110,0.855769
28,phase2,0.922152,0.800318,0.985805,0.689922,0.558140,0.766917,0.863636,0.958318,0.899408,0.946768,0.415094,0.788927,0.871658,0.859223,0.992118,0.597315,0.631579,0.723404,0.869281,0.960089,0.904762,0.966365,0.392857,0.802817,0.848958,0.867647,0.979572,0.816514,0.500000,0.816000,0.858065,0.956554,0.894118,0.927950,0.440000,0.775510,0.895604,0.850962
