round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.336586,0.197207,0.171629,0.000000,0.000000,0.297436,0.339223,0.338076,0.162602,0.425568,0.000000,0.112195,0.519757,0.000000,0.859649,0.000000,0.000000,0.414286,0.375000,0.744361,0.263158,0.274801,0.000000,0.087452,0.359244,0.000000,0.095331,0.000000,0.000000,0.232000,0.309677,0.218704,0.117647,0.942857,0.000000,0.156463,0.939560,0.000000
2,warmup,0.620744,0.404010,0.753086,0.330357,0.000000,0.520900,0.628895,0.746867,0.565022,0.396767,0.000000,0.203704,0.650794,0.051724,0.624041,0.321739,0.000000,0.435484,0.560606,0.862934,0.456522,0.485612,0.000000,0.318841,0.509317,0.250000,0.949416,0.339450,0.000000,0.648000,0.716129,0.658321,0.741176,0.335404,0.000000,0.149660,0.901099,0.028846
3,warmup,0.766228,0.525042,0.921919,0.396552,0.000000,0.622951,0.684932,0.846154,0.620690,0.760074,0.062500,0.375510,0.714932,0.294294,0.892532,0.373984,0.000000,0.527778,0.648415,0.885668,0.533898,0.758663,0.142857,0.469388,0.607692,0.392000,0.953307,0.422018,0.000000,0.760000,0.725806,0.810015,0.741176,0.761491,0.040000,0.312925,0.868132,0.235577
4,warmup,0.798684,0.550416,0.962891,0.382979,0.080000,0.598071,0.739414,0.867283,0.666667,0.822208,0.000000,0.404858,0.728972,0.351648,0.966667,0.357143,1.000000,0.500000,0.746711,0.870824,0.590909,0.825815,0.000000,0.500000,0.634146,0.410256,0.959144,0.412844,0.041667,0.744000,0.732258,0.863770,0.764706,0.818634,0.000000,0.340136,0.857143,0.307692
5,warmup,0.818656,0.573904,0.964988,0.425339,0.055556,0.628378,0.746457,0.885393,0.754286,0.854658,0.000000,0.413502,0.725995,0.432292,0.951750,0.419643,0.083333,0.543860,0.729231,0.900915,0.733333,0.854658,0.000000,0.544444,0.632653,0.471591,0.978599,0.431193,0.041667,0.744000,0.764516,0.870398,0.776471,0.854658,0.000000,0.333333,0.851648,0.399038
6,warmup,0.835452,0.607839,0.975752,0.486486,0.136364,0.632219,0.751304,0.908758,0.802395,0.869788,0.044444,0.423792,0.729114,0.533654,0.972921,0.477876,0.150000,0.509804,0.815094,0.904449,0.817073,0.899204,0.050000,0.467213,0.676056,0.533654,0.978599,0.495413,0.125000,0.832000,0.696774,0.913108,0.788235,0.842236,0.040000,0.387755,0.791209,0.533654
7,warmup,0.847708,0.628744,0.974359,0.511013,0.139535,0.633333,0.779772,0.914886,0.819277,0.888325,0.035714,0.503759,0.746736,0.598214,0.969201,0.491525,0.157895,0.542857,0.788779,0.932009,0.839506,0.907912,0.032258,0.563025,0.711443,0.558333,0.979572,0.532110,0.125000,0.760000,0.770968,0.898380,0.800000,0.869565,0.040000,0.455782,0.785714,0.644231
8,warmup,0.865184,0.665207,0.973468,0.551724,0.153846,0.673993,0.794069,0.929851,0.857143,0.899312,0.178571,0.541176,0.762667,0.666667,0.965550,0.520325,0.142857,0.621622,0.811448,0.942511,0.833333,0.905542,0.161290,0.638889,0.740933,0.638767,0.981518,0.587156,0.166667,0.736000,0.777419,0.917526,0.882353,0.893168,0.200000,0.469388,0.785714,0.697115
9,warmup,0.876305,0.675219,0.981022,0.482143,0.139535,0.699248,0.798722,0.940916,0.840237,0.915572,0.258065,0.574803,0.774373,0.697987,0.981500,0.469565,0.157895,0.659574,0.791139,0.943704,0.845238,0.921914,0.216216,0.682243,0.785311,0.652720,0.980545,0.495413,0.125000,0.744000,0.806452,0.938144,0.835294,0.909317,0.320000,0.496599,0.763736,0.750000
10,warmup,0.883114,0.695024,0.979813,0.556962,0.200000,0.682927,0.820428,0.942315,0.862275,0.922215,0.240000,0.631206,0.790055,0.712088,0.992024,0.515625,0.250000,0.604938,0.838384,0.952596,0.878049,0.923940,0.240000,0.659259,0.794444,0.655870,0.967899,0.605505,0.166667,0.784000,0.803226,0.932253,0.847059,0.920497,0.240000,0.605442,0.785714,0.778846
