round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.394916,0.241654,0.528017,0.232558,0.000000,0.312195,0.406143,0.361679,0.343096,0.014742,0.000000,0.025000,0.580122,0.096296,0.360627,0.182292,0.000000,0.400000,0.431159,0.672000,0.266234,0.666667,0.000000,0.153846,0.459807,0.209677,0.985409,0.321101,0.000000,0.256000,0.383871,0.247423,0.482353,0.007453,0.000000,0.013605,0.785714,0.062500
2,warmup,0.650704,0.448222,0.799516,0.355769,0.000000,0.539877,0.691275,0.711822,0.622807,0.514357,0.000000,0.337778,0.682008,0.123457,0.682977,0.373737,0.000000,0.437811,0.720280,0.830226,0.496503,0.516939,0.000000,0.487179,0.550676,0.428571,0.964008,0.339450,0.000000,0.704000,0.664516,0.622975,0.835294,0.511801,0.000000,0.258503,0.895604,0.072115
3,warmup,0.765320,0.534097,0.935904,0.402062,0.102564,0.606232,0.707143,0.829947,0.702222,0.745455,0.064516,0.378378,0.711009,0.223729,0.927412,0.458824,0.133333,0.469298,0.792000,0.804423,0.564286,0.780952,0.166667,0.437500,0.610236,0.379310,0.944553,0.357798,0.083333,0.856000,0.638710,0.857143,0.929412,0.713043,0.040000,0.333333,0.851648,0.158654
4,warmup,0.807535,0.586341,0.958917,0.439024,0.000000,0.648649,0.738411,0.858744,0.831461,0.818800,0.054054,0.521173,0.765743,0.401114,0.952930,0.468750,0.000000,0.519231,0.758503,0.871775,0.795699,0.815271,0.083333,0.500000,0.706977,0.476821,0.964981,0.412844,0.000000,0.864000,0.719355,0.846097,0.870588,0.822360,0.040000,0.544218,0.835165,0.346154
5,warmup,0.832274,0.617989,0.971345,0.448598,0.057143,0.670927,0.727928,0.882619,0.853933,0.860790,0.060606,0.589666,0.779747,0.512563,0.969932,0.457143,0.090909,0.558511,0.824490,0.902308,0.817204,0.842857,0.125000,0.532967,0.723005,0.536842,0.972763,0.440367,0.041667,0.840000,0.651613,0.863770,0.894118,0.879503,0.040000,0.659864,0.846154,0.490385
6,warmup,0.848389,0.642576,0.972816,0.457627,0.157895,0.684039,0.756184,0.902741,0.857143,0.875921,0.060606,0.591065,0.786802,0.608076,0.970930,0.425197,0.214286,0.576923,0.835938,0.921073,0.833333,0.866343,0.125000,0.597222,0.731132,0.600939,0.974708,0.495413,0.125000,0.840000,0.690323,0.885125,0.882353,0.885714,0.040000,0.585034,0.851648,0.615385
7,warmup,0.860645,0.653216,0.974806,0.466960,0.111111,0.695364,0.784946,0.910532,0.870588,0.886121,0.060606,0.648276,0.776119,0.653165,0.971042,0.449153,0.166667,0.593220,0.883065,0.934160,0.870588,0.847900,0.125000,0.657343,0.709091,0.689840,0.978599,0.486239,0.083333,0.840000,0.706452,0.888071,0.870588,0.927950,0.040000,0.639456,0.857143,0.620192
8,warmup,0.873581,0.669764,0.978703,0.500000,0.114286,0.708772,0.806723,0.921590,0.890244,0.902500,0.062500,0.675325,0.781491,0.695035,0.973988,0.486957,0.181818,0.631250,0.842105,0.930233,0.924051,0.908176,0.142857,0.645963,0.734300,0.683721,0.983463,0.513761,0.083333,0.808000,0.774194,0.913108,0.858824,0.896894,0.040000,0.707483,0.835165,0.706731
9,warmup,0.878121,0.673729,0.982082,0.510823,0.121212,0.697509,0.800000,0.926939,0.898204,0.911565,0.062500,0.670927,0.788030,0.714953,0.977821,0.483607,0.222222,0.628205,0.867925,0.943555,0.914634,0.907635,0.142857,0.632530,0.721461,0.695455,0.986381,0.541284,0.083333,0.784000,0.741935,0.910898,0.882353,0.915528,0.040000,0.714286,0.868132,0.735577
10,warmup,0.881298,0.682569,0.982558,0.553571,0.216216,0.697183,0.803540,0.931953,0.883721,0.916201,0.055556,0.669014,0.780856,0.700461,0.978764,0.539130,0.307692,0.622642,0.890196,0.936107,0.873563,0.915633,0.090909,0.693431,0.720930,0.672566,0.986381,0.568807,0.166667,0.792000,0.732258,0.927835,0.894118,0.916770,0.040000,0.646259,0.851648,0.730769
11,warmup,0.881298,0.689631,0.982575,0.513410,0.166667,0.682759,0.793706,0.932488,0.922156,0.917189,0.150000,0.682432,0.799020,0.733167,0.977842,0.440789,0.250000,0.600000,0.866412,0.944822,0.939024,0.926489,0.200000,0.677852,0.721239,0.761658,0.987354,0.614679,0.125000,0.792000,0.732258,0.920471,0.905882,0.908075,0.120000,0.687075,0.895604,0.706731
12,warmup,0.881298,0.707229,0.981114,0.510791,0.166667,0.700000,0.810903,0.931321,0.907975,0.918612,0.346154,0.662069,0.808290,0.742857,0.976856,0.420118,0.250000,0.600000,0.859206,0.955108,0.948718,0.933333,0.333333,0.671329,0.764706,0.735849,0.985409,0.651376,0.125000,0.840000,0.767742,0.908689,0.870588,0.904348,0.360000,0.653061,0.857143,0.750000
13,warmup,0.891058,0.724108,0.983543,0.533865,0.235294,0.728625,0.823328,0.934815,0.901235,0.921120,0.333333,0.700000,0.833773,0.760369,0.978805,0.471831,0.400000,0.680556,0.879121,0.940387,0.948052,0.943937,0.411765,0.647399,0.802030,0.730088,0.988327,0.614679,0.166667,0.784000,0.774194,0.929308,0.858824,0.899379,0.280000,0.761905,0.868132,0.793269
