round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.326146,0.241763,0.486957,0.051852,0.000000,0.384181,0.290065,0.147508,0.381818,0.231579,0.000000,0.326034,0.577629,0.023529,0.398268,0.043478,0.000000,0.296943,0.187091,0.755102,0.840000,0.332558,0.000000,0.253788,0.414868,0.063830,0.626459,0.064220,0.000000,0.544000,0.645161,0.081738,0.247059,0.177640,0.000000,0.455782,0.950549,0.014423
2,warmup,0.690195,0.470509,0.868409,0.416357,0.000000,0.404444,0.708117,0.737316,0.608295,0.651190,0.000000,0.391837,0.732143,0.128000,0.821336,0.350000,0.000000,0.280000,0.762082,0.829650,0.500000,0.625143,0.000000,0.489796,0.616541,0.380952,0.921206,0.513761,0.000000,0.728000,0.661290,0.663476,0.776471,0.679503,0.000000,0.326531,0.901099,0.076923
3,warmup,0.776441,0.535087,0.927578,0.385827,0.000000,0.563636,0.734483,0.838002,0.715789,0.777389,0.000000,0.383673,0.771429,0.323232,0.914853,0.337931,0.000000,0.453659,0.788889,0.862150,0.647619,0.732162,0.000000,0.479592,0.680672,0.539326,0.940661,0.449541,0.000000,0.744000,0.687097,0.815169,0.800000,0.828571,0.000000,0.319728,0.890110,0.230769
4,warmup,0.807308,0.577189,0.954067,0.404959,0.000000,0.554348,0.758148,0.865091,0.795812,0.840149,0.129032,0.395161,0.773270,0.456233,0.938795,0.368421,0.000000,0.419753,0.809524,0.896524,0.716981,0.838072,0.333333,0.485149,0.683544,0.508876,0.969844,0.449541,0.000000,0.816000,0.712903,0.835788,0.894118,0.842236,0.080000,0.333333,0.890110,0.413462
5,warmup,0.833182,0.622309,0.966012,0.401826,0.000000,0.610592,0.794702,0.879290,0.841530,0.861818,0.210526,0.559441,0.777494,0.564477,0.950990,0.400000,0.000000,0.500000,0.816327,0.923077,0.785714,0.841420,0.307692,0.575540,0.727273,0.571429,0.981518,0.403670,0.000000,0.784000,0.774194,0.839470,0.905882,0.883230,0.160000,0.544218,0.835165,0.557692
6,warmup,0.856786,0.641504,0.978764,0.403587,0.064516,0.660000,0.808290,0.907925,0.827225,0.894515,0.173913,0.575540,0.776903,0.626866,0.971264,0.394737,0.142857,0.565714,0.869888,0.931115,0.745283,0.868852,0.190476,0.610687,0.743719,0.649485,0.986381,0.412844,0.041667,0.792000,0.754839,0.885862,0.929412,0.921739,0.160000,0.544218,0.813187,0.605769
7,warmup,0.870177,0.681395,0.979651,0.452489,0.129032,0.675768,0.825342,0.916667,0.839779,0.907522,0.341463,0.651899,0.796791,0.660333,0.975869,0.446429,0.285714,0.589286,0.879562,0.934916,0.791667,0.900857,0.437500,0.609467,0.776042,0.652582,0.983463,0.458716,0.083333,0.792000,0.777419,0.899116,0.894118,0.914286,0.280000,0.700680,0.818681,0.668269
8,warmup,0.880844,0.707020,0.980203,0.497890,0.222222,0.701754,0.820690,0.929256,0.861878,0.913750,0.390244,0.675958,0.802111,0.688279,0.973154,0.460938,0.333333,0.625000,0.881481,0.929941,0.812500,0.919497,0.500000,0.692857,0.771574,0.715026,0.987354,0.541284,0.166667,0.800000,0.767742,0.928571,0.917647,0.908075,0.320000,0.659864,0.835165,0.663462
9,warmup,0.877894,0.713112,0.980639,0.519685,0.228571,0.702509,0.826990,0.921023,0.885246,0.909535,0.400000,0.696246,0.798969,0.687927,0.975915,0.455172,0.363636,0.636364,0.891791,0.955661,0.826531,0.895307,0.533333,0.698630,0.752427,0.653680,0.985409,0.605505,0.166667,0.784000,0.770968,0.888807,0.952941,0.924224,0.320000,0.693878,0.851648,0.725962
10,warmup,0.886972,0.718658,0.983084,0.511013,0.216216,0.714801,0.833910,0.931682,0.890110,0.918654,0.409091,0.700337,0.802083,0.712919,0.976945,0.491525,0.307692,0.651316,0.899254,0.950230,0.835052,0.904819,0.473684,0.693333,0.762376,0.709524,0.989300,0.532110,0.166667,0.792000,0.777419,0.913844,0.952941,0.932919,0.360000,0.707483,0.846154,0.716346
11,warmup,0.895370,0.736806,0.984511,0.558333,0.235294,0.727273,0.840336,0.936728,0.909091,0.922889,0.439024,0.735714,0.822622,0.729858,0.979769,0.511450,0.400000,0.690647,0.877193,0.952780,0.879121,0.909530,0.562500,0.774436,0.772947,0.719626,0.989300,0.614679,0.166667,0.768000,0.806452,0.921208,0.941176,0.936646,0.360000,0.700680,0.879121,0.740385
12,warmup,0.896505,0.737860,0.982575,0.549020,0.228571,0.730038,0.840480,0.940649,0.895028,0.932246,0.465116,0.731707,0.827411,0.731481,0.977842,0.479452,0.363636,0.695652,0.897436,0.953823,0.843750,0.941698,0.555556,0.750000,0.768868,0.705357,0.987354,0.642202,0.166667,0.768000,0.790323,0.927835,0.952941,0.922981,0.400000,0.714286,0.895604,0.759615
13,warmup,0.892873,0.742297,0.984511,0.560669,0.311111,0.729825,0.849916,0.930445,0.895028,0.918591,0.428571,0.722222,0.821333,0.755344,0.979769,0.515385,0.333333,0.650000,0.890459,0.961508,0.843750,0.898930,0.529412,0.737589,0.797927,0.746479,0.989300,0.614679,0.291667,0.832000,0.812903,0.901325,0.952941,0.939130,0.360000,0.707483,0.846154,0.764423
14,warmup,0.907172,0.759360,0.984496,0.575107,0.333333,0.745247,0.849408,0.947913,0.910112,0.940513,0.461538,0.751634,0.835509,0.777506,0.980695,0.540323,0.388889,0.710145,0.893238,0.951075,0.870968,0.948232,0.642857,0.723270,0.796020,0.791045,0.988327,0.614679,0.291667,0.784000,0.809677,0.944772,0.952941,0.932919,0.360000,0.782313,0.879121,0.764423
15,warmup,0.906491,0.752478,0.986395,0.538462,0.315789,0.741935,0.853701,0.947407,0.900000,0.942486,0.439024,0.735714,0.836364,0.792453,0.985437,0.463576,0.428571,0.747967,0.915129,0.953055,0.852632,0.938424,0.562500,0.774436,0.793103,0.777778,0.987354,0.642202,0.250000,0.736000,0.800000,0.941826,0.952941,0.946584,0.360000,0.700680,0.884615,0.807692
16,warmup,0.904902,0.762821,0.982507,0.553360,0.355556,0.766798,0.855688,0.942322,0.923977,0.938927,0.461538,0.748299,0.837696,0.787185,0.981553,0.486111,0.380952,0.757812,0.903226,0.958841,0.918605,0.932598,0.642857,0.748299,0.800000,0.751092,0.983463,0.642202,0.333333,0.776000,0.812903,0.926362,0.929412,0.945342,0.360000,0.748299,0.879121,0.826923
17,warmup,0.908307,0.762424,0.983527,0.566667,0.340426,0.750903,0.859619,0.949683,0.905028,0.939864,0.465116,0.744027,0.835509,0.808717,0.979730,0.519084,0.347826,0.684211,0.928839,0.961509,0.861702,0.938119,0.555556,0.746575,0.796020,0.814634,0.987354,0.623853,0.333333,0.832000,0.800000,0.938144,0.952941,0.941615,0.400000,0.741497,0.879121,0.802885
18,warmup,0.914208,0.771508,0.987354,0.553719,0.382979,0.761905,0.855652,0.956072,0.910112,0.948222,0.486486,0.756757,0.840206,0.818627,0.987354,0.503759,0.391304,0.702703,0.928302,0.958549,0.870968,0.952381,0.750000,0.751678,0.791262,0.835000,0.987354,0.614679,0.375000,0.832000,0.793548,0.953608,0.952941,0.944099,0.360000,0.761905,0.895604,0.802885
19,warmup,0.912846,0.774157,0.982203,0.556452,0.358974,0.779116,0.871452,0.951529,0.909091,0.938471,0.500000,0.777027,0.839695,0.825871,0.971456,0.496403,0.466667,0.782258,0.903114,0.963746,0.879121,0.939055,0.666667,0.771812,0.781991,0.855670,0.993191,0.633028,0.291667,0.776000,0.841935,0.939617,0.941176,0.937888,0.400000,0.782313,0.906593,0.798077
20,warmup,0.911257,0.770938,0.985437,0.536398,0.325581,0.761194,0.867347,0.949292,0.905028,0.946842,0.550000,0.757143,0.855670,0.811321,0.983527,0.460526,0.368421,0.713287,0.917266,0.961480,0.861702,0.953401,0.733333,0.796992,0.805825,0.796296,0.987354,0.642202,0.291667,0.816000,0.822581,0.937408,0.952941,0.940373,0.440000,0.721088,0.912088,0.826923
21,phase2,0.907853,0.766822,0.984930,0.584746,0.392157,0.742268,0.866557,0.944465,0.924855,0.944972,0.416667,0.765677,0.828125,0.806452,0.984451,0.543307,0.370370,0.650602,0.885522,0.969744,0.909091,0.962629,0.434783,0.743590,0.787129,0.774336,0.985409,0.633028,0.416667,0.864000,0.848387,0.920471,0.941176,0.927950,0.400000,0.789116,0.873626,0.841346
22,phase2,0.911938,0.779154,0.988293,0.577947,0.416667,0.742188,0.871711,0.946973,0.915254,0.945477,0.511628,0.778947,0.851064,0.803695,0.991194,0.493506,0.416667,0.725191,0.889262,0.967717,0.880435,0.943140,0.611111,0.804348,0.824742,0.773333,0.985409,0.697248,0.416667,0.760000,0.854839,0.927099,0.952941,0.947826,0.440000,0.755102,0.879121,0.836538
23,phase2,0.911257,0.774759,0.987391,0.589212,0.392157,0.742268,0.870662,0.941622,0.931034,0.948167,0.450000,0.755853,0.865753,0.822989,0.984526,0.537879,0.370370,0.650602,0.851852,0.970313,0.910112,0.965251,0.600000,0.743421,0.863388,0.788546,0.990272,0.651376,0.416667,0.864000,0.890323,0.914580,0.952941,0.931677,0.360000,0.768707,0.868132,0.860577
24,phase2,0.919428,0.776497,0.989771,0.580913,0.388889,0.776119,0.881072,0.952915,0.893855,0.952381,0.432432,0.784983,0.863636,0.821002,0.991220,0.530303,0.583333,0.727273,0.916376,0.967375,0.851064,0.948276,0.666667,0.787671,0.799065,0.815166,0.988327,0.642202,0.291667,0.832000,0.848387,0.938881,0.941176,0.956522,0.320000,0.782313,0.939560,0.826923
25,phase2,0.913981,0.779602,0.985479,0.570248,0.375000,0.765957,0.878444,0.947090,0.919540,0.947766,0.500000,0.778878,0.870968,0.815851,0.980732,0.518797,0.375000,0.687898,0.882736,0.972826,0.898876,0.960459,0.578947,0.756410,0.852632,0.791855,0.990272,0.633028,0.375000,0.864000,0.874194,0.922680,0.941176,0.935404,0.440000,0.802721,0.890110,0.841346
26,phase2,0.918293,0.786854,0.988764,0.648649,0.425532,0.797153,0.870152,0.953445,0.936416,0.949749,0.454545,0.746377,0.854111,0.817352,0.993131,0.560000,0.434783,0.717949,0.911661,0.964582,0.920455,0.960610,0.526316,0.798450,0.825641,0.778261,0.984436,0.770642,0.416667,0.896000,0.832258,0.942563,0.952941,0.939130,0.400000,0.700680,0.884615,0.860577
27,phase2,0.913754,0.763173,0.985060,0.548223,0.350000,0.735484,0.877375,0.950437,0.895349,0.951664,0.461538,0.738462,0.848485,0.816000,0.976122,0.613636,0.437500,0.616216,0.944238,0.940837,0.885057,0.961929,0.642857,0.674157,0.850829,0.916168,0.994163,0.495413,0.291667,0.912000,0.819355,0.960236,0.905882,0.941615,0.360000,0.816327,0.846154,0.735577
28,phase2,0.923059,0.786724,0.990736,0.589212,0.380952,0.809339,0.895175,0.958395,0.901734,0.955501,0.523810,0.748387,0.854111,0.833333,0.993157,0.537879,0.444444,0.787879,0.924399,0.967016,0.886364,0.950800,0.647059,0.711656,0.825641,0.850000,0.988327,0.651376,0.333333,0.832000,0.867742,0.949926,0.917647,0.960248,0.440000,0.789116,0.884615,0.817308
29,phase2,0.916931,0.765015,0.990225,0.585366,0.243902,0.769231,0.870466,0.956845,0.900000,0.953387,0.500000,0.756757,0.851282,0.802721,0.995088,0.525547,0.294118,0.740741,0.936803,0.966917,0.852632,0.953980,0.818182,0.751678,0.798077,0.759657,0.985409,0.660550,0.208333,0.800000,0.812903,0.946981,0.952941,0.952795,0.360000,0.761905,0.912088,0.850962
