round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.152973,0.120581,0.011550,0.216561,0.000000,0.153098,0.199923,0.111989,0.111111,0.260870,0.142857,0.168790,0.043011,0.027211,0.545455,0.131021,0.000000,0.090258,0.113429,0.531250,1.000000,0.891304,0.666667,0.110187,1.000000,0.046512,0.005837,0.623853,0.000000,0.504000,0.841935,0.062592,0.058824,0.152795,0.080000,0.360544,0.021978,0.019231
2,warmup,0.689968,0.456637,0.898080,0.433213,0.000000,0.322900,0.663248,0.733114,0.569170,0.716871,0.000000,0.291080,0.749403,0.102564,0.909272,0.357143,0.000000,0.203320,0.705455,0.831776,0.428571,0.676211,0.000000,0.469697,0.662447,0.461538,0.887160,0.550459,0.000000,0.784000,0.625806,0.655376,0.847059,0.762733,0.000000,0.210884,0.862637,0.057692
3,warmup,0.766001,0.553030,0.941695,0.504274,0.000000,0.469027,0.714932,0.815527,0.710000,0.780840,0.100000,0.484615,0.762836,0.352617,0.948667,0.472000,0.000000,0.324159,0.671388,0.852894,0.617391,0.827538,0.133333,0.557522,0.687225,0.412903,0.934825,0.541284,0.000000,0.848000,0.764516,0.781296,0.835294,0.739130,0.080000,0.428571,0.857143,0.307692
4,warmup,0.804812,0.586286,0.958149,0.477876,0.000000,0.550802,0.765079,0.854376,0.721951,0.833756,0.170213,0.486275,0.773684,0.443272,0.970090,0.461538,0.000000,0.413655,0.753125,0.864356,0.616667,0.852140,0.181818,0.574074,0.742424,0.491228,0.946498,0.495413,0.000000,0.824000,0.777419,0.844624,0.870588,0.816149,0.160000,0.421769,0.807692,0.403846
5,warmup,0.822515,0.611755,0.961749,0.504065,0.000000,0.614943,0.775444,0.873271,0.766839,0.855850,0.142857,0.540925,0.792651,0.512472,0.982741,0.452555,0.000000,0.479821,0.776699,0.886864,0.685185,0.892183,0.176471,0.567164,0.758794,0.484979,0.941634,0.568807,0.000000,0.856000,0.774194,0.860088,0.870588,0.822360,0.120000,0.517007,0.829670,0.543269
6,warmup,0.844076,0.636251,0.968379,0.500000,0.000000,0.688406,0.798658,0.893505,0.789189,0.884640,0.136364,0.582043,0.803279,0.590551,0.983936,0.446043,0.000000,0.629139,0.832168,0.917054,0.730000,0.908377,0.157895,0.534091,0.798913,0.500000,0.953307,0.568807,0.000000,0.760000,0.767742,0.871134,0.858824,0.862112,0.120000,0.639456,0.807692,0.721154
7,warmup,0.850204,0.638839,0.975538,0.519380,0.000000,0.684039,0.821963,0.891680,0.813187,0.900374,0.058824,0.597315,0.809783,0.593985,0.981299,0.449664,0.000000,0.576923,0.848797,0.954622,0.762887,0.902622,0.111111,0.589404,0.801075,0.487654,0.969844,0.614679,0.000000,0.840000,0.796774,0.836524,0.870588,0.898137,0.040000,0.605442,0.818681,0.759615
8,warmup,0.865411,0.653855,0.975969,0.556054,0.000000,0.698113,0.837521,0.911317,0.835979,0.901832,0.045455,0.638436,0.796610,0.648980,0.984174,0.543860,0.000000,0.575130,0.871080,0.918474,0.759615,0.952974,0.052632,0.612500,0.819767,0.563830,0.967899,0.568807,0.000000,0.888000,0.806452,0.904271,0.929412,0.855901,0.040000,0.666667,0.774725,0.764423
9,warmup,0.876078,0.671554,0.976331,0.560000,0.071429,0.714286,0.842282,0.919506,0.861878,0.917929,0.050000,0.622517,0.837838,0.684647,0.990000,0.496454,0.250000,0.645161,0.877622,0.935263,0.812500,0.933248,0.066667,0.606452,0.824468,0.602190,0.963035,0.642202,0.041667,0.800000,0.809677,0.904271,0.917647,0.903106,0.040000,0.639456,0.851648,0.793269
10,warmup,0.886291,0.677985,0.980873,0.579365,0.000000,0.738676,0.864157,0.926220,0.870056,0.934004,0.046512,0.668966,0.836461,0.690526,0.989120,0.510490,0.000000,0.654321,0.877076,0.952529,0.836957,0.945293,0.055556,0.678322,0.816754,0.614232,0.972763,0.669725,0.000000,0.848000,0.851613,0.901325,0.905882,0.922981,0.040000,0.659864,0.857143,0.788462
11,warmup,0.893554,0.685770,0.980835,0.595918,0.000000,0.728522,0.861953,0.936567,0.874317,0.934169,0.042553,0.695035,0.840426,0.738938,0.991063,0.536765,0.000000,0.638554,0.901408,0.949319,0.816327,0.943038,0.045455,0.725926,0.814433,0.684426,0.970817,0.669725,0.000000,0.848000,0.825806,0.924153,0.941176,0.925466,0.040000,0.666667,0.868132,0.802885
