round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.394689,0.242019,0.526918,0.234114,0.000000,0.312195,0.405498,0.361874,0.343096,0.012315,0.000000,0.025157,0.580122,0.102941,0.359602,0.184211,0.000000,0.400000,0.433824,0.673347,0.266234,0.714286,0.000000,0.166667,0.459807,0.218750,0.985409,0.321101,0.000000,0.256000,0.380645,0.247423,0.482353,0.006211,0.000000,0.013605,0.785714,0.067308
2,warmup,0.652519,0.452079,0.796644,0.369231,0.000000,0.591640,0.702886,0.714226,0.600858,0.502197,0.000000,0.333333,0.688935,0.125000,0.675932,0.418605,0.000000,0.494624,0.741935,0.823869,0.472973,0.507614,0.000000,0.493333,0.555556,0.468750,0.969844,0.330275,0.000000,0.736000,0.667742,0.630339,0.823529,0.496894,0.000000,0.251701,0.906593,0.072115
3,warmup,0.766228,0.523740,0.937918,0.380952,0.054054,0.597183,0.723404,0.829234,0.714932,0.741514,0.000000,0.379447,0.711712,0.214533,0.921201,0.450000,0.076923,0.460870,0.803150,0.803732,0.580882,0.781293,0.000000,0.452830,0.603053,0.382716,0.955253,0.330275,0.041667,0.848000,0.658065,0.856406,0.929412,0.705590,0.000000,0.326531,0.868132,0.149038
4,warmup,0.807762,0.583643,0.956187,0.425121,0.000000,0.639296,0.730375,0.861813,0.842697,0.821935,0.051282,0.506579,0.767263,0.401163,0.946616,0.448980,0.000000,0.504630,0.775362,0.869565,0.806452,0.815403,0.071429,0.490446,0.717703,0.507353,0.965953,0.403670,0.000000,0.872000,0.690323,0.854197,0.882353,0.828571,0.040000,0.523810,0.824176,0.331731
5,warmup,0.828870,0.621547,0.968962,0.449761,0.171429,0.690789,0.740214,0.872672,0.830601,0.848235,0.000000,0.594249,0.776350,0.515306,0.966151,0.470000,0.272727,0.586592,0.825397,0.901807,0.775510,0.805587,0.000000,0.560241,0.729469,0.548913,0.971790,0.431193,0.125000,0.840000,0.670968,0.845361,0.894118,0.895652,0.000000,0.632653,0.829670,0.485577
6,warmup,0.849069,0.648340,0.972397,0.475771,0.176471,0.697368,0.751799,0.899664,0.877193,0.876155,0.057143,0.621622,0.785714,0.588785,0.968177,0.457627,0.300000,0.592179,0.849593,0.911565,0.872093,0.869193,0.100000,0.617450,0.733333,0.572727,0.976654,0.495413,0.125000,0.848000,0.674194,0.888071,0.882353,0.883230,0.040000,0.625850,0.846154,0.605769
7,warmup,0.860645,0.651618,0.975681,0.458716,0.111111,0.688525,0.778378,0.909091,0.863636,0.891795,0.058824,0.641379,0.794937,0.647343,0.975681,0.458716,0.166667,0.583333,0.881633,0.931941,0.835165,0.855188,0.111111,0.650350,0.737089,0.650485,0.975681,0.458716,0.083333,0.840000,0.696774,0.887334,0.894118,0.931677,0.040000,0.632653,0.862637,0.644231
8,warmup,0.870404,0.667352,0.976812,0.500000,0.121212,0.715789,0.790774,0.918206,0.870588,0.898765,0.062500,0.673139,0.795970,0.684466,0.970250,0.486957,0.222222,0.637500,0.808081,0.940541,0.870588,0.893252,0.142857,0.641975,0.734884,0.691176,0.983463,0.513761,0.083333,0.816000,0.774194,0.896907,0.870588,0.904348,0.040000,0.707483,0.868132,0.677885
9,warmup,0.875397,0.674237,0.980145,0.506329,0.117647,0.690909,0.792857,0.925595,0.896970,0.912171,0.121212,0.640523,0.790000,0.716484,0.975892,0.468750,0.200000,0.633333,0.888000,0.935338,0.925000,0.921420,0.250000,0.616352,0.724771,0.659919,0.984436,0.550459,0.083333,0.760000,0.716129,0.916053,0.870588,0.903106,0.080000,0.666667,0.868132,0.783654
10,warmup,0.877667,0.688052,0.975962,0.532751,0.181818,0.692308,0.785841,0.928173,0.894118,0.909432,0.176471,0.655629,0.799007,0.725118,0.964829,0.508333,0.333333,0.614907,0.870588,0.938299,0.894118,0.914573,0.333333,0.638710,0.728507,0.714953,0.987354,0.559633,0.125000,0.792000,0.716129,0.918262,0.894118,0.904348,0.120000,0.673469,0.884615,0.735577
11,warmup,0.881525,0.692051,0.982541,0.546185,0.181818,0.713781,0.784946,0.930715,0.905882,0.918136,0.157895,0.650000,0.790000,0.742718,0.979691,0.485714,0.333333,0.639241,0.883065,0.936614,0.905882,0.931034,0.230769,0.601156,0.724771,0.750000,0.985409,0.623853,0.125000,0.808000,0.706452,0.924890,0.905882,0.905590,0.120000,0.707483,0.868132,0.735577
12,warmup,0.884249,0.705278,0.981960,0.527881,0.114286,0.713287,0.804836,0.932681,0.935673,0.925280,0.326531,0.657627,0.789744,0.753555,0.984360,0.443750,0.181818,0.633540,0.866171,0.953113,0.930233,0.927591,0.333333,0.655405,0.740385,0.742991,0.979572,0.651376,0.083333,0.816000,0.751613,0.913108,0.941176,0.922981,0.320000,0.659864,0.846154,0.764423
13,warmup,0.884703,0.713309,0.980601,0.513834,0.176471,0.700000,0.812392,0.931099,0.899408,0.922095,0.367347,0.685015,0.812665,0.758782,0.977756,0.451389,0.300000,0.632258,0.870849,0.941974,0.904762,0.948752,0.375000,0.622222,0.781726,0.739726,0.983463,0.596330,0.125000,0.784000,0.761290,0.920471,0.894118,0.896894,0.360000,0.761905,0.846154,0.778846
14,warmup,0.892646,0.728286,0.983988,0.536000,0.200000,0.733096,0.819788,0.940958,0.923077,0.925764,0.421053,0.682927,0.805333,0.767442,0.981607,0.475177,0.250000,0.660256,0.906250,0.949064,0.928571,0.929825,0.375000,0.700000,0.782383,0.743243,0.986381,0.614679,0.166667,0.824000,0.748387,0.932990,0.917647,0.921739,0.480000,0.666667,0.829670,0.793269
15,warmup,0.895370,0.736174,0.982575,0.547619,0.171429,0.756364,0.819615,0.939963,0.928571,0.923669,0.458333,0.690554,0.831169,0.784223,0.977842,0.482517,0.272727,0.693333,0.896552,0.940310,0.939759,0.954907,0.478261,0.662500,0.788177,0.757848,0.987354,0.633028,0.125000,0.832000,0.754839,0.939617,0.917647,0.894410,0.440000,0.721088,0.879121,0.812500
16,warmup,0.899909,0.744545,0.984959,0.576642,0.222222,0.752941,0.838261,0.942265,0.941176,0.928030,0.423077,0.695082,0.822281,0.807601,0.982575,0.478788,0.333333,0.738462,0.909434,0.947173,0.941176,0.943517,0.407407,0.670886,0.794872,0.798122,0.987354,0.724771,0.166667,0.768000,0.777419,0.937408,0.941176,0.913043,0.440000,0.721088,0.851648,0.817308
17,warmup,0.902633,0.756364,0.983084,0.599156,0.256410,0.745520,0.830660,0.941916,0.935673,0.927353,0.470588,0.727273,0.843750,0.814988,0.976945,0.554688,0.333333,0.675325,0.928287,0.946468,0.930233,0.943445,0.461538,0.695652,0.801980,0.794521,0.989300,0.651376,0.208333,0.832000,0.751613,0.937408,0.941176,0.911801,0.480000,0.761905,0.890110,0.836538
18,warmup,0.901498,0.742577,0.985956,0.583658,0.171429,0.748201,0.836555,0.941045,0.934911,0.927464,0.416667,0.717608,0.835979,0.811456,0.981678,0.506757,0.272727,0.679739,0.918919,0.953858,0.940476,0.925743,0.434783,0.701299,0.806122,0.805687,0.990272,0.688073,0.125000,0.832000,0.767742,0.928571,0.929412,0.929193,0.400000,0.734694,0.868132,0.817308
19,warmup,0.907399,0.755469,0.984988,0.585774,0.228571,0.798387,0.861017,0.945522,0.939759,0.928968,0.407407,0.746667,0.828496,0.810069,0.980714,0.538462,0.363636,0.804878,0.907143,0.958396,0.962963,0.923833,0.379310,0.732026,0.796954,0.772926,0.989300,0.642202,0.166667,0.792000,0.819355,0.932990,0.917647,0.934161,0.440000,0.761905,0.862637,0.850962
20,warmup,0.903995,0.749268,0.986434,0.608333,0.243902,0.761905,0.850694,0.940158,0.914286,0.926589,0.360000,0.734426,0.836735,0.827751,0.982625,0.557252,0.294118,0.702703,0.921053,0.961509,0.888889,0.920343,0.360000,0.708861,0.780952,0.823810,0.990272,0.669725,0.208333,0.832000,0.790323,0.919735,0.941176,0.932919,0.360000,0.761905,0.901099,0.831731
21,phase2,0.901725,0.728812,0.984541,0.562249,0.060606,0.716846,0.864957,0.942529,0.926829,0.929487,0.375000,0.754098,0.837696,0.790909,0.977927,0.500000,0.111111,0.649351,0.920000,0.949216,0.962025,0.960265,0.391304,0.727848,0.800000,0.750000,0.991245,0.642202,0.041667,0.800000,0.816129,0.935935,0.894118,0.900621,0.360000,0.782313,0.879121,0.836538
22,phase2,0.902860,0.749203,0.986900,0.577075,0.260870,0.736462,0.840426,0.943326,0.897727,0.930462,0.421053,0.728522,0.841530,0.826087,0.984511,0.506944,0.272727,0.671053,0.933071,0.955438,0.868132,0.921951,0.375000,0.736111,0.836957,0.830097,0.989300,0.669725,0.250000,0.816000,0.764516,0.931517,0.929412,0.939130,0.480000,0.721088,0.846154,0.822115
