round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.519065,0.354058,0.729500,0.184615,0.000000,0.305556,0.569343,0.463265,0.506494,0.463872,0.000000,0.336570,0.689487,0.000000,0.707495,0.209302,0.000000,0.362637,0.520000,0.754153,0.565217,0.341765,0.000000,0.320988,0.621145,0.000000,0.752918,0.165138,0.000000,0.264000,0.629032,0.334315,0.458824,0.721739,0.000000,0.353741,0.774725,0.000000
2,warmup,0.707671,0.442845,0.906965,0.381625,0.000000,0.483146,0.652778,0.779108,0.477273,0.671259,0.000000,0.268657,0.683983,0.009346,0.908293,0.310345,0.000000,0.372294,0.706767,0.767691,0.351955,0.676768,0.000000,0.500000,0.564286,0.166667,0.905642,0.495413,0.000000,0.688000,0.606452,0.790869,0.741176,0.665839,0.000000,0.183673,0.868132,0.004808
3,warmup,0.769405,0.525933,0.952197,0.477733,0.000000,0.608997,0.718644,0.820830,0.598039,0.755127,0.000000,0.383929,0.732187,0.263514,0.945350,0.427536,0.000000,0.536585,0.757143,0.811960,0.512605,0.733880,0.000000,0.558442,0.662222,0.443182,0.959144,0.541284,0.000000,0.704000,0.683871,0.829897,0.717647,0.777640,0.000000,0.292517,0.818681,0.187500
4,warmup,0.786428,0.565054,0.964408,0.504000,0.062500,0.627306,0.702609,0.845039,0.713450,0.798738,0.060606,0.353448,0.716346,0.432203,0.966764,0.446809,0.125000,0.582192,0.762264,0.852963,0.709302,0.811538,0.048780,0.482353,0.636752,0.386364,0.962062,0.577982,0.041667,0.680000,0.651613,0.837261,0.717647,0.786335,0.080000,0.278912,0.818681,0.490385
5,warmup,0.811847,0.602413,0.972947,0.527660,0.114286,0.619718,0.746365,0.856490,0.783626,0.820265,0.033333,0.474308,0.757180,0.522782,0.966411,0.492063,0.181818,0.553459,0.747573,0.886525,0.779070,0.797186,0.028571,0.566038,0.721393,0.521531,0.979572,0.568807,0.083333,0.704000,0.745161,0.828424,0.788235,0.844720,0.040000,0.408163,0.796703,0.524038
6,warmup,0.818883,0.611612,0.979592,0.511450,0.142857,0.602941,0.725780,0.872422,0.843373,0.845194,0.031746,0.469314,0.748634,0.566038,0.978641,0.437908,0.166667,0.557823,0.739130,0.906349,0.864198,0.849435,0.026316,0.500000,0.744565,0.501859,0.980545,0.614679,0.125000,0.656000,0.712903,0.840943,0.823529,0.840994,0.040000,0.442177,0.752747,0.649038
7,warmup,0.820018,0.614084,0.981960,0.478431,0.133333,0.576642,0.703764,0.875626,0.797688,0.855110,0.063492,0.549521,0.776903,0.576541,0.984360,0.417808,0.142857,0.530201,0.714286,0.917676,0.784091,0.892038,0.052632,0.518072,0.743719,0.491525,0.979572,0.559633,0.125000,0.632000,0.693548,0.837261,0.811765,0.821118,0.080000,0.585034,0.813187,0.697115
8,warmup,0.847935,0.652622,0.981960,0.514286,0.212766,0.632353,0.755932,0.903422,0.852071,0.888344,0.133333,0.550000,0.767507,0.639485,0.984360,0.463235,0.217391,0.585034,0.796429,0.933962,0.857143,0.877576,0.100000,0.578947,0.782857,0.577519,0.979572,0.577982,0.208333,0.688000,0.719355,0.874816,0.847059,0.899379,0.200000,0.523810,0.752747,0.716346
9,warmup,0.857240,0.661546,0.982507,0.546185,0.244898,0.666667,0.734622,0.920530,0.832370,0.893017,0.114286,0.568627,0.757493,0.677346,0.981553,0.485714,0.240000,0.653846,0.806950,0.919853,0.818182,0.921958,0.088889,0.547170,0.751351,0.646288,0.983463,0.623853,0.250000,0.680000,0.674194,0.921208,0.847059,0.865839,0.160000,0.591837,0.763736,0.711538
10,warmup,0.870177,0.675290,0.982524,0.533333,0.222222,0.659004,0.762565,0.931918,0.834286,0.902036,0.144928,0.588629,0.804408,0.737624,0.980620,0.465753,0.238095,0.632353,0.823970,0.926492,0.811111,0.924381,0.113636,0.578947,0.806630,0.760204,0.984436,0.623853,0.208333,0.688000,0.709677,0.937408,0.858824,0.880745,0.200000,0.598639,0.802198,0.716346
11,warmup,0.872220,0.686415,0.982541,0.525097,0.326531,0.666667,0.751748,0.935046,0.845714,0.911634,0.181818,0.564784,0.796657,0.748744,0.979691,0.453333,0.320000,0.614865,0.820611,0.931968,0.822222,0.933594,0.146341,0.551948,0.807910,0.784211,0.985409,0.623853,0.333333,0.728000,0.693548,0.938144,0.870588,0.890683,0.240000,0.578231,0.785714,0.716346
12,warmup,0.876759,0.694786,0.982968,0.551440,0.280000,0.659341,0.776068,0.936076,0.842105,0.910590,0.238806,0.611111,0.793478,0.755448,0.983447,0.500000,0.269231,0.608108,0.825455,0.934018,0.837209,0.930052,0.190476,0.624113,0.784946,0.760976,0.982490,0.614679,0.291667,0.720000,0.732258,0.938144,0.847059,0.891925,0.320000,0.598639,0.802198,0.750000
13,warmup,0.882206,0.701981,0.985465,0.535088,0.340426,0.666667,0.767123,0.942251,0.842105,0.919699,0.253968,0.612378,0.803279,0.755319,0.981660,0.512605,0.347826,0.609272,0.817518,0.935414,0.837209,0.929024,0.210526,0.587500,0.798913,0.845238,0.989300,0.559633,0.333333,0.736000,0.722581,0.949190,0.847059,0.910559,0.320000,0.639456,0.807692,0.682692
14,warmup,0.879709,0.708402,0.983001,0.532847,0.393939,0.659091,0.804674,0.939919,0.824242,0.916079,0.260870,0.630137,0.796407,0.759615,0.981571,0.442424,0.309524,0.625899,0.833910,0.940959,0.850000,0.945767,0.204545,0.634483,0.875000,0.759615,0.984436,0.669725,0.541667,0.696000,0.777419,0.938881,0.800000,0.888199,0.360000,0.625850,0.730769,0.759615
15,warmup,0.883795,0.713742,0.984035,0.538182,0.379310,0.671533,0.773973,0.945946,0.842105,0.915493,0.307692,0.624561,0.819407,0.762667,0.978826,0.445783,0.323529,0.617450,0.824818,0.938406,0.837209,0.944518,0.296296,0.644928,0.804233,0.856287,0.989300,0.678899,0.458333,0.736000,0.729032,0.953608,0.847059,0.888199,0.320000,0.605442,0.835165,0.687500
16,warmup,0.889469,0.729518,0.984930,0.566929,0.392157,0.673759,0.797342,0.946554,0.846626,0.922486,0.385965,0.641115,0.810811,0.785542,0.984451,0.496552,0.370370,0.605096,0.821918,0.947601,0.884615,0.952381,0.343750,0.657143,0.797872,0.787440,0.985409,0.660550,0.416667,0.760000,0.774194,0.945508,0.811765,0.894410,0.440000,0.625850,0.824176,0.783654
17,warmup,0.895143,0.731459,0.983479,0.589744,0.375000,0.666667,0.814815,0.947137,0.847059,0.926302,0.320000,0.676056,0.826316,0.804938,0.982524,0.552000,0.375000,0.584337,0.852113,0.944363,0.847059,0.947984,0.320000,0.700730,0.792929,0.827411,0.984436,0.633028,0.375000,0.776000,0.780645,0.949926,0.847059,0.905590,0.320000,0.653061,0.862637,0.783654
18,warmup,0.894235,0.737616,0.982490,0.590717,0.377358,0.683274,0.798635,0.946754,0.858824,0.922293,0.391304,0.659722,0.822281,0.817734,0.982490,0.546875,0.344828,0.615385,0.847826,0.937861,0.858824,0.946405,0.428571,0.673759,0.794872,0.838384,0.982490,0.642202,0.416667,0.768000,0.754839,0.955817,0.858824,0.899379,0.360000,0.646259,0.851648,0.798077
19,warmup,0.904448,0.753532,0.986784,0.613445,0.408163,0.716981,0.835772,0.952100,0.867470,0.931184,0.392157,0.700730,0.817204,0.820388,0.993103,0.565891,0.400000,0.678571,0.842623,0.952802,0.888889,0.929455,0.384615,0.755906,0.800000,0.828431,0.980545,0.669725,0.416667,0.760000,0.829032,0.951399,0.847059,0.932919,0.400000,0.653061,0.835165,0.812500
20,warmup,0.903541,0.741892,0.986421,0.634783,0.363636,0.721190,0.803509,0.957593,0.858824,0.937975,0.357143,0.657807,0.810526,0.813299,0.983559,0.603306,0.400000,0.673611,0.880769,0.942898,0.858824,0.956129,0.322581,0.642857,0.777778,0.868852,0.989300,0.669725,0.333333,0.776000,0.738710,0.972754,0.858824,0.920497,0.400000,0.673469,0.846154,0.764423
21,phase2,0.902179,0.754072,0.985465,0.607287,0.480000,0.724409,0.817891,0.950929,0.890173,0.940127,0.338462,0.687075,0.808864,0.818182,0.981660,0.543478,0.461538,0.713178,0.810127,0.960210,0.875000,0.964706,0.275000,0.687075,0.815642,0.814286,0.989300,0.688073,0.500000,0.736000,0.825806,0.941826,0.905882,0.916770,0.440000,0.687075,0.802198,0.822115
22,phase2,0.910803,0.756830,0.984959,0.664062,0.421053,0.727941,0.828947,0.960770,0.870056,0.947302,0.307692,0.718519,0.815217,0.835443,0.982575,0.578231,0.363636,0.673469,0.845638,0.965774,0.836957,0.956907,0.296296,0.788618,0.806452,0.882353,0.987354,0.779817,0.500000,0.792000,0.812903,0.955817,0.905882,0.937888,0.320000,0.659864,0.824176,0.793269
23,phase2,0.915797,0.773402,0.985861,0.680672,0.428571,0.720000,0.852349,0.957891,0.900585,0.947235,0.357143,0.760274,0.831025,0.859223,0.988270,0.627907,0.375000,0.660000,0.888112,0.952658,0.895349,0.970052,0.322581,0.765517,0.837989,0.867647,0.983463,0.743119,0.500000,0.792000,0.819355,0.963181,0.905882,0.925466,0.400000,0.755102,0.824176,0.850962
24,phase2,0.911030,0.771020,0.987763,0.666667,0.500000,0.730496,0.844517,0.951552,0.872093,0.943671,0.339623,0.753623,0.843836,0.818402,0.994089,0.587413,0.464286,0.656051,0.857143,0.978972,0.862069,0.920804,0.321429,0.806202,0.841530,0.824390,0.981518,0.770642,0.541667,0.824000,0.832258,0.925626,0.882353,0.967702,0.360000,0.707483,0.846154,0.812500
25,phase2,0.918066,0.785426,0.989279,0.680851,0.500000,0.731183,0.858553,0.952880,0.899408,0.957233,0.392857,0.783784,0.861111,0.817978,0.991211,0.634921,0.500000,0.662338,0.875839,0.968085,0.904762,0.969427,0.354839,0.778523,0.870787,0.767932,0.987354,0.733945,0.500000,0.816000,0.841935,0.938144,0.894118,0.945342,0.440000,0.789116,0.851648,0.875000
26,phase2,0.909442,0.761823,0.983382,0.686695,0.490566,0.732824,0.817241,0.956840,0.897727,0.950000,0.313725,0.678201,0.820779,0.813896,0.988212,0.645161,0.448276,0.700730,0.877778,0.950581,0.868132,0.955975,0.307692,0.690141,0.778325,0.841026,0.978599,0.733945,0.541667,0.768000,0.764516,0.963181,0.929412,0.944099,0.320000,0.666667,0.868132,0.788462
27,phase2,0.919201,0.785605,0.988775,0.691358,0.536585,0.730924,0.850082,0.956977,0.900585,0.957116,0.367347,0.793333,0.845953,0.808219,0.992165,0.626866,0.647059,0.733871,0.868687,0.972624,0.895349,0.957711,0.375000,0.777778,0.805970,0.769565,0.985409,0.770642,0.458333,0.728000,0.832258,0.941826,0.905882,0.956522,0.360000,0.809524,0.890110,0.850962
28,phase2,0.921244,0.786922,0.986288,0.723577,0.474576,0.760148,0.863563,0.958647,0.895349,0.953020,0.346154,0.801418,0.832861,0.847458,0.993097,0.649635,0.400000,0.705479,0.859425,0.979263,0.885057,0.936451,0.333333,0.837037,0.859649,0.853659,0.979572,0.816514,0.583333,0.824000,0.867742,0.938881,0.905882,0.970186,0.360000,0.768707,0.807692,0.841346
