round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.381752,0.223596,0.636107,0.099448,0.000000,0.141844,0.192513,0.217797,0.544554,0.214876,0.000000,0.139535,0.461538,0.034934,0.469634,0.071146,0.000000,0.625000,0.562500,0.702811,0.470085,0.204724,0.000000,0.220588,0.304196,0.190476,0.985409,0.165138,0.000000,0.080000,0.116129,0.128866,0.647059,0.226087,0.000000,0.102041,0.956044,0.019231
2,warmup,0.732637,0.481677,0.943484,0.432203,0.000000,0.608365,0.616514,0.795455,0.540541,0.661323,0.117647,0.278846,0.669565,0.116183,0.907457,0.401575,0.000000,0.579710,0.714894,0.747089,0.402299,0.715318,0.222222,0.475410,0.553957,0.424242,0.982490,0.467890,0.000000,0.640000,0.541935,0.850515,0.823529,0.614907,0.080000,0.197279,0.846154,0.067308
3,warmup,0.789151,0.546748,0.963316,0.472574,0.000000,0.684825,0.628676,0.859480,0.691943,0.816092,0.000000,0.406375,0.674058,0.363636,0.943978,0.437500,0.000000,0.666667,0.730769,0.867868,0.579365,0.839685,0.000000,0.490385,0.565056,0.344828,0.983463,0.513761,0.000000,0.704000,0.551613,0.851252,0.858824,0.793789,0.000000,0.346939,0.835165,0.384615
4,warmup,0.820245,0.602788,0.973417,0.490909,0.071429,0.721030,0.663176,0.889401,0.797872,0.871638,0.137931,0.448819,0.695238,0.472590,0.967339,0.486486,0.250000,0.777778,0.722433,0.929374,0.728155,0.858002,0.121212,0.532710,0.613445,0.389408,0.979572,0.495413,0.041667,0.672000,0.612903,0.852725,0.882353,0.885714,0.160000,0.387755,0.802198,0.600962
5,warmup,0.831366,0.619104,0.972947,0.509804,0.071429,0.680498,0.680851,0.901198,0.879518,0.885553,0.150000,0.472325,0.733668,0.491453,0.966411,0.445205,0.250000,0.706897,0.755906,0.916286,0.901235,0.891688,0.109091,0.516129,0.675926,0.442308,0.979572,0.596330,0.041667,0.656000,0.619355,0.886598,0.858824,0.879503,0.240000,0.435374,0.802198,0.552885
6,warmup,0.848616,0.654345,0.979055,0.545455,0.216216,0.700389,0.707483,0.916882,0.860335,0.890026,0.200000,0.539007,0.738155,0.559140,0.980488,0.570000,0.307692,0.681818,0.748201,0.919941,0.819149,0.916996,0.155556,0.562963,0.675799,0.505837,0.977626,0.522936,0.166667,0.720000,0.670968,0.913844,0.905882,0.864596,0.280000,0.517007,0.813187,0.625000
7,warmup,0.851112,0.659313,0.974334,0.522088,0.125000,0.728070,0.718480,0.919778,0.923077,0.885035,0.241379,0.517799,0.747312,0.609407,0.970106,0.464286,0.250000,0.805825,0.773234,0.923534,0.928571,0.916223,0.212121,0.493827,0.731579,0.530249,0.978599,0.596330,0.083333,0.664000,0.670968,0.916053,0.917647,0.855901,0.280000,0.544218,0.763736,0.716346
8,warmup,0.858375,0.669080,0.974359,0.561798,0.058824,0.725000,0.717117,0.927346,0.891429,0.891473,0.338028,0.545455,0.765217,0.632911,0.969201,0.474684,0.100000,0.756522,0.812245,0.919623,0.866667,0.928668,0.260870,0.540000,0.809816,0.563910,0.979572,0.688073,0.041667,0.696000,0.641935,0.935199,0.917647,0.857143,0.480000,0.551020,0.725275,0.721154
9,warmup,0.864049,0.685598,0.969726,0.562771,0.102564,0.722222,0.746218,0.925844,0.902857,0.889896,0.354839,0.600619,0.784530,0.665094,0.958215,0.532787,0.133333,0.716535,0.778947,0.923133,0.877778,0.929635,0.297297,0.551136,0.788889,0.652778,0.981518,0.596330,0.083333,0.728000,0.716129,0.928571,0.929412,0.853416,0.440000,0.659864,0.780220,0.677885
10,warmup,0.869496,0.696379,0.976789,0.569170,0.163265,0.697872,0.747856,0.928731,0.891429,0.900125,0.383562,0.600683,0.788732,0.708333,0.971154,0.500000,0.160000,0.745455,0.798535,0.936377,0.866667,0.904642,0.291667,0.602740,0.809249,0.683036,0.982490,0.660550,0.166667,0.656000,0.703226,0.921208,0.917647,0.895652,0.560000,0.598639,0.769231,0.735577
11,warmup,0.874262,0.703118,0.975869,0.563177,0.166667,0.697872,0.757930,0.928226,0.911243,0.910840,0.372881,0.633803,0.807198,0.711712,0.968391,0.464286,0.250000,0.745455,0.785467,0.937641,0.916667,0.941645,0.323529,0.656934,0.758454,0.669492,0.983463,0.715596,0.125000,0.656000,0.732258,0.918999,0.905882,0.881988,0.440000,0.612245,0.862637,0.759615
12,warmup,0.882660,0.708138,0.979631,0.593496,0.200000,0.722467,0.761092,0.938334,0.880000,0.913738,0.328358,0.637681,0.817680,0.725173,0.976789,0.532847,0.250000,0.803922,0.807971,0.919435,0.855556,0.940789,0.261905,0.682171,0.822222,0.697778,0.982490,0.669725,0.166667,0.656000,0.719355,0.958027,0.905882,0.888199,0.440000,0.598639,0.813187,0.754808
13,warmup,0.867680,0.707211,0.978123,0.596639,0.208333,0.707965,0.751656,0.914853,0.909091,0.897343,0.400000,0.603279,0.816092,0.703158,0.977648,0.550388,0.208333,0.792079,0.772109,0.950040,0.879121,0.873090,0.342857,0.582278,0.855422,0.625468,0.978599,0.651376,0.208333,0.640000,0.732258,0.882180,0.941176,0.922981,0.480000,0.625850,0.780220,0.802885
14,warmup,0.874716,0.704641,0.982456,0.563574,0.250000,0.724138,0.748276,0.933677,0.897727,0.915876,0.328358,0.610169,0.781065,0.720379,0.984375,0.450549,0.200000,0.785047,0.803704,0.934366,0.868132,0.932990,0.261905,0.608108,0.846154,0.710280,0.980545,0.752294,0.333333,0.672000,0.700000,0.932990,0.929412,0.899379,0.440000,0.612245,0.725275,0.730769
15,warmup,0.880163,0.718842,0.981995,0.584838,0.269231,0.707965,0.745819,0.937177,0.903955,0.918223,0.400000,0.619355,0.814815,0.742729,0.982473,0.482143,0.250000,0.792079,0.774306,0.940653,0.869565,0.953209,0.342857,0.588957,0.846154,0.694561,0.981518,0.743119,0.291667,0.640000,0.719355,0.933726,0.941176,0.885714,0.480000,0.653061,0.785714,0.798077
16,warmup,0.884022,0.723817,0.970192,0.618644,0.244898,0.714286,0.770548,0.935603,0.888889,0.926183,0.416667,0.661972,0.820937,0.716981,0.959125,0.574803,0.240000,0.808081,0.821168,0.940476,0.842105,0.941026,0.434783,0.686131,0.823204,0.635688,0.981518,0.669725,0.250000,0.640000,0.725806,0.930781,0.941176,0.911801,0.400000,0.639456,0.818681,0.822115
17,warmup,0.880163,0.722945,0.968885,0.606742,0.260870,0.688000,0.787781,0.929482,0.916667,0.914322,0.354839,0.666667,0.825215,0.755869,0.953817,0.512658,0.272727,0.688000,0.785256,0.947248,0.927711,0.942029,0.297297,0.647436,0.862275,0.738532,0.984436,0.743119,0.250000,0.688000,0.790323,0.912371,0.905882,0.888199,0.440000,0.687075,0.791209,0.774038
18,warmup,0.885157,0.727096,0.974879,0.634538,0.285714,0.713043,0.772109,0.935508,0.885057,0.918885,0.357143,0.673077,0.820652,0.754545,0.968330,0.564286,0.280000,0.780952,0.816547,0.941791,0.865169,0.937904,0.322581,0.636364,0.811828,0.715517,0.981518,0.724771,0.291667,0.656000,0.732258,0.929308,0.905882,0.900621,0.400000,0.714286,0.829670,0.798077
19,warmup,0.885837,0.730592,0.978558,0.595420,0.291667,0.728033,0.783740,0.934517,0.900585,0.916667,0.377358,0.662069,0.848485,0.750000,0.980469,0.509804,0.291667,0.763158,0.790164,0.939033,0.895349,0.947020,0.357143,0.671329,0.850829,0.689516,0.976654,0.715596,0.291667,0.696000,0.777419,0.930044,0.905882,0.888199,0.400000,0.653061,0.846154,0.822115
20,warmup,0.883114,0.724648,0.981995,0.581132,0.290909,0.699115,0.776509,0.933034,0.882682,0.921420,0.400000,0.649682,0.828729,0.750572,0.982473,0.493590,0.258065,0.782178,0.785479,0.948289,0.840426,0.940492,0.366667,0.610778,0.833333,0.716157,0.981518,0.706422,0.333333,0.632000,0.767742,0.918262,0.929412,0.903106,0.440000,0.693878,0.824176,0.788462
21,phase2,0.883795,0.749596,0.981518,0.590406,0.400000,0.698413,0.783005,0.925086,0.900585,0.915723,0.492308,0.684932,0.835165,0.788018,0.981518,0.493827,0.354839,0.692913,0.739255,0.967068,0.895349,0.927389,0.400000,0.689655,0.835165,0.756637,0.981518,0.733945,0.458333,0.704000,0.832258,0.886598,0.905882,0.904348,0.640000,0.680272,0.835165,0.822115
22,phase2,0.891739,0.765093,0.982473,0.620438,0.415094,0.711462,0.808241,0.926139,0.876404,0.919726,0.526316,0.740984,0.869806,0.784038,0.983431,0.515152,0.379310,0.703125,0.794393,0.964143,0.838710,0.921446,0.468750,0.715190,0.877095,0.766055,0.981518,0.779817,0.458333,0.720000,0.822581,0.891016,0.917647,0.918012,0.600000,0.768707,0.862637,0.802885
23,phase2,0.879256,0.760198,0.946828,0.648855,0.488889,0.695652,0.796970,0.915765,0.896552,0.909794,0.448980,0.713333,0.873315,0.787440,0.909498,0.555556,0.523810,0.687500,0.751429,0.963415,0.876404,0.945114,0.458333,0.699346,0.857143,0.791262,0.987354,0.779817,0.458333,0.704000,0.848387,0.872607,0.917647,0.877019,0.440000,0.727891,0.890110,0.783654
24,phase2,0.883341,0.752853,0.982852,0.631579,0.408163,0.742358,0.768072,0.930067,0.900585,0.877313,0.489796,0.666667,0.842391,0.794393,0.990128,0.605042,0.400000,0.817308,0.720339,0.897875,0.895349,0.978593,0.500000,0.635802,0.833333,0.772727,0.975681,0.660550,0.416667,0.680000,0.822581,0.964654,0.905882,0.795031,0.480000,0.700680,0.851648,0.817308
25,phase2,0.882206,0.744555,0.954163,0.635193,0.415094,0.736000,0.798712,0.918196,0.900585,0.924731,0.358974,0.700000,0.835165,0.757848,0.918919,0.596774,0.379310,0.736000,0.797428,0.954690,0.895349,0.942010,0.500000,0.686275,0.835165,0.710084,0.992218,0.678899,0.458333,0.736000,0.800000,0.884389,0.905882,0.908075,0.280000,0.714286,0.835165,0.812500
26,phase2,0.885384,0.756811,0.973391,0.666667,0.428571,0.728000,0.772932,0.922068,0.929412,0.915361,0.387097,0.734007,0.830508,0.793722,0.968239,0.577181,0.375000,0.728000,0.723944,0.968395,0.929412,0.924051,0.324324,0.726667,0.854651,0.743697,0.978599,0.788991,0.500000,0.728000,0.829032,0.879971,0.929412,0.906832,0.480000,0.741497,0.807692,0.850962
27,phase2,0.888788,0.771380,0.981854,0.664062,0.558140,0.689076,0.805237,0.918478,0.913295,0.903302,0.426230,0.723926,0.862534,0.810427,0.990109,0.578231,0.631579,0.725664,0.817276,0.971264,0.897727,0.859708,0.361111,0.659218,0.846561,0.799065,0.973735,0.779817,0.500000,0.656000,0.793548,0.871134,0.929412,0.951553,0.520000,0.802721,0.879121,0.822115
28,phase2,0.888788,0.727186,0.983398,0.615385,0.304348,0.735931,0.788686,0.942594,0.890173,0.911009,0.309278,0.687285,0.780899,0.777251,0.987255,0.646465,0.318182,0.801887,0.814433,0.908470,0.875000,0.970506,0.208333,0.694444,0.798851,0.766355,0.979572,0.587156,0.291667,0.680000,0.764516,0.979381,0.905882,0.858385,0.600000,0.680272,0.763736,0.788462
