round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.335906,0.197570,0.160494,0.000000,0.000000,0.310160,0.341030,0.340716,0.161290,0.424700,0.000000,0.111111,0.521341,0.000000,0.858491,0.000000,0.000000,0.467742,0.379447,0.744417,0.256410,0.273973,0.000000,0.086142,0.360759,0.000000,0.088521,0.000000,0.000000,0.232000,0.309677,0.220913,0.117647,0.944099,0.000000,0.156463,0.939560,0.000000
2,warmup,0.613709,0.401547,0.743570,0.330189,0.000000,0.525316,0.629055,0.742881,0.568807,0.359669,0.000000,0.185185,0.666667,0.067227,0.608292,0.339806,0.000000,0.434555,0.558897,0.861165,0.466165,0.456107,0.000000,0.289855,0.529032,0.266667,0.956226,0.321101,0.000000,0.664000,0.719355,0.653166,0.729412,0.296894,0.000000,0.136054,0.901099,0.038462
3,warmup,0.767363,0.522407,0.930496,0.388186,0.000000,0.626263,0.685015,0.846390,0.620690,0.767702,0.060606,0.352459,0.705357,0.285714,0.905244,0.359375,0.000000,0.540698,0.651163,0.884430,0.533898,0.767702,0.125000,0.443299,0.593985,0.362963,0.957198,0.422018,0.000000,0.744000,0.722581,0.811487,0.741176,0.767702,0.040000,0.292517,0.868132,0.235577
4,warmup,0.802088,0.550490,0.951705,0.377682,0.076923,0.611842,0.742574,0.871814,0.656716,0.835821,0.000000,0.391667,0.731591,0.357542,0.927122,0.354839,0.500000,0.519553,0.760135,0.887786,0.568966,0.836862,0.000000,0.505376,0.644351,0.426667,0.977626,0.403670,0.041667,0.744000,0.725806,0.856406,0.776471,0.834783,0.000000,0.319728,0.846154,0.307692
5,warmup,0.820245,0.582284,0.966747,0.419643,0.058824,0.624161,0.750388,0.887538,0.767442,0.852580,0.050000,0.405063,0.722611,0.482412,0.957975,0.408696,0.100000,0.537572,0.722388,0.916797,0.758621,0.843256,0.066667,0.533333,0.627530,0.505263,0.975681,0.431193,0.041667,0.744000,0.780645,0.860088,0.776471,0.862112,0.040000,0.326531,0.851648,0.461538
6,warmup,0.839537,0.618688,0.974733,0.454148,0.186047,0.620061,0.771044,0.913672,0.809816,0.874684,0.085106,0.452107,0.735219,0.547619,0.973786,0.433333,0.210526,0.500000,0.806338,0.919463,0.846154,0.891613,0.090909,0.517544,0.690821,0.542453,0.975681,0.477064,0.166667,0.816000,0.738710,0.907953,0.776471,0.858385,0.080000,0.401361,0.785714,0.552885
7,warmup,0.849523,0.637507,0.974384,0.497890,0.142857,0.622222,0.790164,0.919850,0.822086,0.886349,0.131148,0.510949,0.747967,0.604215,0.968300,0.460938,0.166667,0.515789,0.803333,0.935976,0.858974,0.906494,0.111111,0.551181,0.737968,0.589041,0.980545,0.541284,0.125000,0.784000,0.777419,0.904271,0.788235,0.867081,0.160000,0.476190,0.758242,0.620192
8,warmup,0.865638,0.671073,0.973570,0.529915,0.222222,0.677852,0.800681,0.930425,0.840909,0.906617,0.225806,0.528455,0.757493,0.658933,0.962013,0.496000,0.200000,0.583815,0.848375,0.950807,0.813187,0.902709,0.189189,0.656566,0.751351,0.636771,0.985409,0.568807,0.250000,0.808000,0.758065,0.910898,0.870588,0.910559,0.280000,0.442177,0.763736,0.682692
9,warmup,0.877213,0.685570,0.982456,0.504132,0.210526,0.683099,0.809135,0.941480,0.837209,0.915511,0.285714,0.586345,0.770538,0.700696,0.984375,0.458647,0.181818,0.610063,0.818482,0.941133,0.827586,0.929577,0.258065,0.715686,0.795322,0.677130,0.980545,0.559633,0.250000,0.776000,0.800000,0.941826,0.847059,0.901863,0.320000,0.496599,0.747253,0.725962
10,warmup,0.887426,0.704149,0.980450,0.541485,0.204082,0.692857,0.820598,0.947909,0.867052,0.920774,0.320000,0.639098,0.771831,0.743649,0.985265,0.516667,0.200000,0.625806,0.845890,0.944444,0.852273,0.924812,0.320000,0.714286,0.791908,0.715556,0.975681,0.568807,0.208333,0.776000,0.796774,0.951399,0.882353,0.916770,0.320000,0.578231,0.752747,0.774038
11,warmup,0.893100,0.709935,0.981077,0.558952,0.157895,0.691176,0.828619,0.951220,0.879518,0.929912,0.339623,0.668966,0.785714,0.746544,0.978703,0.533333,0.214286,0.639456,0.855670,0.954748,0.901235,0.936948,0.321429,0.678322,0.785714,0.716814,0.983463,0.587156,0.125000,0.752000,0.803226,0.947717,0.858824,0.922981,0.360000,0.659864,0.785714,0.778846
12,warmup,0.896051,0.719875,0.983366,0.555066,0.227273,0.697183,0.829508,0.955235,0.874251,0.935261,0.357143,0.668852,0.795455,0.759907,0.989173,0.533898,0.250000,0.622642,0.843333,0.959851,0.890244,0.946565,0.322581,0.645570,0.823529,0.737557,0.977626,0.577982,0.208333,0.792000,0.816129,0.950663,0.858824,0.924224,0.400000,0.693878,0.769231,0.783654
13,warmup,0.903087,0.724694,0.986874,0.555066,0.200000,0.710425,0.832817,0.960836,0.858896,0.936438,0.355556,0.711268,0.821333,0.766816,0.986395,0.533898,0.250000,0.686567,0.800595,0.973545,0.897436,0.948980,0.400000,0.737226,0.797927,0.718487,0.987354,0.577982,0.166667,0.736000,0.867742,0.948454,0.823529,0.924224,0.320000,0.687075,0.846154,0.822115
14,warmup,0.903541,0.737895,0.984900,0.555556,0.241379,0.710145,0.834646,0.963378,0.880952,0.943325,0.448980,0.720539,0.798851,0.772093,0.986341,0.520000,0.205882,0.649007,0.815385,0.977997,0.891566,0.956577,0.458333,0.713333,0.837349,0.747748,0.983463,0.596330,0.291667,0.784000,0.854839,0.949190,0.870588,0.930435,0.440000,0.727891,0.763736,0.798077
15,warmup,0.912392,0.748800,0.987379,0.585153,0.266667,0.722022,0.838811,0.968680,0.880952,0.944307,0.423077,0.736059,0.823188,0.809302,0.985465,0.558333,0.285714,0.657895,0.814590,0.981118,0.891566,0.940814,0.407407,0.811475,0.871166,0.783784,0.989300,0.614679,0.250000,0.800000,0.864516,0.956554,0.870588,0.947826,0.440000,0.673469,0.780220,0.836538
16,warmup,0.917612,0.760038,0.986341,0.606838,0.256410,0.760456,0.855799,0.967885,0.898204,0.947037,0.425532,0.767606,0.845528,0.802817,0.989237,0.568000,0.333333,0.724638,0.832317,0.970392,0.914634,0.961588,0.454545,0.795620,0.834225,0.784404,0.983463,0.651376,0.208333,0.800000,0.880645,0.965390,0.882353,0.932919,0.400000,0.741497,0.857143,0.822115
17,warmup,0.915570,0.762048,0.986810,0.595556,0.297872,0.732601,0.845554,0.968219,0.883721,0.948101,0.464286,0.776632,0.830409,0.814815,0.991168,0.577586,0.304348,0.675676,0.818731,0.971810,0.873563,0.966452,0.419355,0.784722,0.887500,0.785714,0.982490,0.614679,0.291667,0.800000,0.874194,0.964654,0.894118,0.930435,0.520000,0.768707,0.780220,0.846154
18,warmup,0.921925,0.772410,0.989258,0.641975,0.318182,0.745387,0.867624,0.970392,0.875740,0.951481,0.448980,0.797101,0.856354,0.806452,0.993137,0.582090,0.350000,0.691781,0.858044,0.975446,0.880952,0.965473,0.458333,0.852713,0.861111,0.774336,0.985409,0.715596,0.291667,0.808000,0.877419,0.965390,0.870588,0.937888,0.440000,0.748299,0.851648,0.841346
19,warmup,0.926464,0.786202,0.989751,0.661157,0.382979,0.732601,0.876404,0.970838,0.905882,0.954774,0.444444,0.823529,0.858726,0.833333,0.993144,0.601504,0.391304,0.675676,0.872204,0.973353,0.905882,0.965693,0.413793,0.896000,0.865922,0.825472,0.986381,0.733945,0.375000,0.800000,0.880645,0.968336,0.905882,0.944099,0.480000,0.761905,0.851648,0.841346
20,warmup,0.928961,0.788058,0.989741,0.693333,0.380952,0.775194,0.878740,0.974660,0.891566,0.953224,0.419355,0.824818,0.844920,0.830189,0.994112,0.672414,0.444444,0.751880,0.858462,0.972161,0.913580,0.970399,0.351351,0.889764,0.822917,0.814815,0.985409,0.715596,0.333333,0.800000,0.900000,0.977172,0.870588,0.936646,0.520000,0.768707,0.868132,0.846154
21,phase2,0.926464,0.805861,0.987751,0.689076,0.526316,0.754579,0.880645,0.967742,0.877193,0.957125,0.526316,0.829268,0.856354,0.817967,0.995064,0.635659,0.454545,0.695946,0.880645,0.974608,0.872093,0.971831,0.468750,0.850000,0.861111,0.804651,0.980545,0.752294,0.625000,0.824000,0.880645,0.960972,0.882353,0.942857,0.600000,0.809524,0.851648,0.831731
22,phase2,0.932819,0.813339,0.988270,0.701299,0.565217,0.775801,0.903437,0.970752,0.894118,0.964868,0.482759,0.828767,0.858696,0.826087,0.993124,0.663934,0.590909,0.698718,0.916944,0.976173,0.894118,0.974651,0.424242,0.834483,0.849462,0.830097,0.983463,0.743119,0.541667,0.872000,0.890323,0.965390,0.894118,0.955280,0.560000,0.823129,0.868132,0.822115
23,phase2,0.926237,0.784321,0.991254,0.678261,0.341463,0.756014,0.897133,0.970533,0.883436,0.950122,0.500000,0.798507,0.835000,0.810127,0.990291,0.644628,0.411765,0.662651,0.939929,0.983371,0.923077,0.930870,0.521739,0.884298,0.766055,0.855615,0.992218,0.715596,0.291667,0.880000,0.858065,0.958027,0.847059,0.970186,0.480000,0.727891,0.917582,0.769231
24,phase2,0.919882,0.778672,0.985735,0.638298,0.470588,0.756522,0.867580,0.964799,0.875000,0.959339,0.432432,0.784906,0.821429,0.787440,0.997015,0.595238,0.800000,0.828571,0.821326,0.941795,0.846154,0.981795,0.326531,0.881356,0.896104,0.791262,0.974708,0.688073,0.333333,0.696000,0.919355,0.988954,0.905882,0.937888,0.640000,0.707483,0.758242,0.783654
25,phase2,0.939855,0.839941,0.988247,0.717300,0.711111,0.798479,0.911147,0.972794,0.893855,0.966165,0.524590,0.861314,0.883333,0.850962,0.995069,0.664062,0.761905,0.760870,0.912621,0.971366,0.851064,0.974716,0.444444,0.929134,0.893258,0.850962,0.981518,0.779817,0.666667,0.840000,0.909677,0.974227,0.941176,0.957764,0.640000,0.802721,0.873626,0.850962
26,phase2,0.931457,0.813739,0.989351,0.710280,0.476190,0.769231,0.907591,0.963828,0.855491,0.958435,0.583333,0.875912,0.869792,0.805430,0.984586,0.723810,0.555556,0.709459,0.929054,0.986883,0.840909,0.943442,0.608696,0.944882,0.826733,0.760684,0.994163,0.697248,0.416667,0.840000,0.887097,0.941826,0.870588,0.973913,0.560000,0.816327,0.917582,0.855769
