round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.399228,0.273384,0.640329,0.291045,0.000000,0.061538,0.356436,0.227409,0.496815,0.210254,0.000000,0.276074,0.656489,0.064220,0.474251,0.245283,0.000000,0.800000,0.461538,0.607029,0.541667,0.180284,0.000000,0.251397,0.611374,0.700000,0.985409,0.357798,0.000000,0.032000,0.290323,0.139912,0.458824,0.252174,0.000000,0.306122,0.708791,0.033654
2,warmup,0.778938,0.513356,0.966370,0.378788,0.000000,0.557143,0.719323,0.835294,0.621762,0.793939,0.000000,0.334601,0.747525,0.205534,0.982897,0.322581,0.000000,0.503226,0.639098,0.834068,0.555556,0.775148,0.000000,0.379310,0.680180,0.577778,0.950389,0.458716,0.000000,0.624000,0.822581,0.836524,0.705882,0.813665,0.000000,0.299320,0.829670,0.125000
3,warmup,0.818429,0.555953,0.975705,0.376068,0.000000,0.565657,0.780635,0.886751,0.640884,0.853890,0.000000,0.334601,0.770889,0.486352,0.974757,0.352000,0.000000,0.488372,0.735043,0.891369,0.604167,0.869845,0.000000,0.379310,0.756614,0.502564,0.976654,0.403670,0.000000,0.672000,0.832258,0.882180,0.682353,0.838509,0.000000,0.299320,0.785714,0.471154
4,warmup,0.842488,0.587728,0.978313,0.384000,0.000000,0.594249,0.790047,0.913736,0.703030,0.883900,0.000000,0.376471,0.790698,0.638298,0.969436,0.340426,0.000000,0.494681,0.762763,0.918838,0.725000,0.913793,0.000000,0.444444,0.746341,0.714286,0.987354,0.440367,0.000000,0.744000,0.819355,0.908689,0.682353,0.855901,0.000000,0.326531,0.840659,0.576923
5,warmup,0.841353,0.599147,0.978452,0.454212,0.000000,0.613636,0.800000,0.912384,0.685714,0.896461,0.066667,0.390438,0.766082,0.625720,0.985207,0.378049,0.000000,0.582734,0.820339,0.916110,0.666667,0.948682,0.057143,0.471154,0.818750,0.520767,0.971790,0.568807,0.000000,0.648000,0.780645,0.908689,0.705882,0.849689,0.080000,0.333333,0.719780,0.783654
6,warmup,0.856105,0.610001,0.982575,0.421053,0.000000,0.661290,0.814701,0.919985,0.705202,0.910878,0.000000,0.455224,0.792453,0.656652,0.977842,0.356688,0.000000,0.666667,0.775510,0.930023,0.693182,0.963939,0.000000,0.504132,0.777778,0.593023,0.987354,0.513761,0.000000,0.656000,0.858065,0.910162,0.717647,0.863354,0.000000,0.414966,0.807692,0.735577
7,warmup,0.853836,0.620755,0.976077,0.459854,0.000000,0.627451,0.819165,0.912943,0.754967,0.901548,0.036364,0.473282,0.790831,0.696581,0.960452,0.381818,0.000000,0.615385,0.786350,0.957189,0.863636,0.898765,0.033333,0.539130,0.826347,0.626923,0.992218,0.577982,0.000000,0.640000,0.854839,0.872607,0.670588,0.904348,0.040000,0.421769,0.758242,0.783654
8,warmup,0.851793,0.628421,0.983575,0.430894,0.115942,0.607774,0.807453,0.907905,0.763158,0.901058,0.037037,0.505929,0.800000,0.680328,0.976967,0.386861,0.088889,0.544304,0.778443,0.947917,0.865672,0.902743,0.034483,0.603774,0.860759,0.592857,0.990272,0.486239,0.166667,0.688000,0.838710,0.871134,0.682353,0.899379,0.040000,0.435374,0.747253,0.798077
9,warmup,0.862460,0.656793,0.984112,0.502326,0.113208,0.694561,0.812772,0.905704,0.797468,0.896801,0.093750,0.573585,0.792023,0.715203,0.974261,0.509434,0.103448,0.728070,0.738786,0.957342,0.863014,0.872066,0.076923,0.644068,0.822485,0.644788,0.994163,0.495413,0.125000,0.664000,0.903226,0.859352,0.741176,0.922981,0.120000,0.517007,0.763736,0.802885
10,warmup,0.874035,0.660802,0.977055,0.500000,0.125000,0.639706,0.838095,0.930576,0.779221,0.903797,0.074074,0.577465,0.815029,0.769608,0.960526,0.464567,0.125000,0.591837,0.825000,0.933333,0.869565,0.921290,0.068966,0.598540,0.859756,0.785000,0.994163,0.541284,0.125000,0.696000,0.851613,0.927835,0.705882,0.886957,0.080000,0.557823,0.774725,0.754808
11,warmup,0.872220,0.661091,0.976611,0.458716,0.148148,0.638298,0.841463,0.919312,0.764331,0.918952,0.113208,0.585551,0.808140,0.760369,0.958763,0.458716,0.133333,0.573248,0.797688,0.956245,0.833333,0.901914,0.107143,0.663793,0.858025,0.730088,0.995136,0.458716,0.166667,0.720000,0.890323,0.885125,0.705882,0.936646,0.120000,0.523810,0.763736,0.793269
12,warmup,0.879936,0.681139,0.984096,0.515021,0.150943,0.669456,0.823180,0.930634,0.787500,0.917141,0.172414,0.646259,0.809524,0.767494,0.975167,0.483871,0.137931,0.701754,0.763085,0.948052,0.840000,0.934278,0.151515,0.646259,0.883117,0.723404,0.993191,0.550459,0.166667,0.640000,0.893548,0.913844,0.741176,0.900621,0.200000,0.646259,0.747253,0.817308
13,warmup,0.883568,0.683480,0.985507,0.536797,0.170213,0.694915,0.831563,0.931682,0.802632,0.922111,0.101695,0.648084,0.831461,0.745098,0.978887,0.508197,0.173913,0.738739,0.785100,0.950230,0.910448,0.932656,0.088235,0.664286,0.850575,0.681275,0.992218,0.568807,0.166667,0.656000,0.883871,0.913844,0.717647,0.911801,0.120000,0.632653,0.813187,0.822115
14,warmup,0.889015,0.688499,0.985031,0.540984,0.173913,0.688797,0.844376,0.940102,0.787097,0.922576,0.111111,0.668896,0.825215,0.773893,0.977948,0.488889,0.181818,0.715517,0.808260,0.932609,0.871429,0.968579,0.103448,0.657895,0.862275,0.751131,0.992218,0.605505,0.166667,0.664000,0.883871,0.947717,0.717647,0.880745,0.120000,0.680272,0.791209,0.798077
15,warmup,0.896051,0.706641,0.988372,0.552301,0.230769,0.708333,0.851735,0.948401,0.810458,0.932990,0.196721,0.664430,0.819767,0.775414,0.984556,0.507692,0.214286,0.739130,0.833333,0.936155,0.911765,0.969210,0.166667,0.655629,0.870370,0.762791,0.992218,0.605505,0.250000,0.680000,0.870968,0.960972,0.729412,0.899379,0.240000,0.673469,0.774725,0.788462
16,warmup,0.899001,0.707776,0.989331,0.554217,0.196078,0.737778,0.866242,0.949028,0.810127,0.933078,0.153846,0.701389,0.810345,0.791855,0.986460,0.492857,0.185185,0.830000,0.855346,0.945215,0.876712,0.958115,0.125000,0.716312,0.849398,0.747863,0.992218,0.633028,0.208333,0.664000,0.877419,0.952872,0.752941,0.909317,0.200000,0.687075,0.774725,0.841346
17,warmup,0.901952,0.704363,0.986024,0.556522,0.150943,0.726496,0.855814,0.953744,0.800000,0.933502,0.153846,0.688172,0.816667,0.830626,0.977077,0.528926,0.137931,0.779817,0.823881,0.950952,0.923077,0.952196,0.148148,0.727273,0.825843,0.802691,0.995136,0.587156,0.166667,0.680000,0.890323,0.956554,0.705882,0.915528,0.160000,0.653061,0.807692,0.860577
18,warmup,0.905129,0.714010,0.986500,0.540084,0.200000,0.705357,0.863492,0.954396,0.805195,0.939529,0.192308,0.713805,0.833333,0.834123,0.978011,0.500000,0.192308,0.797980,0.850000,0.945770,0.898551,0.963446,0.185185,0.706667,0.842697,0.822430,0.995136,0.587156,0.208333,0.632000,0.877419,0.963181,0.729412,0.916770,0.200000,0.721088,0.824176,0.846154
19,warmup,0.902406,0.708726,0.987917,0.524444,0.204082,0.696035,0.854864,0.952032,0.800000,0.939317,0.185185,0.698113,0.833803,0.828916,0.981748,0.508621,0.200000,0.774510,0.845426,0.946832,0.853333,0.956242,0.172414,0.649123,0.855491,0.830918,0.994163,0.541284,0.208333,0.632000,0.864516,0.957290,0.752941,0.922981,0.200000,0.755102,0.813187,0.826923
20,warmup,0.904675,0.713226,0.986486,0.550000,0.166667,0.716814,0.857143,0.951962,0.802469,0.932398,0.175439,0.733564,0.855586,0.830189,0.978927,0.503817,0.250000,0.801980,0.826347,0.948137,0.844156,0.958060,0.156250,0.746479,0.848649,0.814815,0.994163,0.605505,0.125000,0.648000,0.890323,0.955817,0.764706,0.908075,0.200000,0.721088,0.862637,0.846154
21,phase2,0.899001,0.728949,0.987427,0.565022,0.266667,0.759825,0.855784,0.938281,0.827160,0.923264,0.242424,0.720000,0.838527,0.823009,0.981731,0.552632,0.285714,0.836538,0.841121,0.965705,0.870130,0.905615,0.195122,0.705882,0.865497,0.762295,0.993191,0.577982,0.250000,0.696000,0.870968,0.912371,0.788235,0.941615,0.320000,0.734694,0.813187,0.894231
22,phase2,0.907399,0.751612,0.989781,0.577236,0.307692,0.748936,0.878049,0.944024,0.853503,0.937386,0.360656,0.744966,0.861972,0.815145,0.990263,0.518248,0.285714,0.800000,0.885246,0.970451,0.930556,0.917857,0.305556,0.735099,0.884393,0.759336,0.989300,0.651376,0.333333,0.704000,0.870968,0.918999,0.788235,0.957764,0.440000,0.755102,0.840659,0.879808
23,phase2,0.883341,0.691280,0.982659,0.559671,0.188679,0.678571,0.833333,0.938618,0.787500,0.886933,0.158730,0.641115,0.796407,0.843137,0.973282,0.507463,0.172414,0.767677,0.812883,0.896182,0.840000,0.974702,0.131579,0.657143,0.875000,0.860000,0.992218,0.623853,0.208333,0.608000,0.854839,0.985272,0.741176,0.813665,0.200000,0.625850,0.730769,0.826923
24,phase2,0.902860,0.727169,0.989331,0.541667,0.268657,0.736402,0.879227,0.949495,0.855346,0.930864,0.205882,0.702128,0.820513,0.846512,0.986460,0.496183,0.209302,0.771930,0.877814,0.965019,0.918919,0.925153,0.162791,0.733333,0.852071,0.819820,0.992218,0.596330,0.375000,0.704000,0.880645,0.934462,0.800000,0.936646,0.280000,0.673469,0.791209,0.875000
25,phase2,0.882887,0.671264,0.984127,0.491103,0.240000,0.620690,0.834835,0.945016,0.807229,0.906417,0.093023,0.517857,0.815864,0.799007,0.973359,0.401163,0.230769,0.672897,0.780899,0.911704,0.827160,0.981187,0.111111,0.753247,0.842105,0.825641,0.995136,0.633028,0.250000,0.576000,0.896774,0.980854,0.788235,0.842236,0.080000,0.394558,0.791209,0.774038
26,phase2,0.901498,0.728255,0.989341,0.552846,0.269231,0.677419,0.873377,0.948081,0.847059,0.929921,0.276923,0.734266,0.824561,0.816038,0.985521,0.496350,0.250000,0.682927,0.879085,0.969231,0.847059,0.912679,0.225000,0.755396,0.881250,0.800926,0.993191,0.623853,0.291667,0.672000,0.867742,0.927835,0.847059,0.947826,0.360000,0.714286,0.774725,0.831731
27,phase2,0.906037,0.730785,0.990772,0.601695,0.235294,0.710744,0.868852,0.949434,0.825581,0.936039,0.216216,0.746667,0.849858,0.838269,0.989331,0.559055,0.222222,0.735043,0.883333,0.973684,0.816092,0.926918,0.163265,0.732026,0.877193,0.796537,0.992218,0.651376,0.250000,0.688000,0.854839,0.926362,0.835294,0.945342,0.320000,0.761905,0.824176,0.884615
28,phase2,0.878348,0.683760,0.985031,0.505338,0.275862,0.596330,0.808307,0.942130,0.832298,0.902408,0.126984,0.641115,0.806916,0.782396,0.977948,0.412791,0.235294,0.698925,0.800633,0.943173,0.881579,0.921087,0.105263,0.657143,0.848485,0.796020,0.992218,0.651376,0.333333,0.520000,0.816129,0.941090,0.788235,0.884472,0.160000,0.625850,0.769231,0.769231
29,phase2,0.906037,0.740547,0.990790,0.601695,0.346154,0.703390,0.884553,0.944716,0.814815,0.920673,0.205882,0.745520,0.871233,0.857143,0.987440,0.559055,0.321429,0.747748,0.891803,0.965411,0.857143,0.891735,0.162791,0.787879,0.868852,0.863415,0.994163,0.651376,0.375000,0.664000,0.877419,0.924890,0.776471,0.951553,0.280000,0.707483,0.873626,0.850962
30,phase2,0.909669,0.751204,0.988395,0.579186,0.391304,0.738956,0.890302,0.947447,0.817073,0.924954,0.253968,0.746575,0.877778,0.858513,0.982692,0.571429,0.409091,0.741935,0.877743,0.966309,0.848101,0.908873,0.210526,0.751724,0.887640,0.856459,0.994163,0.587156,0.375000,0.736000,0.903226,0.929308,0.788235,0.941615,0.320000,0.741497,0.868132,0.860577
31,phase2,0.917385,0.778847,0.987013,0.624434,0.500000,0.764228,0.888545,0.953348,0.835294,0.931439,0.323529,0.776632,0.885794,0.875912,0.976213,0.616071,0.550000,0.776860,0.854167,0.974615,0.835294,0.926290,0.255814,0.784722,0.898305,0.886700,0.998054,0.633028,0.458333,0.752000,0.925806,0.932990,0.835294,0.936646,0.440000,0.768707,0.873626,0.865385
32,phase2,0.916931,0.770647,0.992743,0.620370,0.418605,0.729927,0.894819,0.949242,0.830189,0.930909,0.339623,0.791946,0.871935,0.877451,0.987488,0.626168,0.473684,0.671141,0.871560,0.977379,0.891892,0.908876,0.321429,0.781457,0.864865,0.895000,0.998054,0.614679,0.375000,0.800000,0.919355,0.922680,0.776471,0.954037,0.360000,0.802721,0.879121,0.860577
33,phase2,0.926918,0.799656,0.994180,0.678733,0.545455,0.750988,0.894410,0.960060,0.858824,0.941176,0.393939,0.809859,0.888252,0.880000,0.991296,0.669643,0.600000,0.742188,0.862275,0.973505,0.858824,0.938272,0.317073,0.839416,0.928144,0.861751,0.997082,0.688073,0.500000,0.760000,0.929032,0.946981,0.858824,0.944099,0.520000,0.782313,0.851648,0.899038
34,phase2,0.909215,0.723782,0.987952,0.595238,0.333333,0.657895,0.880503,0.955076,0.805195,0.923483,0.105263,0.710801,0.845070,0.885572,0.978988,0.524476,0.388889,0.728155,0.858896,0.918993,0.898551,0.984529,0.153846,0.728571,0.867052,0.917526,0.997082,0.688073,0.291667,0.600000,0.903226,0.994109,0.729412,0.869565,0.080000,0.693878,0.824176,0.855769
35,phase2,0.924421,0.791013,0.993698,0.696000,0.458333,0.769231,0.886364,0.955805,0.846154,0.938452,0.379310,0.798611,0.873315,0.896882,0.990338,0.617021,0.458333,0.825688,0.892157,0.972561,0.929577,0.921053,0.333333,0.815603,0.857143,0.894737,0.997082,0.798165,0.458333,0.720000,0.880645,0.939617,0.776471,0.956522,0.440000,0.782313,0.890110,0.899038
36,phase2,0.931684,0.814704,0.996597,0.688797,0.533333,0.796813,0.899522,0.961553,0.869565,0.947563,0.493151,0.810036,0.893258,0.886256,0.996113,0.628788,0.571429,0.793651,0.889590,0.975019,0.921053,0.941176,0.375000,0.856061,0.913793,0.873832,0.997082,0.761468,0.500000,0.800000,0.909677,0.948454,0.823529,0.954037,0.720000,0.768707,0.873626,0.899038
37,phase2,0.936223,0.823198,0.994158,0.736842,0.564103,0.782609,0.904239,0.967147,0.865854,0.949343,0.486486,0.836364,0.902857,0.888372,0.995127,0.705882,0.733333,0.773438,0.880734,0.969652,0.898734,0.955919,0.367347,0.898438,0.940476,0.860360,0.993191,0.770642,0.458333,0.792000,0.929032,0.964654,0.835294,0.942857,0.720000,0.782313,0.868132,0.918269
38,phase2,0.940082,0.827129,0.995625,0.748899,0.577778,0.800000,0.916933,0.970458,0.864198,0.954151,0.478873,0.822300,0.885057,0.911271,0.995141,0.720339,0.619048,0.800000,0.908228,0.973333,0.909091,0.951792,0.369565,0.842857,0.927711,0.909091,0.996109,0.779817,0.541667,0.800000,0.925806,0.967599,0.823529,0.956522,0.680000,0.802721,0.846154,0.913462
