round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.646618,0.360609,0.757041,0.016000,0.000000,0.212500,0.505714,0.759832,0.535519,0.715916,0.000000,0.252381,0.572402,0.000000,0.743205,0.062500,0.000000,0.485714,0.453846,0.789056,0.500000,0.693023,0.000000,0.194139,0.414815,0.000000,0.771401,0.009174,0.000000,0.136000,0.570968,0.732695,0.576471,0.740373,0.000000,0.360544,0.923077,0.000000
2,warmup,0.798457,0.516621,0.933023,0.346821,0.000000,0.547059,0.696864,0.878369,0.645455,0.856604,0.000000,0.440433,0.701595,0.153226,0.893939,0.468750,0.000000,0.432558,0.757576,0.868876,0.525926,0.867516,0.000000,0.469231,0.599222,0.475000,0.975681,0.275229,0.000000,0.744000,0.645161,0.888071,0.835294,0.845963,0.000000,0.414966,0.846154,0.091346
3,warmup,0.832955,0.582395,0.968360,0.427907,0.000000,0.589666,0.754386,0.904779,0.765714,0.887218,0.135593,0.458333,0.713948,0.382838,0.954631,0.433962,0.000000,0.475490,0.826923,0.883509,0.744444,0.895070,0.117647,0.591398,0.626556,0.610526,0.982490,0.422018,0.000000,0.776000,0.693548,0.927099,0.788235,0.879503,0.160000,0.374150,0.829670,0.278846
4,warmup,0.843849,0.615634,0.961137,0.460094,0.050000,0.675585,0.750903,0.908029,0.770950,0.894219,0.133333,0.564885,0.715328,0.503145,0.937153,0.471154,0.062500,0.580460,0.852459,0.900145,0.734043,0.885505,0.114286,0.643478,0.641921,0.727273,0.986381,0.449541,0.041667,0.808000,0.670968,0.916053,0.811765,0.903106,0.160000,0.503401,0.807692,0.384615
5,warmup,0.847935,0.624475,0.975374,0.439655,0.045455,0.641026,0.781528,0.911290,0.834286,0.892583,0.111111,0.555985,0.718072,0.587342,0.968360,0.414634,0.050000,0.534759,0.869565,0.907299,0.811111,0.919631,0.103448,0.642857,0.639485,0.620321,0.982490,0.467890,0.041667,0.800000,0.709677,0.915317,0.858824,0.867081,0.120000,0.489796,0.818681,0.557692
6,warmup,0.843622,0.628242,0.961593,0.454936,0.140351,0.612245,0.778182,0.914580,0.840909,0.889167,0.156250,0.497738,0.691892,0.601064,0.938020,0.427419,0.121212,0.481651,0.891667,0.914580,0.813187,0.896465,0.128205,0.743243,0.680851,0.672619,0.986381,0.486239,0.166667,0.840000,0.690323,0.914580,0.870588,0.881988,0.200000,0.374150,0.703297,0.543269
7,warmup,0.863368,0.646753,0.978682,0.469027,0.054054,0.725979,0.821306,0.918840,0.839506,0.906615,0.070175,0.592334,0.722359,0.662162,0.974903,0.452991,0.076923,0.653846,0.878676,0.916484,0.883117,0.948440,0.062500,0.607143,0.653333,0.622881,0.982490,0.486239,0.041667,0.816000,0.770968,0.921208,0.800000,0.868323,0.080000,0.578231,0.807692,0.706731
8,warmup,0.875624,0.664033,0.981095,0.490566,0.100000,0.723247,0.830508,0.931818,0.874251,0.912171,0.085106,0.626198,0.733333,0.680101,0.977778,0.504854,0.125000,0.671233,0.875000,0.927737,0.890244,0.921420,0.090909,0.590361,0.687500,0.714286,0.984436,0.477064,0.083333,0.784000,0.790323,0.935935,0.858824,0.903106,0.080000,0.666667,0.785714,0.649038
9,warmup,0.874716,0.672505,0.982918,0.515556,0.130435,0.736059,0.820513,0.929226,0.838710,0.917085,0.153846,0.643836,0.721228,0.680653,0.986288,0.500000,0.136364,0.687500,0.872727,0.925493,0.928571,0.927573,0.148148,0.648276,0.674641,0.660633,0.979572,0.532110,0.125000,0.792000,0.774194,0.932990,0.764706,0.906832,0.160000,0.639456,0.774725,0.701923
10,warmup,0.885837,0.683631,0.981535,0.555024,0.055556,0.743083,0.826531,0.938361,0.882353,0.919263,0.156863,0.671010,0.742857,0.731132,0.980583,0.580000,0.083333,0.734375,0.874101,0.924286,0.882353,0.941406,0.153846,0.643750,0.704433,0.717593,0.982490,0.532110,0.041667,0.752000,0.783871,0.952872,0.882353,0.898137,0.160000,0.700680,0.785714,0.745192
