round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.421698,0.253702,0.690257,0.116364,0.000000,0.212245,0.344245,0.307147,0.045455,0.493247,0.000000,0.291139,0.529781,0.014545,0.687923,0.072562,0.000000,0.142466,0.255887,0.776119,0.666667,0.467706,0.000000,0.272189,0.370614,0.029851,0.692607,0.293578,0.000000,0.416000,0.525806,0.191458,0.023529,0.521739,0.000000,0.312925,0.928571,0.009615
2,warmup,0.690649,0.459834,0.868838,0.327103,0.000000,0.427928,0.669951,0.763273,0.549356,0.618734,0.000000,0.447761,0.677060,0.168000,0.793408,0.333333,0.000000,0.297806,0.682274,0.833479,0.432432,0.659634,0.000000,0.495868,0.569288,0.500000,0.960117,0.321101,0.000000,0.760000,0.658065,0.703976,0.752941,0.582609,0.000000,0.408163,0.835165,0.100962
3,warmup,0.766001,0.547495,0.934527,0.445283,0.071429,0.523944,0.705680,0.823859,0.669951,0.769959,0.033898,0.426357,0.738462,0.426593,0.905936,0.378205,0.250000,0.404348,0.756458,0.902632,0.576271,0.734763,0.029412,0.495495,0.692308,0.503268,0.964981,0.541284,0.041667,0.744000,0.661290,0.757732,0.800000,0.808696,0.040000,0.374150,0.791209,0.370192
4,warmup,0.822969,0.612193,0.953200,0.497817,0.057143,0.625000,0.757377,0.878731,0.792899,0.834772,0.031746,0.556391,0.754011,0.607229,0.936210,0.475000,0.090909,0.552147,0.770000,0.902250,0.797619,0.828641,0.026316,0.621849,0.734375,0.608696,0.970817,0.522936,0.041667,0.720000,0.745161,0.856406,0.788235,0.840994,0.040000,0.503401,0.774725,0.605769
5,warmup,0.819110,0.621937,0.954858,0.488000,0.181818,0.627306,0.722892,0.874275,0.776471,0.842822,0.035714,0.546713,0.775623,0.636752,0.963366,0.432624,0.200000,0.582192,0.677966,0.920945,0.776471,0.839704,0.032258,0.556338,0.782123,0.573077,0.946498,0.559633,0.166667,0.680000,0.774194,0.832106,0.776471,0.845963,0.040000,0.537415,0.769231,0.716346
6,warmup,0.835906,0.629769,0.963107,0.474453,0.175439,0.600760,0.768489,0.896167,0.773006,0.866019,0.034483,0.584270,0.775726,0.645309,0.961240,0.393939,0.151515,0.572464,0.766026,0.905944,0.807692,0.904054,0.030303,0.650000,0.746193,0.615721,0.964981,0.596330,0.208333,0.632000,0.770968,0.886598,0.741176,0.831056,0.040000,0.530612,0.807692,0.677885
7,warmup,0.840899,0.641679,0.967961,0.522822,0.192308,0.585670,0.779605,0.893256,0.802469,0.865385,0.035088,0.599278,0.784741,0.671569,0.966085,0.477273,0.178571,0.479592,0.795302,0.936944,0.844156,0.838184,0.031250,0.638462,0.778378,0.685000,0.969844,0.577982,0.208333,0.752000,0.764516,0.853461,0.764706,0.894410,0.040000,0.564626,0.791209,0.658654
8,warmup,0.849750,0.650375,0.966085,0.521739,0.230769,0.611684,0.799331,0.907247,0.800000,0.885122,0.032258,0.615942,0.794521,0.639798,0.962355,0.431138,0.214286,0.536145,0.829861,0.925670,0.777778,0.894670,0.027027,0.658915,0.792350,0.671958,0.969844,0.660550,0.250000,0.712000,0.770968,0.889543,0.823529,0.875776,0.040000,0.578231,0.796703,0.610577
9,warmup,0.864957,0.667211,0.970431,0.540984,0.208333,0.669323,0.843602,0.914221,0.809816,0.890663,0.033898,0.629213,0.796748,0.699301,0.967150,0.488889,0.208333,0.666667,0.826625,0.934615,0.846154,0.880923,0.029412,0.700000,0.786096,0.678733,0.973735,0.605505,0.208333,0.672000,0.861290,0.894698,0.776471,0.900621,0.040000,0.571429,0.807692,0.721154
10,warmup,0.861779,0.666691,0.971149,0.575758,0.206897,0.612795,0.806838,0.914956,0.842105,0.892308,0.033898,0.633205,0.796791,0.713592,0.976401,0.490323,0.176471,0.529070,0.858182,0.910949,0.837209,0.921854,0.029412,0.732143,0.776042,0.720588,0.965953,0.697248,0.250000,0.728000,0.761290,0.918999,0.847059,0.864596,0.040000,0.557823,0.818681,0.706731
11,warmup,0.862006,0.659118,0.969518,0.522337,0.177778,0.623574,0.814941,0.917364,0.826347,0.895250,0.000000,0.645390,0.809651,0.707260,0.980119,0.417582,0.190476,0.594203,0.860215,0.907127,0.841463,0.939891,0.000000,0.674074,0.790576,0.689498,0.959144,0.697248,0.166667,0.656000,0.774194,0.927835,0.811765,0.854658,0.000000,0.619048,0.829670,0.725962
12,warmup,0.872220,0.667750,0.971373,0.540541,0.192308,0.606272,0.840065,0.925074,0.814815,0.907372,0.000000,0.674074,0.823834,0.717277,0.969022,0.466667,0.178571,0.537037,0.841424,0.931988,0.857143,0.920716,0.000000,0.739837,0.779412,0.787356,0.973735,0.642202,0.208333,0.696000,0.838710,0.918262,0.776471,0.894410,0.000000,0.619048,0.873626,0.658654
13,warmup,0.876986,0.670514,0.974108,0.528000,0.133333,0.673835,0.842105,0.928651,0.822785,0.906289,0.000000,0.666667,0.821053,0.749340,0.978410,0.468085,0.142857,0.610390,0.859060,0.932442,0.890411,0.899633,0.000000,0.696296,0.787879,0.830409,0.969844,0.605505,0.125000,0.752000,0.825806,0.924890,0.764706,0.913043,0.000000,0.639456,0.857143,0.682692
14,warmup,0.887653,0.687649,0.975182,0.553360,0.195122,0.700787,0.863124,0.935199,0.844720,0.920299,0.000000,0.664234,0.839050,0.760705,0.975657,0.486111,0.235294,0.689922,0.861736,0.935199,0.894737,0.922597,0.000000,0.716535,0.807107,0.798942,0.974708,0.642202,0.166667,0.712000,0.864516,0.935199,0.800000,0.918012,0.000000,0.619048,0.873626,0.725962
15,warmup,0.886291,0.693100,0.973659,0.581132,0.153846,0.716981,0.859038,0.933138,0.855422,0.913848,0.040000,0.704981,0.814815,0.770335,0.976517,0.493590,0.142857,0.678571,0.883959,0.926033,0.876543,0.939633,0.040000,0.807018,0.785714,0.766667,0.970817,0.706422,0.166667,0.760000,0.835484,0.940353,0.835294,0.889441,0.040000,0.625850,0.846154,0.774038
16,warmup,0.892192,0.691527,0.975182,0.522822,0.177778,0.722433,0.885246,0.936093,0.829268,0.920918,0.000000,0.689895,0.843750,0.794937,0.975657,0.477273,0.190476,0.688406,0.900000,0.923352,0.860759,0.946265,0.000000,0.707143,0.801980,0.839572,0.974708,0.577982,0.166667,0.760000,0.870968,0.949190,0.800000,0.896894,0.000000,0.673469,0.890110,0.754808
17,warmup,0.894916,0.703103,0.974609,0.545455,0.181818,0.714859,0.878130,0.941304,0.829268,0.927445,0.101695,0.687023,0.837209,0.818414,0.978431,0.464516,0.200000,0.717742,0.910035,0.926534,0.860759,0.942308,0.088235,0.782609,0.790244,0.874317,0.970817,0.660550,0.166667,0.712000,0.848387,0.956554,0.800000,0.913043,0.120000,0.612245,0.890110,0.769231
18,warmup,0.895370,0.699707,0.975657,0.566524,0.054054,0.756972,0.879227,0.937500,0.853659,0.916237,0.096774,0.713755,0.838046,0.808081,0.976608,0.532258,0.076923,0.753968,0.877814,0.915147,0.886076,0.951807,0.081081,0.786885,0.787440,0.851064,0.974708,0.605505,0.041667,0.760000,0.880645,0.960972,0.823529,0.883230,0.120000,0.653061,0.895604,0.769231
19,warmup,0.889015,0.692810,0.975158,0.503876,0.136364,0.707143,0.870152,0.937747,0.834356,0.918989,0.111111,0.695341,0.837209,0.786280,0.976585,0.436242,0.150000,0.638710,0.911661,0.916960,0.871795,0.960705,0.103448,0.734848,0.790244,0.871345,0.973735,0.596330,0.125000,0.792000,0.832258,0.959499,0.800000,0.880745,0.120000,0.659864,0.890110,0.716346
20,warmup,0.897867,0.719784,0.977129,0.595041,0.260870,0.727273,0.881967,0.938174,0.835294,0.920388,0.122449,0.734082,0.838542,0.806202,0.977605,0.541353,0.272727,0.666667,0.896667,0.916433,0.835294,0.960811,0.125000,0.816667,0.797030,0.871508,0.976654,0.660550,0.250000,0.800000,0.867742,0.960972,0.835294,0.883230,0.120000,0.666667,0.884615,0.750000
