round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.242851,0.149195,0.321443,0.000000,0.000000,0.263959,0.222222,0.254971,0.251969,0.000000,0.000000,0.017621,0.449141,0.009009,0.273347,0.000000,0.000000,0.361111,0.131737,0.619318,0.189349,0.000000,0.000000,0.025000,0.295652,0.071429,0.390078,0.000000,0.000000,0.208000,0.709677,0.160530,0.376471,0.000000,0.000000,0.013605,0.934066,0.004808
2,warmup,0.663640,0.459052,0.888099,0.401869,0.000000,0.442159,0.650909,0.653846,0.588745,0.612886,0.071429,0.317757,0.697778,0.183150,0.816993,0.409524,0.000000,0.325758,0.745833,0.779022,0.465753,0.543186,0.333333,0.507463,0.585821,0.384615,0.972763,0.394495,0.000000,0.688000,0.577419,0.563328,0.800000,0.703106,0.040000,0.231293,0.862637,0.120192
3,warmup,0.755788,0.548202,0.942398,0.413793,0.000000,0.618182,0.709984,0.787377,0.698113,0.727490,0.080000,0.470085,0.724051,0.406948,0.915596,0.446809,0.000000,0.497561,0.697819,0.847918,0.582677,0.699541,0.080000,0.632184,0.671362,0.420513,0.970817,0.385321,0.000000,0.816000,0.722581,0.734904,0.870588,0.757764,0.080000,0.374150,0.785714,0.394231
4,warmup,0.793690,0.567661,0.959809,0.423963,0.000000,0.644578,0.735202,0.840299,0.789744,0.791411,0.032258,0.458150,0.702997,0.433526,0.944444,0.425926,0.000000,0.516908,0.710843,0.851740,0.700000,0.781818,0.027027,0.650000,0.697297,0.543478,0.975681,0.422018,0.000000,0.856000,0.761290,0.829161,0.905882,0.801242,0.040000,0.353741,0.708791,0.360577
5,warmup,0.807308,0.598298,0.976340,0.501992,0.062500,0.626866,0.728943,0.844275,0.806283,0.814249,0.000000,0.550607,0.754821,0.512702,0.969319,0.443662,0.125000,0.500000,0.693878,0.876387,0.726415,0.834420,0.000000,0.680000,0.756906,0.493333,0.983463,0.577982,0.041667,0.840000,0.767742,0.814433,0.905882,0.795031,0.000000,0.462585,0.752747,0.533654
6,warmup,0.829778,0.616915,0.972302,0.470046,0.000000,0.690909,0.750000,0.873053,0.806452,0.849231,0.081633,0.555556,0.764228,0.589569,0.954972,0.472222,0.000000,0.633333,0.682540,0.926446,0.742574,0.841463,0.083333,0.609756,0.754011,0.557940,0.990272,0.467890,0.000000,0.760000,0.832258,0.825479,0.882353,0.857143,0.080000,0.510204,0.774725,0.625000
7,warmup,0.839991,0.624106,0.977778,0.436975,0.050000,0.650000,0.765823,0.894234,0.824742,0.879949,0.076923,0.598540,0.742382,0.591928,0.971209,0.403101,0.062500,0.533333,0.751553,0.928628,0.733945,0.905388,0.074074,0.645669,0.748603,0.554622,0.984436,0.477064,0.041667,0.832000,0.780645,0.862297,0.941176,0.855901,0.080000,0.557823,0.736264,0.634615
8,warmup,0.847935,0.632562,0.980145,0.469231,0.088889,0.682171,0.769231,0.902486,0.822917,0.895371,0.040000,0.573585,0.740947,0.625767,0.975892,0.403974,0.095238,0.661654,0.749235,0.938743,0.738318,0.914508,0.040000,0.644068,0.751412,0.544484,0.984436,0.559633,0.083333,0.704000,0.790323,0.868925,0.929412,0.877019,0.040000,0.517007,0.730769,0.735577
9,warmup,0.860418,0.635831,0.981678,0.431193,0.000000,0.655629,0.793510,0.913440,0.835979,0.899619,0.045455,0.629139,0.772727,0.671605,0.973231,0.431193,0.000000,0.559322,0.730978,0.942790,0.759615,0.920676,0.052632,0.612903,0.800000,0.690355,0.990272,0.431193,0.000000,0.792000,0.867742,0.885862,0.929412,0.879503,0.040000,0.646259,0.747253,0.653846
10,warmup,0.864957,0.653016,0.980658,0.505415,0.042553,0.697842,0.796380,0.921415,0.844920,0.896325,0.043478,0.661818,0.750751,0.694639,0.975000,0.416667,0.043478,0.633987,0.747875,0.932178,0.774510,0.949930,0.047619,0.710938,0.827815,0.674208,0.986381,0.642202,0.041667,0.776000,0.851613,0.910898,0.929412,0.848447,0.040000,0.619048,0.686813,0.716346
