round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.336586,0.197207,0.171629,0.000000,0.000000,0.297436,0.339223,0.338076,0.162602,0.425568,0.000000,0.112195,0.519757,0.000000,0.859649,0.000000,0.000000,0.414286,0.375000,0.744361,0.263158,0.274801,0.000000,0.087452,0.359244,0.000000,0.095331,0.000000,0.000000,0.232000,0.309677,0.218704,0.117647,0.942857,0.000000,0.156463,0.939560,0.000000
2,warmup,0.620744,0.404010,0.753086,0.330357,0.000000,0.520900,0.628895,0.746867,0.565022,0.396767,0.000000,0.203704,0.650794,0.051724,0.624041,0.321739,0.000000,0.435484,0.560606,0.862934,0.456522,0.485612,0.000000,0.318841,0.509317,0.250000,0.949416,0.339450,0.000000,0.648000,0.716129,0.658321,0.741176,0.335404,0.000000,0.149660,0.901099,0.028846
3,warmup,0.768044,0.524477,0.928166,0.405172,0.000000,0.610932,0.694006,0.846561,0.594340,0.757367,0.071429,0.379747,0.711712,0.294294,0.902574,0.382114,0.000000,0.510753,0.679012,0.869565,0.496063,0.764557,0.333333,0.500000,0.603053,0.392000,0.955253,0.431193,0.000000,0.760000,0.709677,0.824742,0.741176,0.750311,0.040000,0.306122,0.868132,0.235577
4,warmup,0.798911,0.550995,0.942937,0.380531,0.080000,0.615894,0.742301,0.872356,0.684211,0.824704,0.000000,0.398374,0.725995,0.344633,0.908108,0.367521,1.000000,0.525424,0.745928,0.895349,0.619048,0.828321,0.000000,0.494949,0.632653,0.417808,0.980545,0.394495,0.041667,0.744000,0.738710,0.850515,0.764706,0.821118,0.000000,0.333333,0.851648,0.293269
5,warmup,0.815252,0.570074,0.964593,0.403587,0.057143,0.616487,0.748044,0.881330,0.742857,0.848522,0.000000,0.394958,0.722611,0.460759,0.949153,0.394737,0.090909,0.558442,0.726444,0.905280,0.722222,0.841270,0.000000,0.516484,0.627530,0.486631,0.980545,0.412844,0.041667,0.688000,0.770968,0.858616,0.764706,0.855901,0.000000,0.319728,0.851648,0.437500
6,warmup,0.837948,0.606867,0.976722,0.462264,0.146341,0.641270,0.761421,0.910509,0.802395,0.872796,0.000000,0.439394,0.730479,0.538813,0.973888,0.475728,0.176471,0.531579,0.800712,0.918352,0.817073,0.885057,0.000000,0.495726,0.674419,0.513043,0.979572,0.449541,0.125000,0.808000,0.725806,0.902798,0.788235,0.860870,0.000000,0.394558,0.796703,0.567308
7,warmup,0.852020,0.640534,0.975799,0.519824,0.150000,0.628205,0.774624,0.918736,0.819277,0.897372,0.133333,0.509225,0.751323,0.608696,0.971098,0.500000,0.187500,0.524064,0.802768,0.939231,0.839506,0.904161,0.114286,0.556452,0.724490,0.580786,0.980545,0.541284,0.125000,0.784000,0.748387,0.899116,0.800000,0.890683,0.160000,0.469388,0.780220,0.639423
8,warmup,0.868361,0.667044,0.977084,0.545455,0.088889,0.685921,0.801325,0.931852,0.816568,0.906036,0.280702,0.539062,0.768000,0.663636,0.979472,0.516393,0.095238,0.625000,0.823129,0.937407,0.821429,0.907731,0.250000,0.633028,0.746114,0.629310,0.974708,0.577982,0.083333,0.760000,0.780645,0.926362,0.811765,0.904348,0.320000,0.469388,0.791209,0.701923
9,warmup,0.875397,0.682294,0.978208,0.514523,0.173913,0.707581,0.800000,0.937360,0.838323,0.914216,0.295082,0.544000,0.779006,0.705314,0.973963,0.469697,0.181818,0.644737,0.806557,0.949396,0.853659,0.902056,0.250000,0.660194,0.783333,0.708738,0.982490,0.568807,0.166667,0.784000,0.793548,0.925626,0.823529,0.926708,0.360000,0.462585,0.774725,0.701923
10,warmup,0.886291,0.699810,0.980411,0.534979,0.195122,0.708029,0.821782,0.947446,0.863905,0.921750,0.301887,0.602941,0.790055,0.729412,0.987179,0.485075,0.235294,0.651007,0.841216,0.952381,0.869048,0.914425,0.285714,0.656000,0.794444,0.714286,0.973735,0.596330,0.166667,0.776000,0.803226,0.942563,0.858824,0.929193,0.320000,0.557823,0.785714,0.745192
