round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.412846,0.300139,0.565124,0.112000,0.000000,0.406948,0.546649,0.296690,0.632911,0.162625,0.000000,0.214286,0.621514,0.042918,0.412528,0.437500,0.000000,0.294964,0.461197,0.751497,0.684932,0.190955,0.000000,0.311688,0.487500,0.200000,0.896887,0.064220,0.000000,0.656000,0.670968,0.184831,0.588235,0.141615,0.000000,0.163265,0.857143,0.024038
2,warmup,0.705175,0.473149,0.862541,0.338164,0.000000,0.482558,0.702265,0.787429,0.644231,0.597015,0.000000,0.377193,0.747619,0.138776,0.838384,0.357143,0.000000,0.378995,0.704545,0.756445,0.544715,0.625000,0.000000,0.530864,0.659664,0.459459,0.888132,0.321101,0.000000,0.664000,0.700000,0.821060,0.788235,0.571429,0.000000,0.292517,0.862637,0.081731
3,warmup,0.758284,0.523709,0.916706,0.361991,0.000000,0.562278,0.735441,0.822799,0.672489,0.727955,0.052632,0.379310,0.744731,0.308176,0.897484,0.357143,0.000000,0.506410,0.759450,0.816534,0.534722,0.732997,0.076923,0.517647,0.648980,0.445455,0.936770,0.366972,0.000000,0.632000,0.712903,0.829161,0.905882,0.722981,0.040000,0.299320,0.873626,0.235577
4,warmup,0.785747,0.553893,0.950169,0.420091,0.000000,0.560000,0.758735,0.835044,0.758621,0.772589,0.000000,0.442478,0.753846,0.395137,0.945140,0.418182,0.000000,0.455000,0.783505,0.831387,0.652542,0.754739,0.000000,0.632911,0.706731,0.537190,0.955253,0.422018,0.000000,0.728000,0.735484,0.838733,0.905882,0.791304,0.000000,0.340136,0.807692,0.312500
5,warmup,0.806627,0.583221,0.965887,0.405286,0.055556,0.628352,0.777595,0.855849,0.776119,0.810355,0.000000,0.476923,0.756345,0.490385,0.967773,0.389831,0.083333,0.602941,0.794613,0.877709,0.672414,0.786215,0.000000,0.548673,0.702830,0.490385,0.964008,0.422018,0.041667,0.656000,0.761290,0.835052,0.917647,0.836025,0.000000,0.421769,0.818681,0.490385
6,warmup,0.822061,0.619352,0.971762,0.455696,0.127660,0.632353,0.778523,0.873786,0.824121,0.825532,0.137931,0.502024,0.756032,0.546798,0.972710,0.421875,0.130435,0.585034,0.811189,0.886364,0.719298,0.808333,0.121212,0.620000,0.738220,0.560606,0.970817,0.495413,0.125000,0.688000,0.748387,0.861561,0.964706,0.843478,0.160000,0.421769,0.774725,0.533654
7,warmup,0.835225,0.646700,0.973956,0.455285,0.153846,0.621723,0.794745,0.885519,0.881720,0.843826,0.196721,0.561265,0.763736,0.628062,0.984111,0.408759,0.142857,0.584507,0.809365,0.912500,0.811881,0.822904,0.166667,0.669811,0.763736,0.585062,0.964008,0.513761,0.166667,0.664000,0.780645,0.860088,0.964706,0.865839,0.240000,0.482993,0.763736,0.677885
8,warmup,0.842714,0.650750,0.977107,0.452174,0.120000,0.629921,0.790698,0.891239,0.886486,0.850299,0.206897,0.579151,0.778378,0.646651,0.978537,0.429752,0.115385,0.620155,0.815068,0.914729,0.820000,0.820809,0.181818,0.669643,0.765957,0.622222,0.975681,0.477064,0.125000,0.640000,0.767742,0.868925,0.964706,0.881988,0.240000,0.510204,0.791209,0.673077
9,warmup,0.853609,0.672368,0.980892,0.486726,0.203390,0.637681,0.813725,0.900000,0.896175,0.861613,0.196721,0.619926,0.776536,0.695035,0.988154,0.470085,0.171429,0.582781,0.824503,0.926677,0.836735,0.835473,0.166667,0.677419,0.789773,0.683721,0.973735,0.504587,0.250000,0.704000,0.803226,0.874816,0.964706,0.889441,0.240000,0.571429,0.763736,0.706731
10,warmup,0.855878,0.675138,0.981925,0.491228,0.181818,0.613793,0.811448,0.902375,0.911111,0.868932,0.246154,0.597015,0.780899,0.714953,0.986261,0.470588,0.161290,0.539394,0.848592,0.924324,0.863158,0.849348,0.200000,0.661157,0.798851,0.695455,0.977626,0.513761,0.208333,0.712000,0.777419,0.881443,0.964706,0.889441,0.320000,0.544218,0.763736,0.735577
