round,phase,accuracy,f1_macro,f1_Adware,f1_Benign,f1_Ransomware,f1_SMS_Malware,f1_Scareware,precision_Adware,precision_Benign,precision_Ransomware,precision_SMS_Malware,precision_Scareware,recall_Adware,recall_Benign,recall_Ransomware,recall_SMS_Malware,recall_Scareware
1,warmup,0.441284,0.142206,0.000000,0.621020,0.000000,0.090011,0.000000,0.000000,0.462964,0.000000,0.111187,0.000000,0.000000,0.942937,0.000000,0.075611,0.000000
2,warmup,0.457964,0.132693,0.000000,0.629794,0.000000,0.033670,0.000000,0.000000,0.461719,0.000000,0.145364,0.000000,0.000000,0.990270,0.000000,0.019040,0.000000
3,warmup,0.452811,0.142201,0.000000,0.627656,0.027081,0.056266,0.000000,0.000000,0.463562,0.201672,0.131045,0.000000,0.000000,0.971581,0.014515,0.035823,0.000000
4,warmup,0.430358,0.157383,0.000000,0.614829,0.072660,0.099424,0.000000,0.000000,0.466042,0.186943,0.109808,0.000000,0.000000,0.903174,0.045093,0.090834,0.000000
5,warmup,0.403846,0.183850,0.000000,0.598483,0.142781,0.091745,0.086239,0.000000,0.476183,0.166147,0.111904,0.158205,0.000000,0.805316,0.125177,0.077741,0.059276
6,warmup,0.395855,0.192809,0.008101,0.591750,0.151907,0.094770,0.117519,0.985714,0.479970,0.168352,0.114629,0.164190,0.004067,0.771401,0.138389,0.080777,0.091508
7,warmup,0.400995,0.192758,0.013207,0.594905,0.145094,0.091155,0.119429,0.967410,0.478568,0.171071,0.112354,0.171043,0.006649,0.785971,0.125965,0.076686,0.091745
8,warmup,0.400590,0.190439,0.000377,0.596036,0.159670,0.121474,0.074640,0.941176,0.479389,0.179157,0.120563,0.168043,0.000189,0.787705,0.144006,0.122399,0.047974
9,warmup,0.385895,0.200228,0.013996,0.582121,0.187308,0.124253,0.093462,0.962963,0.484116,0.169049,0.133561,0.166587,0.007049,0.729879,0.209990,0.116157,0.064951
10,warmup,0.301082,0.206194,0.100753,0.469863,0.237008,0.131763,0.091580,0.570889,0.505121,0.153915,0.132341,0.193221,0.055252,0.439206,0.515081,0.131191,0.060011
11,warmup,0.383183,0.219959,0.103713,0.571952,0.217693,0.107826,0.098613,0.630741,0.490628,0.169981,0.156704,0.182504,0.056502,0.685591,0.302641,0.082189,0.067558
12,warmup,0.322581,0.212720,0.101036,0.500064,0.234125,0.121731,0.106645,0.586932,0.501584,0.155185,0.155719,0.191450,0.055276,0.498555,0.476522,0.099922,0.073907
13,warmup,0.331085,0.212341,0.079915,0.513175,0.234033,0.134227,0.100351,0.712359,0.499362,0.158375,0.152155,0.190970,0.042332,0.527774,0.448094,0.120079,0.068057
14,warmup,0.401709,0.237748,0.146460,0.586199,0.186109,0.129426,0.140547,0.574808,0.490090,0.186042,0.152953,0.188688,0.083922,0.729199,0.186175,0.112172,0.111977
15,warmup,0.107881,0.071361,0.000000,0.000000,0.000000,0.164165,0.192640,0.000000,0.000000,0.000000,0.092043,0.154603,0.000000,0.000000,0.000000,0.758492,0.255501
16,ensemble,0.381011,0.242004,0.152587,0.564689,0.223884,0.129543,0.139317,0.643107,0.497386,0.182317,0.149475,0.185859,0.086562,0.653057,0.290003,0.114302,0.111416
17,ensemble,0.397102,0.237240,0.156624,0.583572,0.195659,0.144192,0.106152,0.624846,0.491792,0.194106,0.131531,0.190450,0.089533,0.717469,0.197237,0.159550,0.073583
