round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.572401,0.367419,0.600728,0.421053,0.000000,0.349650,0.432247,0.722011,0.520661,0.549933,0.000000,0.141176,0.617761,0.053812,0.798387,0.403361,0.000000,0.310559,0.461538,0.747634,0.401274,0.429972,0.000000,0.521739,0.476190,0.400000,0.481518,0.440367,0.000000,0.400000,0.406452,0.698085,0.741176,0.762733,0.000000,0.081633,0.879121,0.028846
2,warmup,0.738311,0.511835,0.888023,0.458874,0.133333,0.515581,0.643718,0.823439,0.582996,0.733804,0.000000,0.401747,0.716279,0.244224,0.888889,0.434426,0.142857,0.399123,0.690037,0.857941,0.444444,0.697648,0.000000,0.560976,0.620968,0.389474,0.887160,0.486239,0.125000,0.728000,0.603226,0.791605,0.847059,0.773913,0.000000,0.312925,0.846154,0.177885
3,warmup,0.794598,0.594087,0.950048,0.475410,0.235294,0.531507,0.693944,0.852792,0.808989,0.835651,0.032258,0.515625,0.716049,0.481481,0.938330,0.429630,0.400000,0.404167,0.704319,0.907731,0.774194,0.850708,0.027027,0.605505,0.650224,0.464286,0.962062,0.532110,0.166667,0.776000,0.683871,0.804124,0.847059,0.821118,0.040000,0.448980,0.796703,0.500000
4,warmup,0.833636,0.628062,0.964717,0.511450,0.232558,0.616393,0.732049,0.898605,0.800000,0.869837,0.037037,0.570312,0.726316,0.577465,0.958694,0.437908,0.263158,0.522222,0.800766,0.920463,0.709091,0.876419,0.034483,0.669725,0.696970,0.564220,0.970817,0.614679,0.208333,0.752000,0.674194,0.877761,0.917647,0.863354,0.040000,0.496599,0.758242,0.591346
5,warmup,0.850431,0.650850,0.970258,0.532319,0.204082,0.644444,0.746167,0.911006,0.847826,0.878272,0.037037,0.625455,0.746667,0.666667,0.972630,0.454545,0.200000,0.600000,0.790614,0.898925,0.787879,0.928077,0.034483,0.671875,0.725389,0.655814,0.967899,0.642202,0.208333,0.696000,0.706452,0.923417,0.917647,0.833540,0.040000,0.585034,0.769231,0.677885
6,warmup,0.864730,0.678460,0.971817,0.562044,0.285714,0.624561,0.776632,0.922623,0.872928,0.892605,0.105263,0.623656,0.792453,0.711217,0.970874,0.466667,0.250000,0.556250,0.830882,0.923304,0.822917,0.925333,0.153846,0.659091,0.777778,0.706161,0.972763,0.706422,0.333333,0.712000,0.729032,0.921944,0.929412,0.862112,0.080000,0.591837,0.807692,0.716346
7,warmup,0.877894,0.697240,0.976317,0.558704,0.212766,0.649254,0.809061,0.924934,0.925714,0.909434,0.177778,0.650350,0.810667,0.761905,0.970221,0.500000,0.217391,0.608392,0.811688,0.948183,0.900000,0.921019,0.200000,0.669065,0.787565,0.721030,0.982490,0.633028,0.208333,0.696000,0.806452,0.902798,0.952941,0.898137,0.160000,0.632653,0.835165,0.807692
8,warmup,0.880390,0.715610,0.980526,0.577406,0.413793,0.669202,0.783972,0.932601,0.920455,0.911458,0.169492,0.664577,0.814404,0.749436,0.981481,0.530769,0.352941,0.637681,0.852273,0.927843,0.890110,0.957592,0.147059,0.616279,0.821229,0.706383,0.979572,0.633028,0.500000,0.704000,0.725806,0.937408,0.952941,0.869565,0.200000,0.721088,0.807692,0.798077
9,warmup,0.888788,0.718414,0.980222,0.557377,0.367347,0.682731,0.813223,0.937130,0.915254,0.913771,0.171429,0.660194,0.835106,0.787185,0.972249,0.503704,0.360000,0.685484,0.833898,0.941308,0.880435,0.947931,0.300000,0.629630,0.809278,0.751092,0.988327,0.623853,0.375000,0.680000,0.793548,0.932990,0.952941,0.881988,0.120000,0.693878,0.862637,0.826923
10,warmup,0.894689,0.738397,0.984421,0.604082,0.400000,0.687747,0.826087,0.939927,0.925714,0.918223,0.264151,0.682759,0.839237,0.788419,0.985380,0.544118,0.428571,0.679688,0.857639,0.935131,0.900000,0.953209,0.250000,0.692308,0.832432,0.734440,0.983463,0.678899,0.375000,0.696000,0.796774,0.944772,0.952941,0.885714,0.280000,0.673469,0.846154,0.850962
11,warmup,0.902860,0.752633,0.982592,0.610879,0.384615,0.705882,0.851852,0.945917,0.926554,0.922194,0.327273,0.703833,0.844687,0.825316,0.976923,0.561538,0.357143,0.692308,0.890845,0.932713,0.891304,0.947575,0.300000,0.721429,0.837838,0.871658,0.988327,0.669725,0.416667,0.720000,0.816129,0.959499,0.964706,0.898137,0.360000,0.687075,0.851648,0.783654
12,warmup,0.902406,0.755786,0.985902,0.597510,0.347826,0.721569,0.828571,0.945731,0.923977,0.918314,0.409091,0.703072,0.861878,0.825986,0.985423,0.545455,0.363636,0.707692,0.815625,0.929587,0.918605,0.977560,0.473684,0.705479,0.866667,0.798206,0.986381,0.660550,0.333333,0.736000,0.841935,0.962445,0.929412,0.865839,0.360000,0.700680,0.857143,0.855769
13,warmup,0.901044,0.745171,0.984959,0.584362,0.333333,0.699248,0.848684,0.944196,0.919540,0.928297,0.320000,0.712871,0.845938,0.820628,0.982575,0.529851,0.300000,0.659574,0.865772,0.954135,0.898876,0.957728,0.320000,0.692308,0.862857,0.768908,0.987354,0.651376,0.375000,0.744000,0.832258,0.934462,0.941176,0.900621,0.320000,0.734694,0.829670,0.879808
14,warmup,0.912392,0.762008,0.986395,0.627615,0.360000,0.736000,0.865574,0.954763,0.931034,0.931977,0.326531,0.720848,0.866667,0.836689,0.985437,0.576923,0.346154,0.736000,0.880000,0.953711,0.910112,0.954427,0.333333,0.750000,0.876404,0.782427,0.987354,0.688073,0.375000,0.736000,0.851613,0.955817,0.952941,0.910559,0.320000,0.693878,0.857143,0.899038
