round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.570359,0.371686,0.624709,0.403587,0.000000,0.363636,0.433613,0.699764,0.516667,0.550467,0.000000,0.171429,0.617761,0.078603,0.779070,0.394737,0.000000,0.333333,0.452632,0.752542,0.400000,0.428670,0.000000,0.535714,0.476190,0.428571,0.521401,0.412844,0.000000,0.400000,0.416129,0.653903,0.729412,0.768944,0.000000,0.102041,0.879121,0.043269
2,warmup,0.734453,0.506994,0.893032,0.438017,0.115385,0.516854,0.644068,0.815578,0.581673,0.730977,0.000000,0.394737,0.709382,0.244224,0.900990,0.398496,0.107143,0.398268,0.678571,0.846947,0.439759,0.706019,0.000000,0.555556,0.607843,0.389474,0.885214,0.486239,0.125000,0.736000,0.612903,0.786451,0.858824,0.757764,0.000000,0.306122,0.851648,0.177885
3,warmup,0.794144,0.589926,0.945024,0.481013,0.181818,0.540541,0.700658,0.850394,0.804469,0.831153,0.032787,0.507937,0.721393,0.481928,0.921442,0.445312,0.333333,0.408163,0.714765,0.913706,0.765957,0.833750,0.027778,0.609524,0.659091,0.483092,0.969844,0.522936,0.125000,0.800000,0.687097,0.795287,0.847059,0.828571,0.040000,0.435374,0.796703,0.480769
4,warmup,0.832274,0.633140,0.965651,0.540146,0.200000,0.621622,0.720280,0.893020,0.857143,0.870706,0.068966,0.560311,0.725849,0.573991,0.960539,0.448485,0.250000,0.538012,0.786260,0.920970,0.804124,0.875628,0.060606,0.654545,0.691542,0.537815,0.970817,0.678899,0.166667,0.736000,0.664516,0.866716,0.917647,0.865839,0.080000,0.489796,0.763736,0.615385
5,warmup,0.845892,0.637516,0.968962,0.530769,0.125000,0.632353,0.752080,0.907263,0.835165,0.886731,0.034483,0.600733,0.745308,0.631347,0.966151,0.456954,0.125000,0.585034,0.776632,0.917860,0.783505,0.925676,0.030303,0.650794,0.727749,0.583673,0.971790,0.633028,0.125000,0.688000,0.729032,0.896907,0.894118,0.850932,0.040000,0.557823,0.763736,0.687500
6,warmup,0.866546,0.674368,0.976767,0.562738,0.237288,0.626761,0.766257,0.924326,0.880435,0.902518,0.097561,0.632302,0.773842,0.711628,0.972062,0.480519,0.200000,0.559748,0.841699,0.926721,0.818182,0.939516,0.125000,0.638889,0.767568,0.689189,0.981518,0.678899,0.291667,0.712000,0.703226,0.921944,0.952941,0.868323,0.080000,0.625850,0.780220,0.735577
7,warmup,0.876986,0.698878,0.980010,0.582677,0.304348,0.659176,0.809836,0.921687,0.923977,0.911521,0.095238,0.657343,0.821053,0.719665,0.982405,0.510345,0.318182,0.619718,0.823333,0.942989,0.918605,0.934726,0.117647,0.676259,0.787879,0.637037,0.977626,0.678899,0.291667,0.704000,0.796774,0.901325,0.929412,0.889441,0.080000,0.639456,0.857143,0.826923
8,warmup,0.878348,0.706130,0.978682,0.550388,0.313725,0.680000,0.810435,0.929844,0.925714,0.902375,0.161290,0.662338,0.793388,0.765376,0.974903,0.476510,0.296296,0.680000,0.879245,0.918162,0.900000,0.962025,0.135135,0.633540,0.795580,0.727273,0.982490,0.651376,0.333333,0.680000,0.751613,0.941826,0.952941,0.849689,0.200000,0.693878,0.791209,0.807692
9,warmup,0.889469,0.731013,0.982592,0.612766,0.444444,0.707317,0.816529,0.936139,0.919540,0.910955,0.200000,0.662116,0.827027,0.752735,0.976923,0.571429,0.400000,0.719008,0.837288,0.938564,0.898876,0.940476,0.266667,0.664384,0.813830,0.690763,0.988327,0.660550,0.500000,0.696000,0.796774,0.933726,0.941176,0.883230,0.160000,0.659864,0.840659,0.826923
10,warmup,0.894689,0.736223,0.985956,0.575221,0.421053,0.678967,0.826446,0.938866,0.908046,0.923858,0.266667,0.677966,0.853333,0.778302,0.981678,0.555556,0.363636,0.630137,0.847458,0.944817,0.887640,0.944228,0.300000,0.675676,0.829016,0.763889,0.990272,0.596330,0.500000,0.736000,0.806452,0.932990,0.929412,0.904348,0.240000,0.680272,0.879121,0.793269
