round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.572401,0.367419,0.600728,0.421053,0.000000,0.349650,0.432247,0.722011,0.520661,0.549933,0.000000,0.141176,0.617761,0.053812,0.798387,0.403361,0.000000,0.310559,0.461538,0.747634,0.401274,0.429972,0.000000,0.521739,0.476190,0.400000,0.481518,0.440367,0.000000,0.400000,0.406452,0.698085,0.741176,0.762733,0.000000,0.081633,0.879121,0.028846
2,warmup,0.738311,0.510501,0.892338,0.462185,0.125000,0.510870,0.648370,0.822494,0.592593,0.730539,0.000000,0.394737,0.715596,0.231293,0.889749,0.426357,0.125000,0.386831,0.692308,0.855892,0.455696,0.705202,0.000000,0.555556,0.614173,0.395349,0.894942,0.504587,0.125000,0.752000,0.609677,0.791605,0.847059,0.757764,0.000000,0.306122,0.857143,0.163462
3,warmup,0.797095,0.585515,0.944312,0.500000,0.117647,0.552113,0.695935,0.858910,0.808743,0.832905,0.000000,0.508065,0.724138,0.483412,0.924511,0.451852,0.200000,0.426087,0.701639,0.903987,0.755102,0.862850,0.000000,0.623762,0.656250,0.476636,0.964981,0.559633,0.083333,0.784000,0.690323,0.818115,0.870588,0.804969,0.000000,0.428571,0.807692,0.490385
4,warmup,0.830912,0.630348,0.959654,0.537313,0.222222,0.621622,0.726957,0.894836,0.861878,0.865992,0.037037,0.540323,0.719160,0.577181,0.947818,0.452830,0.238095,0.538012,0.788679,0.916602,0.812500,0.881596,0.034483,0.663366,0.688442,0.539749,0.971790,0.660550,0.208333,0.736000,0.674194,0.874080,0.917647,0.850932,0.040000,0.455782,0.752747,0.620192
5,warmup,0.847027,0.644524,0.972630,0.518797,0.196078,0.632812,0.742760,0.906132,0.838710,0.891536,0.035088,0.607774,0.746667,0.645299,0.977407,0.439490,0.185185,0.618321,0.787004,0.932243,0.772277,0.900000,0.031250,0.632353,0.725389,0.580769,0.967899,0.633028,0.208333,0.648000,0.703226,0.881443,0.917647,0.883230,0.040000,0.585034,0.769231,0.725962
6,warmup,0.872220,0.684639,0.976109,0.578125,0.301887,0.638596,0.790460,0.926616,0.883978,0.901427,0.050000,0.650519,0.800000,0.717949,0.978495,0.503401,0.275862,0.568750,0.837545,0.918899,0.833333,0.943012,0.066667,0.661972,0.808989,0.696833,0.973735,0.678899,0.333333,0.728000,0.748387,0.934462,0.941176,0.863354,0.040000,0.639456,0.791209,0.740385
7,warmup,0.882660,0.699447,0.980583,0.590717,0.240000,0.649446,0.815789,0.927874,0.919540,0.908750,0.097561,0.655405,0.830688,0.777011,0.978682,0.546875,0.230769,0.602740,0.832215,0.947086,0.898876,0.914465,0.125000,0.651007,0.801020,0.744493,0.982490,0.642202,0.250000,0.704000,0.800000,0.909426,0.941176,0.903106,0.080000,0.659864,0.862637,0.812500
8,warmup,0.875851,0.705479,0.981095,0.558704,0.327273,0.659091,0.792254,0.927206,0.920455,0.900723,0.178571,0.650155,0.819672,0.750552,0.977778,0.500000,0.290323,0.625899,0.872093,0.925844,0.890110,0.956704,0.161290,0.596591,0.815217,0.693878,0.984436,0.633028,0.375000,0.696000,0.725806,0.928571,0.952941,0.850932,0.200000,0.714286,0.824176,0.817308
9,warmup,0.894235,0.731575,0.982575,0.600000,0.392157,0.698039,0.825871,0.944526,0.910112,0.908626,0.238095,0.643110,0.843243,0.792541,0.977842,0.570248,0.370370,0.684615,0.849829,0.936324,0.870968,0.935526,0.294118,0.669118,0.829787,0.769231,0.987354,0.633028,0.416667,0.712000,0.803226,0.952872,0.952941,0.883230,0.200000,0.619048,0.857143,0.817308
10,warmup,0.895597,0.736680,0.985380,0.615385,0.367347,0.682353,0.828947,0.940481,0.920455,0.922881,0.269231,0.675958,0.846995,0.784753,0.987305,0.550725,0.360000,0.669231,0.845638,0.944321,0.890110,0.947644,0.259259,0.692857,0.842391,0.735294,0.983463,0.697248,0.375000,0.696000,0.812903,0.936672,0.952941,0.899379,0.280000,0.659864,0.851648,0.841346
11,warmup,0.906264,0.748335,0.984988,0.598291,0.318182,0.739837,0.847896,0.952242,0.931818,0.923372,0.295082,0.691781,0.859551,0.836983,0.980714,0.560000,0.350000,0.752066,0.850649,0.942960,0.901099,0.950066,0.250000,0.696552,0.879310,0.847291,0.989300,0.642202,0.291667,0.728000,0.845161,0.961708,0.964706,0.898137,0.360000,0.687075,0.840659,0.826923
12,warmup,0.899455,0.756659,0.985943,0.600000,0.448980,0.718750,0.837288,0.942280,0.931034,0.909934,0.326531,0.693069,0.856369,0.829736,0.982609,0.516556,0.440000,0.702290,0.882143,0.923621,0.910112,0.974468,0.333333,0.673077,0.844920,0.827751,0.989300,0.715596,0.458333,0.736000,0.796774,0.961708,0.952941,0.853416,0.320000,0.714286,0.868132,0.831731
13,warmup,0.899909,0.748526,0.985423,0.608365,0.366667,0.704545,0.846281,0.939678,0.931818,0.930969,0.307692,0.700361,0.853261,0.807256,0.984466,0.519481,0.305556,0.669065,0.867797,0.956522,0.901099,0.949612,0.296296,0.746154,0.844086,0.763948,0.986381,0.733945,0.458333,0.744000,0.825806,0.923417,0.964706,0.913043,0.320000,0.659864,0.862637,0.855769
14,warmup,0.909669,0.755844,0.986887,0.606299,0.375000,0.748971,0.864686,0.953812,0.941860,0.931278,0.262295,0.708772,0.860335,0.829932,0.985451,0.531034,0.375000,0.771186,0.885135,0.949635,0.931034,0.964096,0.222222,0.731884,0.875000,0.785408,0.988327,0.706422,0.375000,0.728000,0.845161,0.958027,0.952941,0.900621,0.320000,0.687075,0.846154,0.879808
15,warmup,0.912392,0.755312,0.987870,0.626016,0.304348,0.749035,0.857143,0.954596,0.931818,0.936709,0.290909,0.714286,0.865753,0.845266,0.985479,0.562044,0.318182,0.723881,0.906475,0.957069,0.901099,0.954839,0.266667,0.714286,0.863388,0.813333,0.990272,0.706422,0.291667,0.776000,0.812903,0.952135,0.964706,0.919255,0.320000,0.714286,0.868132,0.879808
16,warmup,0.915797,0.759236,0.987366,0.621849,0.266667,0.778689,0.869281,0.956934,0.936416,0.933249,0.307692,0.735395,0.870787,0.846512,0.986408,0.573643,0.285714,0.798319,0.880795,0.948625,0.920455,0.955729,0.296296,0.743056,0.890805,0.819820,0.988327,0.678899,0.250000,0.760000,0.858065,0.965390,0.952941,0.911801,0.320000,0.727891,0.851648,0.875000
17,warmup,0.916931,0.759990,0.986301,0.644351,0.280702,0.764479,0.869421,0.960849,0.919540,0.944374,0.315789,0.727273,0.849003,0.857798,0.992126,0.592308,0.242424,0.738806,0.891525,0.954909,0.898876,0.961390,0.281250,0.781250,0.881657,0.820175,0.980545,0.706422,0.333333,0.792000,0.848387,0.966863,0.941176,0.927950,0.360000,0.680272,0.818681,0.899038
18,warmup,0.920790,0.782708,0.988350,0.612903,0.416667,0.776471,0.869707,0.959326,0.928571,0.941554,0.391304,0.759322,0.879781,0.868545,0.986434,0.546763,0.416667,0.761538,0.878289,0.954778,0.939759,0.974734,0.428571,0.756757,0.875000,0.848624,0.990272,0.697248,0.416667,0.792000,0.861290,0.963918,0.917647,0.910559,0.360000,0.761905,0.884615,0.889423
19,warmup,0.919201,0.768463,0.987835,0.621514,0.346154,0.760784,0.866450,0.961468,0.941176,0.945083,0.313725,0.736486,0.875000,0.865882,0.988315,0.549296,0.321429,0.746154,0.875000,0.958303,0.941176,0.972405,0.307692,0.731544,0.905882,0.847926,0.987354,0.715596,0.375000,0.776000,0.858065,0.964654,0.941176,0.919255,0.320000,0.741497,0.846154,0.884615
20,warmup,0.926691,0.775067,0.991687,0.604444,0.400000,0.769231,0.877193,0.966433,0.941176,0.954944,0.271186,0.732394,0.889503,0.902613,0.997050,0.586207,0.384615,0.740741,0.867508,0.968219,0.941176,0.962169,0.235294,0.759124,0.894444,0.892019,0.986381,0.623853,0.416667,0.800000,0.887097,0.964654,0.941176,0.947826,0.320000,0.707483,0.884615,0.913462
21,phase2,0.923967,0.780429,0.987775,0.618474,0.431373,0.798387,0.859504,0.965189,0.946746,0.951297,0.307692,0.729825,0.880000,0.888889,0.993117,0.550000,0.407407,0.804878,0.881356,0.960613,0.952381,0.969072,0.296296,0.753623,0.854922,0.874419,0.982490,0.706422,0.458333,0.792000,0.838710,0.969809,0.941176,0.934161,0.320000,0.707483,0.906593,0.903846
22,phase2,0.926237,0.795953,0.987427,0.652893,0.468085,0.782946,0.869281,0.966226,0.946746,0.946829,0.400000,0.741259,0.894879,0.894866,0.981731,0.593985,0.478261,0.759398,0.880795,0.963397,0.952381,0.977513,0.325000,0.762590,0.878307,0.910448,0.993191,0.724771,0.458333,0.808000,0.858065,0.969072,0.941176,0.918012,0.520000,0.721088,0.912088,0.879808
23,phase2,0.924421,0.787011,0.989279,0.629032,0.456140,0.776119,0.878939,0.963323,0.947368,0.954855,0.357143,0.758123,0.859416,0.874396,0.991211,0.561151,0.393939,0.727273,0.904437,0.979452,0.941860,0.950739,0.322581,0.807692,0.830769,0.878641,0.987354,0.715596,0.541667,0.832000,0.854839,0.947717,0.952941,0.959006,0.400000,0.714286,0.890110,0.870192
24,phase2,0.935089,0.808071,0.990282,0.701299,0.500000,0.785992,0.885668,0.971345,0.946746,0.957941,0.400000,0.773050,0.875000,0.909535,0.989320,0.663934,0.464286,0.765152,0.884244,0.969208,0.952381,0.968274,0.400000,0.807407,0.865591,0.925373,0.991245,0.743119,0.541667,0.808000,0.887097,0.973490,0.941176,0.947826,0.400000,0.741497,0.884615,0.894231
25,phase2,0.930549,0.794650,0.990263,0.658333,0.488889,0.811475,0.867672,0.970610,0.946108,0.959094,0.339623,0.750000,0.874667,0.879070,0.991228,0.603053,0.523810,0.831933,0.902439,0.968475,0.963415,0.971939,0.321429,0.744966,0.849741,0.851351,0.989300,0.724771,0.458333,0.792000,0.835484,0.972754,0.929412,0.946584,0.360000,0.755102,0.901099,0.908654
26,phase2,0.939855,0.819204,0.991254,0.684444,0.595745,0.801556,0.895082,0.975413,0.945455,0.963614,0.409091,0.766102,0.894057,0.908642,0.990291,0.663793,0.608696,0.780303,0.910000,0.972202,0.975000,0.973384,0.473684,0.763514,0.843902,0.934010,0.992218,0.706422,0.583333,0.824000,0.880645,0.978645,0.917647,0.954037,0.360000,0.768707,0.950549,0.884615
