round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.591693,0.419312,0.790234,0.356164,0.000000,0.456338,0.408955,0.653010,0.620690,0.546422,0.000000,0.416149,0.626305,0.157480,0.810010,0.284153,0.000000,0.352174,0.380556,0.755319,0.606742,0.521445,0.000000,0.382857,0.505051,0.173410,0.771401,0.477064,0.000000,0.648000,0.441935,0.575110,0.635294,0.573913,0.000000,0.455782,0.824176,0.144231
2,warmup,0.772583,0.545996,0.946514,0.484305,0.000000,0.680412,0.660413,0.831150,0.604255,0.747409,0.064516,0.503759,0.702564,0.326648,0.929644,0.473684,0.000000,0.596386,0.789238,0.800273,0.473333,0.780785,0.166667,0.563025,0.658654,0.404255,0.964008,0.495413,0.000000,0.792000,0.567742,0.864507,0.835294,0.716770,0.040000,0.455782,0.752747,0.274038
3,warmup,0.826827,0.624450,0.968566,0.461538,0.051282,0.704453,0.734982,0.880499,0.767568,0.827153,0.129032,0.647059,0.767624,0.553648,0.978175,0.432000,0.066667,0.713115,0.812500,0.876642,0.710000,0.837150,0.333333,0.622642,0.731343,0.500000,0.959144,0.495413,0.041667,0.696000,0.670968,0.884389,0.835294,0.817391,0.080000,0.673469,0.807692,0.620192
4,warmup,0.848842,0.653056,0.967301,0.508197,0.133333,0.719008,0.730104,0.907295,0.827586,0.858537,0.055556,0.683871,0.779221,0.666667,0.970617,0.459259,0.142857,0.743590,0.787313,0.937206,0.808989,0.843114,0.090909,0.650307,0.738916,0.591078,0.964008,0.568807,0.125000,0.696000,0.680645,0.879234,0.847059,0.874534,0.040000,0.721088,0.824176,0.764423
5,warmup,0.868815,0.666284,0.972656,0.530973,0.081633,0.725191,0.752508,0.925858,0.877193,0.881057,0.000000,0.705882,0.787402,0.755056,0.976471,0.512821,0.080000,0.693431,0.781250,0.927568,0.872093,0.892857,0.000000,0.718310,0.753769,0.708861,0.968872,0.550459,0.083333,0.760000,0.725806,0.924153,0.882353,0.869565,0.000000,0.693878,0.824176,0.807692
6,warmup,0.873355,0.681572,0.974460,0.553191,0.050000,0.738589,0.738302,0.932018,0.858824,0.896334,0.187500,0.713376,0.785714,0.750552,0.984127,0.515873,0.062500,0.767241,0.797753,0.925254,0.858824,0.912484,0.153846,0.670659,0.785714,0.693878,0.964981,0.596330,0.041667,0.712000,0.687097,0.938881,0.858824,0.880745,0.240000,0.761905,0.785714,0.817308
7,warmup,0.881071,0.710081,0.974234,0.591093,0.166667,0.748971,0.759076,0.931394,0.870588,0.901587,0.250000,0.730061,0.827027,0.770270,0.973761,0.528986,0.250000,0.771186,0.777027,0.943353,0.870588,0.922078,0.225806,0.664804,0.813830,0.724576,0.974708,0.669725,0.125000,0.728000,0.741935,0.919735,0.870588,0.881988,0.280000,0.809524,0.840659,0.822115
8,warmup,0.890150,0.734157,0.973863,0.613546,0.318182,0.774704,0.765009,0.939903,0.863905,0.917303,0.275862,0.748344,0.836842,0.782418,0.969171,0.542254,0.350000,0.765625,0.816850,0.953066,0.869048,0.940026,0.242424,0.729032,0.803030,0.720648,0.978599,0.706422,0.291667,0.784000,0.719355,0.927099,0.858824,0.895652,0.320000,0.768707,0.873626,0.855769
9,warmup,0.896505,0.745136,0.978578,0.606299,0.390244,0.755906,0.777963,0.947133,0.869048,0.923272,0.281250,0.765273,0.848485,0.798186,0.979532,0.531034,0.470588,0.744186,0.806228,0.957831,0.879518,0.943005,0.230769,0.725610,0.850829,0.755365,0.977626,0.706422,0.333333,0.768000,0.751613,0.936672,0.858824,0.904348,0.360000,0.809524,0.846154,0.846154
10,warmup,0.906264,0.758924,0.977756,0.642857,0.391304,0.760331,0.783217,0.955687,0.865497,0.941325,0.338462,0.778816,0.858757,0.813084,0.972115,0.566434,0.409091,0.786325,0.854962,0.958519,0.860465,0.956410,0.275000,0.718391,0.883721,0.790909,0.983463,0.743119,0.375000,0.736000,0.722581,0.952872,0.870588,0.926708,0.440000,0.850340,0.835165,0.836538
