round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.217204,0.185375,0.246407,0.000000,0.000000,0.159420,0.137032,0.258734,0.563218,0.194536,0.000000,0.121101,0.451031,0.093023,0.415704,0.000000,0.000000,0.846154,0.078782,0.500000,0.550562,0.809091,0.000000,0.082915,0.294613,0.090090,0.175097,0.000000,0.000000,0.088000,0.525806,0.174521,0.576471,0.110559,0.000000,0.224490,0.961538,0.096154
2,warmup,0.768271,0.538052,0.944656,0.406780,0.000000,0.526316,0.735099,0.812715,0.673077,0.778540,0.046512,0.461538,0.719807,0.351585,0.926966,0.529412,0.000000,0.383212,0.755102,0.846768,0.569106,0.781955,0.055556,0.474820,0.642241,0.438849,0.963035,0.330275,0.000000,0.840000,0.716129,0.781296,0.823529,0.775155,0.040000,0.448980,0.818681,0.293269
3,warmup,0.814798,0.599288,0.973956,0.386740,0.186047,0.572271,0.795883,0.859885,0.708333,0.859837,0.067797,0.506944,0.714617,0.559140,0.984111,0.486111,0.210526,0.453271,0.849817,0.898156,0.635514,0.870229,0.058824,0.517730,0.618474,0.505837,0.964008,0.321101,0.166667,0.776000,0.748387,0.824742,0.800000,0.849689,0.080000,0.496599,0.846154,0.625000
4,warmup,0.852020,0.643887,0.978953,0.319018,0.274510,0.637288,0.829431,0.901961,0.750000,0.895062,0.160000,0.585551,0.773196,0.621677,0.985222,0.481481,0.259259,0.552941,0.861111,0.924266,0.652174,0.889571,0.160000,0.663793,0.728155,0.540925,0.972763,0.238532,0.291667,0.752000,0.800000,0.880707,0.882353,0.900621,0.160000,0.523810,0.824176,0.730769
5,warmup,0.862460,0.681779,0.973443,0.461538,0.327273,0.651613,0.843854,0.902439,0.823529,0.910559,0.222222,0.611940,0.784810,0.668122,0.966443,0.523256,0.290323,0.545946,0.869863,0.935229,0.823529,0.910559,0.206897,0.677686,0.727700,0.612000,0.980545,0.412844,0.375000,0.808000,0.819355,0.871870,0.823529,0.910559,0.240000,0.557823,0.851648,0.735577
6,warmup,0.879029,0.704739,0.975398,0.455556,0.292683,0.699647,0.845659,0.918919,0.875740,0.921085,0.281250,0.666667,0.812183,0.712088,0.967464,0.577465,0.352941,0.626582,0.842949,0.951143,0.880952,0.914321,0.230769,0.696296,0.754717,0.655870,0.983463,0.376147,0.250000,0.792000,0.848387,0.888807,0.870588,0.927950,0.360000,0.639456,0.879121,0.778846
7,warmup,0.883114,0.703242,0.977713,0.444444,0.210526,0.732075,0.851133,0.921613,0.881988,0.920755,0.237288,0.686275,0.822622,0.752475,0.973938,0.525000,0.285714,0.692857,0.853896,0.953543,0.934211,0.932484,0.205882,0.660377,0.772947,0.639731,0.981518,0.385321,0.166667,0.776000,0.848387,0.891753,0.835294,0.909317,0.280000,0.714286,0.879121,0.913462
8,warmup,0.894689,0.725221,0.977713,0.465347,0.347826,0.752768,0.859935,0.938456,0.891429,0.929073,0.237288,0.673993,0.834646,0.794179,0.973938,0.505376,0.363636,0.698630,0.868421,0.950869,0.866667,0.956579,0.205882,0.730159,0.798995,0.699634,0.981518,0.431193,0.333333,0.816000,0.851613,0.926362,0.917647,0.903106,0.280000,0.625850,0.873626,0.918269
9,warmup,0.904448,0.747744,0.981445,0.575107,0.368421,0.741259,0.869712,0.943215,0.916667,0.934004,0.266667,0.706767,0.831522,0.838137,0.985294,0.540323,0.500000,0.658385,0.914591,0.944609,0.927711,0.945293,0.228571,0.789916,0.822581,0.777778,0.977626,0.614679,0.291667,0.848000,0.829032,0.941826,0.905882,0.922981,0.320000,0.639456,0.840659,0.908654
10,warmup,0.912619,0.750838,0.979297,0.525773,0.388889,0.787402,0.884375,0.948949,0.915663,0.942643,0.208333,0.727891,0.851948,0.848889,0.969495,0.600000,0.583333,0.775194,0.857576,0.967841,0.938272,0.946183,0.217391,0.727891,0.807882,0.789256,0.989300,0.467890,0.291667,0.800000,0.912903,0.930781,0.894118,0.939130,0.200000,0.727891,0.901099,0.918269
11,warmup,0.913527,0.763610,0.981978,0.544554,0.487805,0.764286,0.901639,0.951785,0.915663,0.941550,0.254545,0.736486,0.845304,0.837719,0.983415,0.591398,0.588235,0.690323,0.916667,0.951435,0.938272,0.963589,0.233333,0.731544,0.850000,0.770161,0.980545,0.504587,0.416667,0.856000,0.887097,0.952135,0.894118,0.920497,0.280000,0.741497,0.840659,0.918269
12,warmup,0.912846,0.761315,0.983957,0.560000,0.444444,0.760563,0.892562,0.950169,0.896552,0.942999,0.266667,0.743243,0.832877,0.861751,0.983479,0.615385,0.400000,0.679245,0.915254,0.967201,0.876404,0.940667,0.228571,0.738255,0.830601,0.827434,0.984436,0.513761,0.500000,0.864000,0.870968,0.933726,0.917647,0.945342,0.320000,0.748299,0.835165,0.899038
