round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.591693,0.419312,0.790234,0.356164,0.000000,0.456338,0.408955,0.653010,0.620690,0.546422,0.000000,0.416149,0.626305,0.157480,0.810010,0.284153,0.000000,0.352174,0.380556,0.755319,0.606742,0.521445,0.000000,0.382857,0.505051,0.173410,0.771401,0.477064,0.000000,0.648000,0.441935,0.575110,0.635294,0.573913,0.000000,0.455782,0.824176,0.144231
2,warmup,0.773264,0.547402,0.946062,0.486486,0.000000,0.680412,0.665421,0.831031,0.604255,0.748220,0.064516,0.513208,0.702564,0.326648,0.928772,0.477876,0.000000,0.596386,0.791111,0.800683,0.473333,0.781081,0.166667,0.576271,0.658654,0.404255,0.964008,0.495413,0.000000,0.792000,0.574194,0.863770,0.835294,0.718012,0.040000,0.462585,0.752747,0.274038
3,warmup,0.825465,0.625358,0.968504,0.467532,0.097561,0.695652,0.731794,0.879827,0.755319,0.823903,0.142857,0.636066,0.771654,0.533632,0.980080,0.442623,0.117647,0.687500,0.814229,0.862703,0.689320,0.843750,0.666667,0.613924,0.738693,0.500000,0.957198,0.495413,0.083333,0.704000,0.664516,0.897644,0.835294,0.804969,0.080000,0.659864,0.807692,0.572115
4,warmup,0.851566,0.648874,0.968750,0.524017,0.090909,0.725806,0.732297,0.907920,0.808989,0.857491,0.000000,0.711538,0.790698,0.668076,0.972549,0.500000,0.100000,0.731707,0.788104,0.935207,0.774194,0.841099,0.000000,0.672727,0.746341,0.596226,0.964981,0.550459,0.083333,0.720000,0.683871,0.882180,0.847059,0.874534,0.000000,0.755102,0.840659,0.759615
5,warmup,0.866773,0.663552,0.971262,0.547945,0.083333,0.730038,0.751252,0.924556,0.855491,0.880559,0.000000,0.711864,0.781003,0.725322,0.972683,0.545455,0.083333,0.695652,0.778547,0.928678,0.840909,0.901170,0.000000,0.709459,0.751269,0.655039,0.969844,0.550459,0.083333,0.768000,0.725806,0.920471,0.870588,0.860870,0.000000,0.714286,0.813187,0.812500
6,warmup,0.873581,0.691103,0.974634,0.567901,0.130435,0.745902,0.751286,0.928809,0.847059,0.897598,0.200000,0.725490,0.788889,0.735230,0.977495,0.514925,0.136364,0.764706,0.802198,0.930525,0.847059,0.913771,0.171429,0.698113,0.797753,0.674699,0.971790,0.633028,0.125000,0.728000,0.706452,0.927099,0.847059,0.881988,0.240000,0.755102,0.780220,0.807692
7,warmup,0.880390,0.707448,0.972789,0.583691,0.210526,0.742857,0.753247,0.932986,0.862275,0.901608,0.200000,0.738095,0.826087,0.765217,0.971845,0.548387,0.285714,0.758333,0.758170,0.943524,0.878049,0.934667,0.200000,0.656085,0.817204,0.698413,0.973735,0.623853,0.166667,0.728000,0.748387,0.922680,0.847059,0.870807,0.200000,0.843537,0.835165,0.846154
8,warmup,0.885837,0.731718,0.975279,0.596078,0.311111,0.766284,0.756849,0.932786,0.870588,0.914541,0.307692,0.733542,0.850000,0.765864,0.971981,0.520548,0.333333,0.735294,0.806569,0.946212,0.870588,0.939712,0.296296,0.680233,0.859551,0.702811,0.978599,0.697248,0.291667,0.800000,0.712903,0.919735,0.870588,0.890683,0.320000,0.795918,0.840659,0.841346
9,warmup,0.899228,0.739387,0.979075,0.629482,0.292683,0.769231,0.781726,0.949090,0.858757,0.927445,0.275862,0.762821,0.850136,0.796339,0.979552,0.556338,0.352941,0.778689,0.822064,0.957989,0.826087,0.942308,0.242424,0.721212,0.843243,0.759825,0.978599,0.724771,0.250000,0.760000,0.745161,0.940353,0.894118,0.913043,0.320000,0.809524,0.857143,0.836538
10,warmup,0.907626,0.760798,0.976294,0.672199,0.266667,0.772908,0.785835,0.955081,0.865497,0.933333,0.423077,0.772586,0.873950,0.832151,0.971126,0.613636,0.285714,0.769841,0.823322,0.955081,0.860465,0.954545,0.407407,0.712644,0.891429,0.818605,0.981518,0.743119,0.250000,0.776000,0.751613,0.955081,0.870588,0.913043,0.440000,0.843537,0.857143,0.846154
11,warmup,0.916251,0.773866,0.982405,0.675799,0.377358,0.783270,0.814815,0.961058,0.863636,0.945249,0.377358,0.803859,0.883191,0.818391,0.987230,0.672727,0.344828,0.746377,0.852113,0.958944,0.835165,0.957908,0.357143,0.762195,0.917160,0.784141,0.977626,0.678899,0.416667,0.824000,0.780645,0.963181,0.894118,0.932919,0.400000,0.850340,0.851648,0.855769
12,warmup,0.922152,0.779015,0.982902,0.721739,0.380952,0.812500,0.816949,0.968120,0.833333,0.947631,0.357143,0.800000,0.878873,0.848039,0.987242,0.685950,0.444444,0.793893,0.860714,0.963530,0.789474,0.951189,0.322581,0.750000,0.901734,0.865000,0.978599,0.761468,0.333333,0.832000,0.777419,0.972754,0.882353,0.944099,0.400000,0.857143,0.857143,0.831731
13,warmup,0.925329,0.789834,0.981960,0.718615,0.380952,0.804598,0.830189,0.967339,0.862275,0.954574,0.428571,0.815287,0.892045,0.841608,0.984360,0.680328,0.444444,0.772059,0.886447,0.964155,0.878049,0.956359,0.387097,0.766467,0.923529,0.827907,0.979572,0.761468,0.333333,0.840000,0.780645,0.970545,0.847059,0.952795,0.480000,0.870748,0.862637,0.855769
14,warmup,0.922152,0.783735,0.982918,0.746781,0.325581,0.796813,0.824877,0.965237,0.865497,0.948232,0.394366,0.841463,0.867257,0.845794,0.986288,0.701613,0.368421,0.793651,0.837209,0.969539,0.860465,0.964056,0.304348,0.762431,0.936306,0.822727,0.979572,0.798165,0.291667,0.800000,0.812903,0.960972,0.870588,0.932919,0.560000,0.938776,0.807692,0.870192
15,warmup,0.928734,0.797847,0.984360,0.735043,0.347826,0.795181,0.851351,0.967766,0.845714,0.957063,0.509804,0.847352,0.893258,0.839450,0.989194,0.688000,0.363636,0.798387,0.893617,0.973900,0.822222,0.958853,0.500000,0.781609,0.913793,0.802632,0.979572,0.788991,0.333333,0.792000,0.812903,0.961708,0.870588,0.955280,0.520000,0.925170,0.873626,0.879808
16,warmup,0.935315,0.808175,0.981942,0.765766,0.375000,0.814229,0.858097,0.973549,0.843931,0.962135,0.482759,0.868167,0.900850,0.871671,0.985309,0.752212,0.375000,0.804688,0.889273,0.971408,0.829545,0.961538,0.424242,0.823171,0.929825,0.878049,0.978599,0.779817,0.375000,0.824000,0.829032,0.975700,0.858824,0.962733,0.560000,0.918367,0.873626,0.865385
17,warmup,0.932138,0.797720,0.983816,0.750000,0.313725,0.821138,0.839465,0.973684,0.857143,0.964173,0.476190,0.831250,0.888889,0.873171,0.992087,0.707317,0.296296,0.834711,0.871528,0.966618,0.833333,0.975827,0.394737,0.768786,0.923077,0.886139,0.975681,0.798165,0.333333,0.808000,0.809677,0.980854,0.882353,0.952795,0.600000,0.904762,0.857143,0.860577
18,warmup,0.937812,0.815036,0.985366,0.752137,0.400000,0.825000,0.876033,0.971997,0.883721,0.962687,0.490566,0.863492,0.892655,0.876777,0.988258,0.704000,0.428571,0.860870,0.898305,0.972714,0.873563,0.963885,0.464286,0.809524,0.918605,0.864486,0.982490,0.807339,0.375000,0.792000,0.854839,0.971281,0.894118,0.961491,0.520000,0.925170,0.868132,0.889423
19,warmup,0.936223,0.809201,0.983957,0.725000,0.444444,0.826255,0.860972,0.975717,0.890173,0.962823,0.413793,0.851735,0.880682,0.894866,0.983479,0.664122,0.476190,0.798507,0.895470,0.975000,0.875000,0.976982,0.363636,0.794118,0.911765,0.910448,0.984436,0.798165,0.416667,0.856000,0.829032,0.976436,0.905882,0.949068,0.480000,0.918367,0.851648,0.879808
20,warmup,0.940082,0.814989,0.985323,0.751055,0.425532,0.811245,0.875000,0.976401,0.868571,0.971393,0.466667,0.865204,0.883721,0.899756,0.991142,0.695312,0.434783,0.814516,0.892617,0.977843,0.844444,0.972603,0.400000,0.802326,0.938272,0.915423,0.979572,0.816514,0.416667,0.808000,0.858065,0.974963,0.894118,0.970186,0.560000,0.938776,0.835165,0.884615
21,phase2,0.944167,0.827153,0.984421,0.759494,0.428571,0.839506,0.883797,0.976761,0.894118,0.968105,0.500000,0.889610,0.912568,0.888889,0.985380,0.703125,0.500000,0.864407,0.897010,0.978566,0.894118,0.974811,0.521739,0.850932,0.907609,0.874419,0.983463,0.825688,0.375000,0.816000,0.870968,0.974963,0.894118,0.961491,0.480000,0.931973,0.917582,0.903846
22,phase2,0.942578,0.826852,0.986288,0.789238,0.431373,0.846154,0.872910,0.976112,0.887640,0.971322,0.507937,0.884615,0.885714,0.882927,0.993097,0.771930,0.407407,0.814815,0.906250,0.974321,0.849462,0.974969,0.421053,0.836364,0.922619,0.896040,0.979572,0.807339,0.458333,0.880000,0.841935,0.977909,0.929412,0.967702,0.640000,0.938776,0.851648,0.870192
23,phase2,0.935769,0.808916,0.986328,0.715447,0.491803,0.803213,0.866774,0.974721,0.893855,0.962121,0.380952,0.853583,0.883333,0.894866,0.990196,0.642336,0.405405,0.806452,0.862620,0.984234,0.851064,0.978177,0.470588,0.787356,0.893258,0.910448,0.982490,0.807339,0.625000,0.800000,0.870968,0.965390,0.941176,0.946584,0.320000,0.931973,0.873626,0.879808
24,phase2,0.942351,0.830011,0.984944,0.761506,0.480000,0.848980,0.881686,0.974492,0.899408,0.971069,0.500000,0.896104,0.879310,0.882629,0.983511,0.700000,0.461538,0.866667,0.885993,0.978471,0.904762,0.983439,0.451613,0.857143,0.921687,0.862385,0.986381,0.834862,0.500000,0.832000,0.877419,0.970545,0.894118,0.959006,0.560000,0.938776,0.840659,0.903846
25,phase2,0.953019,0.841729,0.986315,0.790909,0.545455,0.852459,0.906149,0.981257,0.918605,0.980124,0.409091,0.920000,0.902174,0.908213,0.991159,0.783784,0.483871,0.873950,0.909091,0.979457,0.908046,0.980124,0.473684,0.901961,0.892473,0.912621,0.981518,0.798165,0.625000,0.832000,0.903226,0.983063,0.929412,0.980124,0.360000,0.938776,0.912088,0.903846
26,phase2,0.952338,0.847077,0.989268,0.778243,0.595745,0.830508,0.907251,0.981591,0.904762,0.980247,0.490566,0.896774,0.903047,0.906921,0.992172,0.715385,0.608696,0.882883,0.950530,0.981591,0.915663,0.974233,0.464286,0.852761,0.910615,0.900474,0.986381,0.853211,0.583333,0.784000,0.867742,0.981591,0.894118,0.986335,0.520000,0.945578,0.895604,0.913462
27,phase2,0.952338,0.850609,0.989247,0.820084,0.600000,0.826446,0.908180,0.979517,0.875740,0.978882,0.520000,0.896774,0.895775,0.916667,0.994106,0.753846,0.576923,0.854701,0.941176,0.973110,0.880952,0.978882,0.520000,0.852761,0.919075,0.935000,0.984436,0.899083,0.625000,0.800000,0.877419,0.986009,0.870588,0.978882,0.520000,0.945578,0.873626,0.899038
28,phase2,0.947798,0.834936,0.989731,0.748971,0.549020,0.846154,0.896774,0.980464,0.887574,0.974230,0.468085,0.881029,0.900000,0.897196,0.995084,0.679104,0.518519,0.908257,0.896774,0.981550,0.892857,0.986005,0.500000,0.835366,0.910112,0.872727,0.984436,0.834862,0.583333,0.792000,0.896774,0.979381,0.882353,0.962733,0.440000,0.931973,0.890110,0.923077
29,phase2,0.952338,0.839998,0.988304,0.770563,0.500000,0.825397,0.917219,0.980550,0.894118,0.982565,0.500000,0.911475,0.880000,0.929782,0.990234,0.729508,0.500000,0.818898,0.942177,0.977323,0.894118,0.985019,0.451613,0.879747,0.916667,0.936585,0.986381,0.816514,0.500000,0.832000,0.893548,0.983800,0.894118,0.980124,0.560000,0.945578,0.846154,0.923077
30,phase2,0.951884,0.849965,0.989761,0.774468,0.551724,0.836653,0.907317,0.983413,0.883721,0.981250,0.596491,0.905537,0.890208,0.899038,0.992180,0.722222,0.470588,0.833333,0.914754,0.984502,0.873563,0.987421,0.531250,0.868750,0.967742,0.899038,0.987354,0.834862,0.666667,0.840000,0.900000,0.982327,0.894118,0.975155,0.680000,0.945578,0.824176,0.899038
31,phase2,0.956196,0.858860,0.990718,0.765432,0.565217,0.837398,0.913706,0.983113,0.914286,0.985037,0.615385,0.888179,0.929972,0.917874,0.995093,0.694030,0.590909,0.851240,0.960854,0.980234,0.888889,0.988736,0.592593,0.837349,0.948571,0.922330,0.986381,0.853211,0.541667,0.824000,0.870968,0.986009,0.941176,0.981366,0.640000,0.945578,0.912088,0.913462
32,phase2,0.954380,0.858797,0.987835,0.753036,0.608696,0.844828,0.908475,0.980407,0.918605,0.984520,0.576923,0.905537,0.927614,0.909091,0.988315,0.673913,0.636364,0.915888,0.957143,0.984410,0.908046,0.981481,0.555556,0.868750,0.905759,0.904762,0.987354,0.853211,0.583333,0.784000,0.864516,0.976436,0.929412,0.987578,0.600000,0.945578,0.950549,0.913462
33,phase2,0.958012,0.866709,0.992210,0.811966,0.612245,0.859438,0.908486,0.984185,0.916667,0.978803,0.581818,0.896774,0.935211,0.922705,0.993177,0.760000,0.600000,0.862903,0.938144,0.983101,0.927711,0.982478,0.533333,0.852761,0.959538,0.927184,0.991245,0.871560,0.625000,0.856000,0.880645,0.985272,0.905882,0.975155,0.640000,0.945578,0.912088,0.918269
34,phase2,0.958693,0.866819,0.990700,0.809091,0.642857,0.873563,0.917492,0.984954,0.892655,0.982522,0.555556,0.920000,0.910112,0.922330,0.997044,0.801802,0.562500,0.838235,0.939189,0.981712,0.858696,0.987453,0.517241,0.901961,0.931034,0.931373,0.984436,0.816514,0.750000,0.912000,0.896774,0.988218,0.929412,0.977640,0.600000,0.938776,0.890110,0.913462
35,phase2,0.956423,0.866967,0.992672,0.812227,0.680000,0.872000,0.901024,0.983859,0.908046,0.983157,0.576271,0.864198,0.903790,0.926366,0.997056,0.775000,0.653846,0.872000,0.956522,0.980263,0.887640,0.987469,0.500000,0.790960,0.962733,0.915493,0.988327,0.853211,0.708333,0.872000,0.851613,0.987482,0.929412,0.978882,0.680000,0.952381,0.851648,0.937500
36,phase2,0.958693,0.869413,0.991711,0.789916,0.692308,0.857143,0.917923,0.985294,0.902439,0.983811,0.576923,0.875000,0.930362,0.930120,0.994135,0.728682,0.642857,0.902655,0.954704,0.983847,0.936709,0.986267,0.555556,0.809249,0.943503,0.932367,0.989300,0.862385,0.750000,0.816000,0.883871,0.986745,0.870588,0.981366,0.600000,0.952381,0.917582,0.927885
37,phase2,0.955742,0.861594,0.992203,0.783333,0.720000,0.844262,0.909396,0.986352,0.900585,0.983871,0.507042,0.896104,0.895184,0.920792,0.994141,0.717557,0.692308,0.865546,0.947552,0.988174,0.895349,0.982652,0.391304,0.857143,0.923977,0.948980,0.990272,0.862385,0.750000,0.824000,0.874194,0.984536,0.905882,0.985093,0.720000,0.938776,0.868132,0.894231
38,phase2,0.959147,0.860245,0.990709,0.814159,0.640000,0.875502,0.921311,0.985656,0.897727,0.986318,0.472727,0.920000,0.907563,0.911271,0.996067,0.786325,0.615385,0.879032,0.936667,0.984570,0.868132,0.987547,0.433333,0.901961,0.925714,0.909091,0.985409,0.844037,0.666667,0.872000,0.906452,0.986745,0.929412,0.985093,0.520000,0.938776,0.890110,0.913462
39,phase2,0.956423,0.859900,0.990234,0.824074,0.571429,0.858238,0.917342,0.984139,0.905882,0.978247,0.549020,0.923077,0.888889,0.928230,0.994118,0.831776,0.434783,0.823529,0.921824,0.985957,0.905882,0.978856,0.538462,0.907895,0.950000,0.923810,0.986381,0.816514,0.833333,0.896000,0.912903,0.982327,0.905882,0.977640,0.560000,0.938776,0.835165,0.932692
40,phase2,0.959374,0.865674,0.995612,0.794979,0.666667,0.853659,0.921273,0.986774,0.895706,0.981413,0.551724,0.899676,0.908571,0.932039,0.998045,0.730769,0.629630,0.867769,0.958188,0.984604,0.935897,0.978986,0.484848,0.858025,0.946429,0.941176,0.993191,0.871560,0.708333,0.840000,0.887097,0.988954,0.858824,0.983851,0.640000,0.945578,0.873626,0.923077
41,phase2,0.950976,0.846120,0.991202,0.788382,0.515152,0.832653,0.904605,0.984547,0.886364,0.978001,0.590164,0.893891,0.863905,0.924574,0.996071,0.719697,0.404762,0.850000,0.922819,0.983824,0.857143,0.989822,0.500000,0.847561,0.935897,0.935961,0.986381,0.871560,0.708333,0.816000,0.887097,0.985272,0.917647,0.966460,0.720000,0.945578,0.802198,0.913462
42,phase2,0.955515,0.852486,0.992188,0.794872,0.600000,0.842105,0.908497,0.984593,0.912281,0.976715,0.488889,0.893891,0.900552,0.935252,0.996078,0.744000,0.576923,0.852459,0.920530,0.980994,0.906977,0.989796,0.550000,0.847561,0.905556,0.933014,0.988327,0.853211,0.625000,0.832000,0.896774,0.988218,0.917647,0.963975,0.440000,0.945578,0.895604,0.937500
43,phase2,0.959374,0.869091,0.993157,0.786885,0.692308,0.854902,0.919094,0.987090,0.911243,0.979232,0.541667,0.904918,0.932584,0.926014,0.998035,0.711111,0.642857,0.838462,0.922078,0.988914,0.916667,0.992347,0.565217,0.873418,0.954023,0.919431,0.988327,0.880734,0.750000,0.872000,0.916129,0.985272,0.905882,0.966460,0.520000,0.938776,0.912088,0.932692
44,phase2,0.962551,0.869492,0.993662,0.809917,0.653846,0.859574,0.915858,0.990805,0.923977,0.982500,0.533333,0.914474,0.913649,0.942308,0.996090,0.736842,0.607143,0.918182,0.918831,0.989713,0.918605,0.988679,0.600000,0.885350,0.926554,0.942308,0.991245,0.899083,0.708333,0.808000,0.912903,0.991900,0.929412,0.976398,0.480000,0.945578,0.901099,0.942308
45,phase2,0.961416,0.874151,0.994146,0.843049,0.680851,0.861660,0.901316,0.989706,0.903955,0.981795,0.583333,0.892405,0.922652,0.934940,0.997065,0.824561,0.695652,0.851562,0.919463,0.988253,0.869565,0.992386,0.608696,0.834320,0.927778,0.937198,0.991245,0.862385,0.666667,0.872000,0.883871,0.991163,0.941176,0.971429,0.560000,0.959184,0.917582,0.932692
46,phase2,0.966409,0.885967,0.992180,0.858407,0.705882,0.883333,0.934426,0.988244,0.909091,0.987547,0.590909,0.926667,0.919355,0.935561,0.997053,0.829060,0.666667,0.921739,0.950000,0.986070,0.879121,0.990012,0.684211,0.908497,0.900000,0.928910,0.987354,0.889908,0.750000,0.848000,0.919355,0.990427,0.941176,0.985093,0.520000,0.945578,0.939560,0.942308
47,phase2,0.965048,0.882578,0.993662,0.805310,0.681818,0.894737,0.921536,0.990063,0.914634,0.988191,0.631579,0.904459,0.920904,0.944039,0.996090,0.777778,0.750000,0.843972,0.955017,0.989698,0.949367,0.988806,0.562500,0.850299,0.947674,0.955665,0.991245,0.834862,0.625000,0.952000,0.890323,0.990427,0.882353,0.987578,0.720000,0.965986,0.895604,0.932692
48,phase2,0.963232,0.868418,0.992188,0.805085,0.603774,0.860558,0.931092,0.990092,0.908046,0.989461,0.583333,0.911475,0.907042,0.938875,0.996078,0.748031,0.551724,0.857143,0.971930,0.986832,0.887640,0.987624,0.608696,0.879747,0.930636,0.955224,0.988327,0.871560,0.666667,0.864000,0.893548,0.993373,0.929412,0.991304,0.560000,0.945578,0.884615,0.923077
49,phase2,0.963459,0.872729,0.993662,0.830357,0.640000,0.883534,0.924875,0.987491,0.923077,0.986916,0.549020,0.900322,0.919220,0.934272,0.996090,0.808696,0.615385,0.887097,0.958478,0.986765,0.928571,0.990000,0.538462,0.853659,0.932203,0.912844,0.991245,0.853211,0.666667,0.880000,0.893548,0.988218,0.917647,0.983851,0.560000,0.952381,0.906593,0.956731
50,phase2,0.964821,0.872672,0.993655,0.849785,0.566038,0.869919,0.925125,0.990448,0.913295,0.987578,0.603774,0.921053,0.909091,0.942308,0.997062,0.798387,0.517241,0.884298,0.955326,0.988270,0.897727,0.987578,0.571429,0.891720,0.941176,0.942308,0.990272,0.908257,0.625000,0.856000,0.896774,0.992636,0.929412,0.987578,0.640000,0.952381,0.879121,0.942308
