round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.381525,0.223492,0.636506,0.099174,0.000000,0.141844,0.192513,0.216687,0.544554,0.214623,0.000000,0.139535,0.461538,0.034934,0.470070,0.070866,0.000000,0.625000,0.562500,0.701613,0.470085,0.204265,0.000000,0.220588,0.304196,0.190476,0.985409,0.165138,0.000000,0.080000,0.116129,0.128130,0.647059,0.226087,0.000000,0.102041,0.956044,0.019231
2,warmup,0.734907,0.473103,0.951841,0.429825,0.000000,0.620690,0.633333,0.795531,0.516854,0.660811,0.000000,0.274510,0.663755,0.130081,0.924771,0.411765,0.000000,0.595588,0.743478,0.736216,0.379121,0.724444,0.000000,0.491228,0.550725,0.421053,0.980545,0.449541,0.000000,0.648000,0.551613,0.865243,0.811765,0.607453,0.000000,0.190476,0.835165,0.076923
3,warmup,0.790286,0.548499,0.967835,0.473896,0.076923,0.663934,0.631579,0.860977,0.672811,0.815740,0.000000,0.376569,0.672414,0.369305,0.955450,0.421429,0.500000,0.680672,0.721992,0.871698,0.553030,0.820352,0.000000,0.489130,0.553191,0.368421,0.980545,0.541284,0.041667,0.648000,0.561290,0.850515,0.858824,0.811180,0.000000,0.306122,0.857143,0.370192
4,warmup,0.826600,0.599924,0.974806,0.500000,0.000000,0.699187,0.684119,0.894162,0.795580,0.877388,0.111111,0.485075,0.713592,0.464066,0.971042,0.495495,0.000000,0.710744,0.745247,0.915189,0.750000,0.870416,0.103448,0.537190,0.639130,0.405018,0.978599,0.504587,0.000000,0.688000,0.632258,0.874080,0.847059,0.884472,0.120000,0.442177,0.807692,0.543269
5,warmup,0.838175,0.610186,0.973417,0.510460,0.000000,0.689956,0.679577,0.912100,0.831461,0.883198,0.084507,0.501818,0.719603,0.536131,0.967339,0.469231,0.000000,0.759615,0.748062,0.911095,0.795699,0.888191,0.065217,0.539062,0.656109,0.520362,0.979572,0.559633,0.000000,0.632000,0.622581,0.913108,0.870588,0.878261,0.120000,0.469388,0.796703,0.552885
6,warmup,0.852701,0.659249,0.975869,0.584071,0.222222,0.721569,0.700173,0.915867,0.865497,0.889029,0.156863,0.535211,0.746867,0.597753,0.968391,0.564103,0.333333,0.707692,0.756554,0.917899,0.860465,0.902689,0.153846,0.554745,0.686636,0.561181,0.983463,0.605505,0.166667,0.736000,0.651613,0.913844,0.870588,0.875776,0.160000,0.517007,0.818681,0.639423
7,warmup,0.853836,0.671699,0.971182,0.562249,0.210526,0.757202,0.713311,0.916448,0.913295,0.889594,0.193548,0.555556,0.754098,0.623377,0.959203,0.500000,0.285714,0.779661,0.757246,0.932876,0.897727,0.909209,0.162162,0.534591,0.750000,0.566929,0.983463,0.642202,0.166667,0.736000,0.674194,0.900589,0.929412,0.870807,0.240000,0.578231,0.758242,0.692308
8,warmup,0.867000,0.679569,0.978166,0.569038,0.111111,0.736402,0.714542,0.930450,0.928571,0.897727,0.276923,0.597938,0.768362,0.645598,0.975799,0.523077,0.166667,0.771930,0.805668,0.911080,0.939759,0.912709,0.225000,0.604167,0.790698,0.608511,0.980545,0.623853,0.083333,0.704000,0.641935,0.950663,0.917647,0.883230,0.360000,0.591837,0.747253,0.687500
9,warmup,0.866773,0.691573,0.975822,0.564885,0.157895,0.740157,0.736842,0.926775,0.934132,0.901085,0.327273,0.590769,0.778098,0.665138,0.970192,0.483660,0.214286,0.728682,0.777778,0.930906,0.951220,0.926509,0.300000,0.539326,0.818182,0.635965,0.981518,0.678899,0.125000,0.752000,0.700000,0.922680,0.917647,0.877019,0.360000,0.653061,0.741758,0.697115
10,warmup,0.869042,0.693030,0.977778,0.568000,0.212766,0.710744,0.724196,0.935236,0.913295,0.900645,0.318841,0.578947,0.787535,0.688372,0.971209,0.503546,0.217391,0.735043,0.761566,0.929455,0.897727,0.936913,0.250000,0.560510,0.812865,0.666667,0.984436,0.651376,0.208333,0.688000,0.690323,0.941090,0.929412,0.867081,0.440000,0.598639,0.763736,0.711538
11,warmup,0.873128,0.695768,0.982473,0.549020,0.139535,0.696035,0.748344,0.930007,0.929412,0.910006,0.350877,0.608696,0.820937,0.683871,0.983431,0.479452,0.157895,0.774510,0.768707,0.940512,0.929412,0.922194,0.312500,0.598684,0.823204,0.618677,0.981518,0.642202,0.125000,0.632000,0.729032,0.919735,0.929412,0.898137,0.400000,0.619048,0.818681,0.764423
