round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.148661,0.117306,0.185308,0.062016,0.000000,0.124567,0.136619,0.096192,0.187500,0.064904,0.000000,0.098795,0.451777,0.000000,0.289855,0.043165,0.000000,0.109756,0.078882,0.517986,0.818182,1.000000,0.000000,0.060029,0.293729,0.000000,0.136187,0.110092,0.000000,0.144000,0.509677,0.053019,0.105882,0.033540,0.000000,0.278912,0.978022,0.000000
2,warmup,0.708806,0.490738,0.886996,0.482490,0.000000,0.496689,0.666667,0.748773,0.600000,0.656852,0.000000,0.359649,0.740741,0.250000,0.822795,0.418919,0.000000,0.423729,0.665595,0.842541,0.475862,0.603538,0.000000,0.506173,0.672646,0.486111,0.962062,0.568807,0.000000,0.600000,0.667742,0.673785,0.811765,0.720497,0.000000,0.278912,0.824176,0.168269
3,warmup,0.793010,0.561226,0.958678,0.468468,0.000000,0.590406,0.693164,0.855696,0.640777,0.793059,0.114286,0.479087,0.737864,0.403226,0.958212,0.460177,0.000000,0.547945,0.683386,0.840796,0.545455,0.821571,0.200000,0.543103,0.660870,0.457317,0.959144,0.477064,0.000000,0.640000,0.703226,0.871134,0.776471,0.766460,0.080000,0.428571,0.835165,0.360577
4,warmup,0.822969,0.597409,0.967930,0.431718,0.080000,0.611511,0.733652,0.884949,0.723404,0.852273,0.060606,0.539249,0.766917,0.516704,0.966990,0.415254,1.000000,0.555556,0.725552,0.907193,0.660194,0.866496,0.125000,0.541096,0.705069,0.481328,0.968872,0.449541,0.041667,0.680000,0.741935,0.863770,0.800000,0.838509,0.040000,0.537415,0.840659,0.557692
5,warmup,0.834771,0.612984,0.969283,0.472574,0.074074,0.623077,0.740984,0.895620,0.751323,0.866667,0.090909,0.544118,0.768831,0.558352,0.971652,0.437500,0.333333,0.600000,0.753333,0.887844,0.682692,0.895364,0.105263,0.592000,0.729064,0.532751,0.966926,0.513761,0.041667,0.648000,0.729032,0.903535,0.835294,0.839752,0.080000,0.503401,0.813187,0.586538
6,warmup,0.840445,0.619089,0.971735,0.500000,0.074074,0.614815,0.740864,0.910088,0.782123,0.868176,0.041667,0.587859,0.753247,0.584416,0.973633,0.464567,0.333333,0.572414,0.763699,0.903483,0.744681,0.935438,0.043478,0.554217,0.714286,0.531496,0.969844,0.541284,0.041667,0.664000,0.719355,0.916789,0.823529,0.809938,0.040000,0.625850,0.796703,0.649038
7,warmup,0.850885,0.633087,0.975490,0.491525,0.074074,0.634921,0.765957,0.911392,0.817680,0.887604,0.048780,0.600000,0.774536,0.615079,0.983202,0.456693,0.333333,0.629921,0.777409,0.921687,0.770833,0.918883,0.062500,0.588235,0.748718,0.523649,0.967899,0.532110,0.041667,0.640000,0.754839,0.901325,0.870588,0.858385,0.040000,0.612245,0.802198,0.745192
8,warmup,0.864730,0.658132,0.974659,0.555556,0.129032,0.640000,0.770932,0.921324,0.853801,0.895658,0.046512,0.637584,0.782383,0.690141,0.976562,0.520000,0.285714,0.586667,0.755418,0.919971,0.848837,0.936314,0.055556,0.629139,0.740196,0.674312,0.972763,0.596330,0.083333,0.704000,0.787097,0.922680,0.858824,0.858385,0.040000,0.646259,0.829670,0.706731
9,warmup,0.865411,0.659960,0.974939,0.566802,0.068966,0.614815,0.769231,0.920588,0.834286,0.895151,0.088889,0.670968,0.807198,0.707692,0.985104,0.507246,0.200000,0.572414,0.780731,0.919236,0.811111,0.947295,0.100000,0.638037,0.758454,0.651822,0.964981,0.642202,0.041667,0.664000,0.758065,0.921944,0.858824,0.848447,0.080000,0.707483,0.862637,0.774038
10,warmup,0.870177,0.664652,0.975442,0.545455,0.117647,0.658824,0.781457,0.925220,0.848837,0.903435,0.047619,0.662921,0.800000,0.708972,0.985119,0.540541,0.200000,0.646154,0.802721,0.921168,0.839080,0.944444,0.058824,0.564593,0.797814,0.650602,0.965953,0.550459,0.083333,0.672000,0.761290,0.929308,0.858824,0.865839,0.040000,0.802721,0.802198,0.778846
