round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0050
22,phase2,0.0020
23,phase2,0.0020
24,phase2,0.0030
25,phase2,0.0020
26,phase2,0.0020
27,phase2,0.0020
28,phase2,0.0020
29,phase2,0.0030
30,phase2,0.0030
31,phase2,0.0020
32,phase2,0.0020
33,phase2,0.0020
34,phase2,0.0030
35,phase2,0.0020
36,phase2,0.0020
37,phase2,0.0020
38,phase2,0.0032
39,phase2,0.0020
40,phase2,0.0020
41,phase2,0.0020
42,phase2,0.0030
43,phase2,0.0020
44,phase2,0.0020
45,phase2,0.0020
46,phase2,0.0025
47,phase2,0.0020
48,phase2,0.0020
49,phase2,0.0030
50,phase2,0.0020
