round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.646618,0.360609,0.757041,0.016000,0.000000,0.212500,0.505714,0.759832,0.535519,0.715916,0.000000,0.252381,0.572402,0.000000,0.743205,0.062500,0.000000,0.485714,0.453846,0.789056,0.500000,0.693023,0.000000,0.194139,0.414815,0.000000,0.771401,0.009174,0.000000,0.136000,0.570968,0.732695,0.576471,0.740373,0.000000,0.360544,0.923077,0.000000
2,warmup,0.796414,0.519521,0.934388,0.393617,0.000000,0.542274,0.688406,0.873700,0.639640,0.856793,0.000000,0.445205,0.700229,0.160000,0.895629,0.468354,0.000000,0.426606,0.785124,0.881559,0.518248,0.844391,0.000000,0.448276,0.600000,0.476190,0.976654,0.339450,0.000000,0.744000,0.612903,0.865979,0.835294,0.869565,0.000000,0.442177,0.840659,0.096154
3,warmup,0.835679,0.591304,0.971981,0.469484,0.000000,0.597561,0.753065,0.904129,0.768362,0.888331,0.140351,0.505929,0.714286,0.382166,0.965451,0.480769,0.000000,0.482759,0.823755,0.882270,0.739130,0.897338,0.125000,0.603774,0.630252,0.566038,0.978599,0.458716,0.000000,0.784000,0.693548,0.927099,0.800000,0.879503,0.160000,0.435374,0.824176,0.288462
4,warmup,0.844530,0.622798,0.967064,0.454976,0.114286,0.660256,0.772809,0.910492,0.795322,0.887237,0.133333,0.543307,0.705882,0.528610,0.949391,0.470588,0.181818,0.550802,0.867470,0.907164,0.790698,0.885043,0.114286,0.644860,0.637168,0.610063,0.985409,0.440367,0.083333,0.824000,0.696774,0.913844,0.800000,0.889441,0.160000,0.469388,0.791209,0.466346
5,warmup,0.851112,0.627132,0.976225,0.442478,0.097561,0.671010,0.768116,0.916516,0.808743,0.891875,0.085106,0.560886,0.714286,0.592784,0.973863,0.427350,0.117647,0.565934,0.876033,0.899929,0.755102,0.919525,0.090909,0.612903,0.647321,0.638889,0.978599,0.458716,0.083333,0.824000,0.683871,0.933726,0.870588,0.865839,0.080000,0.517007,0.796703,0.552885
6,warmup,0.855197,0.646951,0.966239,0.450216,0.181818,0.679868,0.781982,0.921423,0.825581,0.891224,0.137931,0.550388,0.717172,0.659574,0.945116,0.426230,0.200000,0.578652,0.885714,0.927612,0.816092,0.886839,0.121212,0.639640,0.663551,0.738095,0.988327,0.477064,0.166667,0.824000,0.700000,0.915317,0.835294,0.895652,0.160000,0.482993,0.780220,0.596154
7,warmup,0.863822,0.650053,0.979157,0.464455,0.100000,0.708333,0.788632,0.923412,0.842105,0.905100,0.105263,0.591549,0.718204,0.674419,0.975845,0.480392,0.125000,0.625767,0.877470,0.910523,0.837209,0.942204,0.093750,0.613139,0.657534,0.653153,0.982490,0.449541,0.083333,0.816000,0.716129,0.936672,0.847059,0.870807,0.120000,0.571429,0.791209,0.697115
8,warmup,0.873128,0.657846,0.981481,0.454106,0.058824,0.743295,0.819562,0.927557,0.869565,0.907035,0.085106,0.625806,0.740554,0.681265,0.983398,0.479592,0.100000,0.713235,0.858657,0.917207,0.921053,0.917408,0.090909,0.595092,0.683721,0.689655,0.979572,0.431193,0.041667,0.776000,0.783871,0.938144,0.823529,0.896894,0.080000,0.659864,0.807692,0.673077
9,warmup,0.876078,0.666746,0.982422,0.484018,0.097561,0.724528,0.827350,0.931171,0.833333,0.917206,0.140351,0.613718,0.731343,0.717949,0.986275,0.481818,0.117647,0.685714,0.880000,0.911785,0.843373,0.956815,0.125000,0.653846,0.668182,0.696833,0.978599,0.486239,0.083333,0.768000,0.780645,0.951399,0.823529,0.880745,0.160000,0.578231,0.807692,0.740385
10,warmup,0.881525,0.669046,0.980564,0.490385,0.060606,0.730769,0.831081,0.937996,0.827586,0.918263,0.140351,0.657343,0.740360,0.713253,0.979612,0.515152,0.111111,0.703704,0.872340,0.918785,0.808989,0.944809,0.125000,0.676259,0.695652,0.714976,0.981518,0.467890,0.041667,0.760000,0.793548,0.958027,0.847059,0.893168,0.160000,0.639456,0.791209,0.711538
