round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.307308,0.219754,0.361832,0.087591,0.000000,0.564516,0.192857,0.000000,0.268817,0.495238,0.000000,0.120690,0.377083,0.168421,0.840426,0.214286,0.000000,0.569106,0.152830,0.000000,0.247525,0.351169,0.000000,0.164706,0.232648,0.115942,0.230545,0.055046,0.000000,0.560000,0.261290,0.000000,0.294118,0.839752,0.000000,0.095238,0.994505,0.307692
2,warmup,0.712665,0.501689,0.898477,0.480000,0.000000,0.569921,0.639692,0.742972,0.568889,0.693857,0.000000,0.521401,0.688453,0.216606,0.939490,0.527473,0.000000,0.425197,0.794258,0.817138,0.457143,0.583404,0.000000,0.609091,0.570397,0.434783,0.860895,0.440367,0.000000,0.864000,0.535484,0.681149,0.752941,0.855901,0.000000,0.455782,0.868132,0.144231
3,warmup,0.769178,0.565123,0.952890,0.537445,0.000000,0.575198,0.706282,0.788485,0.656863,0.777778,0.033333,0.556391,0.705584,0.491228,0.951503,0.516949,0.000000,0.429134,0.745520,0.862642,0.563025,0.734807,0.028571,0.621849,0.655660,0.513089,0.954280,0.559633,0.000000,0.872000,0.670968,0.726068,0.788235,0.826087,0.040000,0.503401,0.763736,0.471154
4,warmup,0.798457,0.598411,0.963253,0.510121,0.000000,0.664407,0.692718,0.828616,0.691489,0.810053,0.086957,0.610909,0.734177,0.588235,0.970385,0.456522,0.000000,0.576471,0.770751,0.888702,0.631068,0.764901,0.068182,0.656250,0.680751,0.537849,0.956226,0.577982,0.000000,0.784000,0.629032,0.776141,0.764706,0.860870,0.120000,0.571429,0.796703,0.649038
5,warmup,0.821834,0.627294,0.962891,0.562771,0.000000,0.657980,0.719595,0.854998,0.762431,0.840666,0.131148,0.608696,0.750000,0.676349,0.966667,0.532787,0.000000,0.554945,0.755319,0.922421,0.718750,0.806157,0.111111,0.651163,0.700000,0.594891,0.959144,0.596330,0.000000,0.808000,0.687097,0.796760,0.811765,0.878261,0.160000,0.571429,0.807692,0.783654
6,warmup,0.833863,0.643275,0.963583,0.538776,0.000000,0.651007,0.732394,0.869255,0.829268,0.876074,0.185185,0.635762,0.770053,0.667946,0.975100,0.485294,0.000000,0.560694,0.711246,0.940823,0.860759,0.865455,0.172414,0.619355,0.750000,0.555911,0.952335,0.605505,0.000000,0.776000,0.754839,0.807806,0.800000,0.886957,0.200000,0.653061,0.791209,0.836538
7,warmup,0.843622,0.657995,0.962273,0.549801,0.000000,0.708955,0.752508,0.886444,0.815642,0.870892,0.271186,0.637037,0.743802,0.697395,0.969398,0.485915,0.000000,0.664336,0.781250,0.950295,0.776596,0.825362,0.235294,0.699187,0.745856,0.597938,0.955253,0.633028,0.000000,0.760000,0.725806,0.830633,0.858824,0.921739,0.320000,0.585034,0.741758,0.836538
8,warmup,0.858829,0.667588,0.966358,0.572581,0.000000,0.668990,0.765886,0.903201,0.823529,0.899939,0.246154,0.673993,0.760870,0.729560,0.968719,0.510791,0.000000,0.592593,0.795139,0.948178,0.823529,0.879147,0.200000,0.730159,0.752688,0.646840,0.964008,0.651376,0.000000,0.768000,0.738710,0.862297,0.823529,0.921739,0.320000,0.625850,0.769231,0.836538
9,warmup,0.859056,0.670529,0.967365,0.565737,0.000000,0.664452,0.744501,0.905937,0.850575,0.903106,0.266667,0.691176,0.758442,0.728395,0.968780,0.500000,0.000000,0.568182,0.782918,0.950647,0.831461,0.903106,0.228571,0.752000,0.719212,0.636691,0.965953,0.651376,0.000000,0.800000,0.709677,0.865243,0.870588,0.903106,0.320000,0.639456,0.802198,0.850962
10,warmup,0.868361,0.682175,0.967711,0.589641,0.000000,0.657807,0.782609,0.909515,0.833333,0.899104,0.266667,0.707224,0.772487,0.800000,0.958930,0.521127,0.000000,0.562500,0.849057,0.962202,0.789474,0.865517,0.228571,0.801724,0.744898,0.751055,0.976654,0.678899,0.000000,0.792000,0.725806,0.862297,0.882353,0.935404,0.320000,0.632653,0.802198,0.855769
