round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0000
22,phase2,0.0000
23,phase2,0.0000
24,phase2,0.0000
25,phase2,0.0000
26,phase2,0.0000
27,phase2,0.0000
28,phase2,0.0010
29,phase2,0.0010
30,phase2,0.0010
31,phase2,0.0000
32,phase2,0.0000
33,phase2,0.0000
34,phase2,0.0000
35,phase2,0.0010
36,phase2,0.0000
37,phase2,0.0000
38,phase2,0.0000
39,phase2,0.0000
40,phase2,0.0000
41,phase2,0.0000
42,phase2,0.0000
43,phase2,0.0000
44,phase2,0.0000
45,phase2,0.0000
46,phase2,0.0000
47,phase2,0.0000
48,phase2,0.0010
49,phase2,0.0000
50,phase2,0.0000
