round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.646618,0.360609,0.757041,0.016000,0.000000,0.212500,0.505714,0.759832,0.535519,0.715916,0.000000,0.252381,0.572402,0.000000,0.743205,0.062500,0.000000,0.485714,0.453846,0.789056,0.500000,0.693023,0.000000,0.194139,0.414815,0.000000,0.771401,0.009174,0.000000,0.136000,0.570968,0.732695,0.576471,0.740373,0.000000,0.360544,0.923077,0.000000
2,warmup,0.796868,0.515254,0.927616,0.369942,0.000000,0.539877,0.691312,0.877835,0.623377,0.861616,0.000000,0.448276,0.690583,0.152610,0.881683,0.500000,0.000000,0.437811,0.809524,0.872093,0.493151,0.868687,0.000000,0.454545,0.583333,0.463415,0.978599,0.293578,0.000000,0.704000,0.603226,0.883652,0.847059,0.854658,0.000000,0.442177,0.846154,0.091346
3,warmup,0.830005,0.589204,0.958748,0.442211,0.062500,0.572254,0.756303,0.902017,0.795031,0.877828,0.074074,0.525180,0.716346,0.387960,0.935245,0.488889,0.125000,0.447964,0.789474,0.882934,0.842105,0.915094,0.068966,0.557252,0.636752,0.637363,0.983463,0.403670,0.041667,0.792000,0.725806,0.921944,0.752941,0.843478,0.080000,0.496599,0.818681,0.278846
4,warmup,0.843849,0.623532,0.954930,0.490566,0.058824,0.677632,0.758865,0.906273,0.828402,0.887793,0.117647,0.572491,0.715686,0.513274,0.922868,0.504854,0.100000,0.575419,0.842520,0.908284,0.833333,0.881273,0.115385,0.631148,0.646018,0.664122,0.989300,0.477064,0.041667,0.824000,0.690323,0.904271,0.823529,0.894410,0.120000,0.523810,0.802198,0.418269
5,warmup,0.842034,0.614291,0.970307,0.446352,0.095238,0.651613,0.759124,0.909827,0.780749,0.883333,0.043478,0.542125,0.713592,0.575758,0.955660,0.419355,0.111111,0.545946,0.873950,0.909492,0.715686,0.912583,0.047619,0.587302,0.639130,0.606383,0.985409,0.477064,0.083333,0.808000,0.670968,0.910162,0.858824,0.855901,0.040000,0.503401,0.807692,0.548077
6,warmup,0.851793,0.639424,0.963033,0.465517,0.150000,0.658065,0.813149,0.917037,0.833333,0.894340,0.131148,0.544000,0.694087,0.609375,0.939002,0.439024,0.187500,0.551351,0.876866,0.922504,0.843373,0.905732,0.111111,0.660194,0.652174,0.664773,0.988327,0.495413,0.125000,0.816000,0.758065,0.911635,0.823529,0.883230,0.160000,0.462585,0.741758,0.562500
7,warmup,0.869269,0.648696,0.980507,0.455814,0.058824,0.740741,0.815700,0.930148,0.839506,0.904459,0.071429,0.594982,0.716049,0.676190,0.982422,0.462264,0.100000,0.689655,0.865942,0.914591,0.883117,0.928105,0.064516,0.628788,0.650224,0.669811,0.978599,0.449541,0.041667,0.800000,0.770968,0.946244,0.800000,0.881988,0.080000,0.564626,0.796703,0.682692
8,warmup,0.874489,0.666670,0.982490,0.515284,0.108108,0.734848,0.829103,0.929515,0.836364,0.909203,0.130435,0.650847,0.725888,0.647959,0.982490,0.491667,0.153846,0.697842,0.871886,0.926794,0.862500,0.904177,0.142857,0.648649,0.674528,0.690217,0.982490,0.541284,0.083333,0.776000,0.790323,0.932253,0.811765,0.914286,0.120000,0.653061,0.785714,0.610577
9,warmup,0.870631,0.658838,0.981571,0.480687,0.050000,0.721190,0.809773,0.927042,0.855422,0.908031,0.113208,0.629870,0.730000,0.699267,0.978723,0.451613,0.062500,0.673611,0.882129,0.914102,0.876543,0.948579,0.107143,0.602484,0.669725,0.711443,0.984436,0.513761,0.041667,0.776000,0.748387,0.940353,0.835294,0.870807,0.120000,0.659864,0.802198,0.687500
10,warmup,0.876532,0.670370,0.982902,0.521739,0.146341,0.727969,0.804921,0.935543,0.845238,0.918986,0.109091,0.606498,0.736292,0.708920,0.987242,0.458333,0.176471,0.698529,0.884170,0.935888,0.855422,0.915025,0.100000,0.646154,0.701493,0.692661,0.978599,0.605505,0.125000,0.760000,0.738710,0.935199,0.835294,0.922981,0.120000,0.571429,0.774725,0.725962
