round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.399228,0.273384,0.640329,0.291045,0.000000,0.061538,0.356436,0.227409,0.496815,0.210254,0.000000,0.276074,0.656489,0.064220,0.474251,0.245283,0.000000,0.800000,0.461538,0.607029,0.541667,0.180284,0.000000,0.251397,0.611374,0.700000,0.985409,0.357798,0.000000,0.032000,0.290323,0.139912,0.458824,0.252174,0.000000,0.306122,0.708791,0.033654
2,warmup,0.778938,0.513356,0.966370,0.378788,0.000000,0.557143,0.719323,0.835294,0.621762,0.793939,0.000000,0.334601,0.747525,0.205534,0.982897,0.322581,0.000000,0.503226,0.639098,0.834068,0.555556,0.775148,0.000000,0.379310,0.680180,0.577778,0.950389,0.458716,0.000000,0.624000,0.822581,0.836524,0.705882,0.813665,0.000000,0.299320,0.829670,0.125000
3,warmup,0.820472,0.560310,0.979035,0.379032,0.000000,0.575342,0.779970,0.886765,0.670455,0.857687,0.000000,0.349442,0.774194,0.471795,0.981427,0.338129,0.000000,0.502994,0.736390,0.885463,0.648352,0.877763,0.000000,0.385246,0.757895,0.505495,0.976654,0.431193,0.000000,0.672000,0.829032,0.888071,0.694118,0.838509,0.000000,0.319728,0.791209,0.442308
4,warmup,0.838856,0.589617,0.979136,0.392453,0.055556,0.596721,0.791862,0.909296,0.674157,0.881571,0.000000,0.372624,0.788360,0.633663,0.976767,0.333333,0.083333,0.505556,0.768997,0.929946,0.645161,0.899225,0.000000,0.422414,0.760204,0.653061,0.981518,0.477064,0.041667,0.728000,0.816129,0.889543,0.705882,0.864596,0.000000,0.333333,0.818681,0.615385
5,warmup,0.847254,0.609930,0.980507,0.446281,0.078431,0.633094,0.819048,0.912150,0.662921,0.905806,0.068966,0.412451,0.759036,0.640472,0.982422,0.406015,0.074074,0.575163,0.806250,0.926348,0.634409,0.942282,0.060606,0.481818,0.840000,0.541528,0.978599,0.495413,0.083333,0.704000,0.832258,0.898380,0.694118,0.872050,0.080000,0.360544,0.692308,0.783654
6,warmup,0.860418,0.621547,0.979730,0.482213,0.000000,0.655870,0.819277,0.922097,0.729412,0.914213,0.068966,0.413223,0.779944,0.693617,0.972222,0.423611,0.000000,0.663934,0.768362,0.938262,0.729412,0.943197,0.060606,0.526316,0.790960,0.622137,0.987354,0.559633,0.000000,0.648000,0.877419,0.906480,0.729412,0.886957,0.080000,0.340136,0.769231,0.783654
7,warmup,0.851793,0.628253,0.973282,0.452297,0.080000,0.625000,0.810642,0.913362,0.756410,0.893958,0.070175,0.458015,0.788060,0.717833,0.955056,0.367816,0.076923,0.578231,0.787234,0.957224,0.830986,0.887393,0.062500,0.521739,0.862745,0.676596,0.992218,0.587156,0.083333,0.680000,0.835484,0.873343,0.694118,0.900621,0.080000,0.408163,0.725275,0.764423
8,warmup,0.856786,0.634036,0.981205,0.438017,0.126984,0.598007,0.811639,0.916571,0.784314,0.899878,0.080000,0.459016,0.780781,0.732026,0.972302,0.398496,0.102564,0.511364,0.772595,0.958970,0.882353,0.884754,0.080000,0.577320,0.860927,0.669323,0.990272,0.486239,0.166667,0.720000,0.854839,0.877761,0.705882,0.915528,0.080000,0.380952,0.714286,0.807692
9,warmup,0.873128,0.661500,0.984496,0.516949,0.142857,0.672199,0.819165,0.924471,0.767296,0.916412,0.095238,0.534884,0.805714,0.758315,0.980695,0.480315,0.125000,0.698276,0.786350,0.948837,0.824324,0.900480,0.078947,0.621622,0.839286,0.703704,0.988327,0.559633,0.166667,0.648000,0.854839,0.901325,0.717647,0.932919,0.120000,0.469388,0.774725,0.822115
10,warmup,0.883114,0.670255,0.980260,0.522088,0.081633,0.677043,0.840491,0.937453,0.794872,0.927939,0.111111,0.577617,0.817143,0.775414,0.970448,0.464286,0.080000,0.659091,0.801170,0.948042,0.873239,0.944659,0.103448,0.615385,0.851190,0.762791,0.990272,0.596330,0.083333,0.696000,0.883871,0.927099,0.729412,0.911801,0.120000,0.544218,0.785714,0.788462
11,warmup,0.884249,0.675315,0.982625,0.523207,0.111111,0.696721,0.846875,0.937407,0.769231,0.929757,0.096774,0.636986,0.819209,0.753880,0.975096,0.484375,0.100000,0.714286,0.821212,0.948718,0.845070,0.956636,0.081081,0.641379,0.843023,0.699588,0.990272,0.568807,0.125000,0.680000,0.874194,0.926362,0.705882,0.904348,0.120000,0.632653,0.796703,0.817308
12,warmup,0.893100,0.685091,0.981713,0.571429,0.093023,0.705882,0.847244,0.945748,0.797546,0.927835,0.064516,0.661972,0.839779,0.784404,0.971429,0.540984,0.105263,0.743363,0.827692,0.941606,0.833333,0.963855,0.054054,0.686131,0.844444,0.750000,0.992218,0.605505,0.083333,0.672000,0.867742,0.949926,0.764706,0.894410,0.080000,0.639456,0.835165,0.822115
13,warmup,0.885157,0.674302,0.985451,0.547529,0.078431,0.697479,0.836538,0.936803,0.797468,0.923659,0.032787,0.674330,0.830601,0.750552,0.982592,0.467532,0.074074,0.734513,0.831210,0.945946,0.863014,0.938462,0.027778,0.771930,0.826087,0.693878,0.988327,0.660550,0.083333,0.664000,0.841935,0.927835,0.741176,0.909317,0.040000,0.598639,0.835165,0.817308
14,warmup,0.889015,0.687935,0.986408,0.562771,0.163265,0.703390,0.854489,0.937407,0.812500,0.928571,0.066667,0.666667,0.826816,0.746269,0.984496,0.532787,0.160000,0.747748,0.821429,0.948718,0.866667,0.954128,0.057143,0.673611,0.840909,0.670498,0.988327,0.596330,0.166667,0.664000,0.890323,0.926362,0.764706,0.904348,0.080000,0.659864,0.813187,0.841346
15,warmup,0.898774,0.705395,0.986447,0.577778,0.208333,0.721739,0.864353,0.945848,0.783133,0.931613,0.137931,0.686667,0.810345,0.810552,0.981696,0.560345,0.208333,0.790476,0.845679,0.927762,0.802469,0.969128,0.121212,0.673203,0.849398,0.808612,0.991245,0.596330,0.208333,0.664000,0.883871,0.964654,0.764706,0.896894,0.160000,0.700680,0.774725,0.812500
16,warmup,0.892419,0.704039,0.983607,0.525424,0.217391,0.720339,0.845679,0.942258,0.815287,0.925663,0.181818,0.696552,0.825215,0.769231,0.975143,0.488189,0.227273,0.765766,0.810651,0.941220,0.888889,0.964960,0.166667,0.706294,0.862275,0.708502,0.992218,0.568807,0.208333,0.680000,0.883871,0.943299,0.752941,0.889441,0.200000,0.687075,0.791209,0.841346
17,warmup,0.900590,0.708976,0.985984,0.555066,0.200000,0.722467,0.846875,0.948857,0.823529,0.928983,0.150943,0.706294,0.831461,0.807256,0.979827,0.533898,0.250000,0.803922,0.821212,0.934954,0.926471,0.957784,0.142857,0.726619,0.850575,0.763948,0.992218,0.577982,0.166667,0.656000,0.874194,0.963181,0.741176,0.901863,0.160000,0.687075,0.813187,0.855769
18,warmup,0.901498,0.712661,0.988383,0.546185,0.250000,0.688372,0.854489,0.952207,0.819876,0.932563,0.175439,0.684385,0.837607,0.822430,0.983622,0.485714,0.312500,0.822222,0.821429,0.943601,0.868421,0.965426,0.156250,0.668831,0.869822,0.800000,0.993191,0.623853,0.208333,0.592000,0.890323,0.960972,0.776471,0.901863,0.200000,0.700680,0.807692,0.846154
19,warmup,0.908080,0.722189,0.989320,0.575221,0.243902,0.704846,0.856698,0.956966,0.811765,0.934949,0.163934,0.735786,0.859551,0.833333,0.987403,0.555556,0.294118,0.784314,0.828313,0.947977,0.811765,0.960682,0.138889,0.723684,0.879310,0.825472,0.991245,0.596330,0.208333,0.640000,0.887097,0.966127,0.811765,0.910559,0.200000,0.748299,0.840659,0.841346
20,warmup,0.904902,0.712142,0.989831,0.564815,0.240000,0.697872,0.862069,0.951491,0.780488,0.930502,0.115385,0.727869,0.843023,0.842365,0.985535,0.570093,0.230769,0.745455,0.838415,0.929123,0.810127,0.965287,0.111111,0.702532,0.895062,0.863636,0.994163,0.559633,0.250000,0.656000,0.887097,0.974963,0.752941,0.898137,0.120000,0.755102,0.796703,0.822115
21,phase2,0.899455,0.720253,0.989320,0.550847,0.166667,0.708861,0.859351,0.942642,0.831325,0.928260,0.264706,0.731707,0.859504,0.809843,0.987403,0.511811,0.166667,0.750000,0.824926,0.966718,0.851852,0.932331,0.209302,0.750000,0.861878,0.757322,0.991245,0.596330,0.166667,0.672000,0.896774,0.919735,0.811765,0.924224,0.360000,0.714286,0.857143,0.870192
22,phase2,0.910803,0.741120,0.993668,0.589212,0.269231,0.709402,0.870662,0.952488,0.850299,0.938075,0.285714,0.731183,0.858757,0.844749,0.995122,0.537879,0.250000,0.761468,0.851852,0.968061,0.865854,0.926150,0.258065,0.772727,0.883721,0.804348,0.992218,0.651376,0.291667,0.664000,0.890323,0.937408,0.835294,0.950311,0.320000,0.693878,0.835165,0.889423
23,phase2,0.909669,0.742054,0.993177,0.598131,0.235294,0.709402,0.857610,0.949868,0.863905,0.943834,0.333333,0.742857,0.851429,0.825806,0.995117,0.609524,0.222222,0.761468,0.870432,0.972973,0.869048,0.927971,0.285714,0.696429,0.886905,0.747082,0.991245,0.587156,0.250000,0.664000,0.845161,0.927835,0.858824,0.960248,0.400000,0.795918,0.818681,0.923077
24,phase2,0.914208,0.744557,0.991245,0.591549,0.285714,0.708861,0.867110,0.954087,0.857143,0.946593,0.280000,0.737500,0.876033,0.838852,0.991245,0.605769,0.333333,0.750000,0.893836,0.967449,0.867470,0.935680,0.280000,0.682081,0.878453,0.775510,0.991245,0.577982,0.250000,0.672000,0.841935,0.941090,0.847059,0.957764,0.280000,0.802721,0.873626,0.913462
25,phase2,0.919201,0.765097,0.993649,0.617647,0.301887,0.736842,0.884488,0.955056,0.874251,0.943510,0.379310,0.755556,0.856338,0.882629,0.998037,0.663158,0.275862,0.745902,0.905405,0.971799,0.890244,0.913853,0.333333,0.708333,0.878613,0.862385,0.989300,0.577982,0.333333,0.728000,0.864516,0.938881,0.858824,0.975155,0.440000,0.809524,0.835165,0.903846
26,phase2,0.912846,0.764796,0.991176,0.589744,0.360000,0.689922,0.895666,0.941087,0.874251,0.947810,0.400000,0.775510,0.868347,0.844037,0.999012,0.552000,0.346154,0.669173,0.891374,0.972506,0.890244,0.916473,0.366667,0.775510,0.885714,0.807018,0.983463,0.633028,0.375000,0.712000,0.900000,0.911635,0.858824,0.981366,0.440000,0.775510,0.851648,0.884615
27,phase2,0.899909,0.711338,0.978988,0.542553,0.270270,0.660714,0.825352,0.951009,0.839506,0.924984,0.166667,0.706714,0.858639,0.810667,0.961538,0.645570,0.384615,0.747475,0.732500,0.930889,0.883117,0.973901,0.173913,0.735294,0.820000,0.910180,0.997082,0.467890,0.208333,0.592000,0.945161,0.972018,0.800000,0.880745,0.160000,0.680272,0.901099,0.730769
28,phase2,0.914435,0.754201,0.988395,0.558376,0.346154,0.703390,0.884984,0.953652,0.838323,0.948557,0.352941,0.766773,0.859551,0.849315,0.982692,0.625000,0.321429,0.747748,0.876582,0.960418,0.853659,0.958175,0.279070,0.722892,0.879310,0.808696,0.994163,0.504587,0.375000,0.664000,0.893548,0.946981,0.823529,0.939130,0.480000,0.816327,0.840659,0.894231
29,phase2,0.909669,0.762381,0.992686,0.554455,0.434783,0.732510,0.894569,0.937500,0.869048,0.926230,0.322581,0.735849,0.871508,0.876847,0.995112,0.602151,0.454545,0.754237,0.886076,0.971564,0.879518,0.875969,0.270270,0.684211,0.886364,0.898990,0.990272,0.513761,0.416667,0.712000,0.903226,0.905744,0.858824,0.982609,0.400000,0.795918,0.857143,0.855769
30,phase2,0.921925,0.771664,0.992701,0.575472,0.431373,0.702929,0.900322,0.958580,0.887574,0.952322,0.347826,0.765101,0.857939,0.887828,0.993184,0.592233,0.407407,0.736842,0.897436,0.962853,0.892857,0.949383,0.272727,0.754967,0.870056,0.881517,0.992218,0.559633,0.458333,0.672000,0.903226,0.954345,0.882353,0.955280,0.480000,0.775510,0.846154,0.894231
31,phase2,0.924875,0.781702,0.992679,0.600000,0.439024,0.716535,0.897764,0.956681,0.881988,0.952615,0.400000,0.780645,0.872521,0.889976,0.996082,0.659341,0.529412,0.705426,0.889241,0.953880,0.934211,0.943902,0.342857,0.742331,0.900585,0.905473,0.989300,0.550459,0.375000,0.728000,0.906452,0.959499,0.835294,0.961491,0.480000,0.823129,0.846154,0.875000
32,phase2,0.916931,0.789452,0.991736,0.639640,0.407407,0.737705,0.908213,0.940684,0.890244,0.930892,0.477612,0.819788,0.863905,0.865604,0.991254,0.628319,0.366667,0.756303,0.906752,0.972484,0.924051,0.887387,0.380952,0.852941,0.935897,0.822511,0.992218,0.651376,0.458333,0.720000,0.909677,0.910898,0.858824,0.978882,0.640000,0.789116,0.802198,0.913462
33,phase2,0.926918,0.788507,0.993164,0.641148,0.413793,0.716049,0.899836,0.957840,0.887574,0.950061,0.406780,0.845361,0.857955,0.892523,0.997059,0.670000,0.352941,0.737288,0.916388,0.962110,0.892857,0.931900,0.352941,0.854167,0.888235,0.868182,0.989300,0.614679,0.500000,0.696000,0.883871,0.953608,0.882353,0.968944,0.480000,0.836735,0.829670,0.918269
34,phase2,0.929187,0.795518,0.993668,0.691589,0.391304,0.739496,0.912685,0.954901,0.874251,0.946288,0.436364,0.830565,0.888268,0.886836,0.995122,0.704762,0.409091,0.778761,0.932660,0.966792,0.890244,0.920188,0.400000,0.811688,0.903409,0.853333,0.992218,0.678899,0.375000,0.704000,0.893548,0.943299,0.858824,0.973913,0.480000,0.850340,0.873626,0.923077
35,phase2,0.919428,0.801470,0.992672,0.704348,0.444444,0.739130,0.898839,0.940281,0.898204,0.942515,0.526316,0.842809,0.888889,0.799189,0.997056,0.669421,0.476190,0.809524,0.924915,0.972463,0.914634,0.909827,0.468750,0.828947,0.950000,0.691228,0.988327,0.743119,0.416667,0.680000,0.874194,0.910162,0.882353,0.977640,0.600000,0.857143,0.835165,0.947115
36,phase2,0.922379,0.796576,0.993164,0.715596,0.444444,0.730290,0.904065,0.945413,0.880952,0.932393,0.426230,0.825939,0.881356,0.879070,0.997059,0.715596,0.476190,0.758621,0.911475,0.974219,0.891566,0.885045,0.361111,0.828767,0.906977,0.851351,0.989300,0.715596,0.416667,0.704000,0.896774,0.918262,0.870588,0.985093,0.520000,0.823129,0.857143,0.908654
37,phase2,0.917839,0.798561,0.991254,0.709091,0.444444,0.708661,0.915033,0.932615,0.892857,0.937055,0.482759,0.845638,0.885714,0.837607,0.990291,0.702703,0.476190,0.697674,0.927152,0.977401,0.903614,0.897611,0.424242,0.834437,0.922619,0.753846,0.992218,0.715596,0.416667,0.720000,0.903226,0.891753,0.882353,0.980124,0.560000,0.857143,0.851648,0.942308
38,phase2,0.918747,0.794970,0.988830,0.696429,0.382979,0.746888,0.898693,0.937763,0.904762,0.945848,0.491803,0.840391,0.884956,0.820296,0.987391,0.678261,0.391304,0.775862,0.910596,0.973830,0.915663,0.917153,0.416667,0.806250,0.955414,0.732075,0.990272,0.715596,0.375000,0.720000,0.887097,0.904271,0.894118,0.976398,0.600000,0.877551,0.824176,0.932692
