round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.381525,0.223480,0.636107,0.099174,0.000000,0.141844,0.192513,0.216687,0.544554,0.214876,0.000000,0.139535,0.461538,0.034934,0.469634,0.070866,0.000000,0.625000,0.562500,0.701613,0.470085,0.204724,0.000000,0.220588,0.304196,0.190476,0.985409,0.165138,0.000000,0.080000,0.116129,0.128130,0.647059,0.226087,0.000000,0.102041,0.956044,0.019231
2,warmup,0.737404,0.478943,0.929977,0.419214,0.000000,0.595588,0.629893,0.808209,0.557769,0.678123,0.062500,0.272727,0.661088,0.132231,0.878133,0.400000,0.000000,0.551020,0.702381,0.777929,0.421687,0.724576,0.142857,0.529412,0.533784,0.470588,0.988327,0.440367,0.000000,0.648000,0.570968,0.840943,0.823529,0.637267,0.040000,0.183673,0.868132,0.076923
3,warmup,0.794598,0.549996,0.969260,0.462185,0.000000,0.688000,0.657092,0.864024,0.660633,0.821608,0.044444,0.394958,0.666667,0.371084,0.957306,0.426357,0.000000,0.688000,0.740891,0.869500,0.536765,0.831004,0.050000,0.516484,0.559701,0.371981,0.981518,0.504587,0.000000,0.688000,0.590323,0.858616,0.858824,0.812422,0.040000,0.319728,0.824176,0.370192
4,warmup,0.819110,0.602796,0.970659,0.482759,0.000000,0.730290,0.679310,0.882123,0.824176,0.879162,0.135593,0.480916,0.701671,0.466899,0.960038,0.521277,0.000000,0.758621,0.729630,0.938538,0.773196,0.872705,0.117647,0.547826,0.620253,0.366120,0.981518,0.449541,0.000000,0.704000,0.635484,0.832106,0.882353,0.885714,0.160000,0.428571,0.807692,0.644231
5,warmup,0.837948,0.613133,0.971209,0.502128,0.000000,0.708333,0.699301,0.907801,0.808511,0.882939,0.115942,0.503876,0.731235,0.526316,0.958333,0.468254,0.000000,0.739130,0.763359,0.920515,0.737864,0.885144,0.090909,0.585586,0.653680,0.502183,0.984436,0.541284,0.000000,0.680000,0.645161,0.895434,0.894118,0.880745,0.160000,0.442177,0.829670,0.552885
6,warmup,0.845211,0.633273,0.978661,0.522936,0.150000,0.684211,0.677656,0.919414,0.850829,0.885804,0.123077,0.521429,0.728180,0.557078,0.975822,0.522936,0.187500,0.645390,0.783898,0.914723,0.802083,0.900000,0.100000,0.548872,0.666667,0.530435,0.981518,0.522936,0.125000,0.728000,0.596774,0.924153,0.905882,0.872050,0.160000,0.496599,0.802198,0.586538
7,warmup,0.854517,0.645464,0.976248,0.541833,0.052632,0.724409,0.728571,0.924549,0.871508,0.894703,0.161290,0.527778,0.735450,0.606593,0.972947,0.478873,0.071429,0.713178,0.816000,0.924209,0.829787,0.919948,0.135135,0.539007,0.709184,0.558704,0.979572,0.623853,0.041667,0.736000,0.658065,0.924890,0.917647,0.870807,0.200000,0.517007,0.763736,0.663462
8,warmup,0.863141,0.679318,0.976248,0.577406,0.171429,0.713725,0.740995,0.928440,0.915663,0.892562,0.260870,0.575439,0.764045,0.634989,0.972947,0.530769,0.272727,0.700000,0.791209,0.925384,0.938272,0.914062,0.204545,0.594203,0.781609,0.576471,0.979572,0.633028,0.125000,0.728000,0.696774,0.931517,0.894118,0.872050,0.360000,0.557823,0.747253,0.706731
9,warmup,0.864276,0.680665,0.973913,0.581197,0.105263,0.719697,0.740741,0.926883,0.917647,0.898196,0.300000,0.585987,0.766667,0.651786,0.967370,0.544000,0.142857,0.683453,0.774648,0.929630,0.917647,0.933066,0.257143,0.550898,0.775281,0.608333,0.980545,0.623853,0.083333,0.760000,0.709677,0.924153,0.917647,0.865839,0.360000,0.625850,0.758242,0.701923
10,warmup,0.871539,0.688043,0.980526,0.588710,0.157895,0.704918,0.732538,0.934807,0.906977,0.906903,0.281250,0.590909,0.786517,0.684564,0.981481,0.525180,0.214286,0.722689,0.776173,0.935151,0.896552,0.925065,0.230769,0.565217,0.804598,0.640167,0.979572,0.669725,0.125000,0.688000,0.693548,0.934462,0.917647,0.889441,0.360000,0.619048,0.769231,0.735577
11,warmup,0.871766,0.701587,0.980010,0.560886,0.205128,0.710744,0.750000,0.930804,0.908046,0.908039,0.360656,0.620462,0.803324,0.680942,0.982405,0.469136,0.266667,0.735043,0.775862,0.940602,0.887640,0.941333,0.305556,0.602564,0.810056,0.613900,0.977626,0.697248,0.166667,0.688000,0.725806,0.921208,0.929412,0.877019,0.440000,0.639456,0.796703,0.764423
12,warmup,0.878121,0.707596,0.981040,0.570342,0.210526,0.678414,0.754414,0.936514,0.888889,0.909444,0.387097,0.637288,0.819945,0.717241,0.980564,0.487013,0.285714,0.754902,0.750799,0.933431,0.842105,0.948718,0.324324,0.635135,0.826816,0.687225,0.981518,0.688073,0.166667,0.616000,0.758065,0.939617,0.941176,0.873292,0.480000,0.639456,0.813187,0.750000
13,warmup,0.876986,0.707724,0.976767,0.558491,0.222222,0.707424,0.758842,0.931886,0.905882,0.912303,0.323529,0.632911,0.834734,0.727700,0.972062,0.474359,0.333333,0.778846,0.756410,0.947489,0.905882,0.926923,0.255814,0.591716,0.851429,0.711009,0.981518,0.678899,0.166667,0.648000,0.761290,0.916789,0.905882,0.898137,0.440000,0.680272,0.818681,0.745192
14,warmup,0.882660,0.734644,0.974928,0.577778,0.333333,0.721030,0.782895,0.931886,0.913295,0.916201,0.456140,0.640288,0.829132,0.738824,0.966539,0.484472,0.300000,0.777778,0.798658,0.947489,0.897727,0.915633,0.406250,0.679389,0.845714,0.723502,0.983463,0.715596,0.375000,0.672000,0.767742,0.916789,0.929412,0.916770,0.520000,0.605442,0.813187,0.754808
15,warmup,0.880163,0.717532,0.983926,0.600000,0.254545,0.704846,0.759289,0.936549,0.901734,0.911670,0.366667,0.643836,0.833333,0.713987,0.985366,0.516556,0.225806,0.784314,0.760518,0.943904,0.886364,0.947721,0.314286,0.648276,0.873494,0.630996,0.982490,0.715596,0.291667,0.640000,0.758065,0.929308,0.917647,0.878261,0.440000,0.639456,0.796703,0.822115
16,warmup,0.881071,0.727099,0.977306,0.570312,0.320000,0.709957,0.776119,0.932432,0.928571,0.917454,0.400000,0.617834,0.839779,0.735426,0.970278,0.496599,0.307692,0.773585,0.798635,0.950995,0.939759,0.930946,0.342857,0.580838,0.844444,0.689076,0.984436,0.669725,0.333333,0.656000,0.754839,0.914580,0.917647,0.904348,0.480000,0.659864,0.835165,0.788462
17,warmup,0.886064,0.727889,0.983926,0.565217,0.333333,0.716157,0.776667,0.942173,0.906977,0.921305,0.379310,0.645833,0.823864,0.739910,0.985366,0.467066,0.277778,0.788462,0.803448,0.942520,0.896552,0.949868,0.333333,0.659574,0.852941,0.693277,0.982490,0.715596,0.416667,0.656000,0.751613,0.941826,0.917647,0.894410,0.440000,0.632653,0.796703,0.793269
18,warmup,0.880390,0.720522,0.974507,0.583333,0.250000,0.714894,0.772213,0.936870,0.885057,0.919231,0.411765,0.631579,0.816817,0.750000,0.963844,0.469274,0.250000,0.763636,0.773463,0.950720,0.865169,0.949669,0.325581,0.579545,0.900662,0.765000,0.985409,0.770642,0.250000,0.672000,0.770968,0.923417,0.905882,0.890683,0.560000,0.693878,0.747253,0.735577
19,warmup,0.880617,0.731246,0.977306,0.616000,0.360000,0.708520,0.759878,0.930303,0.906977,0.913486,0.356164,0.662162,0.825843,0.758315,0.970278,0.546099,0.346154,0.806122,0.718391,0.957878,0.896552,0.936115,0.270833,0.657718,0.844828,0.703704,0.984436,0.706422,0.375000,0.632000,0.806452,0.904271,0.917647,0.891925,0.520000,0.666667,0.807692,0.822115
20,warmup,0.891739,0.741957,0.977756,0.629921,0.318182,0.743590,0.779772,0.940872,0.908046,0.919127,0.385965,0.664516,0.854701,0.781038,0.972115,0.551724,0.350000,0.798165,0.788779,0.944362,0.887640,0.950863,0.343750,0.631902,0.887574,0.736170,0.983463,0.733945,0.291667,0.696000,0.770968,0.937408,0.929412,0.889441,0.440000,0.700680,0.824176,0.831731
21,phase2,0.885611,0.739232,0.985309,0.623256,0.440000,0.754386,0.793157,0.932959,0.875740,0.896086,0.377358,0.643678,0.798851,0.750000,0.992110,0.632075,0.423077,0.834951,0.765766,0.891348,0.880952,0.980798,0.357143,0.736842,0.837349,0.670455,0.978599,0.614679,0.458333,0.688000,0.822581,0.978645,0.870588,0.824845,0.400000,0.571429,0.763736,0.850962
22,phase2,0.864503,0.686830,0.983879,0.520661,0.271605,0.709677,0.715288,0.941472,0.870130,0.875932,0.275862,0.606498,0.749263,0.721698,0.988224,0.473684,0.192982,0.836957,0.632754,0.918711,0.971014,0.964179,0.242424,0.646154,0.808917,0.708333,0.979572,0.577982,0.458333,0.616000,0.822581,0.965390,0.788235,0.802484,0.320000,0.571429,0.697802,0.735577
23,phase2,0.864276,0.720882,0.963878,0.661355,0.311111,0.700000,0.752381,0.891105,0.879518,0.900480,0.327273,0.672673,0.845528,0.745283,0.942379,0.584507,0.333333,0.674074,0.740625,0.972150,0.901235,0.870220,0.300000,0.602151,0.834225,0.731481,0.986381,0.761468,0.291667,0.728000,0.764516,0.822533,0.858824,0.932919,0.360000,0.761905,0.857143,0.759615
24,phase2,0.880617,0.727683,0.964472,0.651376,0.300000,0.738197,0.767075,0.927428,0.914634,0.907305,0.350877,0.624606,0.818898,0.767327,0.939982,0.651376,0.375000,0.796296,0.839080,0.937547,0.949367,0.896845,0.312500,0.582353,0.783920,0.790816,0.990272,0.651376,0.250000,0.688000,0.706452,0.917526,0.882353,0.918012,0.400000,0.673469,0.857143,0.745192
25,phase2,0.886972,0.734798,0.983133,0.642276,0.277778,0.693548,0.800648,0.930432,0.898204,0.904220,0.431373,0.684385,0.842105,0.729469,0.974212,0.576642,0.416667,0.699187,0.804560,0.902422,0.914634,0.981105,0.423077,0.668831,0.849162,0.733010,0.992218,0.724771,0.208333,0.688000,0.796774,0.960236,0.882353,0.838509,0.440000,0.700680,0.835165,0.725962
26,phase2,0.884249,0.727601,0.978313,0.632075,0.320000,0.669725,0.788553,0.940397,0.883978,0.910046,0.400000,0.695364,0.816092,0.696673,0.969436,0.650485,0.307692,0.784946,0.777429,0.939706,0.833333,0.965181,0.450000,0.677419,0.855422,0.587459,0.987354,0.614679,0.333333,0.584000,0.800000,0.941090,0.941176,0.860870,0.360000,0.714286,0.780220,0.855769
27,phase2,0.867227,0.717911,0.965812,0.605166,0.341463,0.623288,0.766871,0.910281,0.870588,0.904668,0.344828,0.676737,0.854651,0.750583,0.943414,0.506173,0.411765,0.544910,0.730994,0.953995,0.870588,0.960894,0.303030,0.608696,0.907407,0.728507,0.989300,0.752294,0.291667,0.728000,0.806452,0.870398,0.870588,0.854658,0.400000,0.761905,0.807692,0.774038
28,phase2,0.853836,0.730645,0.966507,0.648000,0.434783,0.694561,0.752907,0.874848,0.910180,0.872044,0.357143,0.678466,0.868347,0.709957,0.951036,0.574468,0.454545,0.728070,0.685185,0.972097,0.926829,0.851896,0.322581,0.598958,0.885714,0.645669,0.982490,0.743119,0.416667,0.664000,0.835484,0.795287,0.894118,0.893168,0.400000,0.782313,0.851648,0.788462
29,phase2,0.860418,0.716672,0.955462,0.568627,0.190476,0.663900,0.783019,0.887019,0.912500,0.908291,0.454545,0.707395,0.877005,0.691824,0.922172,0.441624,0.222222,0.689655,0.763804,0.972759,0.973333,0.918679,0.526316,0.670732,0.854167,0.613383,0.991245,0.798165,0.166667,0.640000,0.803226,0.815169,0.858824,0.898137,0.400000,0.748299,0.901099,0.793269
30,phase2,0.880844,0.736962,0.982473,0.683761,0.390244,0.729614,0.716049,0.945375,0.934911,0.872801,0.321429,0.677419,0.808642,0.780822,0.983431,0.640000,0.470588,0.787037,0.622912,0.935159,0.940476,0.958395,0.290323,0.644172,0.922535,0.743478,0.981518,0.733945,0.333333,0.680000,0.841935,0.955817,0.929412,0.801242,0.360000,0.714286,0.719780,0.822115
31,phase2,0.903541,0.774741,0.986771,0.723735,0.468085,0.738589,0.806250,0.940327,0.946746,0.924574,0.354839,0.735484,0.856322,0.815166,0.994077,0.628378,0.478261,0.767241,0.781818,0.971720,0.952381,0.905840,0.297297,0.699387,0.897590,0.803738,0.979572,0.853211,0.458333,0.712000,0.832258,0.910898,0.941176,0.944099,0.440000,0.775510,0.818681,0.826923
32,phase2,0.904448,0.753253,0.984081,0.684685,0.372093,0.735931,0.808442,0.952416,0.887574,0.927928,0.352941,0.679868,0.868852,0.784223,0.976077,0.672566,0.421053,0.801887,0.813725,0.939785,0.892857,0.962617,0.346154,0.660256,0.864130,0.757848,0.992218,0.697248,0.333333,0.680000,0.803226,0.965390,0.882353,0.895652,0.360000,0.700680,0.873626,0.812500
