round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.399228,0.273384,0.640329,0.291045,0.000000,0.061538,0.356436,0.227409,0.496815,0.210254,0.000000,0.276074,0.656489,0.064220,0.474251,0.245283,0.000000,0.800000,0.461538,0.607029,0.541667,0.180284,0.000000,0.251397,0.611374,0.700000,0.985409,0.357798,0.000000,0.032000,0.290323,0.139912,0.458824,0.252174,0.000000,0.306122,0.708791,0.033654
2,warmup,0.778938,0.513356,0.966370,0.378788,0.000000,0.557143,0.719323,0.835294,0.621762,0.793939,0.000000,0.334601,0.747525,0.205534,0.982897,0.322581,0.000000,0.503226,0.639098,0.834068,0.555556,0.775148,0.000000,0.379310,0.680180,0.577778,0.950389,0.458716,0.000000,0.624000,0.822581,0.836524,0.705882,0.813665,0.000000,0.299320,0.829670,0.125000
3,warmup,0.820699,0.561020,0.979035,0.380567,0.000000,0.575342,0.779970,0.886765,0.670455,0.857687,0.000000,0.355556,0.776280,0.470588,0.981427,0.340580,0.000000,0.502994,0.736390,0.885463,0.648352,0.877763,0.000000,0.390244,0.761905,0.502732,0.976654,0.431193,0.000000,0.672000,0.829032,0.888071,0.694118,0.838509,0.000000,0.326531,0.791209,0.442308
4,warmup,0.831593,0.585569,0.978431,0.378788,0.050000,0.609589,0.778980,0.905380,0.670391,0.863874,0.000000,0.383459,0.794667,0.613272,0.986166,0.322581,0.062500,0.532934,0.747774,0.912491,0.638298,0.912863,0.000000,0.428571,0.772021,0.585153,0.970817,0.458716,0.041667,0.712000,0.812903,0.898380,0.705882,0.819876,0.000000,0.346939,0.818681,0.644231
5,warmup,0.847254,0.613487,0.982439,0.472868,0.042553,0.646288,0.804416,0.913922,0.677966,0.899416,0.090909,0.423529,0.777143,0.630394,0.985323,0.409396,0.043478,0.711538,0.787037,0.929224,0.652174,0.941576,0.073171,0.500000,0.809524,0.516923,0.979572,0.559633,0.041667,0.592000,0.822581,0.899116,0.705882,0.860870,0.120000,0.367347,0.747253,0.807692
6,warmup,0.861779,0.622734,0.981132,0.452381,0.090909,0.680162,0.827692,0.920564,0.706587,0.914798,0.000000,0.415686,0.798913,0.683983,0.975938,0.398601,0.100000,0.688525,0.791176,0.928144,0.719512,0.944444,0.000000,0.490741,0.790323,0.622047,0.986381,0.522936,0.083333,0.672000,0.867742,0.913108,0.694118,0.886957,0.000000,0.360544,0.807692,0.759615
7,warmup,0.854063,0.630873,0.974677,0.449123,0.074074,0.617761,0.810897,0.917333,0.782609,0.905492,0.076923,0.483271,0.788235,0.690083,0.957746,0.363636,0.066667,0.597015,0.805732,0.950276,0.828947,0.931669,0.074074,0.532787,0.848101,0.605072,0.992218,0.587156,0.083333,0.640000,0.816129,0.886598,0.741176,0.880745,0.080000,0.442177,0.736264,0.802885
8,warmup,0.864049,0.642639,0.984959,0.465306,0.121212,0.628571,0.822047,0.920227,0.789116,0.910328,0.038462,0.505747,0.798817,0.726882,0.982575,0.419118,0.095238,0.567742,0.803077,0.945610,0.935484,0.906404,0.037037,0.578947,0.865385,0.657588,0.987354,0.522936,0.166667,0.704000,0.841935,0.896171,0.682353,0.914286,0.040000,0.448980,0.741758,0.812500
9,warmup,0.865184,0.651816,0.979376,0.443515,0.129032,0.677686,0.806916,0.926866,0.785276,0.905195,0.066667,0.555556,0.811111,0.734597,0.965941,0.407692,0.105263,0.700855,0.729167,0.954723,0.820513,0.948299,0.057143,0.534591,0.820225,0.724299,0.993191,0.486239,0.166667,0.656000,0.903226,0.900589,0.752941,0.865839,0.080000,0.578231,0.802198,0.745192
10,warmup,0.881071,0.664750,0.980279,0.455696,0.163265,0.664093,0.837139,0.939361,0.797386,0.922589,0.074074,0.538745,0.809249,0.795122,0.969553,0.421875,0.160000,0.641791,0.792507,0.937638,0.897059,0.942931,0.068966,0.588710,0.853659,0.806931,0.991245,0.495413,0.166667,0.688000,0.887097,0.941090,0.717647,0.903106,0.080000,0.496599,0.769231,0.783654
11,warmup,0.886064,0.676468,0.982642,0.509091,0.150943,0.663900,0.845679,0.942343,0.800000,0.922680,0.066667,0.631922,0.823188,0.778555,0.974187,0.504505,0.137931,0.689655,0.810651,0.939927,0.853333,0.958501,0.057143,0.606250,0.871166,0.755656,0.991245,0.513761,0.166667,0.640000,0.883871,0.944772,0.752941,0.889441,0.080000,0.659864,0.780220,0.802885
12,warmup,0.887199,0.684020,0.981713,0.524444,0.175439,0.680672,0.836991,0.942486,0.810127,0.921519,0.072727,0.666667,0.818444,0.777011,0.971429,0.508621,0.151515,0.716814,0.814024,0.949888,0.876712,0.939355,0.066667,0.641509,0.860606,0.744493,0.992218,0.541284,0.208333,0.648000,0.861290,0.935199,0.752941,0.904348,0.080000,0.693878,0.780220,0.812500
13,warmup,0.884249,0.678216,0.985002,0.514056,0.140351,0.675000,0.841615,0.935664,0.807692,0.920555,0.074074,0.652174,0.823529,0.768879,0.979788,0.457143,0.121212,0.704348,0.811377,0.945154,0.887324,0.934699,0.068966,0.697674,0.840000,0.733624,0.990272,0.587156,0.166667,0.648000,0.874194,0.926362,0.741176,0.906832,0.080000,0.612245,0.807692,0.807692
14,warmup,0.890831,0.697596,0.985984,0.553191,0.200000,0.694561,0.856703,0.936425,0.807692,0.924242,0.117647,0.711268,0.829132,0.754310,0.979827,0.515873,0.192308,0.728070,0.820059,0.951368,0.887324,0.939666,0.115385,0.737226,0.845714,0.683594,0.992218,0.596330,0.208333,0.664000,0.896774,0.921944,0.741176,0.909317,0.120000,0.687075,0.813187,0.841346
15,warmup,0.886972,0.684921,0.987329,0.528139,0.148148,0.666667,0.843450,0.936784,0.785276,0.929114,0.145455,0.659933,0.824561,0.764192,0.989258,0.500000,0.133333,0.669355,0.835443,0.940609,0.820513,0.947097,0.133333,0.653333,0.881250,0.700000,0.985409,0.559633,0.166667,0.664000,0.851613,0.932990,0.752941,0.911801,0.160000,0.666667,0.774725,0.841346
16,warmup,0.896051,0.691847,0.986500,0.550459,0.133333,0.689956,0.864536,0.943102,0.787097,0.932161,0.103448,0.688312,0.820513,0.802752,0.978011,0.550459,0.142857,0.759615,0.818444,0.952667,0.871429,0.942821,0.090909,0.658385,0.852071,0.767544,0.995136,0.550459,0.125000,0.632000,0.916129,0.933726,0.717647,0.921739,0.120000,0.721088,0.791209,0.841346
17,warmup,0.896959,0.699187,0.986447,0.551724,0.160000,0.653386,0.860800,0.946588,0.810127,0.933083,0.140351,0.735395,0.811429,0.800915,0.981696,0.520325,0.153846,0.650794,0.853968,0.953662,0.876712,0.939547,0.125000,0.743056,0.845238,0.764192,0.991245,0.587156,0.166667,0.656000,0.867742,0.939617,0.752941,0.926708,0.160000,0.727891,0.780220,0.841346
18,warmup,0.893327,0.688464,0.987427,0.486486,0.166667,0.674897,0.853081,0.945055,0.818182,0.926798,0.078431,0.681115,0.822535,0.820896,0.981731,0.477876,0.138889,0.694915,0.835913,0.940233,0.913043,0.950392,0.076923,0.625000,0.843931,0.850515,0.993191,0.495413,0.208333,0.656000,0.870968,0.949926,0.741176,0.904348,0.080000,0.748299,0.802198,0.793269
19,warmup,0.898320,0.708673,0.987905,0.532751,0.227273,0.675325,0.854914,0.946292,0.805031,0.930025,0.187500,0.709459,0.823529,0.824074,0.982676,0.508333,0.250000,0.735849,0.827795,0.939086,0.864865,0.953064,0.153846,0.704698,0.886076,0.794643,0.993191,0.559633,0.208333,0.624000,0.883871,0.953608,0.752941,0.908075,0.240000,0.714286,0.769231,0.855769
20,warmup,0.898547,0.703758,0.986460,0.511211,0.160000,0.686441,0.863636,0.947027,0.792208,0.930114,0.214286,0.716612,0.825215,0.811881,0.980769,0.500000,0.153846,0.729730,0.869281,0.927311,0.884058,0.951886,0.193548,0.687500,0.862275,0.836735,0.992218,0.522936,0.166667,0.648000,0.858065,0.967599,0.717647,0.909317,0.240000,0.748299,0.791209,0.788462
21,phase2,0.899228,0.709287,0.989351,0.577778,0.200000,0.678112,0.832298,0.953176,0.775000,0.928385,0.215385,0.701031,0.849003,0.811927,0.984586,0.560345,0.192308,0.731481,0.802395,0.939871,0.826667,0.975376,0.175000,0.708333,0.881657,0.776316,0.994163,0.596330,0.208333,0.632000,0.864516,0.966863,0.729412,0.885714,0.280000,0.693878,0.818681,0.850962
22,phase2,0.900136,0.709003,0.988905,0.590476,0.170213,0.684211,0.846395,0.948307,0.802632,0.924075,0.203390,0.702341,0.822157,0.824940,0.980861,0.613861,0.173913,0.757282,0.823171,0.919143,0.910448,0.967391,0.176471,0.690789,0.875776,0.822967,0.997082,0.568807,0.166667,0.624000,0.870968,0.979381,0.717647,0.884472,0.240000,0.714286,0.774725,0.826923
23,phase2,0.894235,0.710783,0.994642,0.546218,0.214286,0.689956,0.872727,0.932113,0.795181,0.927121,0.202899,0.718644,0.840909,0.794702,0.996098,0.503876,0.187500,0.759615,0.894915,0.966772,0.814815,0.892980,0.159091,0.716216,0.870588,0.734694,0.993191,0.596330,0.250000,0.632000,0.851613,0.899853,0.776471,0.963975,0.280000,0.721088,0.813187,0.865385
24,phase2,0.904675,0.732319,0.995141,0.571429,0.226415,0.701195,0.877483,0.942155,0.837500,0.935112,0.300000,0.730897,0.856338,0.814159,0.994175,0.556522,0.206897,0.698413,0.901361,0.968143,0.893333,0.913507,0.257143,0.714286,0.878613,0.754098,0.996109,0.587156,0.250000,0.704000,0.854839,0.917526,0.788235,0.957764,0.360000,0.748299,0.835165,0.884615
25,phase2,0.905583,0.740083,0.993210,0.591304,0.280000,0.705882,0.884244,0.940862,0.842767,0.930788,0.290323,0.751678,0.844828,0.825112,0.990329,0.561983,0.269231,0.743363,0.881410,0.976247,0.905405,0.895522,0.243243,0.741722,0.885542,0.773109,0.996109,0.623853,0.291667,0.672000,0.887097,0.907953,0.788235,0.968944,0.360000,0.761905,0.807692,0.884615
26,phase2,0.908080,0.744971,0.990754,0.592593,0.245614,0.698276,0.884553,0.946139,0.804598,0.942628,0.388060,0.750000,0.867403,0.829040,0.991237,0.537313,0.212121,0.757009,0.891803,0.968389,0.786517,0.936275,0.309524,0.726115,0.872222,0.808219,0.990272,0.660550,0.291667,0.648000,0.877419,0.924890,0.823529,0.949068,0.520000,0.775510,0.862637,0.850962
27,phase2,0.918974,0.765587,0.993184,0.609524,0.272727,0.723077,0.888525,0.953766,0.858896,0.937538,0.412698,0.770270,0.882682,0.884161,0.994152,0.633663,0.300000,0.696296,0.903333,0.966012,0.897436,0.915877,0.342105,0.765101,0.897727,0.869767,0.992218,0.587156,0.250000,0.752000,0.874194,0.941826,0.823529,0.960248,0.520000,0.775510,0.868132,0.899038
28,phase2,0.915343,0.762455,0.993197,0.632479,0.290909,0.722433,0.896440,0.949281,0.827160,0.939964,0.407407,0.773973,0.853107,0.863109,0.992233,0.592000,0.258065,0.688406,0.899351,0.976636,0.870130,0.918246,0.379310,0.779310,0.877907,0.834081,0.994163,0.678899,0.333333,0.760000,0.893548,0.923417,0.788235,0.962733,0.440000,0.768707,0.829670,0.894231
29,phase2,0.925102,0.786499,0.993230,0.657778,0.375000,0.761905,0.900641,0.960179,0.864198,0.949280,0.468750,0.769231,0.880000,0.857798,0.987500,0.637931,0.375000,0.755906,0.894904,0.970655,0.909091,0.957071,0.384615,0.756579,0.916667,0.820175,0.999027,0.678899,0.375000,0.768000,0.906452,0.949926,0.823529,0.941615,0.600000,0.782313,0.846154,0.899038
30,phase2,0.908080,0.739877,0.992233,0.612613,0.272727,0.702222,0.856250,0.953813,0.829932,0.930384,0.333333,0.722581,0.838710,0.833724,0.990310,0.601770,0.300000,0.790000,0.830303,0.928223,0.983871,0.976776,0.268293,0.687117,0.899371,0.812785,0.994163,0.623853,0.250000,0.632000,0.883871,0.980854,0.717647,0.888199,0.440000,0.761905,0.785714,0.855769
31,phase2,0.911938,0.731137,0.988894,0.611570,0.269231,0.698276,0.857143,0.957051,0.821192,0.940798,0.200000,0.731183,0.837607,0.860697,0.981783,0.556391,0.250000,0.757009,0.826347,0.931058,0.939394,0.975968,0.266667,0.772727,0.869822,0.891753,0.996109,0.678899,0.291667,0.648000,0.890323,0.984536,0.729412,0.908075,0.160000,0.693878,0.807692,0.831731
32,phase2,0.895824,0.708250,0.976700,0.539216,0.280702,0.700000,0.826021,0.953676,0.782609,0.924479,0.166667,0.680723,0.828402,0.839806,0.955349,0.578947,0.242424,0.730435,0.777778,0.952276,0.828947,0.971272,0.173913,0.610811,0.897436,0.848039,0.999027,0.504587,0.333333,0.672000,0.880645,0.955081,0.741176,0.881988,0.160000,0.768707,0.769231,0.831731
33,phase2,0.903314,0.732794,0.990291,0.566524,0.285714,0.680000,0.863563,0.946893,0.792453,0.935464,0.312500,0.721311,0.855491,0.843318,0.988372,0.532258,0.250000,0.680000,0.859425,0.969160,0.851351,0.925791,0.256410,0.696203,0.902439,0.809735,0.992218,0.605505,0.333333,0.680000,0.867742,0.925626,0.741176,0.945342,0.400000,0.748299,0.813187,0.879808
34,phase2,0.916704,0.753026,0.991245,0.563636,0.352941,0.701613,0.890344,0.958824,0.815287,0.947700,0.312500,0.735294,0.877493,0.889435,0.991245,0.558559,0.333333,0.707317,0.903654,0.957416,0.888889,0.961637,0.256410,0.647668,0.911243,0.909548,0.991245,0.568807,0.375000,0.696000,0.877419,0.960236,0.752941,0.934161,0.400000,0.850340,0.846154,0.870192
35,phase2,0.921471,0.778955,0.993197,0.663793,0.379310,0.705394,0.888889,0.959199,0.828025,0.949005,0.470588,0.761589,0.874636,0.873832,0.992233,0.626016,0.323529,0.732759,0.887460,0.966368,0.902778,0.950187,0.372093,0.741935,0.931677,0.850000,0.994163,0.706422,0.458333,0.680000,0.890323,0.952135,0.764706,0.947826,0.640000,0.782313,0.824176,0.899038
36,phase2,0.922379,0.778067,0.990790,0.617391,0.409091,0.716049,0.900990,0.960906,0.790419,0.947235,0.463768,0.767296,0.877493,0.895377,0.987440,0.586777,0.450000,0.737288,0.922297,0.953590,0.804878,0.970052,0.363636,0.713450,0.911243,0.906404,0.994163,0.651376,0.375000,0.696000,0.880645,0.968336,0.776471,0.925466,0.640000,0.829932,0.846154,0.884615
37,phase2,0.911030,0.740207,0.986486,0.633028,0.338983,0.663866,0.864947,0.958874,0.807947,0.938749,0.269231,0.748148,0.811765,0.860465,0.978927,0.633028,0.285714,0.699115,0.816619,0.939887,0.924242,0.975871,0.259259,0.821138,0.873418,0.833333,0.994163,0.633028,0.416667,0.632000,0.919355,0.978645,0.717647,0.904348,0.280000,0.687075,0.758242,0.889423
38,phase2,0.922152,0.780675,0.989351,0.663830,0.421053,0.728000,0.904992,0.958488,0.812500,0.949343,0.410959,0.776978,0.891429,0.861176,0.984586,0.619048,0.363636,0.728000,0.903537,0.964925,0.866667,0.955919,0.312500,0.824427,0.928571,0.843318,0.994163,0.715596,0.500000,0.728000,0.906452,0.952135,0.764706,0.942857,0.600000,0.734694,0.857143,0.879808
