round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.308216,0.221372,0.363359,0.088889,0.000000,0.570281,0.195181,0.000000,0.268817,0.492364,0.000000,0.127660,0.381053,0.168865,0.843972,0.230769,0.000000,0.572581,0.155769,0.000000,0.247525,0.348072,0.000000,0.170455,0.235677,0.116364,0.231518,0.055046,0.000000,0.568000,0.261290,0.000000,0.294118,0.840994,0.000000,0.102041,0.994505,0.307692
2,warmup,0.717204,0.502059,0.901322,0.485437,0.000000,0.569191,0.636190,0.752286,0.571429,0.703951,0.000000,0.507812,0.688453,0.208633,0.944563,0.515464,0.000000,0.422481,0.776744,0.817632,0.460432,0.599650,0.000000,0.596330,0.570397,0.414286,0.861868,0.458716,0.000000,0.872000,0.538710,0.696613,0.752941,0.852174,0.000000,0.442177,0.868132,0.139423
3,warmup,0.777122,0.567178,0.955675,0.515556,0.000000,0.617564,0.708904,0.803922,0.663317,0.787843,0.032787,0.547529,0.695652,0.477387,0.957073,0.500000,0.000000,0.478070,0.755474,0.859899,0.578947,0.743929,0.027778,0.620690,0.650718,0.500000,0.954280,0.532110,0.000000,0.872000,0.667742,0.754786,0.776471,0.837267,0.040000,0.489796,0.747253,0.456731
4,warmup,0.802088,0.599998,0.962782,0.539326,0.000000,0.657143,0.692718,0.833659,0.676923,0.824645,0.082192,0.612676,0.732323,0.585586,0.969428,0.455696,0.000000,0.593548,0.770751,0.889724,0.600000,0.788222,0.062500,0.635036,0.677570,0.550847,0.956226,0.660550,0.000000,0.736000,0.629032,0.784242,0.776471,0.864596,0.120000,0.591837,0.796703,0.625000
5,warmup,0.828643,0.630564,0.963832,0.551724,0.000000,0.651899,0.722124,0.870780,0.759777,0.860254,0.176471,0.606061,0.753247,0.650602,0.968566,0.520325,0.000000,0.539267,0.800000,0.920427,0.723404,0.838443,0.139535,0.683761,0.714286,0.558621,0.959144,0.587156,0.000000,0.824000,0.658065,0.826215,0.800000,0.883230,0.240000,0.544218,0.796703,0.778846
6,warmup,0.838402,0.649913,0.965753,0.562771,0.000000,0.657895,0.743034,0.869393,0.821429,0.872443,0.196078,0.657718,0.772118,0.680328,0.971457,0.532787,0.000000,0.558659,0.714286,0.943152,0.831325,0.845974,0.192308,0.649007,0.753927,0.592857,0.960117,0.596330,0.000000,0.800000,0.774194,0.806333,0.811765,0.900621,0.200000,0.666667,0.791209,0.798077
7,warmup,0.851793,0.668623,0.967961,0.571429,0.000000,0.721805,0.750853,0.890106,0.834286,0.879056,0.271186,0.671642,0.757333,0.707819,0.966085,0.503497,0.000000,0.680851,0.797101,0.949124,0.811111,0.837079,0.235294,0.743802,0.735751,0.618705,0.969844,0.660550,0.000000,0.768000,0.709677,0.837997,0.858824,0.925466,0.320000,0.612245,0.780220,0.826923
8,warmup,0.863595,0.677262,0.968339,0.604082,0.057143,0.680272,0.762712,0.908187,0.813953,0.904093,0.242424,0.681481,0.760870,0.743590,0.969756,0.544118,0.090909,0.591716,0.803571,0.945064,0.804598,0.889423,0.195122,0.747967,0.752688,0.669231,0.966926,0.678899,0.041667,0.800000,0.725806,0.874080,0.823529,0.919255,0.320000,0.625850,0.769231,0.836538
9,warmup,0.864276,0.676938,0.967899,0.559387,0.055556,0.649518,0.757025,0.914699,0.839080,0.910127,0.266667,0.691450,0.762402,0.749446,0.967899,0.480263,0.083333,0.543011,0.776271,0.947161,0.820225,0.927742,0.228571,0.762295,0.726368,0.695473,0.967899,0.669725,0.041667,0.808000,0.738710,0.884389,0.858824,0.893168,0.320000,0.632653,0.802198,0.812500
10,warmup,0.876532,0.684174,0.972370,0.607287,0.000000,0.686667,0.764811,0.925057,0.827957,0.919086,0.262295,0.689394,0.770408,0.784753,0.969082,0.543478,0.000000,0.588571,0.862348,0.951713,0.762376,0.914005,0.222222,0.777778,0.719048,0.735294,0.975681,0.688073,0.000000,0.824000,0.687097,0.899853,0.905882,0.924224,0.320000,0.619048,0.829670,0.841346
