round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.381752,0.223596,0.636107,0.099448,0.000000,0.141844,0.192513,0.217797,0.544554,0.214876,0.000000,0.139535,0.461538,0.034934,0.469634,0.071146,0.000000,0.625000,0.562500,0.702811,0.470085,0.204724,0.000000,0.220588,0.304196,0.190476,0.985409,0.165138,0.000000,0.080000,0.116129,0.128866,0.647059,0.226087,0.000000,0.102041,0.956044,0.019231
2,warmup,0.732864,0.481925,0.943925,0.432203,0.000000,0.608365,0.619048,0.795455,0.540541,0.661323,0.117647,0.278846,0.669565,0.116183,0.908273,0.401575,0.000000,0.579710,0.716102,0.747089,0.402299,0.715318,0.222222,0.475410,0.553957,0.424242,0.982490,0.467890,0.000000,0.640000,0.545161,0.850515,0.823529,0.614907,0.080000,0.197279,0.846154,0.067308
3,warmup,0.790740,0.547260,0.966539,0.487395,0.000000,0.677551,0.650995,0.859150,0.679070,0.811944,0.000000,0.406504,0.672527,0.355450,0.950188,0.449612,0.000000,0.691667,0.740741,0.862658,0.561538,0.830949,0.000000,0.505051,0.560440,0.350467,0.983463,0.532110,0.000000,0.664000,0.580645,0.855670,0.858824,0.793789,0.000000,0.340136,0.840659,0.360577
4,warmup,0.812755,0.598435,0.972008,0.508197,0.068966,0.705394,0.666667,0.880797,0.791667,0.870347,0.109091,0.468085,0.704433,0.435572,0.964559,0.459259,0.200000,0.732759,0.726236,0.918465,0.710280,0.900398,0.100000,0.488889,0.638393,0.349854,0.979572,0.568807,0.041667,0.680000,0.616129,0.846097,0.894118,0.842236,0.120000,0.448980,0.785714,0.576923
5,warmup,0.831820,0.616142,0.971539,0.500000,0.068966,0.707424,0.669091,0.901535,0.890173,0.885410,0.089552,0.466431,0.729064,0.514523,0.963636,0.440559,0.200000,0.778846,0.766667,0.916984,0.875000,0.892677,0.071429,0.485294,0.660714,0.452555,0.979572,0.577982,0.041667,0.648000,0.593548,0.886598,0.905882,0.878261,0.120000,0.448980,0.813187,0.596154
6,warmup,0.846573,0.652837,0.975303,0.521327,0.228571,0.664179,0.688288,0.917793,0.903614,0.883929,0.222222,0.509934,0.740157,0.578723,0.971070,0.539216,0.363636,0.622378,0.779592,0.910805,0.925926,0.908257,0.206897,0.496774,0.708543,0.519084,0.979572,0.504587,0.166667,0.712000,0.616129,0.924890,0.882353,0.860870,0.240000,0.523810,0.774725,0.653846
7,warmup,0.858829,0.663539,0.975374,0.525862,0.157895,0.735931,0.743546,0.923707,0.887640,0.892857,0.214286,0.532374,0.766404,0.606593,0.968360,0.495935,0.214286,0.801887,0.797048,0.933785,0.849462,0.885226,0.193548,0.564885,0.733668,0.558704,0.982490,0.559633,0.125000,0.680000,0.696774,0.913844,0.929412,0.900621,0.240000,0.503401,0.802198,0.663462
8,warmup,0.862460,0.681537,0.977218,0.571429,0.162162,0.741667,0.721014,0.929679,0.897727,0.892189,0.342857,0.562092,0.750700,0.629712,0.973913,0.527132,0.230769,0.773913,0.822314,0.910954,0.868132,0.928763,0.266667,0.540881,0.765714,0.584362,0.980545,0.623853,0.125000,0.712000,0.641935,0.949190,0.929412,0.858385,0.480000,0.585034,0.736264,0.682692
9,warmup,0.861552,0.680234,0.970221,0.540323,0.146341,0.689922,0.751634,0.927720,0.917647,0.889754,0.285714,0.584337,0.784884,0.674312,0.958254,0.482014,0.176471,0.669173,0.761589,0.938914,0.917647,0.930801,0.236842,0.524324,0.833333,0.644737,0.982490,0.614679,0.125000,0.712000,0.741935,0.916789,0.917647,0.852174,0.360000,0.659864,0.741758,0.706731
10,warmup,0.874262,0.700881,0.977692,0.579592,0.200000,0.717949,0.763699,0.930752,0.918605,0.908411,0.317460,0.587097,0.808023,0.701299,0.974855,0.522059,0.250000,0.770642,0.813869,0.941265,0.908046,0.911250,0.263158,0.558282,0.844311,0.637795,0.980545,0.651376,0.166667,0.672000,0.719355,0.920471,0.929412,0.905590,0.400000,0.619048,0.774725,0.778846
11,warmup,0.866319,0.694469,0.977626,0.527473,0.146341,0.706383,0.741611,0.921635,0.934911,0.907243,0.385965,0.569697,0.810959,0.703786,0.977626,0.439024,0.176471,0.754545,0.772727,0.938885,0.940476,0.928479,0.343750,0.513661,0.808743,0.655602,0.977626,0.660550,0.125000,0.664000,0.712903,0.905007,0.929412,0.886957,0.440000,0.639456,0.813187,0.759615
12,warmup,0.880163,0.705534,0.978187,0.594142,0.195122,0.699588,0.745645,0.939372,0.927711,0.917036,0.323529,0.611987,0.801075,0.733010,0.974879,0.546154,0.235294,0.720339,0.810606,0.931884,0.950617,0.935401,0.255814,0.570588,0.784211,0.740196,0.981518,0.651376,0.166667,0.680000,0.690323,0.946981,0.905882,0.899379,0.440000,0.659864,0.818681,0.725962
13,warmup,0.879256,0.704603,0.983926,0.597015,0.156863,0.740426,0.750000,0.937177,0.877778,0.912743,0.352941,0.613793,0.791667,0.740909,0.985366,0.503145,0.148148,0.790909,0.787234,0.940653,0.831579,0.922589,0.279070,0.622378,0.863636,0.702586,0.982490,0.733945,0.166667,0.696000,0.716129,0.933726,0.929412,0.903106,0.480000,0.605442,0.730769,0.783654
14,warmup,0.880844,0.718704,0.977196,0.628571,0.192308,0.709402,0.745645,0.932447,0.913295,0.913043,0.400000,0.650350,0.828571,0.733624,0.974831,0.566176,0.178571,0.761468,0.810606,0.934863,0.897727,0.913043,0.342857,0.669065,0.863095,0.672000,0.979572,0.706422,0.208333,0.664000,0.690323,0.930044,0.929412,0.913043,0.480000,0.632653,0.796703,0.807692
15,warmup,0.883341,0.719729,0.982456,0.600823,0.196078,0.724280,0.759450,0.937956,0.923977,0.917526,0.415094,0.640523,0.825843,0.712743,0.984375,0.544776,0.185185,0.745763,0.812500,0.929812,0.918605,0.953146,0.392857,0.616352,0.844828,0.647059,0.980545,0.669725,0.208333,0.704000,0.712903,0.946244,0.929412,0.884472,0.440000,0.666667,0.807692,0.793269
16,warmup,0.870631,0.677821,0.975024,0.490196,0.093023,0.717489,0.771084,0.930041,0.848168,0.904126,0.312500,0.619403,0.783951,0.688845,0.962998,0.526316,0.105263,0.816327,0.826568,0.945247,0.764151,0.883749,0.256410,0.685950,0.894366,0.580858,0.987354,0.458716,0.083333,0.640000,0.722581,0.915317,0.952941,0.925466,0.400000,0.564626,0.697802,0.846154
17,warmup,0.886972,0.722716,0.978271,0.635294,0.204082,0.694915,0.785016,0.937987,0.912281,0.922684,0.354839,0.677632,0.821839,0.747748,0.971237,0.554795,0.200000,0.738739,0.792763,0.946067,0.906977,0.950000,0.297297,0.656051,0.861446,0.703390,0.985409,0.743119,0.208333,0.656000,0.777419,0.930044,0.917647,0.896894,0.440000,0.700680,0.785714,0.798077
18,warmup,0.888334,0.723081,0.980184,0.622407,0.200000,0.689362,0.793103,0.938821,0.900585,0.918953,0.385965,0.654088,0.845304,0.748201,0.974063,0.568182,0.250000,0.736364,0.771341,0.945482,0.895349,0.944882,0.343750,0.608187,0.850000,0.746411,0.986381,0.688073,0.166667,0.648000,0.816129,0.932253,0.905882,0.894410,0.440000,0.707483,0.840659,0.750000
19,warmup,0.884249,0.726128,0.982524,0.611111,0.222222,0.699620,0.773900,0.928788,0.903955,0.911801,0.393443,0.679868,0.849162,0.757143,0.980620,0.616822,0.238095,0.666667,0.730659,0.956318,0.869565,0.911801,0.333333,0.660256,0.863636,0.750000,0.984436,0.605505,0.208333,0.736000,0.822581,0.902798,0.941176,0.911801,0.480000,0.700680,0.835165,0.764423
20,warmup,0.892192,0.746633,0.979691,0.660944,0.340426,0.722689,0.782051,0.941133,0.918605,0.918117,0.431373,0.671233,0.854111,0.739229,0.974038,0.620968,0.347826,0.761062,0.777070,0.940441,0.908046,0.954424,0.423077,0.675862,0.825641,0.699571,0.985409,0.706422,0.333333,0.688000,0.787097,0.941826,0.929412,0.884472,0.440000,0.666667,0.884615,0.783654
21,phase2,0.888788,0.765031,0.979217,0.640625,0.517241,0.681481,0.798077,0.927969,0.908046,0.919054,0.483871,0.714286,0.845528,0.764977,0.973103,0.557823,0.441176,0.634483,0.792994,0.967252,0.887640,0.921348,0.405405,0.751880,0.834225,0.734513,0.985409,0.752294,0.625000,0.736000,0.803226,0.891753,0.929412,0.916770,0.600000,0.680272,0.857143,0.798077
22,phase2,0.897867,0.784700,0.983447,0.669388,0.526316,0.726531,0.802548,0.930731,0.930233,0.926769,0.549020,0.726667,0.865753,0.778993,0.984405,0.602941,0.454545,0.741667,0.792453,0.968924,0.919540,0.918293,0.538462,0.712418,0.863388,0.714859,0.982490,0.752294,0.625000,0.712000,0.812903,0.895434,0.941176,0.935404,0.560000,0.741497,0.868132,0.855769
23,phase2,0.898547,0.780839,0.980334,0.708861,0.520000,0.721311,0.822951,0.935006,0.925714,0.916221,0.482759,0.703364,0.841808,0.811736,0.991054,0.656250,0.500000,0.739496,0.836667,0.966222,0.900000,0.878132,0.424242,0.638889,0.866279,0.825871,0.969844,0.770642,0.541667,0.704000,0.809677,0.905744,0.952941,0.957764,0.560000,0.782313,0.818681,0.798077
24,phase2,0.907172,0.807408,0.984871,0.693548,0.679245,0.715328,0.833593,0.936738,0.910112,0.933499,0.548387,0.758389,0.882682,0.812500,0.988247,0.618705,0.620690,0.657718,0.804805,0.970774,0.870968,0.934080,0.459459,0.748344,0.897727,0.812500,0.981518,0.788991,0.750000,0.784000,0.864516,0.905007,0.952941,0.932919,0.680000,0.768707,0.868132,0.812500
25,phase2,0.906945,0.808595,0.983831,0.697872,0.666667,0.730769,0.821538,0.936460,0.925714,0.930057,0.537313,0.775510,0.881081,0.816327,0.991115,0.650794,0.666667,0.703704,0.785294,0.962675,0.900000,0.943734,0.428571,0.775510,0.867021,0.772532,0.976654,0.752294,0.666667,0.760000,0.861290,0.911635,0.952941,0.916770,0.720000,0.775510,0.895604,0.865385
26,phase2,0.872901,0.751629,0.965288,0.608997,0.486486,0.666667,0.769231,0.900745,0.902857,0.923947,0.523810,0.682927,0.866499,0.722101,0.944186,0.488889,0.692308,0.677686,0.798611,0.963896,0.877778,0.935115,0.647059,0.618785,0.800000,0.662651,0.987354,0.807339,0.375000,0.656000,0.741935,0.845361,0.929412,0.913043,0.440000,0.761905,0.945055,0.793269
27,phase2,0.893327,0.790898,0.977306,0.640927,0.652174,0.709677,0.833866,0.915109,0.908046,0.914355,0.500000,0.768212,0.887701,0.783410,0.970278,0.553333,0.681818,0.715447,0.825949,0.971074,0.887640,0.888628,0.481481,0.748387,0.864583,0.752212,0.984436,0.761468,0.625000,0.704000,0.841935,0.865243,0.929412,0.941615,0.520000,0.789116,0.912088,0.817308
28,phase2,0.881071,0.770935,0.958157,0.628571,0.512821,0.706349,0.806647,0.908028,0.945455,0.915663,0.536585,0.732203,0.853535,0.747204,0.927207,0.566176,0.666667,0.700787,0.758523,0.964404,0.975000,0.935233,0.687500,0.729730,0.789720,0.698745,0.991245,0.706422,0.416667,0.712000,0.861290,0.857879,0.917647,0.896894,0.440000,0.734694,0.928571,0.802885
29,phase2,0.885384,0.774613,0.975892,0.590551,0.521739,0.724409,0.830964,0.906225,0.941860,0.907229,0.500000,0.760000,0.868633,0.767857,0.967495,0.517241,0.545455,0.713178,0.814241,0.974576,0.931034,0.880702,0.428571,0.745098,0.848168,0.716667,0.984436,0.688073,0.500000,0.736000,0.848387,0.846834,0.952941,0.935404,0.600000,0.775510,0.890110,0.826923
30,phase2,0.905810,0.794051,0.977284,0.685714,0.520000,0.738462,0.861736,0.931286,0.921348,0.929664,0.484848,0.787671,0.867606,0.822989,0.971182,0.617647,0.500000,0.711111,0.858974,0.972735,0.881720,0.915663,0.390244,0.793103,0.890173,0.788546,0.983463,0.770642,0.541667,0.768000,0.864516,0.893225,0.964706,0.944099,0.640000,0.782313,0.846154,0.860577
31,phase2,0.902179,0.810837,0.981800,0.707692,0.684211,0.729614,0.874797,0.917282,0.917127,0.903226,0.490566,0.823529,0.895604,0.804598,0.993035,0.609272,0.928571,0.787037,0.881967,0.970419,0.864583,0.842105,0.464286,0.838028,0.895604,0.770925,0.970817,0.844037,0.541667,0.680000,0.867742,0.869661,0.976471,0.973913,0.520000,0.809524,0.895604,0.841346
32,phase2,0.910803,0.817002,0.982439,0.716535,0.666667,0.729323,0.871224,0.927938,0.926554,0.936353,0.535714,0.814815,0.890080,0.806378,0.985323,0.627586,0.777778,0.687943,0.858934,0.973323,0.891304,0.922799,0.483871,0.806667,0.869110,0.766234,0.979572,0.834862,0.583333,0.776000,0.883871,0.886598,0.964706,0.950311,0.600000,0.823129,0.912088,0.850962
33,phase2,0.883341,0.786113,0.956808,0.581818,0.648649,0.705394,0.847291,0.898539,0.914634,0.919086,0.536585,0.757098,0.903896,0.763557,0.924682,0.481928,0.923077,0.732759,0.862876,0.968511,0.949367,0.914005,0.687500,0.705882,0.857143,0.695652,0.991245,0.733945,0.500000,0.680000,0.832258,0.837997,0.882353,0.924224,0.440000,0.816327,0.956044,0.846154
34,phase2,0.890377,0.783064,0.984796,0.630824,0.578947,0.675926,0.849587,0.907874,0.918605,0.910053,0.518519,0.798762,0.863049,0.759825,0.993076,0.517647,0.785714,0.802198,0.871186,0.975465,0.908046,0.863839,0.482759,0.732955,0.814634,0.696000,0.976654,0.807339,0.458333,0.584000,0.829032,0.849043,0.929412,0.961491,0.560000,0.877551,0.917582,0.836538
35,phase2,0.901952,0.776094,0.985902,0.628821,0.566038,0.721992,0.828767,0.944604,0.906977,0.925048,0.510638,0.708029,0.843990,0.742317,0.985423,0.600000,0.517241,0.750000,0.883212,0.923347,0.896552,0.955026,0.545455,0.763780,0.789474,0.730233,0.986381,0.660550,0.625000,0.696000,0.780645,0.966863,0.917647,0.896894,0.480000,0.659864,0.906593,0.754808
