round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.308216,0.220568,0.365575,0.088889,0.000000,0.570281,0.194012,0.000000,0.265957,0.493611,0.000000,0.120690,0.378265,0.169536,0.842105,0.230769,0.000000,0.572581,0.154286,0.000000,0.242718,0.349535,0.000000,0.164706,0.233548,0.117002,0.233463,0.055046,0.000000,0.568000,0.261290,0.000000,0.294118,0.839752,0.000000,0.095238,0.994505,0.307692
2,warmup,0.720154,0.508723,0.900802,0.500000,0.000000,0.578249,0.651515,0.750600,0.581818,0.700461,0.000000,0.529183,0.691466,0.220588,0.928719,0.549451,0.000000,0.432540,0.788991,0.820804,0.474074,0.595819,0.000000,0.618182,0.574545,0.468750,0.874514,0.458716,0.000000,0.872000,0.554839,0.691458,0.752941,0.849689,0.000000,0.462585,0.868132,0.144231
3,warmup,0.778711,0.568225,0.956479,0.531532,0.000000,0.608451,0.716007,0.804669,0.660000,0.788160,0.032787,0.555133,0.705584,0.459893,0.961652,0.522124,0.000000,0.469565,0.767528,0.853135,0.573913,0.739651,0.027778,0.629310,0.655660,0.518072,0.951362,0.541284,0.000000,0.864000,0.670968,0.761414,0.776471,0.843478,0.040000,0.496599,0.763736,0.413462
4,warmup,0.804131,0.602824,0.963253,0.518519,0.000000,0.671186,0.709565,0.835644,0.697917,0.820991,0.084507,0.600000,0.724936,0.607375,0.970385,0.470149,0.000000,0.582353,0.769811,0.904027,0.626168,0.773626,0.065217,0.631579,0.681159,0.553360,0.956226,0.577982,0.000000,0.792000,0.658065,0.776878,0.788235,0.874534,0.120000,0.571429,0.774725,0.673077
5,warmup,0.827281,0.629759,0.963289,0.538117,0.000000,0.684932,0.724138,0.867630,0.793103,0.853381,0.121212,0.618705,0.744063,0.648544,0.969458,0.526316,0.000000,0.598802,0.777778,0.923525,0.775281,0.823326,0.097561,0.656489,0.715736,0.543974,0.957198,0.550459,0.000000,0.800000,0.677419,0.818115,0.811765,0.885714,0.160000,0.585034,0.774725,0.802885
6,warmup,0.834998,0.644010,0.966764,0.556017,0.000000,0.673469,0.739550,0.867116,0.807453,0.868675,0.166667,0.632653,0.765957,0.683794,0.971513,0.507576,0.000000,0.585799,0.737179,0.939811,0.855263,0.843275,0.142857,0.632653,0.742268,0.580537,0.962062,0.614679,0.000000,0.792000,0.741935,0.804860,0.764706,0.895652,0.200000,0.632653,0.791209,0.831731
7,warmup,0.849069,0.657274,0.966797,0.551181,0.000000,0.702899,0.747029,0.893716,0.806630,0.872941,0.225806,0.638462,0.743169,0.738661,0.970588,0.482759,0.000000,0.642384,0.788530,0.944262,0.760417,0.829050,0.189189,0.734513,0.739130,0.670588,0.963035,0.642202,0.000000,0.776000,0.709677,0.848306,0.858824,0.921739,0.280000,0.564626,0.747253,0.822115
8,warmup,0.861552,0.669335,0.968658,0.586207,0.000000,0.680412,0.765101,0.907162,0.800000,0.897783,0.238806,0.690909,0.753388,0.743590,0.975345,0.552846,0.000000,0.596386,0.797203,0.934426,0.777778,0.890110,0.190476,0.742188,0.743316,0.669231,0.962062,0.623853,0.000000,0.792000,0.735484,0.881443,0.823529,0.905590,0.320000,0.646259,0.763736,0.836538
9,warmup,0.865865,0.680799,0.968780,0.573770,0.000000,0.666667,0.757119,0.909368,0.835294,0.904673,0.290323,0.722022,0.785530,0.756044,0.971624,0.518519,0.000000,0.563536,0.787456,0.941640,0.835294,0.907500,0.243243,0.769231,0.741463,0.696356,0.965953,0.642202,0.000000,0.816000,0.729032,0.879234,0.835294,0.901863,0.360000,0.680272,0.835165,0.826923
10,warmup,0.873355,0.688597,0.972236,0.595918,0.055556,0.711744,0.749568,0.921033,0.834225,0.914392,0.266667,0.713235,0.763636,0.764957,0.973659,0.536765,0.083333,0.641026,0.806691,0.950627,0.764706,0.913259,0.228571,0.776000,0.724138,0.688462,0.970817,0.669725,0.041667,0.800000,0.700000,0.893225,0.917647,0.915528,0.320000,0.659864,0.807692,0.860577
11,warmup,0.876078,0.693599,0.970316,0.608696,0.000000,0.732601,0.779089,0.918133,0.846154,0.905706,0.290323,0.708487,0.791444,0.772234,0.970789,0.578512,0.000000,0.675676,0.816254,0.955414,0.793814,0.876744,0.243243,0.774194,0.770833,0.703557,0.969844,0.642202,0.000000,0.800000,0.745161,0.883652,0.905882,0.936646,0.360000,0.653061,0.813187,0.855769
12,warmup,0.880617,0.698927,0.970229,0.608333,0.000000,0.722022,0.778523,0.925714,0.857143,0.914494,0.317460,0.699647,0.792651,0.800905,0.973555,0.557252,0.000000,0.657895,0.811189,0.958958,0.833333,0.893365,0.263158,0.727941,0.758794,0.756410,0.966926,0.669725,0.000000,0.800000,0.748387,0.894698,0.882353,0.936646,0.400000,0.673469,0.829670,0.850962
13,warmup,0.885837,0.706880,0.972656,0.609756,0.000000,0.688963,0.791171,0.932478,0.853933,0.928349,0.393443,0.711610,0.787565,0.812641,0.976471,0.547445,0.000000,0.591954,0.835125,0.955916,0.817204,0.931250,0.333333,0.791667,0.745098,0.765957,0.968872,0.688073,0.000000,0.824000,0.751613,0.910162,0.894118,0.925466,0.480000,0.646259,0.835165,0.865385
14,warmup,0.892646,0.718338,0.972209,0.612766,0.000000,0.724014,0.793220,0.939813,0.854054,0.927733,0.444444,0.725275,0.798942,0.827586,0.974585,0.571429,0.000000,0.655844,0.835714,0.954442,0.790000,0.922604,0.413793,0.785714,0.770408,0.792952,0.969844,0.660550,0.000000,0.808000,0.754839,0.925626,0.929412,0.932919,0.480000,0.673469,0.829670,0.865385
15,warmup,0.891285,0.712619,0.971624,0.648889,0.000000,0.743494,0.791809,0.939144,0.863636,0.920941,0.338462,0.693431,0.794737,0.845266,0.977362,0.629310,0.000000,0.694444,0.840580,0.958589,0.835165,0.895540,0.275000,0.748031,0.762626,0.813333,0.965953,0.669725,0.000000,0.800000,0.748387,0.920471,0.894118,0.947826,0.440000,0.646259,0.829670,0.879808
16,warmup,0.898774,0.729849,0.968401,0.641975,0.057143,0.752941,0.796694,0.944817,0.857143,0.936010,0.415094,0.721190,0.822335,0.844444,0.967930,0.582090,0.090909,0.738462,0.816949,0.956949,0.833333,0.945501,0.392857,0.795082,0.764151,0.785124,0.968872,0.715596,0.041667,0.768000,0.777419,0.932990,0.882353,0.926708,0.440000,0.659864,0.890110,0.913462
17,warmup,0.898547,0.724443,0.969697,0.666667,0.000000,0.760148,0.794425,0.945145,0.838710,0.922799,0.392157,0.727273,0.823834,0.852459,0.974460,0.682692,0.000000,0.705479,0.863636,0.951493,0.772277,0.896835,0.384615,0.820513,0.779412,0.831050,0.964981,0.651376,0.000000,0.824000,0.735484,0.938881,0.917647,0.950311,0.400000,0.653061,0.873626,0.875000
18,warmup,0.900363,0.733982,0.973052,0.644898,0.102564,0.772908,0.806071,0.945673,0.847826,0.941967,0.440000,0.703557,0.819843,0.809422,0.980257,0.580882,0.133333,0.769841,0.844523,0.962624,0.787879,0.926683,0.440000,0.839623,0.781095,0.729730,0.965953,0.724771,0.083333,0.776000,0.770968,0.929308,0.917647,0.957764,0.440000,0.605442,0.862637,0.908654
19,warmup,0.902406,0.740199,0.972603,0.669528,0.111111,0.716312,0.801917,0.947094,0.868571,0.939835,0.421053,0.755556,0.828125,0.850679,0.978346,0.629032,0.166667,0.643312,0.794304,0.958522,0.844444,0.958656,0.375000,0.829268,0.787129,0.803419,0.966926,0.715596,0.083333,0.808000,0.809677,0.935935,0.894118,0.921739,0.480000,0.693878,0.873626,0.903846
20,warmup,0.904222,0.727754,0.973529,0.655462,0.000000,0.736059,0.806557,0.952169,0.846154,0.942947,0.407407,0.750000,0.806283,0.856481,0.981225,0.604651,0.000000,0.687500,0.820000,0.958925,0.793814,0.951899,0.379310,0.789474,0.770000,0.825893,0.965953,0.715596,0.000000,0.792000,0.793548,0.945508,0.905882,0.934161,0.440000,0.714286,0.846154,0.889423
21,phase2,0.898774,0.741542,0.972683,0.663968,0.222222,0.738806,0.792332,0.944716,0.846154,0.941176,0.352941,0.773973,0.808625,0.840909,0.975538,0.594203,0.238095,0.692308,0.784810,0.965411,0.793814,0.969697,0.279070,0.779310,0.793651,0.797414,0.969844,0.752294,0.208333,0.792000,0.800000,0.924890,0.905882,0.914286,0.480000,0.768707,0.824176,0.889423
