round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0322
22,phase2,0.0438
23,phase2,0.0327
24,phase2,0.0330
25,phase2,0.0348
26,phase2,0.0294
27,phase2,0.0590
28,phase2,0.0300
29,phase2,0.0316
30,phase2,0.0235
31,phase2,0.0270
32,phase2,0.0292
33,phase2,0.0292
34,phase2,0.0300
35,phase2,0.0420
36,phase2,0.0285
37,phase2,0.0301
38,phase2,0.0293
39,phase2,0.0295
40,phase2,0.0311
41,phase2,0.0296
42,phase2,0.0299
43,phase2,0.0222
44,phase2,0.0292
45,phase2,0.0279
46,phase2,0.0302
47,phase2,0.0348
48,phase2,0.0296
49,phase2,0.0300
50,phase2,0.0290
