round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.5270
22,phase2,0.0274
23,phase2,0.0284
24,phase2,0.0274
25,phase2,0.0289
26,phase2,0.0281
27,phase2,0.0271
28,phase2,0.0282
29,phase2,0.0283
30,phase2,0.0278
31,phase2,0.0271
32,phase2,0.0280
33,phase2,0.0280
34,phase2,0.0285
35,phase2,0.0280
36,phase2,0.0270
37,phase2,0.0280
38,phase2,0.0290
39,phase2,0.0304
40,phase2,0.0270
41,phase2,0.0281
42,phase2,0.0271
43,phase2,0.0280
44,phase2,0.0284
45,phase2,0.0290
46,phase2,0.0289
47,phase2,0.0270
48,phase2,0.0280
49,phase2,0.0300
50,phase2,0.0272
