round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0374
22,phase2,0.0349
23,phase2,0.0350
24,phase2,0.0344
25,phase2,0.0346
26,phase2,0.0350
27,phase2,0.0335
28,phase2,0.0350
29,phase2,0.0341
30,phase2,0.0344
31,phase2,0.0342
32,phase2,0.0354
33,phase2,0.0351
34,phase2,0.0330
35,phase2,0.0342
36,phase2,0.0353
37,phase2,0.0344
38,phase2,0.0402
39,phase2,0.0340
40,phase2,0.0335
41,phase2,0.0344
42,phase2,0.0350
43,phase2,0.0355
44,phase2,0.0350
45,phase2,0.0350
46,phase2,0.0356
47,phase2,0.0340
48,phase2,0.0342
49,phase2,0.0340
50,phase2,0.0360
