round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.267817,0.209339,0.306947,0.055556,0.000000,0.191781,0.269860,0.294661,0.633540,0.000000,0.000000,0.150000,0.552381,0.057348,0.262431,0.048951,0.000000,0.223404,0.164765,0.486441,0.671053,0.000000,0.000000,0.157895,0.388393,0.112676,0.369650,0.064220,0.000000,0.168000,0.745161,0.211340,0.600000,0.000000,0.000000,0.142857,0.956044,0.038462
2,warmup,0.701316,0.471250,0.883430,0.395257,0.000000,0.478947,0.652632,0.761905,0.541176,0.676304,0.000000,0.395062,0.691076,0.179211,0.875000,0.347222,0.000000,0.356863,0.611268,0.803265,0.405882,0.684478,0.000000,0.500000,0.592157,0.352113,0.892023,0.458716,0.000000,0.728000,0.700000,0.724595,0.811765,0.668323,0.000000,0.326531,0.829670,0.120192
3,warmup,0.773037,0.547810,0.942574,0.451883,0.000000,0.604502,0.730015,0.811150,0.675799,0.781449,0.000000,0.394850,0.730864,0.450633,0.959677,0.415385,0.000000,0.505376,0.685552,0.868797,0.552239,0.732609,0.000000,0.534884,0.663677,0.475936,0.926070,0.495413,0.000000,0.752000,0.780645,0.760677,0.870588,0.837267,0.000000,0.312925,0.813187,0.427885
4,warmup,0.793917,0.578948,0.961386,0.444444,0.000000,0.651341,0.731544,0.830310,0.761905,0.826162,0.060606,0.444444,0.725995,0.509240,0.978831,0.351064,0.000000,0.625000,0.762238,0.917186,0.692308,0.767591,0.125000,0.533333,0.632653,0.444444,0.944553,0.605505,0.000000,0.680000,0.703226,0.758468,0.847059,0.894410,0.040000,0.380952,0.851648,0.596154
5,warmup,0.835225,0.613841,0.962705,0.467213,0.000000,0.689139,0.785942,0.887287,0.775510,0.857658,0.057143,0.496063,0.742268,0.645161,0.984741,0.422222,0.000000,0.647887,0.778481,0.915427,0.684685,0.830233,0.100000,0.588785,0.699029,0.583658,0.941634,0.522936,0.000000,0.736000,0.793548,0.860825,0.894118,0.886957,0.040000,0.428571,0.791209,0.721154
6,warmup,0.852247,0.634548,0.963325,0.505837,0.000000,0.671937,0.793363,0.901141,0.819149,0.881293,0.000000,0.598592,0.754717,0.725225,0.968535,0.439189,0.000000,0.664062,0.745042,0.931604,0.747573,0.881841,0.000000,0.620438,0.740741,0.682203,0.958171,0.596330,0.000000,0.680000,0.848387,0.872607,0.905882,0.880745,0.000000,0.578231,0.769231,0.774038
7,warmup,0.868588,0.659647,0.972073,0.508065,0.062500,0.681319,0.829114,0.919278,0.836158,0.904021,0.088889,0.604811,0.768802,0.740741,0.979269,0.453237,0.125000,0.628378,0.813665,0.920295,0.804348,0.945726,0.100000,0.611111,0.779661,0.677291,0.964981,0.577982,0.041667,0.744000,0.845161,0.918262,0.870588,0.865839,0.080000,0.598639,0.758242,0.817308
8,warmup,0.878575,0.678772,0.972317,0.520446,0.058824,0.690476,0.857143,0.925362,0.846154,0.905013,0.150000,0.659864,0.780627,0.779043,0.970902,0.437500,0.100000,0.685039,0.862745,0.910842,0.793814,0.964838,0.200000,0.659864,0.810651,0.740260,0.973735,0.642202,0.041667,0.696000,0.851613,0.940353,0.905882,0.852174,0.120000,0.659864,0.752747,0.822115
9,warmup,0.886291,0.683979,0.974939,0.578947,0.062500,0.715517,0.845554,0.934831,0.846154,0.916250,0.108108,0.647482,0.785340,0.792123,0.985104,0.490446,0.125000,0.775701,0.818731,0.951220,0.793814,0.922013,0.166667,0.687023,0.750000,0.726908,0.964981,0.706422,0.041667,0.664000,0.874194,0.918999,0.905882,0.910559,0.080000,0.612245,0.824176,0.870192
10,warmup,0.896278,0.701553,0.978994,0.591093,0.139535,0.726562,0.876847,0.940022,0.807018,0.923871,0.083333,0.721088,0.794595,0.835681,0.983317,0.528986,0.157895,0.709924,0.892977,0.928212,0.802326,0.961074,0.086957,0.721088,0.781915,0.816514,0.974708,0.669725,0.125000,0.744000,0.861290,0.952135,0.811765,0.889441,0.080000,0.721088,0.807692,0.855769
11,warmup,0.899001,0.707157,0.978059,0.579592,0.111111,0.738589,0.878740,0.940697,0.826816,0.926675,0.130435,0.750000,0.796791,0.828375,0.980450,0.522059,0.166667,0.767241,0.858462,0.947015,0.787234,0.943372,0.142857,0.765957,0.776042,0.790393,0.975681,0.651376,0.083333,0.712000,0.900000,0.934462,0.870588,0.910559,0.120000,0.734694,0.818681,0.870192
12,warmup,0.902179,0.708600,0.977952,0.600000,0.108108,0.750000,0.885350,0.945494,0.804348,0.921683,0.102564,0.746753,0.807799,0.853147,0.985192,0.531915,0.153846,0.782609,0.874214,0.933286,0.747475,0.962162,0.142857,0.714286,0.819209,0.828054,0.970817,0.688073,0.083333,0.720000,0.896774,0.958027,0.870588,0.884472,0.080000,0.782313,0.796703,0.879808
13,warmup,0.899228,0.705647,0.979014,0.556863,0.166667,0.724891,0.893819,0.942605,0.768362,0.925759,0.085106,0.756410,0.806366,0.861905,0.982370,0.486301,0.166667,0.798077,0.878505,0.941912,0.739130,0.963710,0.090909,0.715152,0.779487,0.853774,0.975681,0.651376,0.166667,0.664000,0.909677,0.943299,0.800000,0.890683,0.080000,0.802721,0.835165,0.870192
