round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.480708,0.245922,0.709503,0.087432,0.000000,0.031250,0.242718,0.593645,0.418605,0.396495,0.000000,0.053191,0.391559,0.026667,0.797330,0.108108,0.000000,0.666667,0.243506,0.602885,0.346154,0.354554,0.000000,0.121951,0.248882,0.176471,0.639105,0.073394,0.000000,0.016000,0.241935,0.584683,0.529412,0.449689,0.000000,0.034014,0.917582,0.014423
2,warmup,0.746709,0.484317,0.937891,0.429825,0.000000,0.519637,0.605657,0.818492,0.517110,0.751799,0.000000,0.421429,0.702079,0.107884,0.928503,0.411765,0.000000,0.417476,0.625430,0.843091,0.382022,0.726535,0.000000,0.443609,0.605578,0.393939,0.947471,0.449541,0.000000,0.688000,0.587097,0.795287,0.800000,0.778882,0.000000,0.401361,0.835165,0.062500
3,warmup,0.814344,0.561446,0.967586,0.473214,0.108108,0.661290,0.705479,0.876883,0.654709,0.875075,0.000000,0.430279,0.689342,0.295385,0.962464,0.460870,0.153846,0.666667,0.751825,0.875275,0.528986,0.850939,0.000000,0.519231,0.586873,0.410256,0.972763,0.486239,0.083333,0.656000,0.664516,0.878498,0.858824,0.900621,0.000000,0.367347,0.835165,0.230769
4,warmup,0.831366,0.604768,0.975728,0.483607,0.153846,0.680672,0.716312,0.890583,0.756477,0.885111,0.000000,0.531915,0.726392,0.456576,0.973837,0.437037,0.200000,0.716814,0.795276,0.923320,0.675926,0.837958,0.000000,0.555556,0.649351,0.471795,0.977626,0.541284,0.125000,0.648000,0.651613,0.860088,0.858824,0.937888,0.000000,0.510204,0.824176,0.442308
5,warmup,0.843168,0.632617,0.973519,0.530303,0.254545,0.666667,0.728522,0.904069,0.806818,0.903145,0.000000,0.586207,0.742706,0.494898,0.963775,0.451613,0.225806,0.603896,0.779412,0.916730,0.780220,0.914650,0.000000,0.594406,0.717949,0.527174,0.983463,0.642202,0.291667,0.744000,0.683871,0.891753,0.835294,0.891925,0.000000,0.578231,0.769231,0.466346
6,warmup,0.853382,0.648513,0.971594,0.594378,0.253968,0.693431,0.742230,0.916727,0.786885,0.899371,0.039216,0.622837,0.736842,0.524675,0.961868,0.528571,0.205128,0.637584,0.856540,0.901709,0.734694,0.910828,0.038462,0.633803,0.787500,0.570621,0.981518,0.678899,0.333333,0.760000,0.654839,0.932253,0.847059,0.888199,0.040000,0.612245,0.692308,0.485577
7,warmup,0.858148,0.662527,0.979035,0.540084,0.227273,0.695652,0.728597,0.920718,0.784530,0.906173,0.166667,0.636364,0.786280,0.578947,0.981427,0.500000,0.250000,0.687500,0.836820,0.935410,0.739583,0.900613,0.142857,0.608696,0.756345,0.532258,0.976654,0.587156,0.208333,0.704000,0.645161,0.906480,0.835294,0.911801,0.200000,0.666667,0.818681,0.634615
8,warmup,0.868815,0.682503,0.981481,0.583333,0.290909,0.699620,0.739286,0.930540,0.817204,0.913642,0.193548,0.625850,0.773109,0.641509,0.983398,0.534351,0.258065,0.666667,0.828000,0.928833,0.752475,0.920555,0.162162,0.625850,0.788571,0.629630,0.979572,0.642202,0.333333,0.736000,0.667742,0.932253,0.894118,0.906832,0.240000,0.625850,0.758242,0.653846
9,warmup,0.874716,0.698234,0.981535,0.582278,0.304348,0.713178,0.765009,0.934462,0.813187,0.911784,0.242424,0.658307,0.801153,0.671141,0.980583,0.539062,0.318182,0.691729,0.816850,0.934462,0.762887,0.946524,0.195122,0.610465,0.842424,0.627615,0.982490,0.633028,0.291667,0.736000,0.719355,0.934462,0.870588,0.879503,0.320000,0.714286,0.763736,0.721154
10,warmup,0.879256,0.715327,0.974952,0.603448,0.357143,0.709677,0.775374,0.936560,0.808989,0.908620,0.305085,0.679487,0.793103,0.731481,0.965649,0.569106,0.312500,0.715447,0.800687,0.932798,0.774194,0.949864,0.264706,0.642424,0.831325,0.705357,0.984436,0.642202,0.416667,0.704000,0.751613,0.940353,0.847059,0.870807,0.360000,0.721088,0.758242,0.759615
11,warmup,0.890150,0.723418,0.984451,0.572614,0.300000,0.720339,0.786207,0.942378,0.870588,0.920299,0.323529,0.687898,0.814607,0.758105,0.983495,0.522727,0.375000,0.765766,0.844444,0.933526,0.870588,0.922597,0.255814,0.646707,0.833333,0.787565,0.985409,0.633028,0.250000,0.680000,0.735484,0.951399,0.870588,0.918012,0.440000,0.734694,0.796703,0.730769
12,warmup,0.886972,0.724663,0.983988,0.568266,0.392857,0.719665,0.755793,0.945455,0.840909,0.924348,0.339623,0.703226,0.802228,0.719603,0.981607,0.475309,0.343750,0.754386,0.844622,0.933908,0.813187,0.946615,0.321429,0.668712,0.813559,0.743590,0.986381,0.706422,0.458333,0.688000,0.683871,0.957290,0.870588,0.903106,0.360000,0.741497,0.791209,0.697115
13,warmup,0.894235,0.738665,0.983942,0.569231,0.393443,0.722689,0.791809,0.949651,0.842697,0.931576,0.408163,0.702532,0.819484,0.748768,0.984421,0.490066,0.324324,0.761062,0.840580,0.947909,0.806452,0.941624,0.416667,0.656805,0.856287,0.767677,0.983463,0.678899,0.500000,0.688000,0.748387,0.951399,0.882353,0.921739,0.400000,0.755102,0.785714,0.730769
14,warmup,0.893100,0.726930,0.984885,0.560311,0.285714,0.729730,0.780822,0.948333,0.869048,0.936143,0.366667,0.709091,0.810198,0.742222,0.987292,0.486486,0.333333,0.835052,0.832117,0.943837,0.879518,0.963206,0.314286,0.639344,0.836257,0.690083,0.982490,0.660550,0.250000,0.648000,0.735484,0.952872,0.858824,0.910559,0.440000,0.795918,0.785714,0.802885
15,warmup,0.903768,0.753566,0.987811,0.600000,0.377358,0.744770,0.807080,0.950844,0.846154,0.943161,0.444444,0.732026,0.846797,0.762353,0.990225,0.516556,0.344828,0.780702,0.894118,0.947368,0.793814,0.948492,0.500000,0.704403,0.858757,0.746544,0.985409,0.715596,0.416667,0.712000,0.735484,0.954345,0.905882,0.937888,0.400000,0.761905,0.835165,0.778846
16,warmup,0.905129,0.760027,0.987835,0.596078,0.391304,0.731707,0.816609,0.949688,0.858824,0.937811,0.468085,0.734940,0.851429,0.796020,0.988315,0.520548,0.409091,0.743802,0.880597,0.947253,0.858824,0.938979,0.500000,0.659459,0.886905,0.824742,0.987354,0.697248,0.375000,0.720000,0.761290,0.952135,0.858824,0.936646,0.440000,0.829932,0.818681,0.769231
17,warmup,0.909442,0.763758,0.986849,0.617391,0.425532,0.731707,0.827939,0.953599,0.848837,0.941911,0.423077,0.753086,0.857143,0.798030,0.988293,0.586777,0.434783,0.743802,0.877256,0.946338,0.839080,0.947236,0.407407,0.689266,0.874286,0.818182,0.985409,0.651376,0.416667,0.720000,0.783871,0.960972,0.858824,0.936646,0.440000,0.829932,0.840659,0.778846
18,warmup,0.915570,0.775095,0.986874,0.649573,0.413793,0.745902,0.839255,0.957509,0.869048,0.951311,0.448980,0.783439,0.851541,0.803922,0.986395,0.608000,0.352941,0.764706,0.882562,0.952624,0.879518,0.956085,0.458333,0.736527,0.868571,0.820000,0.987354,0.697248,0.500000,0.728000,0.800000,0.962445,0.858824,0.946584,0.440000,0.836735,0.835165,0.788462
19,warmup,0.917839,0.782120,0.989771,0.655870,0.440000,0.777328,0.823129,0.959410,0.888889,0.958801,0.468085,0.780488,0.848485,0.795181,0.991220,0.586957,0.423077,0.786885,0.870504,0.961538,0.935065,0.963614,0.500000,0.707182,0.850829,0.797101,0.988327,0.743119,0.458333,0.768000,0.780645,0.957290,0.847059,0.954037,0.440000,0.870748,0.846154,0.793269
