round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0283
22,phase2,0.0250
23,phase2,0.0251
24,phase2,0.0250
25,phase2,0.0275
26,phase2,0.0278
27,phase2,0.0245
28,phase2,0.0260
29,phase2,0.0270
30,phase2,0.0240
31,phase2,0.0257
32,phase2,0.0253
33,phase2,0.0260
34,phase2,0.0255
35,phase2,0.0251
36,phase2,0.0263
37,phase2,0.0243
38,phase2,0.0250
39,phase2,0.0255
40,phase2,0.0260
41,phase2,0.0275
42,phase2,0.0250
43,phase2,0.0250
44,phase2,0.0244
45,phase2,0.0282
46,phase2,0.0253
47,phase2,0.0253
48,phase2,0.0253
49,phase2,0.0258
50,phase2,0.0260
