round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.274852,0.212966,0.311815,0.055556,0.000000,0.205357,0.272727,0.315789,0.633540,0.000000,0.000000,0.151079,0.552381,0.057348,0.267596,0.048951,0.000000,0.232323,0.166908,0.504854,0.671053,0.000000,0.000000,0.160305,0.388393,0.112676,0.373541,0.064220,0.000000,0.184000,0.745161,0.229750,0.600000,0.000000,0.000000,0.142857,0.956044,0.038462
2,warmup,0.693827,0.466935,0.883677,0.407843,0.000000,0.470270,0.644550,0.751956,0.532319,0.658131,0.000000,0.376569,0.678571,0.199336,0.853261,0.356164,0.000000,0.355102,0.631579,0.802170,0.393258,0.678996,0.000000,0.489130,0.571429,0.322581,0.916342,0.477064,0.000000,0.696000,0.658065,0.707658,0.823529,0.638509,0.000000,0.306122,0.835165,0.144231
3,warmup,0.768044,0.543247,0.943976,0.454545,0.000000,0.632653,0.708464,0.809672,0.635193,0.775995,0.000000,0.367521,0.725926,0.465011,0.962588,0.413534,0.000000,0.550296,0.689024,0.860697,0.500000,0.743736,0.000000,0.494253,0.659193,0.438298,0.926070,0.504587,0.000000,0.744000,0.729032,0.764359,0.870588,0.811180,0.000000,0.292517,0.807692,0.495192
4,warmup,0.802769,0.587183,0.961065,0.465649,0.000000,0.648649,0.750408,0.839952,0.747368,0.823396,0.058824,0.473469,0.722090,0.555324,0.974026,0.398693,0.000000,0.626866,0.759076,0.922467,0.676190,0.758368,0.111111,0.591837,0.635983,0.490775,0.948444,0.559633,0.000000,0.672000,0.741935,0.770987,0.835294,0.900621,0.040000,0.394558,0.835165,0.639423
5,warmup,0.837267,0.621893,0.962890,0.482490,0.074074,0.703125,0.784689,0.890555,0.767677,0.854015,0.058824,0.478088,0.744063,0.662222,0.979859,0.418919,0.333333,0.687023,0.776025,0.906870,0.672566,0.836710,0.111111,0.576923,0.715736,0.615702,0.946498,0.568807,0.041667,0.720000,0.793548,0.874816,0.894118,0.872050,0.040000,0.408163,0.774725,0.716346
6,warmup,0.847935,0.635452,0.962088,0.469697,0.000000,0.679842,0.791241,0.899770,0.836158,0.879594,0.058824,0.600000,0.760705,0.687500,0.974078,0.400000,0.000000,0.671875,0.722667,0.936306,0.804348,0.897801,0.111111,0.588235,0.702326,0.641667,0.950389,0.568807,0.000000,0.688000,0.874194,0.865979,0.870588,0.862112,0.040000,0.612245,0.829670,0.740385
7,warmup,0.872674,0.665211,0.972209,0.531746,0.057143,0.691176,0.830372,0.919853,0.845714,0.904948,0.052632,0.648464,0.780488,0.747788,0.974585,0.468531,0.090909,0.639456,0.831715,0.918502,0.822222,0.950752,0.076923,0.650685,0.770053,0.692623,0.969844,0.614679,0.041667,0.752000,0.829032,0.921208,0.870588,0.863354,0.040000,0.646259,0.791209,0.812500
8,warmup,0.883795,0.680364,0.974032,0.546218,0.051282,0.706827,0.853081,0.929993,0.828729,0.913771,0.105263,0.673333,0.795518,0.786325,0.981244,0.503876,0.066667,0.709677,0.835913,0.930678,0.781250,0.947931,0.153846,0.660131,0.811429,0.707692,0.966926,0.596330,0.041667,0.704000,0.870968,0.929308,0.882353,0.881988,0.080000,0.687075,0.780220,0.884615
9,warmup,0.881979,0.676712,0.972414,0.540984,0.060606,0.726496,0.839138,0.932597,0.797872,0.906153,0.093023,0.668810,0.775281,0.807175,0.985030,0.488889,0.111111,0.779817,0.863481,0.932940,0.728155,0.906716,0.111111,0.634146,0.793103,0.756303,0.960117,0.605505,0.041667,0.680000,0.816129,0.932253,0.882353,0.905590,0.080000,0.707483,0.758242,0.865385
10,warmup,0.900363,0.705653,0.978495,0.599119,0.058824,0.747899,0.875399,0.943657,0.839779,0.919511,0.133333,0.730263,0.801105,0.840449,0.983301,0.576271,0.100000,0.787611,0.867089,0.931802,0.791667,0.954545,0.150000,0.707006,0.805556,0.789030,0.973735,0.623853,0.041667,0.712000,0.883871,0.955817,0.894118,0.886957,0.120000,0.755102,0.796703,0.899038
