round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.460962,0.317516,0.641206,0.228571,0.000000,0.360515,0.495637,0.300654,0.509615,0.401087,0.000000,0.171946,0.603053,0.097902,0.489014,0.237624,0.000000,0.388889,0.539924,0.778462,0.430894,0.356522,0.000000,0.256757,0.461988,0.179487,0.930934,0.220183,0.000000,0.336000,0.458065,0.186303,0.623529,0.458385,0.000000,0.129252,0.868132,0.067308
2,warmup,0.667953,0.465111,0.888298,0.398148,0.000000,0.429561,0.673913,0.657558,0.557940,0.636895,0.083333,0.362869,0.724936,0.167883,0.815961,0.401869,0.000000,0.301948,0.768595,0.818880,0.439189,0.556691,0.086957,0.477778,0.681159,0.348485,0.974708,0.394495,0.000000,0.744000,0.600000,0.549337,0.764706,0.744099,0.080000,0.292517,0.774725,0.110577
3,warmup,0.745347,0.522863,0.966085,0.431193,0.000000,0.517520,0.725086,0.746005,0.608696,0.763617,0.067797,0.375000,0.716418,0.356941,0.962355,0.431193,0.000000,0.390244,0.775735,0.869608,0.482759,0.664825,0.058824,0.483871,0.654545,0.434483,0.969844,0.431193,0.000000,0.768000,0.680645,0.653166,0.823529,0.896894,0.080000,0.306122,0.791209,0.302885
4,warmup,0.786428,0.560156,0.969961,0.433498,0.000000,0.577508,0.759796,0.812600,0.708738,0.813296,0.090909,0.410042,0.707379,0.438144,0.966216,0.468085,0.000000,0.465686,0.805054,0.886087,0.603306,0.734000,0.073171,0.532609,0.658768,0.472222,0.973735,0.403670,0.000000,0.760000,0.719355,0.750368,0.858824,0.911801,0.120000,0.333333,0.763736,0.408654
5,warmup,0.813663,0.581524,0.973025,0.424242,0.000000,0.555556,0.763066,0.863810,0.757576,0.848305,0.131148,0.411523,0.721925,0.528117,0.963740,0.471910,0.000000,0.425532,0.829545,0.898885,0.663717,0.813927,0.111111,0.520833,0.703125,0.537313,0.982490,0.385321,0.000000,0.800000,0.706452,0.831370,0.882353,0.885714,0.160000,0.340136,0.741758,0.519231
6,warmup,0.805719,0.602464,0.972089,0.439252,0.000000,0.598071,0.772344,0.833333,0.806452,0.859869,0.190476,0.528571,0.723810,0.505300,0.961905,0.447619,0.000000,0.500000,0.809187,0.959693,0.742574,0.826835,0.157895,0.556391,0.638655,0.399441,0.982490,0.431193,0.000000,0.744000,0.738710,0.736377,0.882353,0.895652,0.240000,0.503401,0.835165,0.687500
7,warmup,0.832501,0.634317,0.975822,0.454106,0.000000,0.674242,0.775652,0.872972,0.817204,0.874702,0.260870,0.588235,0.766756,0.551237,0.970192,0.479592,0.000000,0.640288,0.841509,0.943541,0.752475,0.841561,0.204545,0.640000,0.748691,0.435754,0.981518,0.431193,0.000000,0.712000,0.719355,0.812224,0.894118,0.910559,0.360000,0.544218,0.785714,0.750000
8,warmup,0.852474,0.658485,0.980068,0.479638,0.066667,0.686347,0.785340,0.898462,0.853933,0.893358,0.290909,0.587786,0.753846,0.625468,0.979592,0.473214,0.166667,0.636986,0.855513,0.940419,0.817204,0.876794,0.266667,0.669565,0.706731,0.512270,0.980545,0.486239,0.041667,0.744000,0.725806,0.860088,0.894118,0.910559,0.320000,0.523810,0.807692,0.802885
9,warmup,0.864276,0.683242,0.973938,0.452174,0.176471,0.689655,0.820598,0.911035,0.872928,0.899628,0.320000,0.624113,0.795866,0.662500,0.966475,0.429752,0.300000,0.661765,0.845890,0.946075,0.822917,0.897404,0.320000,0.651852,0.751220,0.584559,0.981518,0.477064,0.125000,0.720000,0.796774,0.878498,0.929412,0.901863,0.320000,0.598639,0.846154,0.764423
10,warmup,0.865184,0.690403,0.976744,0.500000,0.193548,0.682171,0.814941,0.906646,0.861878,0.903186,0.333333,0.659259,0.786458,0.666667,0.972973,0.464567,0.428571,0.661654,0.860215,0.947791,0.812500,0.891173,0.310345,0.723577,0.747525,0.562914,0.980545,0.541284,0.125000,0.704000,0.774194,0.868925,0.917647,0.915528,0.360000,0.605442,0.829670,0.817308
