round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.337267,0.157027,0.523135,0.085837,0.000000,0.000000,0.577465,0.165688,0.161616,0.077453,0.000000,0.293126,0.000000,0.000000,0.360752,0.080645,0.000000,0.000000,0.512500,0.725714,0.571429,0.126050,0.000000,0.181090,0.000000,0.000000,0.951362,0.091743,0.000000,0.000000,0.661290,0.093520,0.094118,0.055901,0.000000,0.768707,0.000000,0.000000
2,warmup,0.747390,0.481337,0.888387,0.421488,0.000000,0.614754,0.696751,0.820455,0.472222,0.755529,0.000000,0.294931,0.709832,0.101695,0.829536,0.383459,0.000000,0.630252,0.790984,0.831945,0.334975,0.728111,0.000000,0.457143,0.629787,0.428571,0.956226,0.467890,0.000000,0.600000,0.622581,0.809278,0.800000,0.785093,0.000000,0.217687,0.813187,0.057692
3,warmup,0.819110,0.537246,0.958694,0.396476,0.000000,0.633094,0.740238,0.890553,0.593886,0.879751,0.000000,0.358974,0.740741,0.254545,0.946869,0.381356,0.000000,0.575163,0.781362,0.863165,0.472222,0.882500,0.000000,0.482759,0.640000,0.522388,0.970817,0.412844,0.000000,0.704000,0.703226,0.919735,0.800000,0.877019,0.000000,0.285714,0.879121,0.168269
4,warmup,0.833182,0.596424,0.969608,0.432836,0.113208,0.644928,0.764310,0.900364,0.723810,0.892095,0.086957,0.392857,0.749340,0.486772,0.977273,0.364780,0.103448,0.589404,0.799296,0.889368,0.608000,0.901141,0.095238,0.571429,0.720812,0.541176,0.962062,0.532110,0.125000,0.712000,0.732258,0.911635,0.894118,0.883230,0.080000,0.299320,0.780220,0.442308
5,warmup,0.838629,0.612588,0.970559,0.457627,0.166667,0.618056,0.763251,0.905271,0.754902,0.898294,0.095238,0.409091,0.745501,0.566596,0.979208,0.425197,0.138889,0.546012,0.843750,0.906273,0.647059,0.913882,0.117647,0.616438,0.700483,0.505660,0.962062,0.495413,0.208333,0.712000,0.696774,0.904271,0.905882,0.883230,0.080000,0.306122,0.796703,0.644231
6,warmup,0.858829,0.650077,0.970530,0.478764,0.274510,0.674419,0.807309,0.919740,0.814815,0.902284,0.102564,0.446429,0.764858,0.644706,0.980159,0.413333,0.259259,0.654135,0.832192,0.903409,0.740385,0.922179,0.142857,0.649351,0.721951,0.631336,0.961089,0.568807,0.291667,0.696000,0.783871,0.936672,0.905882,0.883230,0.080000,0.340136,0.813187,0.658654
7,warmup,0.866319,0.653149,0.969756,0.533333,0.206897,0.678967,0.811688,0.930400,0.808511,0.909665,0.090909,0.464912,0.752941,0.679803,0.972603,0.465753,0.176471,0.630137,0.816993,0.911661,0.737864,0.925450,0.105263,0.654321,0.810127,0.696970,0.966926,0.623853,0.250000,0.736000,0.806452,0.949926,0.894118,0.894410,0.080000,0.360544,0.703297,0.663462
8,warmup,0.865638,0.663112,0.974988,0.406375,0.245614,0.632035,0.813223,0.926021,0.845714,0.914214,0.170213,0.559701,0.770833,0.698413,0.983185,0.359155,0.212121,0.688679,0.833898,0.925681,0.822222,0.921717,0.181818,0.619835,0.732673,0.660944,0.966926,0.467890,0.291667,0.584000,0.793548,0.926362,0.870588,0.906832,0.160000,0.510204,0.813187,0.740385
9,warmup,0.877667,0.676032,0.973710,0.510460,0.136364,0.666667,0.843493,0.928006,0.853801,0.916350,0.170213,0.586873,0.791444,0.735000,0.974659,0.469231,0.150000,0.639706,0.861953,0.907746,0.848837,0.935317,0.181818,0.678571,0.770833,0.765625,0.972763,0.559633,0.125000,0.696000,0.825806,0.949190,0.858824,0.898137,0.160000,0.517007,0.813187,0.706731
10,warmup,0.881298,0.691315,0.972522,0.543307,0.173913,0.692607,0.837662,0.931287,0.848837,0.921151,0.208333,0.610294,0.802168,0.753695,0.981188,0.475862,0.181818,0.674242,0.843137,0.924528,0.839080,0.928121,0.217391,0.664000,0.791444,0.772727,0.964008,0.633028,0.166667,0.712000,0.832258,0.938144,0.858824,0.914286,0.200000,0.564626,0.813187,0.735577
11,warmup,0.881525,0.692032,0.973735,0.553571,0.188679,0.676259,0.846405,0.930485,0.840909,0.922201,0.230769,0.614786,0.780899,0.745679,0.973735,0.539130,0.172414,0.614379,0.857616,0.915242,0.813187,0.939433,0.222222,0.718182,0.798851,0.766497,0.973735,0.568807,0.208333,0.752000,0.835484,0.946244,0.870588,0.905590,0.240000,0.537415,0.763736,0.725962
12,warmup,0.886745,0.702250,0.975134,0.549550,0.260870,0.696970,0.850242,0.933824,0.863905,0.924877,0.185185,0.631579,0.787879,0.766990,0.977517,0.539823,0.272727,0.661871,0.848875,0.932452,0.869048,0.916972,0.172414,0.705882,0.790055,0.774510,0.972763,0.559633,0.250000,0.736000,0.851613,0.935199,0.858824,0.932919,0.200000,0.571429,0.785714,0.759615
13,warmup,0.887653,0.705107,0.975992,0.560000,0.260870,0.679688,0.852512,0.932408,0.870588,0.926617,0.188679,0.622568,0.800000,0.791367,0.983218,0.496454,0.272727,0.664122,0.856678,0.925308,0.870588,0.927771,0.178571,0.727273,0.808989,0.789474,0.968872,0.642202,0.250000,0.696000,0.848387,0.939617,0.870588,0.925466,0.200000,0.544218,0.791209,0.793269
14,warmup,0.888334,0.703605,0.976016,0.548523,0.205128,0.690647,0.847021,0.932755,0.872093,0.927649,0.196078,0.650000,0.811989,0.785366,0.982266,0.507812,0.266667,0.627451,0.845659,0.916193,0.862069,0.966353,0.192308,0.684211,0.805405,0.797030,0.969844,0.596330,0.166667,0.768000,0.848387,0.949926,0.882353,0.891925,0.200000,0.619048,0.818681,0.774038
