round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.336813,0.156768,0.522320,0.086207,0.000000,0.000000,0.577840,0.164491,0.161616,0.075993,0.000000,0.292746,0.000000,0.000000,0.360118,0.081301,0.000000,0.000000,0.511166,0.724138,0.571429,0.124646,0.000000,0.180800,0.000000,0.000000,0.950389,0.091743,0.000000,0.000000,0.664516,0.092784,0.094118,0.054658,0.000000,0.768707,0.000000,0.000000
2,warmup,0.751248,0.480697,0.892922,0.403162,0.000000,0.594142,0.692168,0.827941,0.455446,0.768000,0.000000,0.319635,0.713253,0.101695,0.836735,0.354167,0.000000,0.622807,0.794979,0.826725,0.316514,0.760976,0.000000,0.486111,0.635193,0.428571,0.957198,0.467890,0.000000,0.568000,0.612903,0.829161,0.811765,0.775155,0.000000,0.238095,0.813187,0.057692
3,warmup,0.819564,0.549869,0.963320,0.416327,0.000000,0.622837,0.721541,0.892462,0.602620,0.880503,0.068966,0.403361,0.738824,0.287671,0.955939,0.375000,0.000000,0.548780,0.789272,0.866759,0.479167,0.891720,0.250000,0.527473,0.646091,0.500000,0.970817,0.467890,0.000000,0.720000,0.664516,0.919735,0.811765,0.869565,0.040000,0.326531,0.862637,0.201923
4,warmup,0.837721,0.610849,0.969103,0.434457,0.192308,0.649446,0.770248,0.905248,0.741117,0.893401,0.078431,0.400000,0.748691,0.547739,0.977250,0.367089,0.178571,0.602740,0.789831,0.896104,0.651786,0.913100,0.076923,0.554217,0.715000,0.573684,0.961089,0.532110,0.208333,0.704000,0.751613,0.914580,0.858824,0.874534,0.080000,0.312925,0.785714,0.524038
5,warmup,0.847254,0.617492,0.972630,0.449339,0.142857,0.630824,0.766727,0.915488,0.739336,0.896422,0.100000,0.437209,0.764706,0.594360,0.977407,0.432203,0.125000,0.571429,0.872428,0.902073,0.619048,0.906091,0.133333,0.691176,0.744792,0.541502,0.967899,0.467890,0.166667,0.704000,0.683871,0.929308,0.917647,0.886957,0.080000,0.319728,0.785714,0.658654
6,warmup,0.859737,0.649486,0.970171,0.520661,0.266667,0.659091,0.800676,0.920658,0.821622,0.894536,0.048780,0.468468,0.762402,0.660099,0.975418,0.473684,0.222222,0.625899,0.840426,0.894444,0.760000,0.915475,0.062500,0.693333,0.726368,0.676768,0.964981,0.577982,0.333333,0.696000,0.764516,0.948454,0.894118,0.874534,0.040000,0.353741,0.802198,0.644231
7,warmup,0.864957,0.653742,0.972549,0.488550,0.190476,0.661871,0.809917,0.924973,0.840909,0.910916,0.093023,0.483051,0.761905,0.706767,0.980237,0.418301,0.153846,0.601307,0.830508,0.910778,0.813187,0.920152,0.111111,0.640449,0.777143,0.738220,0.964981,0.587156,0.250000,0.736000,0.790323,0.939617,0.870588,0.901863,0.080000,0.387755,0.747253,0.677885
8,warmup,0.874943,0.679422,0.972073,0.489960,0.217391,0.681818,0.841270,0.926354,0.860465,0.910141,0.146341,0.578947,0.788512,0.739796,0.979269,0.435714,0.227273,0.647482,0.828125,0.908640,0.850575,0.941567,0.187500,0.647059,0.751244,0.788043,0.964981,0.559633,0.208333,0.720000,0.854839,0.944772,0.870588,0.880745,0.120000,0.523810,0.829670,0.697115
9,warmup,0.874262,0.679652,0.972317,0.496000,0.196078,0.682171,0.826446,0.925620,0.855422,0.911295,0.208333,0.520325,0.790323,0.771499,0.970902,0.439716,0.185185,0.661654,0.847458,0.903860,0.876543,0.937008,0.217391,0.646465,0.773684,0.788945,0.973735,0.568807,0.208333,0.704000,0.806452,0.948454,0.835294,0.886957,0.200000,0.435374,0.807692,0.754808
10,warmup,0.881298,0.685255,0.976016,0.520000,0.173913,0.671815,0.834983,0.932844,0.852273,0.923650,0.208333,0.560311,0.798942,0.769976,0.982266,0.460993,0.181818,0.649254,0.854730,0.929773,0.824176,0.923077,0.217391,0.654545,0.770408,0.775610,0.969844,0.596330,0.166667,0.696000,0.816129,0.935935,0.882353,0.924224,0.200000,0.489796,0.829670,0.764423
