round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.573763,0.378922,0.740196,0.421525,0.000000,0.352332,0.580297,0.624131,0.419118,0.493287,0.000000,0.231481,0.656790,0.027907,0.746047,0.412281,0.000000,0.500000,0.498840,0.701932,0.304813,0.411277,0.000000,0.362319,0.596413,0.428571,0.734436,0.431193,0.000000,0.272000,0.693548,0.561856,0.670588,0.616149,0.000000,0.170068,0.730769,0.014423
2,warmup,0.715388,0.480944,0.907579,0.395062,0.000000,0.472222,0.682927,0.756779,0.578947,0.713981,0.041667,0.361233,0.702830,0.158103,0.912488,0.358209,0.000000,0.361702,0.688525,0.840072,0.461538,0.625819,0.043478,0.512500,0.615702,0.444444,0.902724,0.440367,0.000000,0.680000,0.677419,0.688513,0.776471,0.831056,0.040000,0.278912,0.818681,0.096154
3,warmup,0.746709,0.526203,0.954325,0.435146,0.000000,0.579618,0.732673,0.766545,0.683417,0.750269,0.025316,0.380090,0.706494,0.300546,0.953398,0.400000,0.000000,0.481481,0.750000,0.854299,0.596491,0.661918,0.018519,0.567568,0.669951,0.348101,0.955253,0.477064,0.000000,0.728000,0.716129,0.695140,0.800000,0.865839,0.040000,0.285714,0.747253,0.264423
4,warmup,0.767817,0.545358,0.962494,0.474576,0.000000,0.582278,0.747994,0.792937,0.702128,0.787246,0.050633,0.377193,0.702703,0.364116,0.963902,0.440945,0.000000,0.481675,0.744409,0.871252,0.640777,0.706114,0.037037,0.530864,0.691489,0.403509,0.961089,0.513761,0.000000,0.736000,0.751613,0.727541,0.776471,0.889441,0.080000,0.292517,0.714286,0.331731
5,warmup,0.792556,0.573809,0.971317,0.516129,0.000000,0.597403,0.763285,0.819802,0.734043,0.820056,0.073171,0.484127,0.695418,0.410959,0.970845,0.518519,0.000000,0.502732,0.762058,0.886889,0.669903,0.743434,0.052632,0.580952,0.682540,0.477707,0.971790,0.513761,0.000000,0.736000,0.764516,0.762150,0.811765,0.914286,0.120000,0.414966,0.708791,0.360577
6,warmup,0.806173,0.599340,0.975182,0.449761,0.060606,0.586420,0.751204,0.832930,0.765714,0.845800,0.076923,0.593103,0.731707,0.522727,0.975657,0.470000,0.111111,0.477387,0.747604,0.921429,0.744444,0.787781,0.056604,0.601399,0.721925,0.495690,0.974708,0.431193,0.041667,0.760000,0.754839,0.759941,0.788235,0.913043,0.120000,0.585034,0.741758,0.552885
7,warmup,0.833636,0.623266,0.980948,0.497696,0.057143,0.620690,0.781759,0.868789,0.773481,0.870685,0.089552,0.604478,0.746594,0.587379,0.985280,0.500000,0.090909,0.510309,0.789474,0.918719,0.729167,0.823009,0.071429,0.669421,0.740541,0.593137,0.976654,0.495413,0.041667,0.792000,0.774194,0.824006,0.823529,0.924224,0.120000,0.551020,0.752747,0.581731
8,warmup,0.839083,0.651723,0.980929,0.489451,0.153846,0.633094,0.782609,0.868316,0.813559,0.882915,0.156250,0.668966,0.769648,0.621094,0.986234,0.453125,0.200000,0.575163,0.781350,0.947735,0.782609,0.850403,0.128205,0.678322,0.759358,0.523026,0.975681,0.532110,0.125000,0.704000,0.783871,0.801178,0.847059,0.918012,0.200000,0.659864,0.780220,0.764423
9,warmup,0.856332,0.669046,0.980507,0.509259,0.190476,0.581040,0.786777,0.895511,0.811111,0.895683,0.193548,0.696552,0.785515,0.702576,0.982422,0.514019,0.222222,0.470297,0.806780,0.943719,0.768421,0.865585,0.162162,0.706294,0.796610,0.684932,0.978599,0.504587,0.166667,0.760000,0.767742,0.851988,0.858824,0.927950,0.240000,0.687075,0.774725,0.721154
10,warmup,0.863595,0.671852,0.980049,0.530973,0.142857,0.587859,0.801964,0.907422,0.786517,0.904210,0.197183,0.715278,0.787535,0.720379,0.980526,0.512821,0.166667,0.489362,0.813953,0.944268,0.752688,0.888489,0.152174,0.730496,0.812865,0.710280,0.979572,0.550459,0.125000,0.736000,0.790323,0.873343,0.823529,0.920497,0.280000,0.700680,0.763736,0.730769
11,warmup,0.869950,0.686589,0.981409,0.508772,0.217391,0.608392,0.811502,0.912308,0.831461,0.908537,0.206897,0.723549,0.804408,0.724444,0.987205,0.487395,0.227273,0.540373,0.803797,0.954911,0.795699,0.892216,0.181818,0.726027,0.806630,0.673554,0.975681,0.532110,0.208333,0.696000,0.819355,0.873343,0.870588,0.925466,0.240000,0.721088,0.802198,0.783654
12,warmup,0.880844,0.702860,0.981481,0.538813,0.204082,0.636986,0.824675,0.922315,0.850575,0.917174,0.250000,0.742268,0.817680,0.748268,0.983398,0.536364,0.200000,0.556886,0.830065,0.955047,0.831461,0.899642,0.225806,0.750000,0.822222,0.720000,0.979572,0.541284,0.208333,0.744000,0.819355,0.891753,0.870588,0.935404,0.280000,0.734694,0.813187,0.778846
13,warmup,0.882433,0.715642,0.982013,0.553991,0.297872,0.639731,0.837359,0.919149,0.850575,0.912343,0.264151,0.754209,0.816216,0.760095,0.981535,0.567308,0.304348,0.552326,0.836013,0.968215,0.831461,0.877294,0.250000,0.746667,0.803191,0.751174,0.982490,0.541284,0.291667,0.760000,0.838710,0.874816,0.870588,0.950311,0.280000,0.761905,0.829670,0.769231
14,warmup,0.894235,0.726149,0.984436,0.591304,0.297872,0.626667,0.845258,0.936090,0.862069,0.937656,0.280702,0.758389,0.821918,0.771429,0.984436,0.561983,0.304348,0.537143,0.872852,0.956221,0.842697,0.941176,0.250000,0.748344,0.819672,0.764151,0.984436,0.623853,0.291667,0.752000,0.819355,0.916789,0.882353,0.934161,0.320000,0.768707,0.824176,0.778846
15,warmup,0.901271,0.737067,0.984944,0.583732,0.311111,0.698529,0.848875,0.943083,0.857143,0.934316,0.301887,0.770270,0.837333,0.773585,0.983511,0.610000,0.333333,0.646259,0.846154,0.966023,0.833333,0.923544,0.285714,0.765101,0.813472,0.759259,0.986381,0.559633,0.291667,0.760000,0.851613,0.921208,0.882353,0.945342,0.320000,0.775510,0.862637,0.788462
