round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.336586,0.197207,0.171629,0.000000,0.000000,0.297436,0.339223,0.338076,0.162602,0.425568,0.000000,0.112195,0.519757,0.000000,0.859649,0.000000,0.000000,0.414286,0.375000,0.744361,0.263158,0.274801,0.000000,0.087452,0.359244,0.000000,0.095331,0.000000,0.000000,0.232000,0.309677,0.218704,0.117647,0.942857,0.000000,0.156463,0.939560,0.000000
2,warmup,0.619610,0.402528,0.752896,0.331839,0.000000,0.517572,0.626234,0.745819,0.565022,0.395879,0.000000,0.195349,0.648221,0.051502,0.624200,0.324561,0.000000,0.430851,0.556391,0.862669,0.456522,0.485560,0.000000,0.308824,0.506173,0.240000,0.948444,0.339450,0.000000,0.648000,0.716129,0.656848,0.741176,0.334161,0.000000,0.142857,0.901099,0.028846
3,warmup,0.768951,0.522409,0.930968,0.394850,0.000000,0.608974,0.687307,0.850132,0.611650,0.765217,0.062500,0.370370,0.711712,0.275229,0.917769,0.370968,0.000000,0.508021,0.660714,0.872192,0.520661,0.765217,0.142857,0.468750,0.603053,0.378151,0.944553,0.422018,0.000000,0.760000,0.716129,0.829161,0.741176,0.765217,0.040000,0.306122,0.868132,0.216346
4,warmup,0.797776,0.549208,0.943873,0.396476,0.080000,0.612903,0.740620,0.870810,0.680628,0.820449,0.000000,0.381356,0.724299,0.339080,0.909009,0.381356,1.000000,0.513514,0.749175,0.891288,0.613208,0.823529,0.000000,0.505618,0.630081,0.421429,0.981518,0.412844,0.041667,0.760000,0.732258,0.851252,0.764706,0.817391,0.000000,0.306122,0.851648,0.283654
5,warmup,0.820018,0.570586,0.964921,0.418182,0.055556,0.627586,0.747253,0.888312,0.714286,0.859119,0.000000,0.394737,0.723005,0.454082,0.953466,0.414414,0.083333,0.551515,0.727829,0.895288,0.670103,0.870064,0.000000,0.555556,0.631148,0.483696,0.976654,0.422018,0.041667,0.728000,0.767742,0.881443,0.764706,0.848447,0.000000,0.306122,0.846154,0.427885
6,warmup,0.833636,0.599717,0.970602,0.477876,0.133333,0.625000,0.761905,0.907953,0.785714,0.871300,0.000000,0.404762,0.720988,0.537170,0.961796,0.461538,0.142857,0.512821,0.805755,0.907953,0.795181,0.903872,0.000000,0.485714,0.654709,0.535885,0.979572,0.495413,0.125000,0.800000,0.722581,0.907953,0.776471,0.840994,0.000000,0.346939,0.802198,0.538462
7,warmup,0.851339,0.634195,0.970221,0.521368,0.146341,0.648649,0.785479,0.919325,0.824242,0.893106,0.034483,0.514925,0.742105,0.610092,0.958254,0.488000,0.176471,0.561404,0.804054,0.937261,0.850000,0.909794,0.030303,0.570248,0.712121,0.583333,0.982490,0.559633,0.125000,0.768000,0.767742,0.902062,0.800000,0.877019,0.040000,0.469388,0.774725,0.639423
8,warmup,0.866319,0.669989,0.979452,0.532189,0.173913,0.692580,0.804754,0.928148,0.811765,0.904703,0.253968,0.546154,0.759003,0.653244,0.985236,0.500000,0.181818,0.620253,0.849462,0.933681,0.811765,0.901356,0.210526,0.628319,0.765363,0.610879,0.973735,0.568807,0.166667,0.784000,0.764516,0.922680,0.811765,0.908075,0.320000,0.482993,0.752747,0.701923
9,warmup,0.876305,0.678739,0.978059,0.502024,0.142857,0.684825,0.809061,0.941688,0.840237,0.907584,0.280702,0.571429,0.777778,0.708625,0.980450,0.449275,0.166667,0.666667,0.811688,0.926586,0.845238,0.931937,0.250000,0.685714,0.786517,0.687783,0.975681,0.568807,0.125000,0.704000,0.806452,0.957290,0.835294,0.884472,0.320000,0.489796,0.769231,0.730769
10,warmup,0.892192,0.703410,0.981995,0.570175,0.102564,0.711111,0.829032,0.953549,0.862275,0.927194,0.339623,0.654676,0.790191,0.718535,0.982473,0.546218,0.133333,0.662069,0.829032,0.962491,0.878049,0.928928,0.321429,0.694656,0.783784,0.685590,0.981518,0.596330,0.083333,0.768000,0.829032,0.944772,0.847059,0.925466,0.360000,0.619048,0.796703,0.754808
