round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0260
22,phase2,0.0300
23,phase2,0.0305
24,phase2,0.0300
25,phase2,0.0300
26,phase2,0.0300
27,phase2,0.0303
28,phase2,0.0145
29,phase2,0.0296
30,phase2,0.0283
31,phase2,0.0303
32,phase2,0.0325
33,phase2,0.0305
34,phase2,0.0155
35,phase2,0.0154
36,phase2,0.0324
37,phase2,0.0261
38,phase2,0.0457
39,phase2,0.0323
40,phase2,0.0384
41,phase2,0.0317
42,phase2,0.0291
43,phase2,0.0316
44,phase2,0.0349
45,phase2,0.0282
46,phase2,0.0414
47,phase2,0.0303
48,phase2,0.0315
49,phase2,0.0297
50,phase2,0.0315
