round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.508625,0.321917,0.769101,0.236842,0.000000,0.422535,0.442688,0.396694,0.178218,0.462585,0.000000,0.285714,0.583026,0.085603,0.679344,0.226891,0.000000,0.326087,0.571429,0.787746,0.562500,0.351648,0.000000,0.373626,0.438889,0.224490,0.886187,0.247706,0.000000,0.600000,0.361290,0.265096,0.105882,0.675776,0.000000,0.231293,0.868132,0.052885
2,warmup,0.686110,0.469054,0.837466,0.301508,0.000000,0.473282,0.667791,0.770531,0.552036,0.624776,0.000000,0.469388,0.677804,0.254072,0.793043,0.333333,0.000000,0.347015,0.699647,0.849911,0.448529,0.602771,0.000000,0.469388,0.599156,0.393939,0.887160,0.275229,0.000000,0.744000,0.638710,0.704713,0.717647,0.648447,0.000000,0.469388,0.780220,0.187500
3,warmup,0.728779,0.518278,0.878118,0.330000,0.062500,0.549254,0.702439,0.800479,0.606635,0.702827,0.064516,0.464286,0.722955,0.335329,0.850501,0.362637,0.125000,0.438095,0.708197,0.873693,0.507937,0.656250,0.054054,0.488722,0.695431,0.444444,0.907588,0.302752,0.041667,0.736000,0.696774,0.738586,0.752941,0.756522,0.080000,0.442177,0.752747,0.269231
4,warmup,0.763958,0.555595,0.914842,0.380488,0.121212,0.568807,0.699029,0.831409,0.696133,0.761621,0.028571,0.498221,0.731579,0.435233,0.915287,0.406250,0.222222,0.460396,0.701299,0.870968,0.656250,0.731959,0.022222,0.522388,0.702020,0.471910,0.914397,0.357798,0.083333,0.744000,0.696774,0.795287,0.741176,0.793789,0.040000,0.476190,0.763736,0.403846
5,warmup,0.790286,0.583410,0.936647,0.398148,0.111111,0.602564,0.724307,0.845401,0.738636,0.811869,0.030769,0.548495,0.723288,0.529680,0.938477,0.401869,0.166667,0.502674,0.732673,0.902256,0.714286,0.777273,0.025000,0.539474,0.721311,0.504348,0.934825,0.394495,0.083333,0.752000,0.716129,0.795287,0.764706,0.849689,0.040000,0.557823,0.725275,0.557692
6,warmup,0.814117,0.614614,0.953906,0.439252,0.146341,0.607595,0.761120,0.856801,0.807229,0.845929,0.035714,0.574194,0.752809,0.594480,0.951597,0.447619,0.176471,0.502618,0.777778,0.934726,0.827160,0.800443,0.032258,0.546012,0.770115,0.532319,0.956226,0.431193,0.125000,0.768000,0.745161,0.790869,0.788235,0.896894,0.040000,0.605442,0.736264,0.673077
7,warmup,0.837040,0.656382,0.962927,0.500000,0.238095,0.645614,0.784314,0.876984,0.853801,0.883086,0.153846,0.605263,0.734694,0.637965,0.965753,0.486957,0.277778,0.575000,0.794702,0.950947,0.848837,0.845455,0.125000,0.585987,0.782609,0.537954,0.960117,0.513761,0.208333,0.736000,0.774194,0.813697,0.858824,0.924224,0.200000,0.625850,0.692308,0.783654
8,warmup,0.850204,0.667409,0.967961,0.513274,0.222222,0.614334,0.786667,0.892380,0.855491,0.896429,0.181818,0.625850,0.759207,0.693277,0.966085,0.495726,0.238095,0.535714,0.813793,0.956229,0.840909,0.860571,0.146341,0.625850,0.783626,0.615672,0.969844,0.532110,0.208333,0.720000,0.761290,0.836524,0.870588,0.935404,0.240000,0.625850,0.736264,0.793269
9,warmup,0.862460,0.686523,0.969373,0.556017,0.204082,0.637681,0.805237,0.898665,0.867470,0.921960,0.254545,0.628378,0.789916,0.704950,0.968902,0.507576,0.200000,0.582781,0.817276,0.962963,0.888889,0.898585,0.233333,0.624161,0.805714,0.599327,0.969844,0.614679,0.208333,0.704000,0.793548,0.842415,0.847059,0.946584,0.280000,0.632653,0.774725,0.855769
10,warmup,0.875624,0.698755,0.970489,0.551111,0.244898,0.656827,0.823529,0.915058,0.883436,0.931474,0.226415,0.646259,0.801120,0.734440,0.965351,0.534483,0.240000,0.609589,0.834437,0.961851,0.923077,0.909953,0.214286,0.646259,0.817143,0.645985,0.975681,0.568807,0.250000,0.712000,0.812903,0.872607,0.847059,0.954037,0.240000,0.646259,0.785714,0.850962
