round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.441670,0.276431,0.677285,0.150754,0.000000,0.192308,0.480962,0.274299,0.391960,0.344015,0.000000,0.164948,0.548330,0.092308,0.525806,0.166667,0.000000,0.483871,0.634921,0.721003,0.342105,0.277145,0.000000,0.340426,0.403101,0.230769,0.951362,0.137615,0.000000,0.120000,0.387097,0.169367,0.458824,0.453416,0.000000,0.108844,0.857143,0.057692
2,warmup,0.669088,0.444460,0.835316,0.416667,0.000000,0.427553,0.687050,0.728370,0.512605,0.620767,0.000000,0.322275,0.715686,0.067227,0.788428,0.381679,0.000000,0.304054,0.776423,0.803017,0.398693,0.568769,0.000000,0.531250,0.646018,0.266667,0.888132,0.458716,0.000000,0.720000,0.616129,0.666421,0.717647,0.683230,0.000000,0.231293,0.802198,0.038462
3,warmup,0.740581,0.535957,0.920396,0.488889,0.097561,0.541311,0.766892,0.766348,0.619718,0.722566,0.032787,0.449339,0.736292,0.289389,0.892237,0.474138,0.117647,0.420354,0.804965,0.835652,0.515625,0.660494,0.027778,0.637500,0.701493,0.436893,0.950389,0.504587,0.083333,0.760000,0.732258,0.707658,0.776471,0.797516,0.040000,0.346939,0.774725,0.216346
4,warmup,0.781661,0.582578,0.963610,0.482456,0.127660,0.606452,0.793443,0.802839,0.736842,0.792731,0.073171,0.472574,0.714286,0.424870,0.961278,0.462185,0.130435,0.508108,0.806667,0.864177,0.666667,0.730126,0.052632,0.622222,0.714286,0.460674,0.965953,0.504587,0.125000,0.752000,0.780645,0.749632,0.823529,0.867081,0.120000,0.380952,0.714286,0.394231
5,warmup,0.807762,0.616320,0.970403,0.511628,0.195122,0.626582,0.813725,0.830114,0.779661,0.832464,0.076923,0.509960,0.756164,0.493088,0.968054,0.518868,0.235294,0.518325,0.824503,0.893130,0.750000,0.780435,0.056604,0.615385,0.754098,0.473451,0.972763,0.504587,0.166667,0.792000,0.803226,0.775405,0.811765,0.891925,0.120000,0.435374,0.758242,0.514423
6,warmup,0.834544,0.643283,0.979691,0.515556,0.230769,0.632588,0.823529,0.867810,0.820225,0.875303,0.121951,0.547529,0.757225,0.547215,0.974038,0.500000,0.214286,0.526596,0.859649,0.898974,0.784946,0.853601,0.087719,0.620690,0.798780,0.551220,0.985409,0.532110,0.250000,0.792000,0.790323,0.838733,0.858824,0.898137,0.200000,0.489796,0.719780,0.543269
7,warmup,0.852247,0.660169,0.983973,0.517544,0.208333,0.631229,0.842640,0.890655,0.815217,0.895485,0.164384,0.582090,0.777143,0.613333,0.982541,0.495798,0.208333,0.539773,0.886121,0.915953,0.757576,0.891626,0.125000,0.644628,0.809524,0.570248,0.985409,0.541284,0.208333,0.760000,0.803226,0.866716,0.882353,0.899379,0.240000,0.530612,0.747253,0.663462
8,warmup,0.864957,0.679808,0.984466,0.530973,0.222222,0.652778,0.851852,0.901472,0.849162,0.903346,0.164384,0.632727,0.786127,0.678186,0.982558,0.512821,0.238095,0.576687,0.890845,0.924864,0.808511,0.901112,0.125000,0.679688,0.829268,0.615686,0.986381,0.550459,0.208333,0.752000,0.816129,0.879234,0.894118,0.905590,0.240000,0.591837,0.747253,0.754808
9,warmup,0.874262,0.687389,0.986434,0.524887,0.142857,0.676157,0.846405,0.909639,0.865497,0.905802,0.181818,0.671186,0.815642,0.722348,0.982625,0.517857,0.166667,0.608974,0.857616,0.930663,0.860465,0.909774,0.146341,0.668919,0.829545,0.680851,0.990272,0.532110,0.125000,0.760000,0.835484,0.889543,0.870588,0.901863,0.240000,0.673469,0.802198,0.769231
10,warmup,0.876532,0.692984,0.986900,0.535088,0.181818,0.685921,0.853333,0.910261,0.868571,0.912390,0.169492,0.677966,0.821918,0.712154,0.984511,0.512605,0.200000,0.625000,0.882759,0.936867,0.844444,0.919294,0.147059,0.675676,0.819672,0.639847,0.989300,0.559633,0.166667,0.760000,0.825806,0.885125,0.894118,0.905590,0.200000,0.680272,0.824176,0.802885
11,warmup,0.885384,0.702735,0.987391,0.562212,0.130435,0.693431,0.868852,0.917896,0.878613,0.912538,0.203390,0.680556,0.832402,0.765101,0.984526,0.564815,0.136364,0.637584,0.883333,0.943969,0.863636,0.898795,0.176471,0.695035,0.846591,0.715481,0.990272,0.559633,0.125000,0.760000,0.854839,0.893225,0.894118,0.926708,0.240000,0.666667,0.818681,0.822115
12,warmup,0.888561,0.719288,0.988338,0.600897,0.208333,0.691176,0.867863,0.919774,0.877193,0.917189,0.264151,0.701754,0.853261,0.741525,0.987379,0.587719,0.208333,0.639456,0.877888,0.941403,0.872093,0.926489,0.250000,0.724638,0.844086,0.662879,0.989300,0.614679,0.208333,0.752000,0.858065,0.899116,0.882353,0.908075,0.280000,0.680272,0.862637,0.841346
13,warmup,0.899455,0.737836,0.988338,0.601852,0.260870,0.700000,0.888147,0.933186,0.892857,0.927353,0.322581,0.706714,0.856354,0.775785,0.987379,0.607477,0.272727,0.632258,0.920415,0.935603,0.903614,0.943445,0.270270,0.735294,0.861111,0.726891,0.989300,0.596330,0.250000,0.784000,0.858065,0.930781,0.882353,0.911801,0.400000,0.680272,0.851648,0.831731
14,warmup,0.899909,0.740766,0.988786,0.619048,0.238095,0.719101,0.885572,0.929870,0.894118,0.928212,0.338983,0.723404,0.861111,0.762887,0.991202,0.643564,0.277778,0.676056,0.911263,0.937173,0.894118,0.941252,0.294118,0.755556,0.870787,0.667870,0.986381,0.596330,0.208333,0.768000,0.861290,0.922680,0.894118,0.915528,0.400000,0.693878,0.851648,0.889423
15,warmup,0.905810,0.752321,0.990282,0.611111,0.318182,0.705455,0.879339,0.935698,0.904762,0.933249,0.346154,0.719178,0.873626,0.810811,0.989320,0.616822,0.350000,0.646667,0.901695,0.939169,0.915663,0.946360,0.333333,0.724138,0.873626,0.762712,0.991245,0.605505,0.291667,0.776000,0.858065,0.932253,0.894118,0.920497,0.360000,0.714286,0.873626,0.865385
16,warmup,0.908761,0.761530,0.989781,0.611111,0.300000,0.716981,0.894389,0.936531,0.900585,0.935016,0.426230,0.736111,0.880223,0.811404,0.990263,0.616822,0.375000,0.678571,0.915541,0.938609,0.895349,0.950000,0.361111,0.751773,0.892655,0.745968,0.989300,0.605505,0.250000,0.760000,0.874194,0.934462,0.905882,0.920497,0.520000,0.721088,0.868132,0.889423
17,warmup,0.910803,0.760049,0.989781,0.618357,0.272727,0.703297,0.897690,0.938445,0.904762,0.939185,0.413793,0.745520,0.878453,0.818584,0.990263,0.653061,0.300000,0.648649,0.918919,0.939483,0.915663,0.948101,0.363636,0.787879,0.883333,0.758197,0.989300,0.587156,0.250000,0.768000,0.877419,0.937408,0.894118,0.930435,0.480000,0.707483,0.873626,0.889423
18,warmup,0.914435,0.770377,0.989300,0.646288,0.307692,0.732601,0.898361,0.940828,0.910180,0.939109,0.407407,0.758123,0.887671,0.826966,0.989300,0.616667,0.400000,0.675676,0.913333,0.945022,0.926829,0.949239,0.379310,0.807692,0.885246,0.776371,0.989300,0.678899,0.250000,0.800000,0.883871,0.936672,0.894118,0.929193,0.440000,0.714286,0.890110,0.884615
