round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.509532,0.322462,0.769751,0.236842,0.000000,0.422535,0.445759,0.398459,0.178218,0.463632,0.000000,0.285714,0.583026,0.085603,0.680358,0.226891,0.000000,0.326087,0.573604,0.788671,0.562500,0.352523,0.000000,0.373626,0.438889,0.224490,0.886187,0.247706,0.000000,0.600000,0.364516,0.266568,0.105882,0.677019,0.000000,0.231293,0.868132,0.052885
2,warmup,0.688833,0.471045,0.838680,0.303030,0.000000,0.487047,0.665541,0.774970,0.552036,0.626275,0.000000,0.464164,0.681055,0.259740,0.792894,0.337079,0.000000,0.360153,0.698582,0.851101,0.448529,0.605568,0.000000,0.465753,0.604255,0.400000,0.890078,0.275229,0.000000,0.752000,0.635484,0.711340,0.717647,0.648447,0.000000,0.462585,0.780220,0.192308
3,warmup,0.729006,0.518076,0.878003,0.338308,0.062500,0.549254,0.700326,0.801433,0.597156,0.703576,0.064516,0.471429,0.718085,0.332326,0.851142,0.369565,0.125000,0.438095,0.707237,0.871861,0.500000,0.656620,0.054054,0.496241,0.695876,0.447154,0.906615,0.311927,0.041667,0.736000,0.693548,0.741532,0.741176,0.757764,0.080000,0.448980,0.741758,0.264423
4,warmup,0.765320,0.559821,0.916505,0.382353,0.125000,0.576687,0.698873,0.831339,0.703297,0.762188,0.057143,0.503546,0.736842,0.424084,0.914729,0.410526,0.250000,0.467662,0.697749,0.873479,0.659794,0.730901,0.044444,0.525926,0.707071,0.465517,0.918288,0.357798,0.083333,0.752000,0.700000,0.793078,0.752941,0.796273,0.080000,0.482993,0.769231,0.389423
5,warmup,0.788924,0.582242,0.939054,0.396313,0.114286,0.604502,0.731148,0.842229,0.738636,0.808009,0.030303,0.538721,0.719780,0.523918,0.941349,0.398148,0.181818,0.505376,0.743333,0.901681,0.714286,0.768197,0.024390,0.533333,0.719780,0.497835,0.936770,0.394495,0.083333,0.752000,0.719355,0.790133,0.764706,0.852174,0.040000,0.544218,0.719780,0.552885
6,warmup,0.814344,0.616088,0.953307,0.443396,0.153846,0.617834,0.759411,0.858170,0.812121,0.844626,0.035714,0.568690,0.749296,0.596639,0.953307,0.456311,0.200000,0.513228,0.770764,0.937991,0.837500,0.797133,0.032258,0.536145,0.768786,0.529851,0.953307,0.431193,0.125000,0.776000,0.748387,0.790869,0.788235,0.898137,0.040000,0.605442,0.730769,0.682692
7,warmup,0.837267,0.658013,0.962963,0.504505,0.243902,0.636986,0.781046,0.876538,0.848837,0.879575,0.163934,0.610390,0.746356,0.641129,0.964844,0.495575,0.294118,0.556886,0.791391,0.950904,0.839080,0.838020,0.138889,0.583851,0.795031,0.552083,0.961089,0.513761,0.208333,0.744000,0.770968,0.812960,0.858824,0.925466,0.200000,0.639456,0.703297,0.764423
8,warmup,0.849296,0.663180,0.967492,0.502165,0.217391,0.604651,0.782609,0.892211,0.860465,0.900179,0.153846,0.621160,0.762712,0.693277,0.965150,0.475410,0.227273,0.517045,0.812500,0.957770,0.850575,0.867512,0.125000,0.623288,0.784884,0.615672,0.969844,0.532110,0.208333,0.728000,0.754839,0.835052,0.870588,0.935404,0.200000,0.619048,0.741758,0.793269
9,warmup,0.862006,0.683083,0.969874,0.565401,0.208333,0.640569,0.798030,0.900039,0.869565,0.920941,0.206897,0.635452,0.784314,0.697581,0.968932,0.523438,0.208333,0.576923,0.812709,0.962280,0.921053,0.895540,0.181818,0.625000,0.800000,0.600694,0.970817,0.614679,0.208333,0.720000,0.783871,0.845361,0.823529,0.947826,0.240000,0.646259,0.769231,0.831731
10,warmup,0.874035,0.696001,0.969903,0.555066,0.212766,0.656827,0.819512,0.912824,0.883436,0.930261,0.222222,0.657807,0.798883,0.732510,0.968023,0.533898,0.217391,0.609589,0.826230,0.963205,0.923077,0.908768,0.206897,0.642857,0.812500,0.640288,0.971790,0.577982,0.208333,0.712000,0.812903,0.867452,0.847059,0.952795,0.240000,0.673469,0.785714,0.855769
