round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.509986,0.323284,0.770076,0.235808,0.000000,0.422535,0.447937,0.399561,0.178218,0.463508,0.000000,0.285714,0.583026,0.093023,0.680867,0.225000,0.000000,0.326087,0.572864,0.784483,0.562500,0.353056,0.000000,0.373626,0.438889,0.240000,0.886187,0.247706,0.000000,0.600000,0.367742,0.268041,0.105882,0.674534,0.000000,0.231293,0.868132,0.057692
2,warmup,0.688379,0.471096,0.839006,0.310000,0.000000,0.488312,0.662139,0.773676,0.549550,0.626635,0.000000,0.460481,0.681055,0.262295,0.795812,0.340659,0.000000,0.361538,0.698925,0.850088,0.445255,0.600912,0.000000,0.465278,0.604255,0.412371,0.887160,0.284404,0.000000,0.752000,0.629032,0.709867,0.717647,0.654658,0.000000,0.455782,0.780220,0.192308
3,warmup,0.726736,0.517552,0.878759,0.338308,0.064516,0.549254,0.698052,0.796155,0.600000,0.698795,0.065574,0.464286,0.719577,0.337349,0.850000,0.369565,0.142857,0.438095,0.702614,0.872695,0.504000,0.649254,0.055556,0.488722,0.693878,0.451613,0.909533,0.311927,0.041667,0.736000,0.693548,0.731959,0.741176,0.756522,0.080000,0.442177,0.747253,0.269231
4,warmup,0.764866,0.558670,0.918841,0.376238,0.125000,0.580247,0.702093,0.828439,0.703297,0.760213,0.057143,0.492857,0.729223,0.430446,0.912668,0.408602,0.250000,0.472362,0.700965,0.871545,0.659794,0.726244,0.044444,0.518797,0.712042,0.473988,0.925097,0.348624,0.083333,0.752000,0.703226,0.789396,0.752941,0.797516,0.080000,0.469388,0.747253,0.394231
5,warmup,0.790513,0.585963,0.936191,0.416667,0.114286,0.608414,0.722222,0.844549,0.738636,0.811065,0.030303,0.553333,0.725275,0.530612,0.937561,0.420561,0.181818,0.510870,0.731788,0.907016,0.714286,0.770694,0.024390,0.542484,0.725275,0.502146,0.934825,0.412844,0.083333,0.752000,0.712903,0.790133,0.764706,0.855901,0.040000,0.564626,0.725275,0.562500
6,warmup,0.811621,0.613152,0.953398,0.455814,0.142857,0.614887,0.756579,0.853259,0.802395,0.841983,0.036364,0.567742,0.740113,0.592437,0.951550,0.462264,0.166667,0.516304,0.771812,0.933508,0.817073,0.793407,0.033333,0.539877,0.761628,0.526119,0.955253,0.449541,0.125000,0.760000,0.741935,0.785714,0.788235,0.896894,0.040000,0.598639,0.719780,0.677885
7,warmup,0.833863,0.656730,0.960352,0.508929,0.238095,0.645614,0.776699,0.872306,0.848837,0.877587,0.166667,0.605863,0.747826,0.631985,0.966502,0.495652,0.277778,0.575000,0.779221,0.952091,0.839080,0.837472,0.142857,0.581250,0.791411,0.527331,0.954280,0.522936,0.208333,0.736000,0.774194,0.804860,0.858824,0.921739,0.200000,0.632653,0.708791,0.788462
8,warmup,0.846119,0.663820,0.965887,0.512821,0.217391,0.608108,0.783333,0.887396,0.845238,0.896962,0.179104,0.625850,0.766197,0.677551,0.967773,0.480000,0.227273,0.526316,0.810345,0.957374,0.855422,0.861556,0.142857,0.625850,0.786127,0.588652,0.964008,0.550459,0.208333,0.720000,0.758065,0.826951,0.835294,0.935404,0.240000,0.625850,0.747253,0.798077
9,warmup,0.860645,0.684869,0.969343,0.559322,0.208333,0.657244,0.802632,0.897365,0.871166,0.916617,0.233333,0.616949,0.788732,0.697395,0.969815,0.519685,0.208333,0.588608,0.818792,0.962869,0.910256,0.886311,0.200000,0.614865,0.809249,0.597938,0.968872,0.605505,0.208333,0.744000,0.787097,0.840206,0.835294,0.949068,0.280000,0.619048,0.769231,0.836538
10,warmup,0.875170,0.707382,0.970845,0.545455,0.320000,0.661710,0.813725,0.915635,0.883436,0.930176,0.259259,0.646865,0.802260,0.739220,0.969903,0.516393,0.307692,0.618056,0.824503,0.964927,0.923077,0.909739,0.241379,0.628205,0.825581,0.645161,0.971790,0.577982,0.333333,0.712000,0.803226,0.871134,0.847059,0.951553,0.280000,0.666667,0.780220,0.865385
11,warmup,0.879709,0.713431,0.972789,0.578723,0.313725,0.657244,0.822006,0.916763,0.883436,0.927361,0.230769,0.673267,0.802292,0.782796,0.971845,0.539683,0.296296,0.588608,0.824675,0.966531,0.923077,0.904368,0.222222,0.653846,0.838323,0.708171,0.973735,0.623853,0.333333,0.744000,0.819355,0.871870,0.847059,0.951553,0.240000,0.693878,0.769231,0.875000
12,warmup,0.885384,0.725592,0.974733,0.577406,0.360000,0.649819,0.842788,0.919938,0.888889,0.925284,0.254545,0.689895,0.814815,0.808989,0.973786,0.530769,0.346154,0.592105,0.846906,0.963710,0.935065,0.891705,0.233333,0.707143,0.846154,0.759494,0.975681,0.633028,0.375000,0.720000,0.838710,0.879971,0.847059,0.961491,0.280000,0.673469,0.785714,0.865385
13,warmup,0.895597,0.739242,0.976225,0.609053,0.360000,0.657040,0.859903,0.929470,0.900000,0.933658,0.259259,0.710345,0.837989,0.837963,0.973863,0.552239,0.346154,0.598684,0.858521,0.963636,0.960000,0.915274,0.241379,0.720280,0.852273,0.808036,0.978599,0.678899,0.375000,0.728000,0.861290,0.897644,0.847059,0.952795,0.280000,0.700680,0.824176,0.870192
14,warmup,0.900590,0.751910,0.977626,0.608333,0.391304,0.661818,0.862682,0.935006,0.925926,0.937805,0.315789,0.708609,0.844193,0.853828,0.977626,0.557252,0.409091,0.606667,0.864078,0.966222,0.974026,0.920958,0.281250,0.690323,0.871345,0.825112,0.977626,0.669725,0.375000,0.728000,0.861290,0.905744,0.882353,0.955280,0.360000,0.727891,0.818681,0.884615
15,warmup,0.903541,0.755068,0.975728,0.612766,0.423077,0.679104,0.867742,0.938374,0.902439,0.943792,0.290909,0.740741,0.842105,0.844037,0.973837,0.571429,0.392857,0.636364,0.867742,0.964258,0.936709,0.938575,0.266667,0.733333,0.849162,0.807018,0.977626,0.660550,0.458333,0.728000,0.867742,0.913844,0.870588,0.949068,0.320000,0.748299,0.835165,0.884615
16,warmup,0.908307,0.761611,0.979157,0.647303,0.409091,0.700000,0.890675,0.938760,0.911243,0.940534,0.285714,0.733564,0.847458,0.855835,0.975845,0.590909,0.450000,0.674074,0.887821,0.970889,0.916667,0.919336,0.258065,0.746479,0.872093,0.816594,0.982490,0.715596,0.375000,0.728000,0.893548,0.908689,0.905882,0.962733,0.320000,0.721088,0.824176,0.899038
17,warmup,0.912846,0.771385,0.980601,0.654867,0.458333,0.708955,0.892800,0.942155,0.903614,0.944411,0.285714,0.771812,0.844193,0.869159,0.977756,0.632479,0.458333,0.664336,0.885714,0.968143,0.925926,0.929087,0.258065,0.761589,0.871345,0.845455,0.983463,0.678899,0.458333,0.760000,0.900000,0.917526,0.882353,0.960248,0.320000,0.782313,0.818681,0.894231
18,warmup,0.915570,0.772473,0.981022,0.650794,0.444444,0.694656,0.904376,0.946139,0.917647,0.950215,0.296296,0.765957,0.849162,0.868966,0.981500,0.573427,0.476190,0.664234,0.908795,0.968389,0.917647,0.940389,0.275862,0.800000,0.863636,0.832599,0.980545,0.752294,0.416667,0.728000,0.900000,0.924890,0.917647,0.960248,0.320000,0.734694,0.835165,0.908654
