round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy
1,warmup,0.536995,0.344139,0.521739,0.294118,0.000000,0.244541,0.432432,0.687913,0.418750,0.528571,0.000000,0.320988,0.627049,0.053571
2,warmup,0.737404,0.489598,0.906944,0.431925,0.045455,0.488294,0.684211,0.786667,0.546875,0.749458,0.000000,0.391111,0.729017,0.115226
3,warmup,0.802315,0.564657,0.952107,0.453608,0.111111,0.516854,0.701518,0.856823,0.762887,0.861464,0.038462,0.480620,0.729017,0.311419
4,warmup,0.836360,0.612998,0.967308,0.519608,0.000000,0.608696,0.733668,0.890737,0.793814,0.892900,0.135135,0.543396,0.748052,0.522667
5,warmup,0.848842,0.643966,0.977151,0.512195,0.060606,0.625000,0.765886,0.895534,0.887640,0.909988,0.137931,0.590164,0.777778,0.587719
6,warmup,0.869950,0.674626,0.980145,0.568720,0.166667,0.629371,0.778731,0.918631,0.887640,0.922890,0.144928,0.625000,0.789189,0.683603
7,warmup,0.880844,0.694327,0.983973,0.590308,0.222222,0.666667,0.785110,0.927679,0.906077,0.935543,0.163934,0.643110,0.809524,0.697778
8,warmup,0.888107,0.707671,0.982558,0.600000,0.181818,0.664032,0.811448,0.931201,0.920455,0.934498,0.215385,0.692042,0.825137,0.733485
9,warmup,0.891058,0.720572,0.983511,0.597285,0.260870,0.669323,0.811448,0.931775,0.914286,0.938499,0.253968,0.712329,0.835580,0.737991
10,warmup,0.896051,0.735102,0.987366,0.573913,0.304348,0.666667,0.818493,0.934186,0.937853,0.940381,0.315789,0.736156,0.850829,0.755245
11,warmup,0.901952,0.748074,0.988808,0.577982,0.346154,0.671587,0.824532,0.939768,0.937853,0.940600,0.350877,0.751634,0.865922,0.781176
12,warmup,0.901952,0.756025,0.989771,0.608696,0.392157,0.659091,0.823328,0.936842,0.937853,0.938676,0.372881,0.769231,0.858726,0.785047
13,warmup,0.910350,0.773753,0.988315,0.629108,0.431373,0.673759,0.840871,0.944568,0.943820,0.948157,0.433333,0.781145,0.861972,0.808612
14,warmup,0.911257,0.769336,0.991711,0.657658,0.421053,0.701195,0.856667,0.944030,0.932584,0.939394,0.344828,0.769759,0.863510,0.809639
15,warmup,0.044258,0.032082,0.000000,0.000000,0.000000,0.000000,0.000000,0.051948,0.289242,0.019002,0.000000,0.000000,0.000000,0.024793
16,ensemble,0.906945,0.731360,0.990234,0.618026,0.000000,0.699588,0.861338,0.942013,0.954023,0.939803,0.361446,0.764505,0.837838,0.807512
17,ensemble,0.900363,0.756680,0.991695,0.613546,0.404494,0.696356,0.843750,0.932371,0.953488,0.944206,0.333333,0.751592,0.842105,0.773218
18,ensemble,0.910576,0.753870,0.988315,0.584270,0.181818,0.703390,0.853659,0.944072,0.954545,0.949216,0.430769,0.765799,0.864721,0.825871
19,ensemble,0.903541,0.755429,0.991695,0.545455,0.409091,0.668852,0.857621,0.939084,0.948571,0.941677,0.344828,0.794521,0.816327,0.807425
20,ensemble,0.906945,0.755433,0.989741,0.605042,0.338028,0.696000,0.869291,0.944196,0.947368,0.948767,0.309524,0.769759,0.830769,0.816705
21,ensemble,0.905129,0.763841,0.989781,0.561404,0.464286,0.705394,0.860800,0.938514,0.947977,0.945000,0.333333,0.738462,0.872928,0.808219
22,ensemble,0.901725,0.765982,0.988775,0.575610,0.466667,0.704120,0.866142,0.926923,0.947977,0.938950,0.379310,0.739812,0.869081,0.788419
23,ensemble,0.906037,0.765185,0.990736,0.603015,0.464286,0.700730,0.859477,0.935361,0.947977,0.941032,0.312500,0.764120,0.866485,0.796499
24,ensemble,0.908988,0.772988,0.989741,0.586345,0.476190,0.707965,0.869984,0.942125,0.953488,0.938907,0.366667,0.760383,0.866097,0.817967
25,ensemble,0.905129,0.756851,0.990215,0.610000,0.341463,0.706320,0.859532,0.932722,0.934066,0.934211,0.352941,0.761905,0.853403,0.805430
26,ensemble,0.909896,0.776297,0.989226,0.595556,0.548387,0.685484,0.860927,0.942546,0.958580,0.951023,0.354839,0.757962,0.871935,0.799097
27,ensemble,0.911484,0.765874,0.990215,0.575107,0.451613,0.706383,0.864157,0.948964,0.947977,0.951066,0.328358,0.760656,0.850829,0.815166
28,ensemble,0.914662,0.779925,0.991220,0.612403,0.491803,0.702479,0.875410,0.946706,0.942529,0.952919,0.392857,0.759076,0.869318,0.822384
29,ensemble,0.911938,0.772201,0.990215,0.572491,0.451613,0.720721,0.874214,0.946237,0.948571,0.950221,0.372881,0.758389,0.859599,0.821256
30,ensemble,0.903768,0.768300,0.989300,0.600939,0.500000,0.695971,0.865116,0.932619,0.952941,0.939450,0.318182,0.756757,0.857143,0.811189
