round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.430095,0.271971,0.569201,0.344340,0.000000,0.407240,0.240209,0.476570,0.400000,0.101609,0.000000,0.025974,0.698507,0.000000,0.398751,0.231746,0.000000,0.468750,0.630137,0.737654,0.297143,0.159574,0.000000,0.285714,0.764706,0.000000,0.994163,0.669725,0.000000,0.360000,0.148387,0.351988,0.611765,0.074534,0.000000,0.013605,0.642857,0.000000
2,warmup,0.736269,0.479542,0.921698,0.367925,0.000000,0.529870,0.696667,0.807569,0.517241,0.693227,0.000000,0.320000,0.730570,0.169742,0.894689,0.378641,0.000000,0.392308,0.720690,0.783784,0.408163,0.744650,0.000000,0.388350,0.691176,0.365079,0.950389,0.357798,0.000000,0.816000,0.674194,0.832842,0.705882,0.648447,0.000000,0.272109,0.774725,0.110577
3,warmup,0.790513,0.553641,0.961373,0.407583,0.000000,0.671186,0.750000,0.834119,0.561086,0.804638,0.058824,0.474074,0.722955,0.397849,0.942937,0.421569,0.000000,0.582353,0.727273,0.894604,0.455882,0.754348,0.111111,0.520325,0.695431,0.451220,0.980545,0.394495,0.000000,0.792000,0.774194,0.781296,0.729412,0.862112,0.040000,0.435374,0.752747,0.355769
4,warmup,0.813436,0.597724,0.971621,0.404858,0.076923,0.694030,0.770416,0.863440,0.706468,0.840867,0.065574,0.531469,0.741758,0.505263,0.960990,0.362319,0.500000,0.650350,0.737463,0.927303,0.612069,0.838272,0.055556,0.546763,0.741758,0.449438,0.982490,0.458716,0.041667,0.744000,0.806452,0.807806,0.835294,0.843478,0.080000,0.517007,0.741758,0.576923
5,warmup,0.832955,0.615900,0.973129,0.452555,0.066667,0.647799,0.794702,0.889548,0.759777,0.870189,0.102564,0.540351,0.736232,0.557292,0.960227,0.375758,0.166667,0.533679,0.816327,0.895522,0.723404,0.916209,0.075472,0.557971,0.779141,0.607955,0.986381,0.568807,0.041667,0.824000,0.774194,0.883652,0.800000,0.828571,0.160000,0.523810,0.697802,0.514423
6,warmup,0.845892,0.630320,0.977778,0.489796,0.060606,0.649518,0.801980,0.906597,0.815217,0.879588,0.133333,0.498141,0.724551,0.626728,0.971209,0.441176,0.111111,0.543011,0.820946,0.912687,0.757576,0.913102,0.100000,0.549180,0.796053,0.601770,0.984436,0.550459,0.041667,0.808000,0.783871,0.900589,0.882353,0.848447,0.200000,0.455782,0.664835,0.653846
7,warmup,0.846119,0.652504,0.973570,0.432203,0.125000,0.659649,0.807988,0.893683,0.853801,0.875710,0.200000,0.585670,0.759207,0.663573,0.962013,0.401575,0.250000,0.587500,0.771261,0.936995,0.848837,0.889744,0.155556,0.540230,0.783626,0.641256,0.985409,0.467890,0.083333,0.752000,0.848387,0.854197,0.858824,0.862112,0.280000,0.639456,0.736264,0.687500
8,warmup,0.862006,0.666084,0.973051,0.443478,0.100000,0.681159,0.817750,0.912294,0.836957,0.892500,0.228571,0.611296,0.771014,0.724936,0.962857,0.421488,0.125000,0.622517,0.803738,0.929008,0.777778,0.898113,0.177778,0.597403,0.815951,0.779006,0.983463,0.467890,0.083333,0.752000,0.832258,0.896171,0.905882,0.886957,0.320000,0.625850,0.730769,0.677885
9,warmup,0.863141,0.667936,0.980620,0.472000,0.105263,0.676471,0.809449,0.913534,0.826816,0.897208,0.231884,0.609836,0.767857,0.724299,0.976834,0.418440,0.142857,0.625850,0.790769,0.933180,0.787234,0.916991,0.181818,0.588608,0.837662,0.704545,0.984436,0.541284,0.083333,0.736000,0.829032,0.894698,0.870588,0.878261,0.320000,0.632653,0.708791,0.745192
10,warmup,0.870631,0.672879,0.981077,0.497959,0.100000,0.689922,0.828346,0.920670,0.819672,0.907692,0.205882,0.620000,0.771513,0.731818,0.978703,0.448529,0.125000,0.669173,0.809231,0.931424,0.765306,0.937748,0.162791,0.607843,0.838710,0.693966,0.983463,0.559633,0.083333,0.712000,0.848387,0.910162,0.882353,0.879503,0.280000,0.632653,0.714286,0.774038
11,warmup,0.881752,0.701209,0.984390,0.537445,0.227273,0.707224,0.846029,0.929993,0.843931,0.912879,0.271186,0.649007,0.770642,0.734513,0.987280,0.516949,0.250000,0.673913,0.850163,0.930678,0.829545,0.928113,0.235294,0.632258,0.868966,0.680328,0.981518,0.559633,0.208333,0.744000,0.841935,0.929308,0.858824,0.898137,0.320000,0.666667,0.692308,0.798077
12,warmup,0.883114,0.697175,0.983479,0.536797,0.217391,0.715385,0.851133,0.932060,0.812834,0.915058,0.208955,0.648829,0.793003,0.751174,0.982524,0.508197,0.227273,0.688889,0.853896,0.929670,0.745098,0.949266,0.166667,0.638158,0.844720,0.733945,0.984436,0.568807,0.208333,0.744000,0.848387,0.934462,0.894118,0.883230,0.280000,0.659864,0.747253,0.769231
13,warmup,0.888334,0.709914,0.984900,0.545455,0.266667,0.715867,0.848875,0.935389,0.833333,0.920433,0.231884,0.651163,0.800000,0.785000,0.986341,0.516393,0.285714,0.664384,0.846154,0.932650,0.789474,0.943864,0.181818,0.636364,0.846626,0.817708,0.983463,0.577982,0.250000,0.776000,0.851613,0.938144,0.882353,0.898137,0.320000,0.666667,0.758242,0.754808
14,warmup,0.890831,0.718416,0.985380,0.576577,0.304348,0.723881,0.850394,0.938730,0.842697,0.916153,0.266667,0.652632,0.798834,0.764706,0.987305,0.566372,0.318182,0.678322,0.830769,0.946816,0.806452,0.909425,0.228571,0.673913,0.850932,0.780000,0.983463,0.587156,0.291667,0.776000,0.870968,0.930781,0.882353,0.922981,0.320000,0.632653,0.752747,0.750000
15,warmup,0.894462,0.728540,0.985409,0.539823,0.347826,0.723735,0.858954,0.940051,0.855491,0.923954,0.305085,0.666667,0.807018,0.788462,0.985409,0.521368,0.363636,0.704545,0.844237,0.939015,0.840909,0.943079,0.264706,0.635802,0.862500,0.788462,0.985409,0.559633,0.333333,0.744000,0.874194,0.941090,0.870588,0.905590,0.360000,0.700680,0.758242,0.788462
16,warmup,0.895143,0.730939,0.985874,0.554217,0.333333,0.734375,0.869281,0.939416,0.847458,0.924759,0.314286,0.657534,0.817391,0.793349,0.987317,0.492857,0.388889,0.717557,0.880795,0.931259,0.815217,0.958667,0.244444,0.662069,0.865031,0.784038,0.984436,0.633028,0.291667,0.752000,0.858065,0.947717,0.882353,0.893168,0.440000,0.653061,0.774725,0.802885
17,warmup,0.900363,0.741533,0.985888,0.554622,0.372093,0.729412,0.862500,0.944506,0.863905,0.927353,0.346154,0.684932,0.836676,0.790361,0.986368,0.511628,0.421053,0.715385,0.836364,0.942773,0.869048,0.943445,0.333333,0.689655,0.874251,0.792271,0.985409,0.605505,0.333333,0.744000,0.890323,0.946244,0.858824,0.911801,0.360000,0.680272,0.802198,0.788462
