round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.460962,0.317516,0.641206,0.228571,0.000000,0.360515,0.495637,0.300654,0.509615,0.401087,0.000000,0.171946,0.603053,0.097902,0.489014,0.237624,0.000000,0.388889,0.539924,0.778462,0.430894,0.356522,0.000000,0.256757,0.461988,0.179487,0.930934,0.220183,0.000000,0.336000,0.458065,0.186303,0.623529,0.458385,0.000000,0.129252,0.868132,0.067308
2,warmup,0.668180,0.463731,0.888889,0.403756,0.000000,0.429561,0.677596,0.659051,0.550847,0.635783,0.083333,0.362869,0.724936,0.148148,0.815597,0.413462,0.000000,0.301948,0.778243,0.816993,0.430464,0.556384,0.086957,0.477778,0.681159,0.322581,0.976654,0.394495,0.000000,0.744000,0.600000,0.552283,0.764706,0.741615,0.080000,0.292517,0.774725,0.096154
3,warmup,0.743985,0.521832,0.966118,0.420561,0.000000,0.509186,0.719023,0.744108,0.600858,0.763255,0.101695,0.356846,0.730479,0.349854,0.961464,0.428571,0.000000,0.378906,0.783270,0.868369,0.472973,0.660909,0.088235,0.457447,0.674419,0.444444,0.970817,0.412844,0.000000,0.776000,0.664516,0.650957,0.823529,0.903106,0.120000,0.292517,0.796703,0.288462
4,warmup,0.785747,0.559733,0.968147,0.423645,0.000000,0.577640,0.757315,0.811005,0.705882,0.808347,0.096774,0.403361,0.720812,0.443864,0.960728,0.457447,0.000000,0.472081,0.811808,0.884348,0.605042,0.724409,0.081081,0.527473,0.669811,0.485714,0.975681,0.394495,0.000000,0.744000,0.709677,0.748895,0.847059,0.914286,0.120000,0.326531,0.780220,0.408654
5,warmup,0.817068,0.595962,0.972089,0.438776,0.000000,0.582353,0.788177,0.854986,0.787234,0.852345,0.137931,0.470588,0.725888,0.541176,0.961905,0.494253,0.000000,0.460465,0.802676,0.928387,0.718447,0.798265,0.121212,0.555556,0.674528,0.529954,0.982490,0.394495,0.000000,0.792000,0.774194,0.792342,0.870588,0.914286,0.160000,0.408163,0.785714,0.552885
6,warmup,0.798911,0.597284,0.972583,0.447619,0.000000,0.616949,0.783920,0.813934,0.787565,0.857309,0.161290,0.523636,0.733010,0.469595,0.961941,0.465347,0.000000,0.535294,0.815331,0.961847,0.703704,0.807018,0.135135,0.562500,0.656522,0.361979,0.983463,0.431193,0.000000,0.728000,0.754839,0.705449,0.894118,0.914286,0.200000,0.489796,0.829670,0.668269
7,warmup,0.817068,0.625382,0.972557,0.448598,0.000000,0.659420,0.774306,0.845361,0.810526,0.852891,0.276923,0.558140,0.773684,0.532174,0.962822,0.457143,0.000000,0.602649,0.838346,0.960637,0.733333,0.790870,0.225000,0.648649,0.742424,0.416894,0.982490,0.440367,0.000000,0.728000,0.719355,0.754786,0.905882,0.925466,0.360000,0.489796,0.807692,0.735577
8,warmup,0.852247,0.655852,0.978123,0.500000,0.000000,0.676259,0.785340,0.895994,0.839779,0.896215,0.307692,0.597701,0.774869,0.618250,0.977648,0.478992,0.000000,0.614379,0.855513,0.939418,0.791667,0.881152,0.296296,0.684211,0.740000,0.504559,0.978599,0.522936,0.000000,0.752000,0.725806,0.856406,0.894118,0.911801,0.320000,0.530612,0.813187,0.798077
9,warmup,0.861779,0.683215,0.976294,0.469027,0.187500,0.679389,0.811352,0.907975,0.855556,0.897561,0.350877,0.629371,0.785146,0.648536,0.971126,0.452991,0.375000,0.649635,0.840830,0.947200,0.810526,0.881437,0.312500,0.647482,0.758974,0.574074,0.981518,0.486239,0.125000,0.712000,0.783871,0.871870,0.905882,0.914286,0.400000,0.612245,0.813187,0.745192
10,warmup,0.859283,0.678178,0.980010,0.487603,0.133333,0.671642,0.802744,0.898102,0.846154,0.903186,0.305085,0.671429,0.797927,0.640927,0.982405,0.443609,0.333333,0.629371,0.857143,0.947670,0.793814,0.891173,0.264706,0.706767,0.754902,0.535484,0.977626,0.541284,0.083333,0.720000,0.754839,0.853461,0.905882,0.915528,0.360000,0.639456,0.846154,0.798077
11,warmup,0.870404,0.699920,0.977735,0.510288,0.193548,0.697674,0.812081,0.912674,0.883721,0.907419,0.350877,0.668896,0.789744,0.694387,0.973025,0.462687,0.428571,0.676692,0.846154,0.960163,0.873563,0.895884,0.312500,0.657895,0.740385,0.611722,0.982490,0.568807,0.125000,0.720000,0.780645,0.869661,0.894118,0.919255,0.400000,0.680272,0.846154,0.802885
12,warmup,0.874489,0.706810,0.977670,0.540984,0.176471,0.693727,0.817717,0.913806,0.896552,0.910439,0.354839,0.683099,0.807292,0.709130,0.975775,0.488889,0.300000,0.643836,0.866426,0.947785,0.876404,0.905405,0.297297,0.708029,0.767327,0.634981,0.979572,0.605505,0.125000,0.752000,0.774194,0.882180,0.917647,0.915528,0.440000,0.659864,0.851648,0.802885
