round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.5168
22,phase2,0.0270
23,phase2,0.0303
24,phase2,0.0272
25,phase2,0.0290
26,phase2,0.0291
27,phase2,0.0286
28,phase2,0.0270
29,phase2,0.0268
30,phase2,0.0263
31,phase2,0.0271
32,phase2,0.0280
33,phase2,0.0309
34,phase2,0.0270
35,phase2,0.0280
36,phase2,0.0270
37,phase2,0.0290
38,phase2,0.0278
39,phase2,0.0269
40,phase2,0.0280
41,phase2,0.0295
42,phase2,0.0275
43,phase2,0.0279
44,phase2,0.0270
45,phase2,0.0259
46,phase2,0.0270
47,phase2,0.0275
48,phase2,0.0274
49,phase2,0.0283
50,phase2,0.0280
